,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9627009688874041,-0.5481603897132913,0.17222075983202925,-0.01927852686797112,0.455102511874077,-0.056007574663793046,0.15886267703066712,-0.2262869005367107,0.7016489079571303,-0.3308012423376296,0.09715500473854077,0.05203860030194658,0.17495421257716093,0.11496711519226936,-0.05783532141769963,-0.10216295385028248,-0.23734415340444276,-0.3499422516911284,-0.9783438430031208,0.48424819110392675,0.10252840425897664,0.09520629861393232,0.26594081556592386,-0.14120955067533658,-0.10727817678008153,0.5080648017954849,-0.2558125502064247,-0.0410464284079466,0.4856311799373658,0.18606511489031013,-0.05495185352460139,-0.20981544556145026,-0.29788353121947025,0.12214778180129192,0.21598054530883404,0.14671533186479874,0.45595779761690386,0.7384811188225229,-0.3771791188105081,-0.513568076702318,0.082439354555099,-0.33628110139904127,0.40534736146976746,-0.4664094706042454,0.19526489183801232,-0.25272088355295547,0.49088071696994795,0.08032508924896312,-0.1723065393643969,-0.9682025123340913
PUNCT,-0.9627009688874041,1.0,0.6069677216608977,-0.2677494597634411,-0.135471651593024,-0.5615883727523903,-0.03075170465094907,0.0007817075764007748,0.22738905444339672,-0.6264270358425441,0.32460754412495046,0.07507105547887356,-0.06661805881276574,-0.3290944353876614,-0.0874223422244892,0.11598178866341899,0.15765164346703914,0.1897945361988673,0.47797063182837546,0.9783592586630862,-0.36235820323179047,0.06947213193341688,-0.10513899318856226,-0.2574953011599796,0.24153120002771725,-0.04775014044374087,-0.46853577994970796,0.13079650368076687,-0.015890270929718567,-0.5828051007163592,-0.1925422291609672,-0.07813016288228794,0.31687252536579924,0.21197490361144622,-0.2251582792998272,-0.2810264563807025,-0.14783539789139286,-0.5298827823059326,-0.681649232901094,0.3333532297066171,0.5312175373198933,-0.23705677756677132,0.3613489294965004,-0.457990955256899,0.5067909417105275,-0.06310445730654521,0.15191267359204355,-0.40514746528412665,-0.18647457060127398,0.08744594645337052,0.9895350499213468
AUX,-0.5481603897132913,0.6069677216608977,1.0,-0.11603593751416984,-0.20889190419226766,-0.7133656616454567,0.003533905670883005,0.4108653161015344,-0.21859095824755315,-0.32558741984865086,-0.3463479542576747,-0.028599564994825882,0.13776622801758015,-0.42398181155885695,-0.08663988926824104,-0.5428485416195493,-0.47203574197323256,0.4072809009729747,0.2870953660986356,0.6801185620884084,0.02207049638670788,0.404753456871938,0.03485443068644606,-0.001109916012654028,0.11015158853147967,-0.32029875430716986,0.030510035007905736,-0.22022193596170575,0.14397864930656573,-0.7089194029148864,0.1381680922645092,0.056208414495365386,0.24666457709944925,-0.04496174512939419,-0.3516462907019251,-0.4264577768599934,0.03341795121331337,-0.5955581142694246,-0.38482985834648903,0.3514699799322531,0.706849047009755,-0.10937680480772757,0.8337662641166703,-0.6338898460458606,0.7647351877885735,0.13148456768932834,0.15425746468198168,-0.11989924569425839,-0.13723458846900422,0.03649891340558261,0.6508645343358629
ADV,0.17222075983202925,-0.2677494597634411,-0.11603593751416984,1.0,-0.09586858606340798,0.32073933990476666,-0.003942970420147168,0.2500906786843194,-0.5214555882144625,-0.19972557948565753,-0.20025812884331584,-0.2610532318002122,-0.040528936030593155,0.03252066539646079,0.5905895514108098,-0.07848435804970175,-0.02119191322480001,-0.443434804517762,-0.4410085756745238,-0.1926683074244559,-0.1520470821455199,0.16923761241485394,0.3542185749250699,0.5353858097255442,-0.14149361467636964,-0.19032025918275713,-0.05192387232382108,0.30449821041932595,-0.3487677868579565,0.42876644231870914,-0.26033984911162517,0.560853756568579,-0.060314921284979985,-0.32849444897794844,0.38493335282704677,0.11600703170111783,-0.08757367835982965,0.08482206544433789,-0.1497207052886089,0.1986070375259722,-0.06792734108408831,-0.21086176971376389,-0.07851517196470756,-0.06743328780083814,0.07407703162368386,-0.38364494118398307,0.6409574987213348,0.05779019309535089,0.5577331690925533,0.2416720412668262,-0.2690034202568384
PART,-0.01927852686797112,-0.135471651593024,-0.20889190419226766,-0.09586858606340798,1.0,0.44547176310740155,-0.06752081429766961,-0.4101164292947205,0.09032673298120106,-0.18523883480998762,-0.020778314309590932,-0.5946901430954498,0.28136038762793786,0.8125119493050821,-0.5206755213283432,0.16912427877178118,-0.05236905122200608,0.23377084685603375,-0.6696667917096968,-0.05255398771978057,-0.31364262602816934,-0.42235002995179205,-0.3789245321797846,-0.14359150050642422,0.06662544727026849,0.5999553342092424,-0.4286538578247691,0.408562935281053,0.11754457212388777,0.43819931372574833,0.16322690268574566,0.11247163807731142,-0.45299161260070375,-0.12782085405011012,0.1784591788819843,0.48277356216670414,0.20578736321283503,0.5730468450712176,-0.1855502365428425,0.09402619502938583,-0.44122812995024185,0.5747388760825528,0.09647746606972518,0.148169195545113,-0.3535815514451699,0.25963285621411564,0.17205600331914916,-0.34922471013980433,0.65293452944277,0.04158709723523158,-0.05562244586184257
CCONJ,0.455102511874077,-0.5615883727523903,-0.7133656616454567,0.32073933990476666,0.44547176310740155,1.0,0.2561434054715152,-0.3829245022983996,-0.27556875112671736,-0.027783674955813308,0.2000407048390305,-0.2708367301084742,0.040350268572157615,0.7110725277361961,0.044276398000367985,0.35299237725225,0.12907752505757558,-0.415845357385495,-0.4884650913094995,-0.5689944048120426,-0.2982941351455726,-0.3866740199176387,-0.33321822806263185,-0.032001112249397536,-0.22298124057042623,0.18049817273945484,-0.2071190572035596,0.32688663371834253,0.11468082042007,0.9547613609631017,0.1328731048681784,0.21283554148608075,-0.4552927000097292,-0.2701314442153162,0.730430508460204,0.7588690553340638,0.09603380974763918,0.7815825194202178,0.0469937632367649,-0.1706263805003261,-0.7161472624932442,0.11077941429714364,-0.3821458378495694,0.68750231487088,-0.7854406379880319,-0.02551337450251504,0.30444156973106307,0.31578074412380475,0.45948363921285784,0.30920653492450934,-0.5690164444871417
NOUN,-0.056007574663793046,-0.03075170465094907,0.003533905670883005,-0.003942970420147168,-0.06752081429766961,0.2561434054715152,1.0,-0.47714040579309114,-0.3901337128686037,-0.14132344758116086,0.172791772240964,-0.3509382272181969,0.09079211070422355,-0.0007692376228336539,0.15061800353476237,-0.4160179058265917,-0.22439315110241723,0.13130140525264813,0.11988418349957661,0.02149338895155855,-0.07112167043474527,-0.46583209214912613,0.22773085930336687,-0.6143945419702986,-0.5599459703066678,-0.21514483127371087,0.4614044676441118,0.17685238630421804,0.40627328239237254,0.02395797793750545,-0.012540895623460776,-0.12108837908827054,0.23564129858492824,0.17355864268694915,0.3596438052861821,0.21951043523452904,-0.04865975003041783,0.05032289891238589,-0.07082737753351845,-0.0500927798345741,-0.08673712215807591,-0.04094148215833734,0.10761699486172546,0.2873716143928292,-0.2553241747221316,-0.16337886284964798,0.12066439864137853,0.09049519147055017,-0.0953467816396056,0.21940068037267912,-0.015588490325057542
SCONJ,0.15886267703066712,0.0007817075764007748,0.4108653161015344,0.2500906786843194,-0.4101164292947205,-0.3829245022983996,-0.47714040579309114,1.0,-0.39802987885375174,0.28893307881765445,-0.5650013990622823,0.19405089884210203,0.1039035595468219,-0.49884172841375546,0.20366500319420197,-0.16399669371467535,0.019541283618873077,-0.07386650049841052,0.022501003400398626,-0.02500372932576359,0.4527212316086847,0.9840689086632058,0.21103271937186094,0.5239608428963493,0.3406281200368112,-0.6080955749403564,0.04603302456448187,-0.4753758979257591,-0.15261769599439154,-0.2004474591499642,-0.06062427846123249,-0.03772513309793096,0.1922958829373655,-0.5474542284978658,-0.3182207598611964,-0.45556620224268773,0.05829863394520168,-0.27722714069888876,0.22591951811027874,-0.1578654124101202,0.2975656792226541,-0.22037855963375763,0.22055692516825354,-0.5359294766170133,0.4939155181261974,0.1678872195719084,0.12606449349521456,0.3159094521332359,0.010170760875593621,-0.015122262790497148,-0.023838391799281242
VERB,-0.2262869005367107,0.22738905444339672,-0.21859095824755315,-0.5214555882144625,0.09032673298120106,-0.27556875112671736,-0.3901337128686037,-0.39802987885375174,1.0,-0.05556790103145788,0.3271168876570324,0.29861490722728234,-0.046311469942605925,-0.037706448942681874,-0.24776219264987587,0.3331653476432885,0.34694232416420995,0.2529385585319997,0.18260859944241167,0.16419939363078612,-0.22474246280944593,-0.39099828492039834,-0.20000286749691662,-0.1834452666505484,0.16808600220428352,0.6304430998384433,-0.19985255752061104,0.11531124923431614,-0.15555976240792563,-0.2251733650352401,0.059035070253298294,-0.10084431512501525,0.052455194865673925,0.5185038306829919,-0.14246440265743313,-0.23238924143695266,0.11705307809544448,-0.2574092534725885,-0.07847486716722196,0.22606648975402835,0.1589503602759634,0.24938300456956497,-0.32615526020768426,0.06641521339870854,0.12150926286360775,-0.040612511539296015,-0.5314950833854585,-0.3802838301146316,-0.4023654755963342,-0.46035853728561865,0.20449304124921935
ADP,0.7016489079571303,-0.6264270358425441,-0.32558741984865086,-0.19972557948565753,-0.18523883480998762,-0.027783674955813308,-0.14132344758116086,0.28893307881765445,-0.05556790103145788,1.0,-0.3465037578564492,0.20341196339686707,0.0037305354967104173,-0.14754230632563806,-0.08471214656496395,-0.12150649642657423,0.050856547415943344,-0.07032749598280873,-0.05451988822598758,-0.6771200821459407,0.7115429450814081,0.30243473989902153,0.2215694726558309,0.18161870076951508,-0.020918447881416908,-0.24808135601135614,0.5282785041013777,-0.621616151754828,0.2141380799356707,-0.014229963831687014,0.09678434924394126,-0.46961545722161335,-0.1903994683913037,0.061779958295986336,-0.4254462547748086,-0.1337326725526489,0.05898638469136027,0.30092568095507066,0.9916823668714055,-0.7066698626379131,-0.20303487349054036,0.28356739466511954,-0.4074560935779083,0.030255502333457626,-0.236655906458998,-0.009056940409745896,-0.5689450492057248,0.4414045921920418,-0.272692801550827,-0.180920582427664,-0.6561082069096321
