,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9503832686163233,-0.5388543690359078,-0.4505993048475102,-0.18631629500993305,0.23526966064135135,0.3405714068527169,0.15055263152668563,0.29628470367670984,0.2100367407912927,-0.18113578321197435,-0.2981682950768519,-0.0724768499497122,-0.14274281761018764,0.2470758863514095,0.4251589138651795,-0.36238925039440506,0.3289416931818794,-0.2526231884837461,-0.04321002067372014,-0.9879721860226924,0.5791475728029576,0.20904909699660867,0.1575651445356725,-0.1056160877641137,-0.41325578551568765,0.14234693787317218,-0.0020520612094481997,0.18195048601229194,0.2919495851790219,0.08155875543491217,0.38509620023588087,-0.5244555595211545,-0.005552352731693878,-0.27999521563121466,0.17261353040391755,-0.10527393942278714,-0.0004612890776339792,0.42982145859166465,-0.21827800452693316,0.19411617676452478,0.2816495985174934,-0.053930613255090576,-0.24462529411986766,-0.6082966923476654,-0.17727914357696736,-0.10162335131255625,0.15726342324198375,0.18136544284938455,-0.3218652608307082,-0.10281724059221617,-0.9651480260976761
PUNCT,-0.9503832686163233,1.0,0.6151477628434439,0.3784219834047206,0.08310296058516883,-0.33113279949109575,-0.2155725513704258,-0.20304985902711417,-0.44331832973902624,-0.08858831065910275,0.3152074383838601,0.23649189604331528,0.10639688054663378,0.14671910639551775,-0.23976665312424636,-0.4691359106298586,0.46743689314941245,-0.3204808540834353,0.11088780426560726,0.08596211196524078,0.9701361932265363,-0.6140944163207852,-0.28103388475006924,-0.16175081810981057,0.07228563938342547,0.35367311313204747,-0.19110254409760594,0.1556113342988271,-0.06609427933005259,-0.13661204884761893,-0.1446656084125664,-0.2127537120221918,0.48596152591424163,0.039604730633246134,0.27708380902212687,-0.06543308177133049,0.08248519534763285,0.11399572891150134,-0.5674885923485334,0.27358753455640755,-0.07221988213845305,-0.21854792912964702,0.1647478139631867,0.26454371333416693,0.6249493524008646,0.04409975377139707,0.15435154900467915,-0.28931850220701194,-0.13245833245939007,0.23088160654451023,0.017598833538241876,0.9766000285057986
AUX,-0.5388543690359078,0.6151477628434439,1.0,0.09441366274290708,0.1494656042427603,-0.148778675829898,-0.19488678776695642,-0.343002911675317,-0.5997174825974304,-0.043947466008673185,0.34407973022634586,0.16495881454683387,0.46452506898520646,0.38316385204590375,0.1176295230138591,-0.4471791654919338,0.022884064326471155,-0.038610593629198206,-0.1493129986091957,0.3437464639517933,0.5573468269290083,-0.5726476791171321,-0.37903198397599436,-0.3940356121887395,-0.011625023136290255,0.11018802853612203,0.15336207172463237,0.010008048428497947,-0.007794864360861009,-0.15830825510319285,0.00026826967291521266,-0.03595179831648094,0.2906122561474237,0.4996184923198412,-0.0007723436859293838,-0.4284011639055904,0.3275238639045476,0.48647166446628726,-0.2896010445948939,0.5345570280311602,0.0006275989573197918,-0.03839213619790313,0.3196111685109044,0.33572098197432,0.8928201889203501,-0.26203775601472556,0.09843046528133913,-0.49095927649002646,-0.1658445282490416,0.006876349217220996,-0.06270230229560782,0.6782791908736142
ADV,-0.4505993048475102,0.3784219834047206,0.09441366274290708,1.0,0.2948363348614003,-0.16791269179049725,-0.09252964370070547,-0.14644163505226182,-0.10340092701068646,-0.5365849521036283,0.2046724038212149,0.1128271690414424,0.14227204131440996,-0.07328319815482116,0.014272898851509635,-0.018201198151549462,-0.2745950637139929,-0.09307830625215541,0.19054893122060437,0.110616757681877,0.45285032536941244,-0.5019006448866598,-0.2507451784091634,-0.12268346929713381,0.17477057053671172,-0.20176734705328478,0.045985541934352794,-0.3634019585104745,-0.38661626955828554,-0.4888395968212591,-0.16181497039486445,-0.5053490909552575,0.5619463832762294,0.18819990598837794,0.32959193016225713,-0.0888392800329439,0.10331992520296428,-0.03347674429745268,0.009826105429920637,-0.021294150015011556,-0.44874370542458814,0.05633347897385922,0.05710232946759224,0.0074610463445272356,0.05291040299984282,0.5575756559282073,0.4651628510138208,0.213242127074625,-0.18927949892995533,0.8350696531241822,-0.017409480777301017,0.3768261081211561
PART,-0.18631629500993305,0.08310296058516883,0.1494656042427603,0.2948363348614003,1.0,-0.021869010382576267,0.09451384761529104,0.15481069107727766,-0.1619047960244008,-0.33500887908107974,-0.14015586931564494,0.03226332640928965,0.157933916861135,-0.12758044957392098,0.19541315385912897,-0.26066127588073634,-0.16228355310974038,-0.20460566463859267,-0.14558588010685192,0.2775616875922957,0.19554091783719527,-0.26618937282879696,0.10230084870881892,-0.3606832018891358,-0.2923224570912909,-0.07311013756362793,0.25386518200701796,0.09169754678461782,-0.26344523708721773,-0.5428855729719101,0.038628491377112315,-0.2739541619271892,0.17797240198083472,0.019543848548694228,-0.16887277968523995,-0.4575008129507302,0.029954622467095716,0.24710875332565324,0.12314588522813488,0.0381065585716538,-0.3224242809783137,-0.34520842803477225,0.16588108634091314,0.606526741368772,0.061723645644424306,0.13419186176336195,0.01969061083897371,0.27477540061905864,-0.09376331066050322,0.4170779593891931,-0.3485017306773592,0.1560442876708812
CCONJ,0.23526966064135135,-0.33113279949109575,-0.148778675829898,-0.16791269179049725,-0.021869010382576267,1.0,-0.3677036809968078,-0.2020372179883786,0.2333270169286021,-0.03801762422953635,-0.21640792807993656,0.21653291712686545,0.2644896675856968,-0.07891554035316677,-0.03564735843226694,-0.14137911256504054,-0.3004409052553899,-0.16008262015271857,0.3524819014515706,-0.18737828152118813,-0.28843718185319006,0.0030958455722132445,-0.012165777233121252,-0.14170827557050597,-0.21482177701432134,-0.27576706222271663,0.09323836615216254,-0.3668747916552409,-0.24570059149328813,-0.15330930120751002,0.9077595350204328,0.021128368943682987,-0.04419740305995079,0.030057847215836122,-0.17394632860061598,0.31693794527521624,0.11076565134225946,-0.07813609570712476,0.6070677782175403,-0.055552164883989764,-0.07253682461669775,0.12572900919780958,0.24754361431037888,-0.5345833615959097,-0.3175118221585766,0.1306509636546824,0.33822412521780737,0.29122195815955465,-0.01095222384261514,0.02869647330033728,0.4828050417918294,-0.27486181167205354
NOUN,0.3405714068527169,-0.2155725513704258,-0.19488678776695642,-0.09252964370070547,0.09451384761529104,-0.3677036809968078,1.0,-0.257862249007274,-0.28996009530762445,0.004497143225593608,0.175613677498312,-0.04600740812693223,-0.4796350278075239,-0.4656901802946646,-0.02111154885634762,0.05067826033384963,0.05261972893560903,0.08054377262194659,-0.22129319721435958,0.32163549976888284,-0.2514266818368576,-0.06971690296446792,-0.3921800456137837,0.23825857054648658,0.05464111252306879,0.046771898026304735,-0.3040637966586252,0.4283676006333208,0.6864078475068357,0.4639592217047833,-0.3447891710888683,0.397988754016779,-0.11120333824150033,-0.22149040344753607,-0.019779747416249615,0.019088378066608135,-0.10729259212584866,0.009645541635612973,-0.228546755671414,-0.12093694478798002,0.060996748423895415,-0.0918578414688866,0.0740652907120981,0.19644549606738854,-0.22202253952987663,0.006725043454442218,-0.2945250387978956,0.1403177170047902,0.3973919956653971,-0.052329346030061265,-0.26745166817562643,-0.2678485834168681
SCONJ,0.15055263152668563,-0.20304985902711417,-0.343002911675317,-0.14644163505226182,0.15481069107727766,-0.2020372179883786,-0.257862249007274,1.0,0.3259082384098963,0.11686458482185519,0.006807699043310186,-0.4057231029199918,-0.0690584324915759,0.0515114099855829,-0.027189083115581002,0.3340924369472242,0.18590261547590484,0.3569767565007042,0.0038343246037952318,-0.26565490044042345,-0.1494735955300951,0.5600591554233042,0.9209033287543229,-0.01208281506107143,0.042570664553174785,-0.12157844695130124,0.025430326768963382,0.002420082362618333,-0.3762388390779537,-0.13913188357602602,-0.24497779493196623,-0.1881148361609368,-0.37256639173077494,0.00035313882265145175,-0.045567563474600135,-0.09227710769029769,-0.20592207599952717,-0.1856905349723973,-0.23647182320873703,-0.1399065831427769,0.09496931175513568,-0.10007639244710438,-0.32425634658629643,0.2485268382440575,-0.16575278484190473,-0.09343360128897694,-0.11365141421575956,-0.17480498538181435,-0.3960768603714627,-0.010790212358686355,-0.07942749778398185,-0.19680264543551967
VERB,0.29628470367670984,-0.44331832973902624,-0.5997174825974304,-0.10340092701068646,-0.1619047960244008,0.2333270169286021,-0.28996009530762445,0.3259082384098963,1.0,-0.15698051667897742,-0.42499444716655754,-0.011692391944310081,-0.29774493204703173,-0.258844302012772,-0.06005582111415768,0.4746277869542246,-0.24829958062927926,-0.10395402912105506,0.37061735986348004,-0.4066831189164604,-0.37196128946819446,0.683361460291922,0.3937950750192935,0.036516278995396084,-0.09137532852332758,-0.00987021887549211,0.29651524289676784,-0.5099583288862076,-0.18936611943920537,-0.27700205438463144,0.18483407761861517,-0.37196867600760564,-0.4280249399917852,-0.37989406528054503,0.22219761322118659,0.10885903024099557,-0.2615629356002276,-0.3315698054091991,0.24703482916940814,-0.19550888970504243,-0.23996542795911494,0.3814238641954192,-0.5990907743113443,-0.1611168588763232,-0.3793556597360967,0.34905507730885005,-0.14260304643255362,0.22184539633240635,0.22667682817951113,-0.03034832504349245,0.173323412908119,-0.39384739707010613
ADP,0.2100367407912927,-0.08858831065910275,-0.043947466008673185,-0.5365849521036283,-0.33500887908107974,-0.03801762422953635,0.004497143225593608,0.11686458482185519,-0.15698051667897742,1.0,-0.11898006778179476,-0.42448571314333844,0.1579594262119157,0.19164532703338266,-0.44767167816027487,0.167002493564595,0.45951005726434485,-0.1348383486632278,-0.16067503311428974,0.11274390658902825,-0.17876245016710174,0.3693175610374614,0.2662183518501088,-0.2870302144171404,-0.20845631086185712,-0.044342008384909114,-0.5092464202821405,0.3004452344286977,0.2436889191868888,0.3482718066432899,-0.18300232596444868,0.2662079722141666,-0.1691875322559249,-0.03218135913044695,-0.15248530823103773,0.14135781557395408,-0.14348689380915772,0.014887115467901411,0.011958658070678802,-0.043612171625957735,0.970511836363094,-0.169933246106337,0.15830934645790462,0.14529964577451737,-0.10363706812299321,-0.5770137811812449,-0.12367132782721428,-0.09140248765991155,-0.1676241864382113,-0.4737932833323154,-0.14736539884158012,-0.15359024661263457
