,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,compound,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.7421824267443171,0.35322753112239946,-0.23025644790867775,0.11584665418379185,-0.40449493945334003,0.9360686479295676,-0.5606641848869175,-0.7913532406233773,-0.6422556197697037,-0.02336474854375464,-0.6394350401165666,0.12286549859905498,0.20361217022807834,0.5671894794433912,-0.6636925678322166,0.347755855235113,0.600784721234749,-0.695559854910816,-0.19128323677214829,-0.6183751339125895,-0.43022965019259785,-0.057681251743842726,0.03289816435268861,0.10973500476180614,0.6075936538353921,0.9288526996050953,-0.31047574550772894,-0.20373256037434917,-0.706023036874097,0.17486555662176229,0.037719423564765486,0.3773712111774836,0.900692537272292,0.26485765259824307,-0.08088394849176543,0.5880074513571978,-0.16677705615966004,0.4228356291923436,-0.16758965462886066,-0.057681251743842726,-0.6311367410605511,0.858675493537257,-0.6869527520765909,-0.6417073186695667,-0.8982315115213554,-0.14156959626324384,0.032460386155344585,0.6220208989569275,-0.7221996677464981
PUNCT,-0.7421824267443171,1.0,-0.14260371641185354,0.34768730914188495,-0.02600723722634211,-0.15600141134596573,-0.7733599656882789,0.6920947442994385,0.7968816317401531,0.4698869363738113,-0.30040988299487564,0.402653215681497,0.1011514220947609,-0.09274479903509576,0.11016111257199247,0.30419551536846595,-0.13699951351790743,-0.36360279924213407,0.878534085350229,0.5355647995809046,0.69044476291181,-0.06308391547475434,-0.019699685514748214,0.2460984155109045,-0.2786499524000094,-0.274576600438077,-0.8214116857472251,-0.05962194615873387,-0.10079732692969587,0.8071561110875682,0.18771866894687145,-0.3750823198879293,-0.4729778516172744,-0.8157129951629968,-0.2190776798276367,-0.014798470622715247,-0.3208803074407112,0.01562835826171163,-0.8752864236786462,0.3784823861334197,-0.019699685514748214,0.5869164254408317,-0.611900734156294,0.40130135364967384,0.5261078714772692,0.5986759377197471,-0.03587396895669407,-0.07738593631828207,-0.5010614773102968,0.9709216408957035
AUX,0.35322753112239946,-0.14260371641185354,1.0,-0.4659732043574917,-0.08413229960926745,-0.19102120941397108,0.3710050238374519,-0.47794086876602576,-0.5979319317498255,-0.03912269979677035,-0.22342115848553906,-0.34110311786696373,-0.2415831698498043,0.16484893170843404,0.30622563134574765,-0.5599332185097105,0.10985274222209215,0.16247479110872087,-0.3803033997180503,-0.5146907693480016,-0.45298228258193296,-0.09894449627348123,0.12419165804123805,0.6320469177705191,0.05306397594994992,0.49790034050688975,0.5246933734963993,0.07623005249870997,0.024024832928382023,-0.4541971151562457,0.8550535828842253,0.021975954211458492,-0.18977434990045028,0.5213311129370313,-0.4152514657423654,0.4062949513161409,-0.32083591956596674,0.29911205664033447,-0.2296769160116065,0.7848427940410531,0.12419165804123805,-0.7231735377265945,0.598722454116129,-0.6411787503748656,-0.6588117567223555,-0.10996897178661488,-0.264740234570056,-0.36967039837516685,0.15514505356003305,-0.2589095365386612
ADV,-0.23025644790867775,0.34768730914188495,-0.4659732043574917,1.0,0.7170375590200005,0.3048324672276408,-0.19433855527716,0.2823592214519236,0.3794714114406063,-0.3803476706467038,-0.3537164945423262,-0.40217096444213485,0.8773129080833816,-0.12099961531077794,0.1264296464121281,-0.12005041891525761,0.2547498526329606,-0.3116399018727028,0.46197735397090933,0.753321644271399,0.671945180405343,-0.48649716743336124,-0.19086221682134852,-0.5004618345986674,0.30298766349914164,-0.36437563969066,-0.2979559202767179,-0.37669959439450895,-0.06433276420037191,0.39411124615975257,-0.46201444093809363,0.08418480804924333,0.5720907995720902,-0.28672250779467945,0.4083088361405888,-0.0836957111610501,0.047447724857910475,-0.7750543641176132,-0.37071298722014623,-0.1656245178325638,-0.19086221682134852,0.35667998819785957,-0.42540267881843397,0.32234253495707843,0.34326885636393756,-0.02718379444170935,-0.6113179963952194,0.812039274344671,-0.4718541301533605,0.5177554740417326
PART,0.11584665418379185,-0.02600723722634211,-0.08413229960926745,0.7170375590200005,1.0,0.44111933358246386,0.3401316863237158,-0.36407070692949883,-0.1777480162681287,-0.2514243758820162,-0.7602959878279124,-0.6707177498054119,0.5786038737925076,-0.20697837845687025,0.276614250586765,-0.37089344445315847,0.2165266861388479,-0.3758634138252097,0.02756081861385454,0.195197102351685,0.05664743798648495,-0.5912233803204334,-0.034327235871049966,-0.4033237154086487,-0.021083458246550103,0.254622021533968,0.20832906004435442,-0.31259028882055495,0.18817258431882788,-0.26774882747879286,-0.07213556888418483,0.6475712775735194,0.7603399441501987,0.1467288525577131,-0.02086568252601865,0.04990860257589825,0.2657637176592049,-0.4124503172026787,-0.20189078491179085,0.15300024073843818,-0.034327235871049966,-0.30431507951756576,-0.11399841493655484,0.021146799705720278,-0.3400955026132033,-0.12291463581806253,-0.5967933395834987,0.90541998268286,-0.6135597208513791,0.1339912660559415
CCONJ,-0.40449493945334003,-0.15600141134596573,-0.19102120941397108,0.3048324672276408,0.44111933358246386,1.0,-0.1739065170409212,-0.2299449776012945,-0.06199185443427041,0.10265222709410189,-0.07660270462277592,-0.10903143667370482,0.058936654085100716,-0.09689962911574122,-0.7250181400003161,0.2978174945514406,-0.27808798828601505,-0.6888502044693287,-0.15260590220856213,-0.3030866096050324,0.12332344835106096,0.37124622721399464,-0.07186295988684667,-0.37299895991105325,0.2794447981272548,-0.3741689284451805,-0.120012097028649,0.43685553794340404,0.6180880663291656,-0.11961148416667898,-0.39668516397693354,0.7369169490627202,0.5099181632386556,-0.08818207197505483,-0.0711352471451924,0.3824714442172226,-0.3640838194675035,-0.09571235173300661,0.26052141759440506,0.00854506649539542,-0.07186295988684667,-0.04571042522345105,-0.3832599382829924,0.2894122719722152,-0.0347949135274102,0.4024033071005636,-0.29198944256490816,0.48691030564029275,-0.5632546306902375,-0.09384432032014933
NOUN,0.9360686479295676,-0.7733599656882789,0.3710050238374519,-0.19433855527716,0.3401316863237158,-0.1739065170409212,1.0,-0.7768934344302052,-0.8536479327587018,-0.4826851134431525,-0.24811868184445005,-0.6721423538816502,0.059069256429923764,0.03472422706253404,0.5020529497692058,-0.6671462717586614,0.3245975056858983,0.4230591535195013,-0.7136702052860341,-0.35021997063929267,-0.7487933633510054,-0.4582997184735045,0.066965034354761,-0.06980405387416735,-0.040604255306740826,0.7396750075302938,0.9542425817248256,-0.28817639523447763,-0.06306478747818108,-0.8779528755429309,0.231380321348404,0.3633188499107165,0.48272378189334153,0.8867374383018521,0.031099848396214772,-0.0640372698693504,0.5855642333407616,-0.031395850788220596,0.42619617270534293,-0.03571691430643875,0.066965034354761,-0.8005986355311643,0.7450852287336273,-0.595916711033627,-0.7927683970997531,-0.745598346428097,-0.1403155461276014,0.21887370464788247,0.34097246604625947,-0.7262550005810249
SCONJ,-0.5606641848869175,0.6920947442994385,-0.47794086876602576,0.2823592214519236,-0.36407070692949883,-0.2299449776012945,-0.7768934344302052,1.0,0.7359126562842018,0.08663691927792923,0.2799288892399151,0.41406105891422385,0.14016528851180854,0.36562115142363455,-0.1092102729262838,0.5884497786855893,-0.3625312657339331,-0.2289084917999078,0.5770300691478969,0.6318649989105546,0.8557295407692461,0.27706990676612164,-0.4753199709194623,0.21444435221438643,0.09417084183500828,-0.6431591296253037,-0.7465697743804676,0.19189734959878557,-0.0066743149090746435,0.962389697601848,-0.33565146773398147,-0.646542676035368,-0.31340219818149395,-0.6367283565552303,0.4354913394329198,0.0804549027801798,-0.11430672436846889,-0.3160452823817208,-0.3847108972661535,-0.2545183153078414,-0.4753199709194623,0.9405671908699743,-0.3749608931633921,0.23562196812410266,0.7408441306240278,0.1983991731366799,-0.005443236942589155,-0.2818614720787232,0.07728012039165924,0.6330044017617436
VERB,-0.7913532406233773,0.7968816317401531,-0.5979319317498255,0.3794714114406063,-0.1777480162681287,-0.06199185443427041,-0.8536479327587018,0.7359126562842018,1.0,0.4182258744827005,0.11784530936343872,0.6630590277539775,0.1561667887500392,-0.3491521589854151,-0.19268164237313387,0.47151024344900816,0.024572952669982245,-0.14588749014179847,0.9272292163119041,0.6506309036744686,0.690261935588593,0.046129096481324475,0.17324960260343805,-0.2424671805263144,-0.15228363802923223,-0.5710051650160074,-0.9545126450518178,-0.18257768962779194,-0.31281666011497744,0.8480939554145998,-0.3082532559846802,-0.4384300433798462,-0.45904945576481776,-0.9627544678954724,-0.01733633517371733,-0.40618234675991705,-0.2761144811964042,-0.034969109413392804,-0.480280378837847,-0.1499106374237018,0.17324960260343805,0.8180540183383307,-0.8542163722813264,0.7952560891359562,0.8969021847179504,0.6188934191011893,0.2890089911955526,0.031421468346864795,-0.3824095997922729,0.8408970299306966
ADP,-0.6422556197697037,0.4698869363738113,-0.03912269979677035,-0.3803476706467038,-0.2514243758820162,0.10265222709410189,-0.4826851134431525,0.08663691927792923,0.4182258744827005,1.0,-0.1944286420334353,0.7629779337620223,-0.7140885101316732,-0.3528290272876701,-0.29177806034767634,0.54317920917828,-0.38760850978067507,-0.36435210776074073,0.40023288458011796,-0.33649810488633447,-0.11012221792686601,0.38335493251510216,0.36046596006694803,0.19525027092732825,-0.7358931854789836,0.11680576589035005,-0.5472119431407724,0.2910613448637531,0.19211968923906433,0.15704407797580774,0.3228329896466503,0.18211758688296167,-0.6389211105606623,-0.6200353018363434,-0.7925419698273234,-0.07534462533415512,-0.22863765548573706,0.8278109884453241,-0.25567000774287246,0.3787724929178989,0.36046596006694803,0.12037237961305489,-0.5485310800775102,0.4598820470075998,0.11999089532285205,0.8285269008837428,0.6243859997299676,-0.3173366046491459,-0.5258191445925231,0.3902467152119078
