,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9006808251598187,-0.21086040621452642,-0.3079953345289693,-0.005882424339469971,0.1524659199361697,-0.10924096449438764,0.3940018672324636,0.12810616867967797,0.47435513045244637,-0.02268513479555133,-0.061589370555638026,-0.21716034138505022,0.1510546440569944,-0.3262492707830529,0.23718501321158547,-0.2836171038759507,-0.2211710819481033,-0.4147301895759502,0.25099433551286976,-0.13572574096816623,-0.9654725513266852,0.5518399989427771,0.09374991358740513,0.13614671681637877,-0.1474847846426504,0.22254555242962282,0.08599229810978763,-0.12208237709620028,0.3000860388895962,-0.3914664237113446,-0.2161091297484315,0.1571500845360155,-0.23255282465524382,0.24061085453631334,0.06300868045584569,-0.004703417844858336,0.18878505588768213,0.24813874764195237,0.38849412405069805,-0.0006228268286937582,0.0031063572540727547,0.16433878677904648,0.20058756582939077,0.130548282793401,-0.2979210648297955,0.01578340421660639,-0.008553369278164578,-0.0608804292463012,0.049196242785696793,-0.11691321505400838,0.5141372225521712,-0.9215343928870132
PUNCT,-0.9006808251598187,1.0,0.16588115760513153,0.047463478183391805,-0.02796370665353456,-0.17405167640632488,0.06692607549771816,-0.30725641543976273,-0.12954210108535538,-0.5006643850482585,0.10238560858576468,0.08608934814216071,0.11641559801479608,-0.03922293372176044,0.28413585543667536,-0.014228152658746536,0.21648623776983236,0.2631454113123309,0.23560432425130567,-0.20873965880970444,0.26500850452316965,0.9475360127599833,-0.6998039803092887,-0.14593641350799963,-0.15117752215964964,0.14153448909044708,0.01707418044602039,-0.18887535005795186,0.19339030186206088,-0.2748146800329121,0.4143742212501252,0.19882131245101056,-0.1659323583855989,0.36481461368485346,-0.3728060039743754,0.08913638142141343,-0.041706585709947896,-0.21013250575248657,-0.3259033486739562,-0.2899106324379219,-0.1493728591127212,0.1450197593381255,-0.049522711837415946,-0.370548643285996,-0.09568401586617352,0.36828609277223373,-0.04438820846933834,-0.0012886779446584032,0.1089685559766837,-0.04102889385779671,-0.15889305798782774,-0.32562196830453116,0.9878083004889482
AUX,-0.21086040621452642,0.16588115760513153,1.0,0.3141024391765579,0.4250229613912663,-0.4494619404459502,0.19601693408529036,-0.3022060051097903,0.2540486277291948,-0.04428771976548307,-0.2958084937937847,-0.20022411571069704,-0.028010832246095085,0.6631738658414139,0.06795179295045471,0.08056155457190968,-0.189739416411719,0.13781496305092591,-0.2988672579300667,-0.38998268399945446,0.04818286935552665,0.1606244974506951,0.12441609403581223,0.46152971215805355,-0.22969583367998112,-0.08891513996509418,-0.09132681050897466,0.036667582755397964,-0.5962484741833108,0.13542641874536235,-0.048149780541862336,0.10087367196421214,0.07056811243571907,0.326972547402587,0.4306099686303814,-0.08862519955876591,0.08522678977179159,0.12381412189204362,0.20630217549950533,-0.12486615620479523,0.08654417523226411,-0.47250010907459555,0.27908356679876817,0.34637787395909814,-0.10014827518313475,0.3282383355336636,-0.16523943718476652,0.005737166294502768,0.6023739200014326,-0.2237316564888409,0.03267820561521085,-0.11766888617000347,0.16005484004805162
X,-0.3079953345289693,0.047463478183391805,0.3141024391765579,1.0,-0.018708596112962553,-0.08551341157801524,0.1584059084474954,0.010730839466834586,0.11260331817301221,-0.39106259669548044,0.04774721412869833,-0.3314709063169295,0.06612362529300767,0.060820397418114604,-0.06585535235305577,-0.2554910682066043,0.15291048466996554,-0.07692307692307693,0.20782063576549048,-0.11241872725837224,-0.2637011695591979,0.2251636283664063,0.15740225196877713,0.2127971031237407,0.23008416903855855,-0.14372321460559506,-0.15491605098364558,-0.42545795146164567,-0.16497163762534983,0.41315255002582035,-0.10132117279302957,0.24377910185704327,0.23528238088112943,-0.10061916035047075,0.35026436025015767,-0.026316788032398848,0.10215368314300853,0.12487133474345924,0.2467226155560031,-0.5474608487832668,-0.1440553857205552,-0.1629610954759345,0.22009627051120453,0.41782966494905055,-0.027554124512886417,0.20792373617058718,-0.43730449347375344,-0.22809959863298257,-0.1409479556549325,-0.24344750981922975,0.28164400350540814,-0.216954769731726,0.0857735424884975
ADV,-0.005882424339469971,-0.02796370665353456,0.4250229613912663,-0.018708596112962553,1.0,0.02936469457067742,-0.41831362603734934,-0.5479644300674511,-0.21781218169223093,-0.1084092932239538,-0.19286257488569844,-0.26188763274378357,0.6457054453389137,0.253000412762303,-0.1924458679212969,0.32376196292851445,-0.2710351604340724,-0.5688290484235214,-0.40285094981069003,-0.3767525548525291,0.1455569412921905,-0.0670754800613082,0.16028127526898783,-0.1231583445543403,0.10063451920749916,0.09676999656624273,0.0323387513001545,-0.10450962095354024,-0.6164991703957992,0.28799101362225576,0.2668294859670885,-0.3418254301848298,-0.3674963518745148,0.5362634572837239,0.5301656910849086,-0.4153029853583331,-0.2163934050273664,-0.38030627430043357,0.2511858455371246,-0.2746460206785559,-0.3913856389653964,-0.401713902067368,-0.1364207619087263,-0.13936149680499296,0.26203610193779625,0.2824231278334688,0.44098920070622016,0.32331810949865913,-0.12715235009746612,0.2670700167526911,0.5416707224520849,0.28164165160092963,0.008333326602000798
PART,0.1524659199361697,-0.17405167640632488,-0.4494619404459502,-0.08551341157801524,0.02936469457067742,1.0,-0.06362416569397829,-0.2527056285098686,-0.31024715091159377,0.15916203952221344,-0.03621407372498278,-0.1882884418793163,0.44289075235684994,-0.2884200934228316,0.004739620794924067,-0.1787944441517598,0.1624425643454395,-0.33511288959529434,0.007075276814149413,0.30593998495523633,-0.011081192694805663,-0.03059605654061546,-0.16858341320075396,-0.40165344610060855,-0.041757665941041085,0.3319088005054574,-0.14274255900057206,0.09564682180575028,-0.1748810312041881,0.1462540960562429,0.01678502306591384,0.2225707781751866,-0.43871762394952823,0.3834246937890889,-0.24106705308659382,0.09431199130038294,-0.46524356581103626,-0.004614891091648512,0.05378219479117559,0.16125498499475405,-0.2909947337265814,-0.05774396861690415,-0.3295563736169441,-0.568259547338902,0.35951215123837865,0.2450287175851015,0.23272027747724822,0.30857455462605177,-0.36866554192708834,0.2145458585049203,0.360175218859381,0.4970787575983077,-0.18795149605193134
CCONJ,-0.10924096449438764,0.06692607549771816,0.19601693408529036,0.1584059084474954,-0.41831362603734934,-0.06362416569397829,1.0,-0.14332416147567564,0.6054171162639004,0.06982674413709586,-0.3747131795082294,-0.3318887779513572,-0.4242517597898509,0.1995118497439897,0.3431637485338381,-0.15810071477190418,0.390411086433862,0.42652436321561754,-0.15157652721466294,-0.37564708411259184,-0.5325577879593607,0.170755524523883,0.273992200168924,0.7845422432904905,-0.08801897511786214,-0.48797135628953225,-0.14506986393404783,0.2551916539901862,-0.1374800923556345,-0.3666821076788804,-0.15410497758076006,0.827284712413528,0.5570482026304477,-0.12292165286222743,0.009338983423187914,-0.1710396420557238,-0.367059245688064,0.1677660428561187,-0.13932643403796463,0.38552411172172596,0.47232713329358944,-0.44821266262604165,0.023272187005968604,0.10861246545580776,-0.053911013718492884,0.010550262255742902,-0.613196962109779,-0.5615589446369548,0.5857023011423921,-0.11563723363794746,-0.3756978750166849,-0.2660000106900992,0.09693260060396564
NOUN,0.3940018672324636,-0.30725641543976273,-0.3022060051097903,0.010730839466834586,-0.5479644300674511,-0.2527056285098686,-0.14332416147567564,1.0,0.07225590659375172,-0.0032874575550282514,0.3429577347744104,0.45383519498185343,-0.6691469132279599,0.012134334667280967,-0.24144214499194672,-0.22514321048664804,0.03404584957081422,0.23614680720391482,0.344303286764803,0.5127334118795336,-0.049638021100392136,-0.41476775795814175,0.06419299518698608,-0.05264511542497381,-0.22542007691013574,-0.3112460069872,0.3213610516256042,-0.2901392310508485,0.598360989341665,0.31976606839378124,0.03156541416176164,-0.275167339617707,0.19155996996624472,-0.3423935656961425,-0.2077657477806822,0.4529960223122826,0.6223805791352627,0.28221340360718716,-0.10216268237578138,0.22095050619736734,0.04521841412728604,0.4357301304782372,0.5830704758473406,0.4026898133280299,0.0928406916131638,-0.3347236157032148,-0.07094717533769176,-0.08488882235239022,-0.15375627033952047,-0.5203946365072043,-0.27518126084623723,-0.023317088375916287,-0.32460455628403106
SCONJ,0.12810616867967797,-0.12954210108535538,0.2540486277291948,0.11260331817301221,-0.21781218169223093,-0.31024715091159377,0.6054171162639004,0.07225590659375172,1.0,0.30155984722303114,-0.7128247149224216,-0.3323628173894424,-0.4628175365257769,0.39705428256570596,-0.09430651822554319,-0.006254928464697937,0.03394528374605035,0.562038760807222,-0.11720744651391538,-0.40761546964679524,-0.37989210706552373,-0.09693598380209506,0.4877368437769558,0.8071201548697154,0.10502263820635432,-0.3327386186449471,0.074360140169506,0.2960093416923834,-0.31570731282219083,-0.3555239428163664,-0.25355082401060053,0.5078471987773554,0.541480146492132,-0.19337103110108525,0.010328639556414882,0.23604785131928627,-0.3146166376156742,0.3067261502581264,-0.20107341256220146,0.15594152325777536,0.506705262978634,-0.5512329440495071,0.22795499032611172,0.5983192972913681,-0.14493328888166346,-0.4632735400364627,-0.3895022722623771,-0.41849261837973556,0.19631388049733753,-0.4107524226944727,-0.34343519639961256,0.10830131841766107,-0.14777279331872015
VERB,0.47435513045244637,-0.5006643850482585,-0.04428771976548307,-0.39106259669548044,-0.1084092932239538,0.15916203952221344,0.06982674413709586,-0.0032874575550282514,0.30155984722303114,1.0,-0.5017500220439378,0.059756749350651325,-0.11176531992147055,0.18202836651537546,-0.3670148767559727,0.01868966731005737,-0.041024865933005854,0.38504153651837,0.0604338385020737,-0.13147178338244161,0.032876215334331285,-0.4272549333595851,0.2561577107612034,0.26151154349124056,-0.1597161717799084,0.13311632608777296,0.09179685678602066,0.590337189889948,-0.39157894425504663,-0.2292387619431749,-0.4156311388717009,-0.13081441545415612,0.020231787623244808,-0.08382751766211732,-0.3355424807289527,0.24531739017714185,-0.13541191547137094,0.08462175574207793,-0.006455715972919317,0.25700065315195014,0.5409698140390805,-0.34484847687656206,-0.10545585205446562,0.21778902202054168,-0.47140238822237956,-0.4505216559355092,0.1537882884393273,0.46328766415687245,0.19355422785720677,0.03930067789711317,-0.050063853700727697,0.26679885057036,-0.5121705421172098
