,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9132406942690856,0.11339618535957252,-0.5383265368226234,0.1353422774873174,-0.09361189768375358,0.16130067274370913,0.3850382014088049,-0.3591871667270851,0.10921110962018538,0.44443050188365285,0.3129304595416082,0.4267128805525502,0.13010036564385336,-0.2524086263819464,-0.29172016647081767,-0.5633823389487972,0.11020575295094986,0.15391501764462434,0.36419208888036386,-0.9640619804785221,-0.15593869772943822,0.0247349305110081,-0.6177921507198026,0.38694523127480324,-0.3175142118287316,0.48655325878086486,-0.30252886016472547,0.6063330206087597,-0.41811326842817953,-0.13457931690520455,-0.14725573613557363,0.5674475554528202,-0.010642280658474557,0.22251508849069593,0.18436207101253987,0.3755077087445604,0.8822475751439477,0.057870186206273884,-0.5633823389487972,0.36673980994159006,-0.5152260954513442,0.14598910589933056,-0.3660396566875536,-0.055878557905831815,0.5531831216406873,0.25472498130363647,0.05982168308839918,0.22066018319677583,-0.15694364878570063,-0.30386833500457794,-0.8936533613689818
PUNCT,-0.9132406942690856,1.0,0.02385699604505413,0.6721874380619524,0.10752091625922656,-0.23959710317686148,-0.18828249854835358,-0.3367903712465584,0.3967098924996582,-0.01646868749216539,-0.533198381858228,-0.07211717549975505,-0.275293312309356,-0.32924923784076887,0.48496516104976733,0.46222722042723,0.43020021674837083,-0.19834553803414823,-0.26517475412036656,-0.3724828758014444,0.9691795933810711,0.3320135569986637,-0.08363847850107545,0.4212915694747865,-0.3915332121500067,0.2621484405245542,-0.46871249655375646,0.3041046943923091,-0.5587900630667523,0.6816633019492461,-0.2335308800284298,0.2996027861441589,-0.4532698747730112,-0.020645564747287105,-0.2848567195471788,-0.2014700669883965,-0.3847509808690216,-0.7972566470775341,-0.30423568245384885,0.43020021674837083,-0.29972001341431614,0.5109301865872198,0.1599069583027646,0.6921133587396313,-0.056102546153127646,-0.4642160256383225,-0.05291266349481649,0.10404810273066305,-0.19143420216310547,0.23227485668122333,0.4734413580170663,0.9652065842164516
AUX,0.11339618535957252,0.02385699604505413,1.0,-0.33489228510520674,0.06075884489341851,-0.0986813845420227,-0.042592346871089024,-0.3622982725275784,-0.48233055219169163,0.8407417495073424,0.4618406230307767,0.1914207188170104,0.4840070835472088,-0.24518917743424581,0.23831977213410305,-0.31099666251692104,0.003484134954472749,0.10284198402339792,-0.05628745879569608,-0.14873881122307006,-0.05679450189283479,-0.16847207810685644,-0.16841792060555563,-0.23562332897541974,-0.28462493779578113,0.31803697575924167,-0.4315699477556094,0.014130016348466059,0.47217215883776076,0.3338320337940592,-0.3238740415207797,0.4831306783803956,0.24328462402840478,-0.49585976190011655,0.1636305269223369,0.6980302205923357,-0.15149868044523274,0.12292160236907122,0.14733191386683017,0.003484134954472749,0.5328476450244627,-0.1460878508593936,0.2828232891333996,0.3966107026377333,0.735856260149769,-0.2716532000066571,-0.14775985905844086,0.6704960125692129,-0.5765156377405039,-0.3606232999064706,0.6672003425850137,0.08519974469667904
ADV,-0.5383265368226234,0.6721874380619524,-0.33489228510520674,1.0,0.6398366178579529,-0.3695023082308034,-0.05653884580641625,-0.18890462056756901,0.26221260619547276,-0.5111077430394398,-0.8088001078372977,-0.1021753445188168,-0.2068258731337201,-0.18289466826905565,0.4366940919393445,0.3357315708192512,0.24256555439489944,-0.5845810744135741,0.0912182397872927,-0.30189353286741843,0.6061592163381897,0.08194474855460376,-0.29756682982292754,0.5250582246602465,0.07064006816301396,-0.38762988691568995,-0.27402666584337815,0.3979858072249888,-0.7722340538247303,0.5649911838394818,-0.29995386783529054,0.3306717957251012,0.04660795816531838,-0.08745205659920037,0.04218642038524833,-0.7521902422168437,-0.16696058416028708,-0.4113447654023141,-0.49998122052806204,0.24256555439489944,-0.31326656376813317,0.3672465806397983,0.014208127852662258,0.6162771835771808,-0.3924662950631543,-0.18844077799446288,0.6226397724938733,0.05689102311795831,0.2945522864847984,0.7961206303741313,0.32848517458356014,0.6110246826276606
PART,0.1353422774873174,0.10752091625922656,0.06075884489341851,0.6398366178579529,1.0,-0.4637556136914635,0.2195064030307673,-0.3429337446706499,-0.331915265697027,-0.13682305254884705,-0.4330449768962956,-0.031099868327941756,0.4212354483799307,-0.1429727497622906,0.38301935335299697,-0.12717590426330622,0.08159257063947761,-0.711247582484207,0.3533761492723008,-0.33299243792409894,0.026441337909907308,-0.16548594918703785,-0.4693746869192034,0.2706049355845539,0.057501908316043945,-0.6862064032525931,-0.11224903991711851,0.4412508393603404,-0.19537556535194403,0.5439223258070279,-0.5357518532424713,0.6747678891421239,0.5918093750526491,-0.49289050612684526,0.37215722269449436,-0.41940663283683716,0.01188747962634216,0.302250653705067,-0.476381537150176,0.08159257063947761,0.042833760950943336,-0.1673766112777704,-0.024160597553316055,0.5065893110742412,-0.20029445845331972,0.03234087230558491,0.8315233878676535,0.5205701793651638,0.1856649411465829,0.7665414269937803,0.3446712760120885,0.08717695970889537
CCONJ,-0.09361189768375358,-0.23959710317686148,-0.0986813845420227,-0.3695023082308034,-0.4637556136914635,1.0,-0.027163644080197075,-0.07925229746666783,-0.44028976788134444,-0.16961939068989884,0.20071331835094675,-0.5310253483022616,-0.1229598910419617,0.5153437998489072,-0.7431393515725194,-0.4054418776385847,0.5926365474040978,0.2635335045751827,-0.07322083472718902,-0.14049931685875822,-0.08824543684927717,-0.5858958097524006,0.3862428117730949,0.36713553364355195,0.26489847706347397,0.07783500526303815,-0.42838985299929316,-0.22371806991411988,0.11273368270016221,-0.3621235491003603,0.9519844681623011,-0.2658706357464116,-0.03189967908474213,0.057258615509632,-0.12486584767268802,0.3241924317312695,0.05616093111422673,-0.03169785921893622,0.893662275918115,0.5926365474040978,-0.2837633981014669,-0.38959298366077244,-0.731448040724816,-0.7037787916669832,0.5361794413641885,-0.5024970588643499,-0.3885148503379946,0.07224137212899692,-0.42105819573541287,-0.05103203832089073,-0.06984681304438653,-0.10702775864261016
NOUN,0.16130067274370913,-0.18828249854835358,-0.042592346871089024,-0.05653884580641625,0.2195064030307673,-0.027163644080197075,1.0,-0.006994825054217503,-0.020611518873299848,-0.054700753900744525,-0.12640461028841626,-0.6974607845138522,-0.19481394212043027,-0.28840666395730724,0.004899237084134199,-0.6353938935043372,0.09296490455208872,-0.03731851772832748,0.2571939640360426,-0.7132179108734681,-0.15627237701282093,0.1618153470236734,0.24360666587516644,0.22798288667698527,-0.373568457030093,-0.6568456276009724,0.19225711808868196,0.22158384932830788,0.40484695090914413,0.20547517293374962,-0.15496211566785362,-0.012576593854480324,0.5079552343728135,-0.4533649630135426,0.32157547981771284,-0.06202236215482333,-0.01646451587556587,0.07264332369562632,0.136286624396229,0.09296490455208872,-0.27755466843265164,-0.5648672847021599,-0.1419917151552364,-0.17633234317279903,-0.15863051016457608,0.4055889491626902,0.08501844633716539,0.12535045785897034,-0.29976524915347236,0.15955968813830532,0.0026961948165261608,-0.059396519835748805
SCONJ,0.3850382014088049,-0.3367903712465584,-0.3622982725275784,-0.18890462056756901,-0.3429337446706499,-0.07925229746666783,-0.006994825054217503,1.0,0.5227503277427595,-0.4366103956944339,-0.10479129957917548,0.29805487652537105,-0.46451930593657775,-0.0827028429410857,-0.19004987937117904,0.34339837496323256,-0.5443795959436533,0.452098927020122,-0.44893246998245545,0.3229470123301741,-0.4523388041238095,0.4194917837894317,0.6204571664317815,-0.6392762811145506,0.5728120556554587,-0.09397463968598066,0.35975602230477877,-0.677492936834383,0.1659013507077551,-0.2767665800055112,0.003938859713692434,-0.8286118165054985,0.10210807433421171,0.599436267079854,-0.36839074861890664,-0.1670586017703539,0.27688302261646197,0.09901614034925763,0.11077210238167602,-0.5443795959436533,-0.2403501586518421,-0.10601053406547582,0.5163502371877445,-0.18608419043194377,-0.43646396429920414,0.48747562502560626,0.08638061490013649,-0.49335044116633076,0.23938505488162837,-0.17806235144537227,-0.24073589807609058,-0.30777586934787193
VERB,-0.3591871667270851,0.3967098924996582,-0.48233055219169163,0.26221260619547276,-0.331915265697027,-0.44028976788134444,-0.020611518873299848,0.5227503277427595,1.0,-0.3209473865831478,-0.34586650310087763,0.18741461467066567,-0.7128492641522671,-0.3651928993289929,0.30812244279366635,0.6160554792719801,-0.3931614909758991,0.23856481971255183,-0.2800545051692021,0.16844602936162265,0.33932157077751934,0.7662020998417979,0.2210339415809205,-0.19681084778978453,-0.1335365519301783,0.19231420884215011,0.4134762724595635,-0.10448707959542997,-0.3577833279953447,-0.011579323121341873,-0.2576793153128405,-0.5454099803271636,-0.488690753331638,0.5263927985723397,-0.3137853017437946,-0.4546325857720944,-0.10551983939905736,-0.5655100420160132,-0.4185582863037305,-0.3931614909758991,-0.26067071961373894,0.566816983402606,0.5354603906630703,0.21000926996962443,-0.6643240224408472,0.41209165582173624,-0.14308660036885987,-0.7424233167965294,0.3715243960611506,-0.16555608051726045,-0.2660805682048707,0.3106775039036348
ADP,0.10921110962018538,-0.01646868749216539,0.8407417495073424,-0.5111077430394398,-0.13682305254884705,-0.16961939068989884,-0.054700753900744525,-0.4366103956944339,-0.3209473865831478,1.0,0.7192760381872656,0.2820963024156883,0.461091839592502,-0.3342079317731751,0.12984026904085175,-0.16627698067015828,-0.054209312876992315,0.289463469736321,-0.0744233663507114,0.039701502927147685,-0.018329838456549535,-0.04046180746552651,-0.3026225473857301,-0.2826186410150853,-0.5965582963042583,0.5411428176794641,-0.0912593975756047,0.22063594699420566,0.4790502556254463,0.11970127708840274,-0.32586890193448187,0.390473752721763,-0.07182161232225888,-0.26251692896396744,0.025021218872048844,0.7170992228302313,-0.3365104639962628,0.07483548306857178,0.004143746094698511,-0.054209312876992315,0.663823941728918,-0.02237315638851575,0.25389832583608773,0.21664955146021364,0.5853297717304945,-0.02910620894697295,-0.49189262077326246,0.3950229714336464,-0.3954954721659935,-0.5656516621464451,0.2690584078401116,0.002082350469364875
