,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.980794347217251,0.9002424416522148,0.46277311491567663,-0.9168177195215454,0.7680411358626317,-0.7263078125619081,0.5532414347721855,0.2027820135408247,0.8620895006904526,-0.8166671332633039,-0.17738499485232728,-0.8879483400606972,0.397218032794456,-0.20673899612722468,0.7637357706307203,0.12733112524741028,0.24750176514008104,0.21876308412129486,-0.9915323619629005,-0.11701580100519744,0.5242554892033252,0.665362699184864,-0.6154469443776932,-0.3650844345146088,0.4639513923792301,-0.7095513949612479,0.30559470059378463,0.6575877436748762,-0.6779131761234946,0.42594590123295434,0.051312797333969616,0.12198290082258287,-0.8964111217417682,0.49552761191877137,-0.7443283435626827,0.7717683863306725,0.883385397662583,0.445233490080896,0.5148738157893555,-0.7934408043161283,-0.4788558692749326,0.2967562386130463,0.2228278553978594,0.12733112524741028,-0.10615556465476875,-0.391555888111122,0.570443441108398,-0.9849238087738311
PUNCT,-0.980794347217251,1.0,-0.8797647674278289,-0.5263149712961511,0.9729216400493766,-0.8262647420260072,0.6042773794238058,-0.6903395781269897,-0.27112108120807193,-0.7911170295054921,0.8929630228483355,0.32568325959891453,0.9118200576818091,-0.514249924012312,0.07833096074574163,-0.686296237987049,-0.20507930981905956,-0.3213659934135133,-0.2553734555793646,0.9907643344462247,0.001116270679229244,-0.6548316360851588,-0.5977964926960598,0.6832871273605802,0.2718553694647412,-0.434355196150671,0.7672866912235499,-0.3505694207497957,-0.7419267818413161,0.7661667591146173,-0.5614940082224836,-0.2240979075790352,-0.09527261455546389,0.9579991574306485,-0.6326065009431269,0.8471559781031414,-0.7890694986324427,-0.8284125678299877,-0.4060816916413189,-0.36872468665772473,0.8679231552988055,0.37152746647668555,-0.2910569799701224,-0.3953434689920553,-0.20507930981905956,0.29458950164205,0.42655880739683466,-0.40894701046254955,0.9983827894059358
AUX,0.9002424416522148,-0.8797647674278289,1.0,0.7274549268406333,-0.7698631081885684,0.8053559933306689,-0.6282534650587339,0.4825166093110254,-0.206653734429465,0.853722690073249,-0.5950770163434618,-0.4092602178862372,-0.7489818445980165,0.5834594871991249,0.008190819859803604,0.452675813874032,0.41808247620289185,0.4318746771739645,-0.2112967608268417,-0.8581026272066756,-0.1552433384894957,0.5244783946294699,0.553728582399432,-0.3151627052600247,-0.6606206115037673,0.6307195420546402,-0.7892195286347157,0.33455461879174864,0.8301273994528775,-0.3753958337110604,0.29806295760155177,-0.11553682469415064,0.39677295047157957,-0.7410656294631812,0.6229112385230329,-0.786492251357489,0.9507730946146843,0.7901326384495513,0.6136451773189776,0.5050455059045621,-0.6396406859288486,-0.27899097258256184,-0.12487430724674614,0.0871680718284813,0.41808247620289185,-0.1608282500994168,-0.038596805340329075,0.4492060438403053,-0.885659535360619
ADV,0.46277311491567663,-0.5263149712961511,0.7274549268406333,1.0,-0.46101786833413844,0.8462410597982427,-0.2089498876323647,0.41320033552684765,-0.3364744683257864,0.5507048625592923,-0.2853608293762129,-0.8057634383053588,-0.27496653851997893,0.6892049529601796,0.28756702381799615,-0.13648963652245974,0.9205584821394982,0.8748049907822564,-0.569543558355688,-0.4549855368027971,-0.17903945142669725,0.47136083751884184,-0.1135355296749987,0.09335614724186152,-0.4326619877692323,0.780292334196343,-0.8916320003419602,0.03518063652003857,0.9031737464048049,-0.1251382346002701,0.518273179609973,0.005886140160225048,0.7389641379683911,-0.5069827818397329,0.8336978473971804,-0.7906853720952954,0.9041821229784306,0.4683954346611652,0.24721244137276918,-0.13928928011007494,-0.29972215940981384,0.4453156957696386,-0.410624984481015,0.1793418827753414,0.9205584821394982,-0.5427742171585153,0.44200593204322036,-0.07671006458387329,-0.5369206761389366
PART,-0.9168177195215454,0.9729216400493766,-0.7698631081885684,-0.46101786833413844,1.0,-0.7872300815756883,0.44101189577106853,-0.8155677206178442,-0.41250471994770344,-0.6420637912028987,0.9697030340319827,0.3890087853627879,0.9298600622874666,-0.5670225410662566,-0.03343836577214333,-0.6354759823030365,-0.15732121258023932,-0.2783357484427353,-0.3977921217371782,0.9500902743669873,-0.17250224239695497,-0.7626999262600302,-0.5587276763140864,0.8043868319874125,0.10380940703138827,-0.2852028299947381,0.7183844930011587,-0.4175995179115353,-0.7262671760003268,0.8771608525721457,-0.6575931934328183,-0.44042725516226067,0.05475751665761971,0.9825693520055914,-0.6875324304947935,0.8743328128690517,-0.6929579615455733,-0.7122828383168679,-0.33939462890408345,-0.23038566666021265,0.9413392816230822,0.3285882419531051,-0.35478548027746,-0.5896246600989363,-0.15732121258023932,0.44612097774232334,0.5553188658302062,-0.23795236300569067,0.9623014541093605
CCONJ,0.7680411358626317,-0.8262647420260072,0.8053559933306689,0.8462410597982427,-0.7872300815756883,1.0,-0.5041966295063239,0.5535475550430711,0.1459753793441648,0.7750974882979018,-0.6605464697805015,-0.5880902910103561,-0.5568118091175791,0.5300317661026279,-0.04280314494021791,0.3545232225057286,0.6921770998408681,0.7984958745121907,-0.10137863859466699,-0.7969660861245625,-0.2493226325404969,0.524628237395668,0.07388321841182727,-0.29686356847501855,-0.1720754295582225,0.7736128136149426,-0.9938489272207668,-0.02552956157207755,0.8497430554774309,-0.5683201667971892,0.7752913000727566,0.14786465565804358,0.5515011077934633,-0.8552799297710393,0.7928812531912107,-0.8917018538930981,0.8862818565176943,0.7878369921446794,0.09185957240279427,-0.06353557199556345,-0.5770693164842574,0.19428042681096874,0.11863136092479529,0.32523683986261437,0.6921770998408681,-0.49201127075513557,0.05185688318180846,0.19664961187396135,-0.8410315968995302
NOUN,-0.7263078125619081,0.6042773794238058,-0.6282534650587339,-0.2089498876323647,0.44101189577106853,-0.5041966295063239,1.0,0.15558993939391091,-0.09792259536547593,-0.9222184264244545,0.30250756959910585,-0.35515855335463226,0.3797880602353575,0.2574717777652337,0.7698655470178789,-0.8138086436225127,-0.02866067992600365,-0.20743916402081827,-0.03469229422799411,0.6935556094150137,0.7190957632629573,0.20135592222390172,-0.3759972569443572,0.09896984278259918,0.31585232795419405,-0.6494802513447652,0.4766464537785314,0.2947019785661624,-0.1592979333832267,0.24335554315375355,-0.11271933217236492,0.5485971470967389,-0.39892582704947316,0.48626260318627007,0.08109293709052642,0.19860476316301992,-0.4833611794952904,-0.9209282858194088,-0.07776528903421637,-0.5593482897138311,0.18710570775240837,0.4095142638595919,-0.4134685053645217,0.4333134206353331,-0.02866067992600365,-0.48471267697584103,0.005476670158808769,-0.943116416134028,0.642432286434939
SCONJ,0.5532414347721855,-0.6903395781269897,0.4825166093110254,0.41320033552684765,-0.8155677206178442,0.5535475550430711,0.15558993939391091,1.0,0.32454466184935277,0.12978468052810094,-0.8577637582539256,-0.68717546683577,-0.7878542290484926,0.8290378704854764,0.564250095077846,0.1507889885763824,0.18470108874740457,0.1860274546340613,0.3578642327818845,-0.6033084072805183,0.6542692805447823,0.9835851666561498,0.3927162574178449,-0.7964792509239126,0.02101808490112915,-0.08141998351552088,-0.49953138097891664,0.6789106207973019,0.7342682915730494,-0.7744665686113433,0.6226087912163903,0.8091787719153778,-0.2868604862303893,-0.7610022263813442,0.8314523812061282,-0.8524427435127828,0.49397766094085144,0.19363298725979042,0.37965374076537756,-0.07416652185386727,-0.9159093877783233,-0.10079750132177465,0.061025272656217815,0.9078798102101064,0.18470108874740457,-0.8020452146590642,-0.5737806851556194,-0.3433468063679516,-0.6537511345893622
VERB,0.2027820135408247,-0.27112108120807193,-0.206653734429465,-0.3364744683257864,-0.41250471994770344,0.1459753793441648,-0.09792259536547593,0.32454466184935277,1.0,0.007031566331175576,-0.5794091528700742,0.2095421665740561,-0.2679658023242519,-0.24111122006774802,-0.3432759852096942,0.5415620895505843,-0.330752142780559,-0.08048786656807462,0.896858833995905,-0.31291917963950644,0.1021160167735515,0.15117660958082302,-0.014793389453264798,-0.657584686430522,0.819601576692792,-0.21534767975085312,-0.06657898479350714,-0.1647161075358227,-0.17977412242836455,-0.7865464794506608,0.6145783386977142,0.5740527767215844,-0.4402061299981553,-0.4774552376411959,0.001525589184815336,-0.12528922356751265,-0.2729998766147867,0.21530126359581941,-0.5518613233141056,-0.32101022607863233,-0.3881556300797202,-0.10248430774342575,0.9216570544230237,0.5207145437553283,-0.330752142780559,-0.21566026251429288,-0.6724793448869767,0.032469418435979634,-0.2681871420189683
ADP,0.8620895006904526,-0.7911170295054921,0.853722690073249,0.5507048625592923,-0.6420637912028987,0.7750974882979018,-0.9222184264244545,0.12978468052810094,0.007031566331175576,1.0,-0.46921112398166953,-0.03233339794638417,-0.5355308905028461,0.11073811364971967,-0.4998280256237867,0.6913249347934941,0.32975652482114026,0.4669903969161836,-0.10623562920408094,-0.8346852769053709,-0.5892048815097168,0.10935017041542708,0.36788265168370765,-0.16710317148583256,-0.43217322731341395,0.7958190803101999,-0.7575877938879647,-0.13568669809644884,0.5254688967464143,-0.3494926919914973,0.3263210109894591,-0.3770977191778367,0.5355016070330024,-0.6841120103699002,0.3003415819842273,-0.5363662638714695,0.7790633006108569,0.9780352757558959,0.2224955824868918,0.4593701981021279,-0.3870824208403235,-0.25138454916736386,0.22731888643962334,-0.20684353262406688,0.32975652482114026,0.1552239764306101,0.052297265211612015,0.7621138497922648,-0.8222941266532743
