,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.8520072251102159,-0.20321858050908856,0.039906706032526856,0.4266504067596536,0.7152260816200945,0.06061486657200049,0.03715837537616621,-0.6411138427821789,-0.03598512439126561,-0.20943134177727527,-0.13919774565258936,-0.6690879798026812,0.5642907481546804,0.6434754916157445,-0.174282976228973,-0.5046924399853225,-0.466345126561639,-0.27702371457779357,-0.9980454349944582,-0.5931331873119495,0.146512855073737,0.39885588350151313,-0.3230031615906064,0.03332421079067054,-0.07585177724227606,-0.058573831613759904,0.31189384865693137,0.5136537986635835,0.5766221073244165,0.3971964941944279,0.3319312684783811,0.1909446165776241,0.09033962152765335,0.4885248396631883,-0.279744243315636,0.5067931527888335,0.4437255932350955,-0.1353582769829296,-0.16242637706626953,0.06577577495690695,-0.07219970281007598,-0.4893152307533769,-0.7834157967240274,-0.6635490209559044,0.0513764822917706,-0.04669778418089804,0.08044069789979107,0.24813339994760564,-0.953862559380608
PUNCT,-0.8520072251102159,1.0,0.4028299654703726,0.08541018088550519,-0.6575139175552736,-0.42896304923095574,-0.3137244016100786,-0.049771363425554924,0.5002813723862429,-0.045725195568259984,0.3819339922154382,-0.05691280500541779,0.8885457731048144,-0.3084746777722997,-0.5471297779707547,-0.025162549114267824,0.7108327429261643,0.6326221053060492,0.36882178161373874,0.8543628730537376,0.5470587527169759,-0.18430509422919977,-0.44895730806721246,0.22775054252189803,0.015340034552825246,0.43368350556490776,-0.0008442032364178388,-0.5204212880687874,-0.48404160042604333,-0.321484836892884,-0.5981037327053764,-0.5126911749052051,-0.23565841755464523,0.002087920844054948,-0.607233815325875,0.4433919376494804,-0.4300614579648628,-0.5188356353758561,0.1850787366205182,0.2517106876872745,-0.133170393882309,0.3771247058237127,0.5986855030484793,0.8535039084395983,0.6591641474328037,-0.040699949170615174,-0.14056818339878951,-0.05667596327821085,-0.01177672197641207,0.9141216019193639
AUX,-0.20321858050908856,0.4028299654703726,1.0,0.42177250884684947,-0.4399643601023593,-0.09547483886825149,-0.32777676266127204,-0.26512542929474847,-0.15372802176367326,-0.46433823645307293,0.3877014632039854,0.3799554945466628,0.3441907582962167,0.07064909317041547,0.4147618164048016,-0.08797587472609188,0.3167299604311695,-0.0299176143866987,0.47723269441191124,0.20033638310112437,-0.18120663865116585,-0.4051648609090469,-0.5315293184115213,-0.22002096145050862,0.4570075819525529,0.01982254620161778,-0.34742747301392596,-0.23818891393521188,-0.04183253972158563,-0.05557417971964594,-0.06398265444521331,-0.2637533476301175,0.30701939263749695,0.3941051455077738,-0.32694795506343943,0.265704144809875,-0.09040444921115624,0.21921032131763882,-0.3279194420566357,-0.13746472784943953,0.5729432381820532,-0.013756355358792417,0.7634406920348912,0.23529299423480557,0.5303380969947963,-0.3265742770599358,0.3061246808544228,0.06977253184213594,0.20696064312950255,0.3362445575146
ADV,0.039906706032526856,0.08541018088550519,0.42177250884684947,1.0,-0.4583689298922625,-0.14550260528831196,-0.382240711665393,0.2237286376098817,-0.4201016559341444,-0.38502200079211235,0.2627492582802079,0.21656328914321477,0.14549041944483107,0.2885602875808556,0.07836897952144001,0.48232942927554734,0.09871246076582817,0.3503665884793275,0.182038351757821,-0.023661071815554352,0.04917608114928158,0.21812765957839025,0.02309719117153187,0.5129003363641274,-0.20149410643454999,-0.03465382101864069,-0.46126706067581424,-0.20174991774705953,0.3405013860112218,-0.1094089108811829,-0.5368756721354189,-0.1259097731374865,0.12373025051383317,0.04847957283458611,-0.3890543632770827,-0.16249378741475837,0.0705779553899899,0.2602293821041845,-0.5226294392331756,0.3112433819323206,-0.0009160911247396098,-0.3489657585200961,0.6249416059183517,-0.07446033738383977,-0.2769500244713783,-0.6563605535103946,0.6483112521346116,0.8326887066766379,0.27277705014027637,0.04369714115050309
PART,0.4266504067596536,-0.6575139175552736,-0.4399643601023593,-0.4583689298922625,1.0,0.3362033172246864,0.2873338184096335,-0.534993975062547,0.19332419308870577,0.4153141212831693,-0.34319500886058396,-0.05084423144503822,-0.41692623528752354,0.15524492932512104,0.1295643645879346,-0.06324139540646377,-0.40948235507021535,-0.4276824802361059,-0.373712784574311,-0.4201685784413745,-0.40707241133069005,-0.3760794688255121,0.21386556631149087,-0.23192922481486855,-0.01976488032210667,-0.324170721784009,0.2524900953587644,0.20389057254965012,0.16765951321596792,0.37018226886963,0.7249449698163554,0.15776792227996372,0.03323083594175212,-0.001993799504660612,0.7341791366953919,-0.061381538861219304,0.4432196731356437,0.5842983176191353,0.06238959788597135,-0.19862181490903116,0.15155061653336363,-0.060810194927707145,-0.6361581172596451,-0.5974399401342576,-0.14352927729123272,0.6064450434806214,0.10111019284937,-0.08834672400989424,-0.5237409818797016,-0.4950045313106664
CCONJ,0.7152260816200945,-0.42896304923095574,-0.09547483886825149,-0.14550260528831196,0.3362033172246864,1.0,-0.05722149118101496,-0.3169471735320932,-0.42549515129956567,-0.04223263660562987,-0.38134931355704105,-0.21573649265987396,-0.24226055556472473,0.26611821234423105,0.41132871174723756,-0.3910674858956557,-0.3154782589724678,-0.27552885456765114,-0.12363716685743521,-0.7113447169055461,-0.5558407951038609,-0.22770061187435342,0.3668985423908305,-0.37457554034721136,0.23793696363970032,0.0652281306549083,-0.3189118056269708,0.20196316530378605,0.07016766501245349,0.9669637977412929,0.28561079471637413,0.3454462007922752,-0.04828043018831431,-0.3153265323992061,0.18853305090710404,0.2267737438708415,0.7306641544115601,0.06585987878891413,-0.11312503032776014,0.10597050218890133,0.07390860643631238,0.2702035175191275,-0.43532334145343604,-0.2880156414983598,-0.12296402802640935,0.25068675710186766,-0.2788359470713235,-0.08945596046265723,0.21233720249624752,-0.6127995277506636
NOUN,0.06061486657200049,-0.3137244016100786,-0.32777676266127204,-0.382240711665393,0.2873338184096335,-0.05722149118101496,1.0,0.022728665097866033,-0.27058411043031916,-0.29263991251479665,-0.3825890112454705,-0.36649434465760256,-0.45841573580560757,-0.2104452600394891,-0.18752974547625648,-0.5475490760816073,-0.42275834053486744,-0.05649195494657499,0.336399582273369,-0.09174959931055394,-0.5633159324134881,-0.05551883715716652,0.08924276607562719,-0.23236124041621728,0.21392369277699289,-0.48471176215385325,0.2626660477306949,0.8507961391252246,0.4745368572430748,-0.09671866150510211,0.2367857961515688,0.15095507689896445,-0.17742700652207233,-0.0055713389751611605,0.5649496972149626,-0.36653967172457413,-0.001709419716827178,-0.039050242710825016,-0.19357367670176673,-0.7478826330029651,-0.14808332014047304,-0.623258024917027,-0.22012090060827705,-0.06347352223832081,-0.07756761028291598,0.14807251821618309,0.1216104848628722,-0.06598416056222212,-0.42373350930633147,-0.23140141881316215
SCONJ,0.03715837537616621,-0.049771363425554924,-0.26512542929474847,0.2237286376098817,-0.534993975062547,-0.3169471735320932,0.022728665097866033,1.0,-0.3570764404447189,-0.31164497199434904,0.2715924563208517,0.09088514453369158,-0.20729608798232532,-0.19252878405400692,-0.04353363768296287,0.2999254837577569,0.10442084701274024,0.07329117125415907,0.09387812201469375,-0.029171013098003684,0.36436016567135276,0.9694290040160953,-0.01454762349480799,0.09130579731101045,-0.5036798720084702,0.2402778925125096,-0.06956875711463625,0.1543441802492232,0.0641699301509424,-0.4900835097894189,-0.5095756102608232,0.23903915072325863,-0.24292412309041977,-0.042391865137621616,-0.3678717015455255,-0.20622258678090635,-0.23904268143234364,-0.41137542574162167,-0.10322520291122467,0.043051069914334196,-0.5298700858718303,-0.11490113857993153,0.1062437816087968,0.1264369976104053,-0.5162660804326304,-0.3928119088084931,-0.0775898020276883,-0.001853221398232877,0.6445285230417129,-0.024051999447828924
VERB,-0.6411138427821789,0.5002813723862429,-0.15372802176367326,-0.4201016559341444,0.19332419308870577,-0.42549515129956567,-0.27058411043031916,-0.3570764404447189,1.0,0.6789051271104687,0.185247747282785,-0.006419371277929251,0.5645118968582887,-0.1874505054627476,-0.5276881590491483,0.20079679246967688,0.4399214542576013,0.22681337080729502,-0.28501502221441666,0.6520576339509134,0.6291618546996169,-0.31789803860163346,-0.23758283088505316,0.20189629554695157,-0.18748570234547818,0.2630959778710756,0.4572017098312621,-0.6217084045787242,-0.5567919308444395,-0.2975212567531058,0.044501897063736584,-0.43390741454269766,-0.09313220766100071,0.06330187870016807,-0.038735505727161786,0.29857123828231136,-0.36330817113428204,-0.08591724737166698,0.5959738448522587,0.27043009545170993,-0.037362290149921665,0.5015453025506174,-0.0891635614679201,0.3046800961317167,0.4512897993067168,0.4838446380798287,-0.24091823641395654,-0.2845107890545787,-0.4744357735593796,0.6036003457604141
ADP,-0.03598512439126561,-0.045725195568259984,-0.46433823645307293,-0.38502200079211235,0.4153141212831693,-0.04223263660562987,-0.29263991251479665,-0.31164497199434904,0.6789051271104687,1.0,-0.2337157325246498,-0.2191240818883105,0.03606492489505014,0.3096127679018912,-0.20097427916595564,0.1823245289846012,-0.13852495594847294,-0.039234023090754744,-0.8583795712402508,0.02999005520431421,0.4602170257467551,-0.18184515779557667,0.42830906822817844,0.37187650465806327,-0.04078397002372139,0.058114060911237664,0.5714513222095635,-0.484312332460332,-0.2576231473787117,0.028267658355171393,0.34800123144012746,-0.1862920608226916,0.34315254623281854,-0.012304717276584012,0.28780852157266457,-0.22897869387951558,-0.322266516747818,0.051014152303784796,0.8415340657193953,0.3858701976268251,0.088879090970943,0.4017568825725431,-0.6396920290221796,-0.3314981298236409,-0.12952288213889307,0.27709705731446277,-0.47628549788034913,-0.18113967204302778,-0.47000707676157816,-0.08226362975903416
