,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.999512088894451,-0.9896845965382428,-0.8146319227260092,-0.5857380328672309,0.3445665799520848,0.9595117495637471,-0.10034203714703636,0.9776326073459308,0.4455294925957419,0.9970096637242589,-0.6744762291730989,-0.99923316410789,0.7028123021941844,-0.4188755607739639,0.9929384548701717,0.8887798192585674,-0.5819837576181731,-0.9996114513473083,0.8798571521424348,-0.08971453495178136,-0.9787022535052589,0.621381783694491,-0.21316850797100353,0.9603299987814156,0.47805928931121094,0.059844917818147894,0.3786904252382817,0.931078571370001,-0.9996114513473084,0.8701777420008449,0.472452487020768,-0.9979764142249383,0.8423183478656943,0.10808344722204206,0.7168358609420585,0.10808344722204206,0.48569101924391345,0.7255541438207106,-0.5883672730914686,-0.10487655664248556,-0.3669575743971715,-0.5445010687563245,0.7499321409772693,-0.6202217844670755,-0.5445010687563245,-0.9964401366573695
PUNCT,-0.999512088894451,1.0,0.9936764562793908,0.8323496957054153,0.6107676930240414,-0.3737200722908835,-0.9678413267834068,0.13136978201801117,-0.9705864039048492,-0.4732751981480957,-0.994109516215283,0.6972073525030553,0.9999685957555875,-0.6802500513655494,0.39030904042980985,-0.9961593387019999,-0.9026619477244913,0.607099581420121,0.9999943482963323,-0.8942716142746393,0.12077915293211512,0.984636673362117,-0.5966062495034821,0.18254806549453517,-0.9685716419357772,-0.505260022980983,-0.0909940796300815,-0.40741377284212693,-0.9192294151235144,0.999994348296332,-0.8851435188445989,-0.4446933925944926,0.99947553211893,-0.825072675003478,-0.07697934580981276,-0.7382640029240322,-0.07697934580981276,-0.5127569384991878,-0.746694521888506,0.6133360982473905,0.13588747908213733,0.39583389401595453,0.570433522413346,-0.7289042620016454,0.6444202174513158,0.570433522413346,0.9985871220184328
AUX,-0.9896845965382428,0.9936764562793908,1.0,0.8893183243347323,0.6958109501047138,-0.47550244785521895,-0.989966798251463,0.24184731006270704,-0.9374167819486381,-0.5691927005404284,-0.9756541456496748,0.773289604501772,0.9945350935739908,-0.5936484664767571,0.2844652777886426,-0.9996913195714889,-0.945274239134011,0.6924822090593388,0.9932933449018396,-0.9388653137784071,0.23147477826884386,0.9980163589874032,-0.502723976258215,0.07099904195661363,-0.9903751085488574,-0.5989601011318354,-0.20223421207296588,-0.5073777018474465,-0.8692089539913898,0.9932933449018397,-0.9317928188468486,-0.34131287900807034,0.9967913151390396,-0.7564133435510411,0.035455606748155274,-0.8093306575433141,0.035455606748155274,-0.6059118289840857,-0.8166586241747932,0.6981399191506589,0.24626804213446363,0.4964412637941258,0.6590479441159559,-0.6474254395832465,0.7262035477622825,0.6590479441159559,0.9982390378188535
ADV,-0.8146319227260092,0.8323496957054153,0.8893183243347323,1.0,0.9472335663843428,-0.8251564578562363,-0.9450105799923498,0.6587929788737398,-0.6744297181390125,-0.8821781336572732,-0.7673769322066658,0.9776458547123398,0.8367160598869321,-0.15995107810705222,-0.18541620873959708,-0.8776825502096358,-0.9898524267200352,0.9457411398796685,0.8304815729004057,-0.9923875952369566,0.6507238753157925,0.916342898674987,-0.05177983763324169,-0.3929938892489687,-0.9440517518270508,-0.8988532890125158,-0.6276903793791303,-0.8452767983090687,-0.5468993887381323,0.8304815729004057,-0.9946518923770743,0.1262925600521422,0.8498614768678106,-0.37358251627029215,0.48853246098013164,-0.9883425825690065,0.48853246098013164,-0.9026361658383932,-0.9901803846018342,0.948269628514631,0.6622156560339006,0.8384530233987288,0.930030638848325,-0.2272544521136308,0.9602028156393619,0.930030638848325,0.8606260555450528
PART,-0.5857380328672309,0.6107676930240414,0.6958109501047138,0.9472335663843428,1.0,-0.962692665831654,-0.7903150510253294,0.8651839891847283,-0.40217218200435684,-0.9865780751887206,-0.5213534594718349,0.9934560666814489,0.6170236991177577,0.16490612422097828,-0.49061842474992495,-0.6777519894181124,-0.8920723834669768,0.9999893077806241,0.6081021374345578,-0.9005466042772522,0.8597813250219625,0.7396466511003428,0.2710665765837121,-0.667010544767653,-0.7885228879966278,-0.9919023842105722,-0.8441012097982082,-0.9719505031021559,-0.24968240422491897,0.6081021374345577,-0.9090605303709033,0.4376061463390596,0.6360885676166697,-0.05653409608395634,0.7424437969968593,-0.9849929383491592,0.7424437969968593,-0.9929709012726294,-0.9827427585147296,0.9999947259392673,0.8674609148867213,0.9688990518763145,0.9987504507317656,0.0968942282173448,0.999065510436288,0.9987504507317656,0.6519807837842493
CCONJ,0.3445665799520848,-0.3737200722908835,-0.47550244785521895,-0.8251564578562363,-0.962692665831654,1.0,0.5950354308446724,-0.9685984654060186,0.13941916355345504,0.9939573541501853,0.2709915340656923,-0.925486639702473,-0.3810592124713679,-0.4256464177336601,0.7081062438820144,0.45349931496486884,0.7365106977096402,-0.9639337001162473,-0.37059951976612304,0.7493049215430354,-0.9658889750590135,-0.5299417476055457,-0.5214199847549972,0.843734118180957,0.5926864743474055,0.9892636950634893,0.9576998857348904,0.999330152867253,-0.021659343519856527,-0.37059951976612304,0.7623977835026264,-0.6645922125319718,-0.40356067452838185,-0.2157394409627136,-0.8960205074261717,0.9015418543391245,-0.8960205074261717,0.9879533423174824,0.896024860668647,-0.9618087476589329,-0.9697217996474202,-0.9997129906576312,-0.9750129266596267,-0.36260329278865183,-0.9500973993809396,-0.9750129266596267,-0.42248073731152413
NOUN,0.9595117495637471,-0.9678413267834068,-0.989966798251463,-0.9450105799923498,-0.7903150510253294,0.5950354308446724,1.0,-0.3765263865973598,0.878809444338271,0.6796594628979928,0.9348759898805943,-0.8551228291478302,-0.9698045867968813,0.4739845640755728,-0.1461486358368231,0.9861506361576807,0.9818930932164652,-0.7874732775377571,-0.9669900948176243,0.9780929691149355,-0.36661493151438546,-0.996898628805053,0.37553353714278054,0.07065688946465766,0.9999957381782747,0.706100804839241,0.33858566736298884,0.6240487961393645,0.7906228511881667,-0.9669900948176241,0.9737345809922294,0.20507335855530978,-0.9754800475186908,0.6564005133107629,-0.17631120246106724,0.8842036001005625,-0.17631120246106724,0.7122413737858613,0.8900122247523521,-0.7923008016277804,-0.3807455597135092,-0.6141188524807883,-0.7587075730967687,0.533240760377402,-0.816058407433832,-0.7587075730967687,-0.9798416244875492
SCONJ,-0.10034203714703636,0.13136978201801117,0.24184731006270704,0.6587929788737398,0.8651839891847283,-0.9685984654060186,-0.3765263865973598,1.0,0.11116082688490785,-0.9354541869967534,-0.023155025209349134,0.8022487012449867,0.13922209135863825,0.6372634072018875,-0.8614299250248965,-0.2176653623012408,-0.5452031762648164,0.8674936241501592,0.12803612768701997,-0.5611263798485716,0.999943013474175,0.3024538266982385,0.7172028543829813,-0.9506946911481136,-0.3738201168905465,-0.9218640927630609,-0.999174695175749,-0.958850852548445,0.2695511537702595,0.1280361276870199,-0.5775665197655924,0.8295010931766389,0.16340326414261988,0.45174016259499195,0.9782790797290333,-0.765651749943141,0.9782790797290333,-0.9184540496447843,-0.7574954979576495,0.8635508106509424,0.999989609669567,0.9623640411234993,0.8891632735706109,0.5829263820657848,0.8427018207649419,0.8891632735706109,0.18386269984032116
VERB,0.9776326073459308,-0.9705864039048492,-0.9374167819486381,-0.6744297181390125,-0.40217218200435684,0.13941916355345504,0.878809444338271,0.11116082688490785,1.0,0.24727158577420527,0.9909620467131988,-0.5041114516431858,-0.9686479269072451,0.8367086546853233,-0.6004861089934681,0.945778622719113,0.7725032575058567,-0.39793402181969006,-0.9713903420679547,0.7602249531382115,0.12176399315351208,-0.9136357196910825,0.772270449216653,-0.41388633315566764,0.880198817094505,0.2826365316896934,-0.1514366564630886,0.17556406472088845,0.9869814282138114,-0.9713903420679545,0.7470815073169722,0.6472517439910467,-0.9622810489341228,0.9368362043401153,0.31475376998053317,0.5541582118464221,0.31475376998053317,0.2909802744280515,0.5645905370686561,-0.4051436141842284,0.10662935476388473,-0.16310214005115747,-0.3559139997802561,0.8722878723509193,-0.44136849058976607,-0.3559139997802561,-0.9564216927206525
ADP,0.4455294925957419,-0.4732751981480957,-0.5691927005404284,-0.8821781336572732,-0.9865780751887206,0.9939573541501853,0.6796594628979928,-0.9354541869967534,0.24727158577420527,1.0,0.37501366619307996,-0.9614717958040183,-0.48024168810020285,-0.323747440759868,0.6263203338553688,0.5485894795518562,0.8063094158880868,-0.9873226325942731,-0.47031084493232383,0.8174675553455717,-0.9316275869569023,-0.6198255880763784,-0.42460509024645726,0.7797170890388566,0.6775150137156406,0.9993274295309079,0.9203253389163994,0.9973085526424502,0.08821271227619826,-0.47031084493232395,0.8288220125116993,-0.5785577829013913,-0.5015536662905665,-0.1072537823502517,-0.8418682668630747,0.9435894167117046,-0.8418682668630747,0.9989701457678741,0.9393474414252488,-0.9860425406789157,-0.9370556843166832,-0.9963017618344716,-0.9935057865724418,-0.25811562622596257,-0.9785984645639677,-0.9935057865724418,-0.5194174938061833
