,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,acl:relcl,advmod,orphan,punct
len,1.0,-0.7790779715709713,-0.3121379131614497,0.42443297323867335,-0.24738786054717607,-0.619030623338272,-0.29137491837938556,0.6329191657704035,0.4455759206811756,-0.5401843630046945,0.3090002198263859,0.8989201955502688,-0.8850391738226411,0.2135601187746546,0.9073317389060856,-0.4856751283548738,0.9318475310905557,0.16365847696914948,-0.8248315871722353,0.6232303371879481,-0.9986705077505897,0.4543516420353629,0.1299025930210746,-0.04898961481788257,0.48036230884003395,-0.4841044692172371,0.08478402384409953,0.7070527207803443,-0.18889588499631696,-0.6604614999051632,0.24012643603493716,-0.3585452548064309,-0.020034002863033012,-0.08772189948295286,0.7152066671372896,-0.07405161992705768,0.039203049677100484,0.5143552133316125,0.4938008432427931,-0.7993261416737647,-0.5115631756398237,0.049906514083672006,0.4272209554076375,-0.9137430658438558,0.7295943232698453,-0.3359695284588672,-0.7908652726451155,0.5204130799119938,-0.9026634809510286
PUNCT,-0.7790779715709713,1.0,-0.15084651709718416,-0.6908073169955159,-0.031488058349213977,0.4579496904220094,0.05046201449500783,-0.3375390048999722,0.13852777518393788,0.6201389091489954,0.05975149679718302,-0.960372146529873,0.6471289199301503,0.14402106729141087,-0.8466881743697308,0.12572469335130781,-0.5368558446972972,0.027937422745323858,0.6401532949957269,-0.4501676341469847,0.7959539907506543,-0.005964894435167974,0.3551878082063643,-0.2503723183197413,-0.521037972086462,0.4956544860130964,0.19782333382571907,-0.9045203984772329,0.0158318407061961,0.06557430916964312,-0.0879680304251383,0.09499603566354815,-0.3598188783425437,-0.1307107947602291,-0.8556077898775153,0.25657048663206045,-0.06150750821012702,-0.014496903296440352,0.015735021949201657,0.7142096697463888,0.5248043273123721,-0.18874998710062518,-0.8946768452679313,0.8044488507195672,-0.7814340567986012,0.5333530808324505,0.48970709667568035,-0.2519687876873556,0.9307936039024575
AUX,-0.3121379131614497,-0.15084651709718416,1.0,0.6934671623435656,-0.3295344487967132,0.6908136529956488,-0.2189304343018226,-0.45274785632645825,-0.8591739259415428,0.41748989053389884,-0.9715242889900605,0.005612179450820938,0.6068928730075538,-0.05428319987704762,-0.37845758181360084,-0.12737213622294102,-0.6231404973026025,-0.13778373710143046,0.6474921721391587,-0.10454659522194808,0.31279838243191416,-0.5975983185000544,-0.7352177006333,0.9285013138242885,-0.35839555704498033,0.5951887655803821,0.21987990790850187,0.15520917233838943,-0.31312295552066977,0.5183858151797561,-0.786281279170676,-0.07066269568931727,0.5301063212963981,-0.1649422265622538,-0.18012677643172997,0.35709080523979314,-0.5599108813435258,-0.8041012924697996,-0.9602013956287373,-0.08758223133532651,0.5663618524727738,0.7111372569367832,0.3458008596233012,0.34659128248183513,0.38098260066463263,0.2952446768832426,-0.03094302161636867,-0.7433243652735921,0.005171687102551094
X,0.42443297323867335,-0.6908073169955159,0.6934671623435656,1.0,-0.5180757879545351,0.29857293486167863,-0.2541991778055373,-0.14699576605749723,-0.39185364723536886,0.11518204311010369,-0.6289781937427581,0.6776862787121601,-0.12862089160179885,-0.07686157135511414,0.26378892102015766,-0.5149584123764992,0.08559883481240785,-0.25,0.04610787141782025,0.1547475501066598,-0.414352983465443,-0.051795726699696586,-0.4322062566670615,0.7804646678538398,0.1852421112910703,0.2837836525277979,0.1232333537958437,0.5360901442617352,-0.25717841818211196,0.034142216477554485,-0.656636862038127,-0.5020757536735996,0.2748985298949192,-0.4079653825753393,0.2502688217285115,0.1287700963499713,-0.3383689720439492,-0.25,-0.5684535495874632,-0.7668298488534092,0.24945252995961367,0.8217616072901188,0.62424310341114,-0.2528455294116479,0.8133827254805874,-0.10101826472580587,-0.5633691515621373,-0.17001450294873618,-0.5800991482085671
ADV,-0.24738786054717607,-0.031488058349213977,-0.3295344487967132,-0.5180757879545351,1.0,-0.48785082809792485,0.6824500229947129,-0.007830909256163589,-0.1457124142119504,-0.6109801154273913,0.4406015820892432,-0.12736109384118527,-0.08052280180568848,-0.5202242916760113,0.16934942338026326,0.9596045840489463,-0.15718611686583597,-0.0647879776766947,-0.30116114974584346,-0.2101563359200018,0.2078431807059889,-0.28565304301906336,-0.09008561514071209,-0.5779605451310671,0.2994154658564379,-0.6996919199511048,-0.72027680898063,0.06763290462314102,0.6457969314624495,0.5727133974840788,0.7125954018890883,0.7650568798427246,0.15807109295706695,0.7443675528717354,0.3695780137041008,-0.6673640439695203,0.6362599893064361,-0.10394252697313443,0.17818833669411355,0.5253391328138883,-0.6677028724101232,-0.7287548805997327,0.31626200298121065,-0.06777457287723498,-0.5172247859325866,-0.5640906672354823,0.754269643175776,0.22689378607070532,0.11880964705962331
PART,-0.619030623338272,0.4579496904220094,0.6908136529956488,0.29857293486167863,-0.48785082809792485,1.0,-0.009228487152931932,-0.7943958929484977,-0.39524614007711756,0.9318222290179928,-0.6775613432193983,-0.4596668089754476,0.7271968410034007,-0.14567868144855847,-0.82821911814397,-0.267023899570562,-0.7313392569440852,-0.4428412066056219,0.9363104677134764,-0.5880893863851889,0.6488530750447858,-0.1185547255987539,-0.08558515578358342,0.5727721433998807,-0.3352181379363075,0.952777411099203,0.17841522539391277,-0.5733869655419981,-0.07403025661804254,0.3564952580574934,-0.9021115133475123,-0.40978722164675846,-0.1495753064023595,-0.6189556801968091,-0.8150171189637633,0.28985739795298693,-0.3199772072722218,-0.3827559817320123,-0.7744762652254098,0.06414140392595666,0.9607473547213247,0.7388418524760715,-0.29963294303745774,0.833231604178399,-0.1581459373816914,0.40264222113737413,0.1647497096729857,-0.4974636434941946,0.5917188238146192
CCONJ,-0.29137491837938556,0.05046201449500783,-0.2189304343018226,-0.2541991778055373,0.6824500229947129,-0.009228487152931932,1.0,-0.5963436216485524,0.06209344391936357,-0.08387126368047695,0.423404254356276,-0.0867371100358632,-0.13329106887415623,-0.942709406290297,-0.05687882992611464,0.6388519754500623,-0.23383327292199876,-0.7606733797894824,-0.036872870661397536,-0.7792688925987982,0.2850743790154482,0.22700588110554784,0.3399504781316274,-0.5377843677078528,0.6813183713491536,-0.2546930573924397,-0.9666912919369048,-0.3259438115013699,0.9910212325094371,0.5968191315370684,0.21527299107456846,0.1021593688519139,-0.4366634500516035,0.024842035661330912,-0.05001881228746581,-0.9300222318279642,0.909710460918518,0.21152045688844082,-0.032816689724410784,0.1416097684491518,-0.1940112134752025,-0.17565014807174814,0.2208767592787138,0.26534436494585556,-0.6241772368940197,-0.7879203824959016,0.7401184984143306,0.52714676496638,0.34148843903751847
NOUN,0.6329191657704035,-0.3375390048999722,-0.45274785632645825,-0.14699576605749723,-0.007830909256163589,-0.7943958929484977,-0.5963436216485524,1.0,0.2988515622511146,-0.6811197989511518,0.31054390625531486,0.36281284092599997,-0.47462574045193545,0.7054053052329429,0.6611358655952863,-0.15307203010311324,0.7093989435296728,0.8355467029624134,-0.7096230406251445,0.9310490390733246,-0.6528848123628728,-0.04368811907410626,-0.11209859979923868,-0.16861851800200592,-0.1756589293801607,-0.6036322665592715,0.453504970865565,0.6096308823175859,-0.5399233336556888,-0.652287687327395,0.6159065064815895,0.29070440027056416,0.3667649490418584,0.494888061143102,0.6469811670063152,0.34331217419045296,-0.29175395480324273,0.18590803721622803,0.6653753729093232,-0.08311403777517723,-0.6450540055772831,-0.5252556474267068,0.04986647550684756,-0.7954321313058903,0.4522305559502632,0.18381088136980692,-0.5483425857908145,0.07274245883798929,-0.6308916531408408
SCONJ,0.4455759206811756,0.13852777518393788,-0.8591739259415428,-0.39185364723536886,-0.1457124142119504,-0.39524614007711756,0.06209344391936357,0.2988515622511146,1.0,-0.05976902054076656,0.8221541551829421,0.10935811954982956,-0.6467429021176527,0.11238883036646247,0.2987001202944319,-0.348083038534082,0.7072724302988072,-0.05829357022078805,-0.5014017417884904,0.030568678114295905,-0.4212911873708139,0.8903953912501396,0.9103630387866644,-0.7070732330066307,0.40537456747898115,-0.22813672880257102,-0.03938293175060256,-0.2623267311502148,0.18400707937305147,-0.7501199240647741,0.38062576989100755,-0.4398506001560681,-0.7779486948603487,-0.34051486060550756,-0.04423235746719196,-0.20951623235145547,0.42304630556518563,0.9702561038839757,0.8516353970113275,-0.2747127053586084,-0.2031512081631003,-0.2638049617816127,-0.4590203141829789,-0.2682919130829045,-0.18450119650970254,-0.18838569861721408,-0.28998801639729177,0.7885967163549897,-0.03094364328002456
VERB,-0.5401843630046945,0.6201389091489954,0.41748989053389884,0.11518204311010369,-0.6109801154273913,0.9318222290179928,-0.08387126368047695,-0.6811197989511518,-0.05976902054076656,1.0,-0.4477950963017813,-0.5323032898964051,0.61021372739325,0.002644009717966575,-0.8303938435288685,-0.43200815388372465,-0.5443414003644086,-0.38432268479954557,0.8575415356863503,-0.5564680798370605,0.5807779332125594,0.14871287487376644,0.22010073826399193,0.36889616818036397,-0.3353241135635137,0.9683304254831285,0.2877183913735269,-0.737568676086165,-0.11234490529172082,0.06046385306091478,-0.814817714779305,-0.5551217726435721,-0.40402511782051237,-0.75207586412637,-0.9311696802390894,0.3473896499263494,-0.2824323559536813,-0.09029111276495363,-0.4948050663514012,0.04547538443180529,0.9818800273153312,0.6518571343127144,-0.5806945334758316,0.8193085583399187,-0.24969521738216605,0.48641579795709317,0.05444782364119653,-0.325331995351199,0.6615366968575959
