,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9885169755907441,0.35176310036708036,0.15792170907432931,0.3583917651195701,0.30476616475262946,0.19799609945782456,-0.2343075359586844,0.06570504535584087,-0.09590821570292339,-0.38226004895467186,-0.5705711880646237,0.4685619548250666,0.6276907933503796,0.6617271748774411,-0.0037221532040007392,0.019406702164324354,-0.1775610620958282,-0.19014389641093185,-0.9797355299223801,0.7155688564082752,-0.04034252818117634,0.155751346345393,0.5862477668523285,-0.0649997432821018,-0.6607836520301559,0.055757660475391484,-0.2934528599999348,-0.18260597335423379,-0.47725740564520003,-0.5077128559353492,0.0002576443193335857,-0.20260223573856972,-0.2934528599999348,0.1814401545923518,0.8614507943950372,0.5893904404700303,0.01303923306730043,-0.3312476074827791,-0.5318734018000667,0.06734991709638365,0.6241210501029674,0.2565669693434053,0.5795199270417964,0.6149597035504911,-0.01789932691273398,0.13245470708923945,0.5244095020577144,-0.10650769958365454,-0.9831410951547508
PUNCT,-0.9885169755907441,1.0,-0.3508366530908226,-0.25533526866514233,-0.29011149452908963,-0.3439392808329185,-0.12387934182808141,0.19780761069545813,-0.09195749255042208,-0.020199113244612914,0.43526908466536585,0.6607376729982455,-0.360676148065745,-0.6947981934674413,-0.5659003906278677,-0.07134734926430561,-0.032112316386746914,0.24278668999031403,0.3314154742960991,0.9919624192106695,-0.7151999402734617,-0.028078526578840742,-0.23171772878027397,-0.6961445805905917,0.049888077876932196,0.707265434372394,0.06283155522594512,0.18586607299214275,0.1844579665956727,0.43594488618093924,0.5650125168024184,0.08700220296179274,0.15750552168948054,0.18586607299214275,-0.2620254937981365,-0.8124943638438008,-0.6507338621584849,-0.06294203435019569,0.2551998083493251,0.5912770815061235,0.006954083570947867,-0.6552642254699769,-0.29913441139206526,-0.5353262979608863,-0.5445485264220281,-0.030214483946629022,-0.10121167876144335,-0.6037379056068903,0.18392259594798502,0.9965887097889954
AUX,0.35176310036708036,-0.3508366530908226,1.0,-0.32607016828114394,0.6978332923858279,-0.33226330378683244,0.4447153799625706,-0.40402803871242765,0.07929865772513471,0.28140304168553976,-0.3876169294776302,-0.4226212485434117,-0.21132971958064856,0.4896660262523527,0.31514596125259753,0.010323234759786989,-0.45558984804860103,-0.44823386708731816,0.05110955835612111,-0.29062743679958497,0.1074149451247381,-0.4019222497687734,-0.39719073169686137,0.38981353832093485,-0.42675755836751617,-0.7106283561596922,0.05112559479339076,0.046530701348029266,-0.6044021572328305,-0.32701210411085585,-0.5009633474725196,-0.1144200544304348,0.656206324248068,0.046530701348029266,0.22944029261579754,0.31404924614360497,-0.1816111073904778,0.6173755496846429,0.11747298057821491,-0.253597319499627,-0.2243286153202492,0.3572061588251969,0.9167728546213966,0.3623163385146146,0.6579919293202332,0.12607884205751155,0.19460063856831242,0.2314339950518071,-0.8089952027618728,-0.32238411307181014
ADV,0.15792170907432931,-0.25533526866514233,-0.32607016828114394,1.0,-0.4934965023291132,0.27793472216606496,-0.007592068854261261,0.22006596799878467,-0.3945388836437855,0.515568058595148,-0.6793747348699896,-0.5346829525990673,0.02569562375385299,0.5315649119617845,-0.1818611968884698,0.12621840950297825,0.2837293085876721,-0.357258390835357,-0.6912544530721172,-0.26133289127991194,0.034144716282112915,0.5364515683605513,0.6056471741678707,0.5115709061802096,-0.20926647640226057,-0.22997950362049602,-0.5332774921199863,0.4486221756355647,0.009472239282452005,0.12080238128780205,-0.5805611596545609,-0.7147854526212888,0.06308039173096812,0.4486221756355647,0.7617308924599729,0.21306665728242163,0.35557346577315335,0.019534405818297965,0.27520616182974594,-0.3920664371951042,-0.6827362390904118,0.31027246665145825,-0.005136818834751428,-0.20186701367728022,-0.3833861952935956,-0.14170707078135722,0.009877471787961873,0.7701113483518464,-0.15677078147568732,-0.3003890091713029
PART,0.3583917651195701,-0.29011149452908963,0.6978332923858279,-0.4934965023291132,1.0,-0.4926474012958391,0.46990881064891393,-0.04373791533510864,0.01943464557430966,0.02472121760078732,-0.1414851082158956,-0.2940830566215693,0.28808684521654815,-0.030851425458451827,0.5306205848601393,-0.22568385435012842,-0.018135778543976702,0.037354634088380516,0.44317505760540177,-0.2904818348934628,-0.1334296972945586,-0.24141530234271763,-0.20718495973264323,0.02546903536279156,-0.16051446248147172,-0.19127643499387442,0.35791578512488154,-0.6220733983733528,-0.7156382007036942,-0.7539242587808802,-0.3054945991451921,-0.039326546052297254,0.09253478347480144,-0.6220733983733528,-0.25318873968674016,0.3670764471626335,-0.0677647072756476,0.00042414722229915753,0.13915941864003484,-0.4235038705000295,0.04816836293477049,0.5904243961878703,0.44117776848520485,0.8123623694613074,0.7149536876666022,0.17926746644089975,-0.2650304582514776,0.13871962357437118,-0.34352565974687643,-0.2981774326830949
CCONJ,0.30476616475262946,-0.3439392808329185,-0.33226330378683244,0.27793472216606496,-0.4926474012958391,1.0,-0.3611323373961364,0.34620823384424493,-0.09793142750957053,0.06676899903476818,0.05447138488553693,0.006783997247861115,0.008343108788441059,0.2335917355976286,-0.3179708376327367,0.7527062384652046,0.474587916345871,-0.4105147186509314,-0.29115161908617465,-0.3082096024552606,0.782982972151711,0.5682205073297034,-0.06469371433296389,0.39839627132035926,0.03498436479090543,-0.23323442681180698,-0.6070299323545216,0.35873884203057677,0.7904012165352069,-0.05282634866667228,0.2540945042170409,0.0024719213521529463,-0.4222297185497703,0.35873884203057677,0.06592464117297414,0.14750820323507066,0.6364108490746195,0.23087325898885108,-0.007337510089678909,-0.13694771701065964,0.08073693008018527,-0.1147968940463313,-0.1817729479645989,-0.36343314452749115,-0.4679281866727068,-0.44431544189859706,0.24846679608520028,0.07552031109883414,0.2883430910267956,-0.31623734821592725
NOUN,0.19799609945782456,-0.12387934182808141,0.4447153799625706,-0.007592068854261261,0.46990881064891393,-0.3611323373961364,1.0,-0.3279792458269349,-0.720173777483074,-0.0370200446705355,-0.5982539567004024,4.397149545864491e-05,0.5337305156018372,0.3129822691095235,0.5792904779621124,-0.3877900388127065,-0.2003470444774169,-0.33616269092175616,0.5226027141918723,-0.05472407542081253,-0.08432191387808477,-0.275184856877,-0.4685017104838245,-0.1795545519351721,-0.8501636445999707,-0.3394909255629675,0.32905026440314583,-0.12343013564967156,-0.39151623291968357,-0.3154544249050638,-0.44872306334324635,-0.23567462386752508,0.4426623664676591,-0.12343013564967156,0.4151812645037715,0.6267575697424524,-0.534915181355989,0.29379411795875704,-0.04784144184178603,0.04914407186229439,-0.46861296164343175,0.12666870359046756,0.447367022193711,0.14777674126683107,0.462926278175914,-0.5648306671472759,0.5091894910788054,0.23484473156161909,-0.27630424395745656,-0.12919838834567093
SCONJ,-0.2343075359586844,0.19780761069545813,-0.40402803871242765,0.22006596799878467,-0.04373791533510864,0.34620823384424493,-0.3279792458269349,1.0,-0.23726653537842865,0.48842940318770856,0.06870403618535795,-0.11846365863270282,-0.040400643918674185,-0.40042114366966036,-0.5910472397864253,0.5965415744869316,0.9414727475590974,-0.1073934576417794,-0.08240628851842775,0.16564844653988076,-0.18502866342608443,0.9121733042336222,0.25248133908973036,0.10598339361972996,0.1636338967232656,0.41021072177742784,-0.6091526372238332,-0.03148037442841498,0.192701195276562,-0.48683529820361654,0.20009484617143314,-0.49172909075645316,-0.4801058931010766,-0.03148037442841498,-0.21149774467147808,-0.3173131029827023,0.46231601785340726,-0.17254825669865126,0.7500947970120717,-0.5125709444505436,-0.17358055553981122,0.27561876815433034,-0.3018056469918695,0.040399185393881654,-0.6652895239106146,-0.09973889195652826,-0.6060274440136665,0.18221871021294525,0.18095930785952538,0.1583056457887241
VERB,0.06570504535584087,-0.09195749255042208,0.07929865772513471,-0.3945388836437855,0.01943464557430966,-0.09793142750957053,-0.720173777483074,-0.23726653537842865,1.0,-0.2455074553060569,0.5966490735420041,-0.07293831035884094,-0.4425701577576895,-0.18012121795522557,-0.03743829427704972,-0.06590251382744707,-0.34574286963481465,0.519331000027154,-0.3089654025129032,-0.1585742383723214,0.08252817607316154,-0.36836585456222,0.3055930962283322,0.12241063966342955,0.8274089864003905,0.09299149791811159,0.2026338424818081,-0.19472638864935954,-0.06810218373422106,0.26753981869000526,0.24669032131234123,0.5504180523079596,-0.18112556120867493,-0.19472638864935954,-0.5115364953071186,-0.3727155460176271,0.2830414827422216,-0.27749261820076915,-0.315067350868995,0.03583725886545073,0.6815541291749767,-0.000325788911247518,-0.12901082068977668,0.24918932871656177,0.2406167096468146,0.842315411820609,-0.40455993821565017,-0.3230841709169922,0.04170977992075662,-0.06933935968376005
ADP,-0.09590821570292339,-0.020199113244612914,0.28140304168553976,0.515568058595148,0.02472121760078732,0.06676899903476818,-0.0370200446705355,0.48842940318770856,-0.2455074553060569,1.0,-0.5969191594287803,-0.6623581102755994,-0.5192881273762514,0.3743528996391116,-0.5567328883255215,0.5526078570144495,0.328406835459412,-0.6691666829481719,-0.5680379574771337,0.0031638678042733097,-0.20774040122456475,0.6081531937274747,0.22797791872821535,0.6566202306028316,-0.3067520143173774,-0.338968139365976,-0.8151025865879203,0.54731587142416,-0.29806554497361987,-0.23792276497973378,-0.5283759623979069,-0.889195458565049,0.4256586628416733,0.54731587142416,0.5521998143767176,-0.17103259186784728,0.23441809424519044,0.49448526519970654,0.8877698051248515,-0.628975130993259,-0.7810242997978964,0.4534845112453041,0.5500789429524257,-0.0651866678774024,-0.3728594659196629,0.05711349652244475,-0.26667068180634357,0.6643378006571602,-0.7236724502853483,-0.047437806639109174
