,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9726615416304523,-0.06138350707314881,-0.31677753494705546,0.008936106877378407,-0.15324946211210067,0.4560649031754461,-0.07403309134185557,-0.048584370787774625,0.06333192824725811,0.12038817745134889,-0.15593127158808612,0.22789761972014722,0.006306842416983069,-0.07372435134420115,-0.09005057165187424,0.247999034177482,0.17302358181244812,-0.9943816297577054,0.16376038030096032,0.03192581361612051,0.35153445120191085,-0.31040475707724413,0.014532335071704924,0.06911943088691627,0.5476276644696939,0.19506724573808285,0.1325861638801815,-0.1910189386291786,0.2548553851750194,0.5186486075279628,-0.14803370906940438,0.7870416444657692,0.060784305569110984,-0.11300156590433652,0.27370314067824986,0.16644057459201092,0.3480779114724572,-0.009511856259822751,0.06730752755130352,-0.0781518467879177,0.03433406463657023,-0.08419709093445021,-0.28011832012169413,-0.2591533010740513,-0.11720345042807426,0.08767554899699204,-0.3894902227455409,-0.20700195378199712,-0.9814005648529749
PUNCT,-0.9726615416304523,1.0,0.17364230518643012,0.3526270325330236,-0.071825492229614,0.11081240896786249,-0.4490060218395998,0.18709204156490095,0.09103849241637793,-0.014836191296911485,-0.07510875648889852,0.055359691601874275,-0.1930040389396441,-0.12193738216421918,0.1414503677685399,0.004784693579708943,-0.11870801825573409,-0.2205704641359266,0.9615423998904843,0.001589079409530326,0.092688152820977,-0.3952961481166737,0.25546886601804986,-0.032486458440089315,0.060577127057061524,-0.5473957948090017,-0.2303885095458368,-0.13200540829724405,0.1635658148170089,-0.18747378577334683,-0.406383300557278,0.1627928693342305,-0.8147722779141332,-0.16010304306589695,-0.06497098965648371,-0.27200471228462736,-0.19964234119472601,-0.32080217844386893,0.03531066574834738,0.003407263918451505,0.15365694793109735,-0.009263221483024895,0.21128428964455068,0.20421182095525223,0.17437056463449824,0.07372202739922834,-0.08669400074728424,0.3388940009821553,0.10783274616410837,0.9805497255800935
AUX,-0.06138350707314881,0.17364230518643012,1.0,-0.14095549476981203,-0.02185383306670328,-0.5131853083823814,-0.09018266994678886,0.3968201901754087,-0.3306024213543324,-0.366992739897366,0.26889868746910706,-0.10781605587560072,0.6136920059048232,0.06481671748774927,-0.13832654777397013,-0.17103546467670147,0.1935222610694335,-0.10580014980856235,0.047850373116554025,0.32488436556379385,0.27629766209223905,0.0285960661738946,-0.4587346623095422,0.24475947920616958,0.24051937056820277,-0.1926861562534839,-0.12390603993555552,0.08525222927099907,-0.5063184501481478,0.0920342723301436,0.3894938151427645,0.0387854677134958,-0.3263791327506193,-0.1281505382451058,-0.20452139066555228,0.6580697936545215,-0.050884185533049686,-0.17073719968531997,-0.3103687836263591,0.6042457128603427,0.387289936271262,0.14303673499403782,0.9175160953395735,-0.05985887663443318,-0.21984800949178013,0.04283409032045953,-0.2287931231583104,-0.17235664335347672,-0.3413179035438466,0.11958967756684157
ADV,-0.31677753494705546,0.3526270325330236,-0.14095549476981203,1.0,-0.16102594960411468,0.16766710399606594,-0.5745434695561643,-0.03974721032846606,0.3026868431943727,-0.14868645145003218,-0.4426100005809142,0.1968658506588667,-0.25037210347232003,-0.020994498696460712,0.7869684977619186,-0.09078151405158312,0.1477673473059354,-0.062046964953866975,0.34240842391414494,0.02279847878582145,-0.002921761508212052,-0.32713472232019475,0.1785729476837179,-0.19284652809283354,-0.03841342533888038,-0.3830261200141072,-0.6706805399818229,0.010926115956468953,0.18855610962743136,-0.12387762333112083,-0.2818055269859695,0.0060061300109184625,-0.17233989395770488,-0.029082984725957745,0.21706810606385188,-0.3402149667053965,0.3721799321535539,-0.02867857049273286,-0.19402025320797278,-0.5897073249895555,-0.14866073569736238,-0.22040639207931742,-0.06516378782602612,0.1628134565731278,-0.09570844250590084,-0.37472903971151944,0.03376392456669718,0.8411646286897128,0.42568074715366905,0.2651442844136163
PART,0.008936106877378407,-0.071825492229614,-0.02185383306670328,-0.16102594960411468,1.0,0.12420441658407384,-0.2540601491261118,-0.028492821364988256,-0.5197619046885508,-0.11602746084240824,-0.22960170956817275,0.38716537715381816,0.15608923698361052,-0.15044923325948964,-0.15837908657091415,0.0361386070362551,-0.11753164411978721,-0.3374079949211275,0.008311721563540993,-0.3259975658085938,-0.0830613444565989,0.4418144842177493,0.01766094589494128,0.14348769009703394,-0.49935407171443963,0.020471498576370692,-0.008957052533710866,-0.4078679893661071,0.08591734140827746,-0.34674029166722864,0.0456167043015643,0.32710841001968555,-0.11300620025223936,0.426476169947766,-0.07539517594801613,0.11569098457273042,0.17168849874931164,-0.19967261636631906,-0.08450638218197355,0.03111329072649935,-0.014493657160216385,0.544278778592871,0.07182833254299346,0.18743386402517348,0.1674270737977368,-0.03424712805519017,0.1054751478435689,0.18096592845031553,0.04007858402728647,-0.005421915355412038
CCONJ,-0.15324946211210067,0.11081240896786249,-0.5131853083823814,0.16766710399606594,0.12420441658407384,1.0,-0.3281337213242076,-0.03841781605688836,-0.026248572605790915,0.008166272681300548,-0.15205131725157958,0.14211827336202928,-0.371859323499801,0.03673419657163825,0.19053351640420557,-0.07675976306539431,-0.0515681000239765,0.08406597724869645,0.1208957864917139,-0.2912251277994355,0.014013539396139533,-0.06532774776791207,0.6371108245579951,-0.11993191208785162,0.0032486403392095816,-0.15011954571756017,0.1298337764030861,-0.2373794298153856,0.9829507480594254,-0.2857197159100908,-0.3544762916066177,0.09252499131701962,-0.17337390372545233,0.014081249880241752,-0.0009598963881536647,-0.36346564983916535,0.36093559227996797,-0.07670357999685154,-0.03297133251417247,-0.18273542430553857,0.018112950325834917,0.07978151901624134,-0.496958595479712,-0.19465831828035285,0.1248897825068257,-0.19586532207013102,-0.1877078453179655,0.1682863647763883,-0.21628422792194663,0.13394880154654448
NOUN,0.4560649031754461,-0.4490060218395998,-0.09018266994678886,-0.5745434695561643,-0.2540601491261118,-0.3281337213242076,1.0,0.05515155929255719,-0.20760161202253444,0.2417026865033983,0.4360369062401441,-0.5976477494145142,-0.030433112504765172,-0.09027862286918384,-0.33489637184744775,-0.15851593865946248,-0.020353611846464986,0.408854551319332,-0.46466771609382285,0.18212757445199665,0.14592489597821348,0.14296542301140194,-0.3498695127579113,-0.32044385994425667,-0.06157978938072102,0.46689871621825807,0.668273265642576,0.3458457648938604,-0.36706245068815413,-0.029345075859116637,0.37977589837016734,-0.5250019008687287,0.5823065836192043,-0.056211793039545065,-0.15973053092156184,0.07452165723583054,-0.2613615380363424,0.38365874432191915,0.18082782099771452,0.22378951077420964,-0.10483119394761359,-0.19226075342766424,-0.05898762806179405,-0.15199402881465335,-0.143116063874051,0.2394913875198152,0.2580396531189432,-0.667935104052665,-0.021502496187066882,-0.44402647577887394
SCONJ,-0.07403309134185557,0.18709204156490095,0.3968201901754087,-0.03974721032846606,-0.028492821364988256,-0.03841781605688836,0.05515155929255719,1.0,-0.24914702308099354,-0.07009967143549473,-0.14462773360132156,-0.5157481777738588,0.19355364923058677,-0.04080731290883552,-0.2622802581790586,-0.7368459329777771,0.49313973497787583,-0.11778578812014856,0.04611619369316614,0.7446901768480164,0.9615442714341182,-0.4337349065362073,0.013695041672197322,0.16998264575804983,0.5986642353693103,-0.33968872830998764,0.06454001861388427,0.11067565739865845,0.004796099829903346,-0.005093666545887359,0.3813617733367891,-0.07279865360553778,-0.33486976206743585,-0.08583858741697073,-0.359244416064724,0.31800185952765236,0.07668127438935299,0.026196494696966995,-0.07348289116617776,0.3974909394255705,-0.2882975193085408,-0.015914806657413186,0.6346326814253411,-0.18538630461903005,-0.41573629165474024,-0.5642454032595523,-0.5827729777989118,-0.021156941509553866,-0.2501105162466626,0.1157789874253235
VERB,-0.048584370787774625,0.09103849241637793,-0.3306024213543324,0.3026868431943727,-0.5197619046885508,-0.026248572605790915,-0.20760161202253444,-0.24914702308099354,1.0,0.19095748868960805,-0.16943057707049416,0.2235481239602197,-0.2271160159857591,-0.3008615859121698,0.27212235860303136,0.2675742321768393,0.045782200907038224,-0.12215526684615316,0.053059385100587546,0.20576828824978885,-0.1953807298299705,-0.4613901002800201,0.18000447139845843,-0.059290426051204846,0.42681999978360463,-0.14112703933586235,-0.24345946664724105,-0.08416277947237784,0.05051003283914161,0.5765729288809386,-0.28134036618282726,0.33238664759915487,-0.07076704185079116,-0.4039584352835971,-0.07754419028025428,-0.43395244462195376,-0.12462405004422929,-0.015233882472678708,0.13488369014282883,-0.4291845078894038,0.0430457630447444,-0.19439276972128028,-0.39414497065465925,0.14428928359321164,0.18726679663320406,0.069993519458307,0.09709706507850598,0.05562436775332688,-0.020991543939360965,0.06669097829700919
ADP,0.06333192824725811,-0.014836191296911485,-0.366992739897366,-0.14868645145003218,-0.11602746084240824,0.008166272681300548,0.2417026865033983,-0.07009967143549473,0.19095748868960805,1.0,0.24306966569690255,-0.45722688988216004,-0.44037318814389287,-0.25342073251342306,0.016924133136467966,0.10626512737060916,0.3108423480857166,-0.39493691634900263,-0.05957485995648091,0.09109066663467048,0.04213096342441387,0.2205004445196643,0.2150691481801235,0.17822601233631186,0.10055276663974975,0.6212912822529718,-0.01849763476345838,-0.0005013130034329712,0.0813976311476102,0.36540837098315415,0.14586305812397185,-0.017493461488136682,0.3462844335294584,-0.023441876352399433,-0.4653031704875243,-0.5398081985374532,-0.6091339926466017,0.283688316029819,0.979386570381561,0.19186347387841876,-0.023439136887675793,-0.0842497899534136,-0.30807250860071994,-0.4749135028664642,-0.24814738382032678,0.019966764888738605,0.2527500159718026,-0.2695888269587974,0.03327586437485439,-0.024882124541159133
PROPN,0.12038817745134889,-0.07510875648889852,0.26889868746910706,-0.4426100005809142,-0.22960170956817275,-0.15205131725157958,0.4360369062401441,-0.14462773360132156,-0.16943057707049416,0.24306966569690255,1.0,-0.49146976942440185,0.16564788890716356,0.01677812632066627,-0.06506108635399374,0.1560032700992474,0.2624823797367067,0.11769693252398558,-0.1305544489406641,0.0020385599752604806,-0.05477900708596115,0.18162924459210425,-0.10217851378656365,0.22975748214052896,-0.16816554739773404,0.22400134721996995,0.5291215482656986,0.04177683727936311,-0.13686663558150208,0.1203097051493472,0.23318216705717093,-0.2574680912913211,0.14571005037989623,-0.17437264310846212,-0.25915682271894935,0.09528846440229052,-0.36227147716007296,0.2368064614137105,0.21542610826295544,0.5528587007407125,0.4344841696872081,-0.08068532138655031,0.12271785061575086,-0.25592340088146914,-0.14819037560811713,0.25198654672878157,-0.004383498666201695,-0.6325284747667194,-0.44145464250259886,-0.08568227788284168
PRON,-0.15593127158808612,0.055359691601874275,-0.10781605587560072,0.1968658506588667,0.38716537715381816,0.14211827336202928,-0.5976477494145142,-0.5157481777738588,0.2235481239602197,-0.45722688988216004,-0.49146976942440185,1.0,0.11198473899404918,-0.10839989249236369,0.15597529440205607,0.5153019567163192,-0.4987731891613793,-0.20813119978009956,0.17721305760505915,-0.5765304653943581,-0.6294699484602666,0.11730940066487332,0.12019838645319865,-0.09430859665834536,-0.22765854158880433,-0.2543782065234474,-0.29776067938078193,-0.2709599547440492,0.11014736682073993,-0.042874638197596626,-0.4888975556497429,0.5483752493529436,-0.22193218037333753,0.1002821897796321,0.3045356606377642,0.04496909736724593,0.34381964054667874,-0.49538540556757465,-0.41857799884935587,-0.4296814231379153,0.19250813232974526,0.2553532975907765,-0.28496671004400276,0.42212571680706396,0.573704367795372,0.24926169014947544,0.23682962756222622,0.37807433592433853,0.14298004924747554,0.13237668771878977
NUM,0.22789761972014722,-0.1930040389396441,0.6136920059048232,-0.25037210347232003,0.15608923698361052,-0.371859323499801,-0.030433112504765172,0.19355364923058677,-0.2271160159857591,-0.44037318814389287,0.16564788890716356,0.11198473899404918,1.0,0.008728637602857824,-0.07026330261405349,0.14834427419372673,-0.051769026866794896,0.018109302114540635,-0.222392968505702,0.23325559970659202,0.10661504033421562,-0.053799815011769635,-0.5857867050612467,0.19032087664018632,0.010119063200740505,-0.10674134765589437,0.0772780449607309,-0.15593030606528954,-0.328154843629079,-0.05348476743033784,0.05051204953144995,0.05296836246232934,-0.14150110606210323,-0.09724230690804843,-0.01120991648239474,0.8926112251335782,0.11384027724549817,-0.25671681834010995,-0.420360894810148,0.2971499213923811,-0.06043163864142733,0.24895591210409285,0.5805579850374661,-0.048657460461912584,0.26951779745741256,-0.1960013553109209,-0.3198635898765032,-0.25754830744831275,-0.1184634636239761,-0.17733234052581082
ADJ,0.006306842416983069,-0.12193738216421918,0.06481671748774927,-0.020994498696460712,-0.15044923325948964,0.03673419657163825,-0.09027862286918384,-0.04080731290883552,-0.3008615859121698,-0.25342073251342306,0.01677812632066627,-0.10839989249236369,0.008728637602857824,1.0,-0.3055560222266003,-0.025949081376252448,-0.14708618155069,0.4718613200040391,-0.01723043218441605,-0.2182162278605182,-0.07408811319138477,0.014771718277877257,-0.04574604735616402,0.38736408025218716,-0.13161516014874391,-0.03275423711094086,-0.11189973938403382,0.20052181814088568,-0.02780825154200626,-0.11445092131069483,0.051572485650722075,-0.24314253686510046,0.04543956133523993,0.4177574490767231,0.7617364312443662,0.23160464773517872,0.0321345551249081,0.11666669722334991,-0.12505038974373703,0.0654742278456786,-0.31873910584516485,-0.12606896770127518,0.0616264145401451,0.024320620270869987,-0.24122453843846628,-0.11472902619023943,-0.5054122064235294,0.16789134187378266,0.20931822496976926,-0.09852982168804246
