,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9797907864465273,-0.44189058441340967,-0.5180450524294613,0.3871189066101356,0.07175167605034476,0.9231345351002989,0.22495998078991528,-0.37729321904027024,0.7822390794747973,0.6945673449845807,0.6739311248237575,-0.3042249272673457,0.4412371294026541,-0.2832185391803797,0.5980272768937422,0.9637551189449507,0.48391093019569387,-0.6870943117036485,-0.9919290296553016,0.7845110155243455,-0.7239831076122989,-0.2096109203331915,-0.3737945706202044,0.3958465534113624,0.9272721054291202,-0.5979761586148855,0.6485811333773569,0.2633104254366673,-0.45985482682569956,0.9128501056679407,0.990789566810773,-0.19249055564087217,-0.14265128693289364,0.87118874209856,0.5268474041255415,-0.2515415562377889,0.7215292637442742,0.005772031609776525,0.2604001019060731,-0.4936092478549895,-0.7871374097478856,-0.4380291137236414,-0.02217943400878561,-0.6916581011636626,0.14259576517555955,0.43185779619432624,-0.19249055564087217,-0.9839777984192534
PUNCT,-0.9797907864465273,1.0,0.29298279427342677,0.6565697309109432,-0.3920921355941191,-0.2686790037491055,-0.8275800809387002,-0.060652081339436476,0.5457037640280235,-0.7439159825369127,-0.5456642194454615,-0.6026435894570955,0.1585590341999333,-0.2590703658679929,0.08568151881572009,-0.4705453037039159,-0.8910581738423663,-0.5977130107625052,0.6504871502012456,0.9952553618037074,-0.8692552742255367,0.8250266621352175,0.04990687146501981,0.38338373720315766,-0.29904601675005676,-0.9291054863623263,0.7337197934308135,-0.519582593827819,-0.439430694607133,0.6040492239062677,-0.8658694062222836,-0.9467168080397266,0.18306396518287504,0.07916708197917592,-0.7583119066236939,-0.5430653575909136,0.2613820188622747,-0.5712899384799774,0.0016152129885939246,-0.39047567581105624,0.42587666148325076,0.6549263888520998,0.606746635618546,0.2180766749957612,0.6749181300217186,-0.2428393510659768,-0.5900062610920681,0.18306396518287504,0.9997061044343519
AUX,-0.44189058441340967,0.29298279427342677,1.0,-0.05635703577536254,0.389956600458246,0.7218820468858235,-0.6797455404401485,-0.34511335491579087,-0.2873217127882495,-0.7683311991434015,-0.6379244917954666,-0.8813382444378569,0.258401346298746,-0.9328633907399246,0.7881277702442959,-0.9802476114427213,-0.6010698440413221,0.5663744963659973,-0.019665723140098405,0.38418416162741165,-0.1983270900779862,0.12629006748458663,0.30356658188848223,0.623547283069384,-0.9367788262632004,-0.13573327724751183,-0.42705579575109553,-0.4150074991665531,0.7027488285342963,-0.08295406601868903,-0.717922385314191,-0.4869993232176289,-0.44611489996314285,-0.253800869286317,-0.6514606792019626,0.3322352455777003,0.6005384699119631,-0.7151996551088794,-0.5888668310794072,0.7449961722207338,0.8806175421530977,0.8702074652462678,-0.5071559962601311,-0.5706925089210185,0.7205824336978262,-0.17643179300797857,0.5853686429739867,-0.44611489996314285,0.30497270031680873
X,-0.5180450524294613,0.6565697309109432,-0.05635703577536254,1.0,0.13854560039831768,-0.7312980217388213,-0.1939486078031475,0.7130528609809547,0.9722265268142813,-0.5790200731031186,0.24792087245316569,-0.4203823644942532,-0.6347451345184896,0.3178801738965706,-0.5736413914403252,-0.11400796982587294,-0.29284137796866117,-0.45030499803166374,-0.03040484857560609,0.6215996557296909,-0.9335648546842814,0.9639350086176767,-0.7198050552185731,0.6457972781807446,-0.21237851963682033,-0.40562087583443684,0.7298464609412716,0.3031219204424663,-0.6739995873731907,0.9977051198601445,-0.5274985302547036,-0.39752428590256567,-0.33333333333333337,-0.5479604559998529,-0.04647683057743885,-0.02008839009920701,0.5916169157629482,0.19000971038556225,-0.39609213571367013,-0.349287340757036,0.3855548904314594,0.06118099615467765,0.8286335537760873,0.8223976300624907,0.6516368421360258,-0.813150981142156,-0.701037129919435,-0.33333333333333337,0.6384411334028363
ADV,0.3871189066101356,-0.3920921355941191,0.389956600458246,0.13854560039831768,1.0,0.18882122444075228,0.32820149242758284,0.5493192565050445,0.06284616410929081,-0.2679709830691371,0.4565526201844738,-0.3832234152959,-0.6699180420071547,-0.10053182029713562,-0.061556862157346535,-0.31714638929579025,0.3740911060616119,0.7969267008751645,-0.9188049282715527,-0.34618902969274074,0.002193183358784571,0.028632726326102434,-0.577105205961695,0.6992962283077092,-0.6145724860259572,0.6966599860836047,-0.5641037350087498,0.6680441246394156,0.46203005655647833,0.18395230495670115,-0.007631528976329664,0.4331557568264244,-0.974993021322195,-0.9025418089305247,0.4162895083902086,0.9845222941442006,0.7854338170164482,0.36415879351828806,-0.9192754377009835,0.7776225956113836,0.5819512192872407,-0.07826038829417403,-0.35661322252073935,0.10304181057501345,0.3973162268971169,-0.6889642416238,0.5358249301973981,-0.974993021322195,-0.40089600157512684
PART,0.07175167605034476,-0.2686790037491055,0.7218820468858235,-0.7312980217388213,0.18882122444075228,1.0,-0.31556857176726677,-0.7167718423733183,-0.8692954548778962,-0.12051869630599267,-0.5922324799991926,-0.3097480574452814,0.601086111470977,-0.8522550741938689,0.9291960789496783,-0.5882809034484227,-0.19264574119074615,0.7132237248843275,-0.012787438756455731,-0.1818342015638491,0.5165850953387149,-0.5855829782180187,0.692852069320302,-0.013826819732201276,-0.4971844955749591,0.20673361973034665,-0.8087820686675367,-0.47569877759168516,0.9533605158229028,-0.7465984358915556,-0.11656462369697111,-0.04154288325437846,-0.09044037142161589,0.19025815339845567,-0.39722943169382474,0.2600571395804468,0.010344189245053646,-0.6060544839572491,-0.14166863432272303,0.7627981506415619,0.3379974521256542,0.5420092711641027,-0.9268796472085014,-0.9549889850322073,0.0406855768489654,0.43189773724031755,0.8947583926363988,-0.09044037142161589,-0.24817257341565158
CCONJ,0.9231345351002989,-0.8275800809387002,-0.6797455404401485,-0.1939486078031475,0.32820149242758284,-0.31556857176726677,1.0,0.5119570600741656,-0.011386614287436495,0.7684266747945986,0.8991446021754398,0.7363429577971923,-0.5457704710114537,0.7414699755761868,-0.6300395998047253,0.7766116797246779,0.9918667718170171,0.20611616486891102,-0.6743881472375101,-0.871006878743059,0.5326612556654512,-0.4478758075675661,-0.48936083583928314,-0.3166986161727782,0.5400842888448527,0.8146690861579192,-0.2663487254496715,0.8190181819783965,-0.10728732522505645,-0.13172555379857556,0.8994221869206248,0.9605459395667578,-0.1834659452761902,-0.2434831992134926,0.9867423594249676,0.4305499827216555,-0.2083138254173425,0.9261086452375987,0.02426357127021559,-0.023152767195778072,-0.5707487668504126,-0.9511889422123291,-0.062370470008121834,0.35595691016773395,-0.6473871050666669,-0.06237561831132273,0.0762281451380805,-0.1834659452761902,-0.8398485014032623
NOUN,0.22495998078991528,-0.060652081339436476,-0.34511335491579087,0.7130528609809547,0.5493192565050445,-0.7167718423733183,0.5119570600741656,1.0,0.7789515205758547,-0.07607806293265126,0.8348174049611153,0.0022582520521047195,-0.987622644071056,0.6600393989188905,-0.8376807730099358,0.2848173058522443,0.4402532984123387,-0.03872114399525742,-0.6457968298481735,-0.10234355866062823,-0.4276684101985692,0.5088962542229319,-0.9990331628480073,0.49978004152247846,-0.004995394677366161,0.32735213777754707,0.28263923622304415,0.8841428576044797,-0.4819935333932758,0.7588413827941461,0.10578282834513837,0.35368213599719384,-0.6128398650084459,-0.7999370495655804,0.6428450032290768,0.47963580498091807,0.5415377600848478,0.7818041987421829,-0.5273760603225247,-0.09744202440974581,0.11615545990778166,-0.5266493226403449,0.531475818355531,0.8848573551192979,0.23636429873233386,-0.8512329141954419,-0.37790374114965597,-0.6128398650084459,-0.08435990598902203
SCONJ,-0.37729321904027024,0.5457037640280235,-0.2873217127882495,0.9722265268142813,0.06284616410929081,-0.8692954548778962,-0.011386614287436495,0.7789515205758547,1.0,-0.3727394232124507,0.40367753459328837,-0.19666915327438297,-0.686131930279099,0.5280981568290853,-0.7412391955234339,0.12167250318239475,-0.12381074740954275,-0.5476112532171616,-0.047647149313347396,0.4912756593800319,-0.8431998488518326,0.8905238912021408,-0.7759934871665375,0.48273958631446734,0.009574658146327745,-0.3365763248425509,0.7865819160673233,0.40751399483833184,-0.8029614155607335,0.9776658829846375,-0.32917872720806973,-0.2500450785143964,-0.23455679680863856,-0.4844916798459711,0.1248036655416435,-0.07498888861722605,0.43879315812807895,0.36483196084311,-0.2583207568112111,-0.49511543838052136,0.16864591724140043,-0.15540329301238226,0.9057045184637307,0.9269218480338378,0.4570044575928,-0.7511382619259945,-0.7983282680073093,-0.23455679680863856,0.5252483963599405
VERB,0.7822390794747973,-0.7439159825369127,-0.7683311991434015,-0.5790200731031186,-0.2679709830691371,-0.12051869630599267,0.7684266747945986,-0.07607806293265126,-0.3727394232124507,1.0,0.4654592601181472,0.9764139729336633,0.08104824763144922,0.5864868700376922,-0.3206456917219052,0.8736340804125521,0.7718280557640004,-0.07075779055057337,-0.11054567104528626,-0.7929369485782922,0.779345612162816,-0.7316524305524811,0.11205370893284775,-0.8486282118596378,0.852171900149874,0.4932006271354817,-0.19449889075040272,0.270109146416579,-0.09735009767513905,-0.5471715953768314,0.9645311413527651,0.7504013635484655,0.4473383357235109,0.4316594829787207,0.6621417749077649,-0.11724600397008415,-0.7796270115027555,0.5553271961519564,0.620916767960089,-0.29448663765390454,-0.921270979326138,-0.8072495817686406,-0.1559544559347963,-0.02305403920899618,-0.9850410809817233,0.5712066445436075,0.03389383936714092,0.4473383357235109,-0.7439435575026369
