,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9688943592517258,0.29747475013673597,-0.3913100330124527,0.09732239104970695,-0.8901409176053238,-0.3483466523468731,0.7353279242580705,-0.8689443745016687,-0.7904100853104105,0.86368479591445,0.08678965109093165,-0.3767375046877158,0.8758579049299813,0.8590815968292834,0.058461961963523705,0.4408724443591002,-0.5156636433303994,-0.6598072609077089,-0.9959845835442217,-0.17174295674155968,-0.8159213834048858,-0.06387662544962754,-0.12299036125409749,-0.14544038935530332,0.6291784043206905,0.9129313443401553,0.07979405240873833,-0.3736047989196799,-0.04247971748652385,-0.5501662750372462,-0.20025666046567758,-0.1837871026103287,-0.15767304755966696,0.7185921089294807,0.7693825962148559,-0.4742863230256752,-0.3913100330124527,0.8711912880244143,0.30563722235439467,0.2825731991206584,0.10422285101678792,-0.010173741763292075,-0.6809522922232953,-0.15864207327969307,0.9453999329387317,-0.2102460720579286,-0.6422383609988278,-0.21558029950517885,-0.9770646998799289
PUNCT,-0.9688943592517258,1.0,-0.4110517284608134,0.5679127566756768,0.11357953927005474,0.7705973388350851,0.4811488068278415,-0.748720308776411,0.8037159273623363,0.7365799905621084,-0.9253907968866846,0.15173810995196116,0.48914996182091613,-0.8893298654534554,-0.857244993724827,-0.05956153083339239,-0.28633821975190066,0.5865188711421706,0.6648376717677549,0.9821188778281956,-0.06633518977651232,0.7624541748461875,-0.07620865766376474,0.07742736781602208,0.3564533780350362,-0.7002405382632363,-0.948588282502962,-0.04933899911419843,0.5407707585105901,-0.05466582698237164,0.6519498285100075,0.2908772225869537,0.004150585204651064,0.0027683817955972377,-0.6405243788894486,-0.8045248575614377,0.6528555546612801,0.5679127566756768,-0.9403065836416893,-0.352760588322776,-0.308258001210664,-0.26709633655477233,-0.03304442956754462,0.7411414273718416,0.23780211661472578,-0.8968555025685537,0.06486337882899697,0.7468461753008409,0.35136544642844475,0.974357368498554
AUX,0.29747475013673597,-0.4110517284608134,1.0,-0.21789754596353775,-0.30416390280677075,-0.043567746009254026,-0.9152396282622985,0.5196524486513778,0.07799925307997133,-0.2997436503361458,0.43224824536459955,-0.308064372663151,-0.752642287996332,0.39769380578637853,0.12979035538683656,-0.1089870336605519,-0.5938485811253734,0.26852802107746576,0.31760286901686574,-0.36830562264021105,0.6000078773210908,-0.07004767363807675,0.08207474579639285,-0.34523747744658495,-0.6598651170317065,0.44554486395430637,0.15859573134697244,-0.13804618306606756,-0.7956547617226453,-0.5330593926284375,-0.45166433649101717,-0.5916550160716448,0.5780506310242616,0.8705135217848232,0.27741137116225006,0.11616142885375232,-0.5849100667676138,-0.21789754596353775,0.5250606871101604,-0.16836538544798194,0.6854933771085666,0.6301318745977394,0.759406201628026,-0.27968700934074925,-0.15408476301720206,0.25891441020883205,0.6048360009419305,-0.3477331733366248,-0.2889811782137353,-0.37890265237236775
X,-0.3913100330124527,0.5679127566756768,-0.21789754596353775,1.0,0.43812581923087857,0.0713778563459396,0.22395475503624024,-0.3675721155770643,0.45866696886428626,0.28633478032534376,-0.6258475566077343,0.7407072301666214,0.36943743316690014,-0.32850665339847807,-0.6251162893353117,-0.4674704054136967,0.0669863198101868,0.7753789541075502,0.6766926814088311,0.41722699748768943,-0.6422257842197896,0.4427244571067576,-0.28749384612815415,-0.4159791430567734,0.7990267820761137,-0.709030300562234,-0.6130823921449428,-0.20000000000000004,0.40189798149287326,-0.6627760937607877,0.7918053569389271,0.19775267982441008,-0.22335885905585132,-0.20000000000000004,-0.13280940490181303,-0.3829955913224899,0.6684399375077961,1.0,-0.6256593980384857,-0.6222947222234914,-0.18645706962160036,-0.5303843827423709,0.3311070630874483,0.7205508022904125,0.6777069120906596,-0.19999999999999996,-0.3319829985668582,0.6248384719642477,0.8524946491648028,0.5047437002952262
ADV,0.09732239104970695,0.11357953927005474,-0.30416390280677075,0.43812581923087857,1.0,-0.3576296927170804,0.5643876927801542,0.008406407444919462,-0.34323595199879514,-0.3043899481094685,-0.1659079784057104,0.8614548669816828,0.38821000945932665,-0.23195826655972715,0.13710586246188328,0.4824002512581858,0.43903158282916355,0.2647746267181156,-0.04230278134244367,-0.032859289399822245,-0.6863650290126552,-0.34287153347870203,-0.8042285888110889,-0.04035718538985425,0.4970748086001533,0.014796885512290088,-0.21479358662233425,0.2957907922330097,0.7337926417149023,-0.2859927564636815,0.006121913924766011,0.24527026345001868,-0.6898611793694418,-0.3605576008242047,0.3574244935154252,-0.4064633569418524,0.7524674448094743,0.43812581923087857,-0.18193172742694444,-0.04028333987456328,0.18874296571115382,-0.45891647017911147,-0.2737026889076215,0.041500895525760584,-0.1310846556243404,0.03507578052438703,-0.1975394090667114,0.48854867990930584,0.06384793303466146,-0.061992884101310146
PART,-0.8901409176053238,0.7705973388350851,-0.043567746009254026,0.0713778563459396,-0.3576296927170804,1.0,0.05709918983568539,-0.7331983256622646,0.8630348409648716,0.8614978375379123,-0.5436681627697019,-0.3619953947745555,0.28622355877311395,-0.8087898245087864,-0.8001499397727245,-0.04328499291421565,-0.7396861485719867,0.4187992464702546,0.5826573821336807,0.8536847078998105,0.5313388120169381,0.8571620112725509,0.07754152316147901,-0.027431860707828902,-0.18827974423224184,-0.5073518071642068,-0.7313504292429511,-0.31755643765495506,0.03225197535087313,0.19511455246900408,0.20957741766865184,-0.18849649008631866,0.5625449770588933,0.43494008269825535,-0.8552409254692288,-0.5921284302590459,0.21920306952082552,0.0713778563459396,-0.5528219187622594,-0.370307287763221,-0.28274466641725865,0.016757735896433663,0.16926996283511195,0.602836802455256,0.08886465968036736,-0.8330408542990186,0.5600660121476858,0.5362229293523767,-0.04195124358560477,0.8539676195758075
CCONJ,-0.3483466523468731,0.4811488068278415,-0.9152396282622985,0.22395475503624024,0.5643876927801542,0.05709918983568539,1.0,-0.4254463962235007,-0.11524026229333732,0.1630240628158392,-0.5170078991292159,0.4075108343532988,0.6883672644558693,-0.529470668651937,-0.0740252257841697,0.42834357818334545,0.5624700314962934,-0.15355528705159258,-0.25273335689148874,0.42694945310284144,-0.5717746898263553,-0.04434066167408361,-0.292540383691195,0.4585616743579311,0.5533409604782558,-0.2694699143984279,-0.31716034880831956,0.36735190367734255,0.9581732693351152,0.4187616839420665,0.3194945236926367,0.6494304596379858,-0.7121538185564334,-0.7386717240419014,-0.1323067828803074,-0.41186371995268994,0.7236909223193865,0.22395475503624024,-0.5878824700261515,0.2559019841607935,-0.39175175336048884,-0.5141774192489514,-0.8094610108802722,0.1757735918692664,-0.12178532854559876,-0.4033128975783667,-0.45624835813346326,0.4518162506888191,0.08450223368335848,0.37689297107653147
NOUN,0.7353279242580705,-0.748720308776411,0.5196524486513778,-0.3675721155770643,0.008406407444919462,-0.7331983256622646,-0.4254463962235007,1.0,-0.63845172310185,-0.9414996418092938,0.4888996010453091,-0.15863153167620356,-0.8396850830772085,0.8295680463422603,0.8041098126972405,0.1860565876425046,0.3425696834585366,-0.3849016324133609,-0.3697242895117092,-0.7387151626357236,0.07066467364081444,-0.8168423719113508,0.2632270046000202,0.2911957122045684,-0.41934517452490533,0.8577086819414567,0.6058242550478066,0.5659186220601261,-0.37194004107495676,-0.28862062242487074,-0.4005516196359429,0.15195619926151507,-0.27540273437669505,0.1372627653147232,0.9249569173094966,0.3737392542275299,-0.6327695451757738,-0.3675721155770643,0.5676862889273925,0.58842419302257,0.7681973801614417,0.6592111302683933,0.021060936444311885,-0.8665266484610854,-0.4867067650499233,0.5502663887226958,-0.174271183290268,-0.8117901320767088,-0.33941869846273337,-0.8358163192004753
SCONJ,-0.8689443745016687,0.8037159273623363,0.07799925307997133,0.45866696886428626,-0.34323595199879514,0.8630348409648716,-0.11524026229333732,-0.63845172310185,1.0,0.8074607401964011,-0.6730664817913259,-0.15372535524053163,0.15989924435563324,-0.6470216108809985,-0.9460885665201403,-0.431091657100391,-0.6953856057540604,0.6990841678577188,0.8708470178838295,0.8296805359607108,0.313130391381215,0.945617614870979,0.16951589738067188,-0.23970510902809952,0.06199522347623936,-0.6832860834126626,-0.8110520653275588,-0.3897275646298706,-0.0600550740071304,-0.23810354540543566,0.5497278869088819,-0.12966192994354395,0.5337035173520029,0.4354770399210374,-0.7297145755359239,-0.5425920306102002,0.22514050745308056,0.45866696886428626,-0.6564568624094507,-0.5901353073411822,-0.22754633490440554,-0.019859044556397747,0.478429858887193,0.765505685267408,0.4274986025777221,-0.7215051713654382,0.34536546209560687,0.5292542130148958,0.380451846028592,0.8741402767314426
VERB,-0.7904100853104105,0.7365799905621084,-0.2997436503361458,0.28633478032534376,-0.3043899481094685,0.8614978375379123,0.1630240628158392,-0.9414996418092938,0.8074607401964011,1.0,-0.47638599054609015,-0.09951900573254845,0.6162494881287853,-0.7548948508194377,-0.8812742727476657,-0.3442848713601856,-0.5554020009867987,0.41640477223803624,0.5037619416951521,0.7675955264420093,0.18655808260095366,0.9406943531368637,-0.018085661813362672,-0.30548469414161633,0.21695277207413216,-0.8310855906148146,-0.6104416169920518,-0.6277197810522313,0.0983267448518429,0.23354300963010263,0.40834354356871666,-0.24677837689781934,0.5204206762762461,0.09814954002522006,-0.9851952715278007,-0.3258460642886563,0.3831238128082291,0.28633478032534376,-0.5314143556005969,-0.6124502582360686,-0.6942910345115575,-0.42720326317600316,0.17585689640221955,0.8530700182701808,0.5089073788573253,-0.5952384902907957,0.29813738673516005,0.6647708504607552,0.32250311492198847,0.8638789566241438
