,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0000000000000002,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0
PUNCT,-1.0,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,-1.0000000000000002,1.0,-0.9999999999999998,-1.0,-1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0000000000000002,1.0,0.9999999999999999,1.0,0.9999999999999999,-1.0,-1.0,0.9999999999999998,0.9999999999999998,-0.9999999999999998,-1.0,1.0,1.0000000000000002,-1.0,-0.9999999999999999,1.0,-1.0,-1.0,-1.0,-1.0,-0.9999999999999998,1.0,1.0,-1.0,1.0
AUX,-1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,1.0,-1.0,1.0000000000000002,-1.0,-0.9999999999999999,-1.0,1.0,-1.0,1.0,1.0,-1.0000000000000002,-1.0,1.0,-0.9999999999999998,-1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,1.0,0.9999999999999998,-1.0,-1.0000000000000002,1.0,1.0,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.9999999999999999,1.0
ADV,-1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,-1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,-1.0,0.9999999999999999,1.0,-1.0,-1.0000000000000002,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,-1.0,-0.9999999999999999,1.0000000000000002,1.0,-1.0,-1.0,0.9999999999999998,1.0,-1.0,-1.0000000000000002,0.9999999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0
PART,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0000000000000002,1.0,-1.0,1.0,1.0,-1.0,-1.0000000000000002,1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0000000000000002,1.0,0.9999999999999999,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0000000000000002,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,0.9999999999999998,-1.0,1.0
CCONJ,-1.0,0.9999999999999998,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0000000000000002,1.0,1.0,-1.0,-1.0000000000000002,1.0,-0.9999999999999999,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,0.9999999999999999,1.0,1.0,-1.0,-1.0,1.0,1.0,-0.9999999999999999,-1.0,1.0,1.0,-1.0,-0.9999999999999999,0.9999999999999998,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,1.0,0.9999999999999998,-1.0,0.9999999999999998
NOUN,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0000000000000002,1.0000000000000002,-1.0,-1.0,-1.0000000000000002,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0000000000000002,-1.0,-1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0,1.0,1.0,-0.9999999999999999,-1.0000000000000002,0.9999999999999999,1.0000000000000002,-1.0,-0.9999999999999999,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-0.9999999999999999,1.0,1.0000000000000002,-1.0,1.0
SCONJ,1.0,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0,-1.0000000000000002,1.0,-1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,-1.0,1.0,-0.9999999999999999,-1.0,0.9999999999999999,1.0,-1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0000000000000002,-1.0,-1.0,0.9999999999999999,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0000000000000002,1.0,0.9999999999999999,-1.0000000000000002,-1.0,1.0,-1.0000000000000002
VERB,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,-1.0000000000000002,1.0,-1.0,-1.0000000000000002,-1.0000000000000002,1.0,-0.9999999999999999,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0000000000000002,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,-1.0,-1.0000000000000002,1.0000000000000002,0.9999999999999999,-1.0,-1.0,1.0,1.0,-1.0000000000000002,-0.9999999999999998,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0
ADP,1.0,-0.9999999999999998,-1.0,-1.0000000000000002,-0.9999999999999999,-1.0,-1.0,1.0000000000000002,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.9999999999999998,-1.0,1.0,1.0000000000000002,-1.0,1.0000000000000002,1.0,0.9999999999999998,1.0,-1.0000000000000002,-0.9999999999999999,-0.9999999999999999,-1.0,1.0,1.0,-1.0,-1.0,0.9999999999999998,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999998,-1.0,-1.0000000000000002,1.0,-0.9999999999999998
