,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,punct
len,1.0,-0.9070041153342359,0.116363664610157,0.8008335301425293,-0.015683367342180846,-0.8311024315491458,0.3250054733469106,-0.5804081123203051,0.4501771063915985,0.40386251583921734,0.11148218016579468,-0.6619914240633373,-0.8220255140058338,0.08400358858573546,-0.3174240392611657,0.33176052268296236,0.647584743567794,0.12714498886966855,-0.9862094902093212,-0.9988545301347638,0.8899705860796672,-0.4385173295171056,0.4347839948915889,-0.4617893934406182,0.6889784264188976,-0.350021005076032,0.10761796367838226,-0.6818195555435718,0.15450203446468538,0.8905516512322937,0.06867566315688052,0.7915504117715099,0.647584743567794,0.3585933249785889,-0.9586175887049841,0.7947936170034948,0.2520157376446095,0.13328939262207992,0.29057772129369636,0.23751787932268584,0.4442118418574702,0.11108525347495832,0.5970955167548887,-0.6549323006595503,0.022330508398889466,-0.2043266916879477,0.3141863754109746,-0.9916724313388732
PUNCT,-0.9070041153342359,1.0,-0.48464459129336873,-0.71167197311879,-0.4059074188331962,0.6781817788293023,-0.1837000373264487,0.3125357808301007,-0.36381139115095107,-0.42343541226503834,0.3127871514756222,0.7759161827113421,0.9500594715162789,0.09121846351452319,-0.02081206351329995,-0.6974839515201579,-0.6588826921166261,0.1349708613056973,0.964034930513881,0.9083181632256073,-0.9935172952522462,0.1337824114396829,-0.7703380345674102,0.046979760043998994,-0.3508268911473912,0.7117632685518755,-0.027250679633522536,0.7401151448671306,-0.15718372427633787,-0.8832232260606903,0.35521091815519,-0.9739025795130504,-0.6588826921166261,-0.3065109365553078,0.9603057117179603,-0.49799759906035956,0.12629584249513323,-0.2855874352859266,-0.4731027907183614,0.027005773220685564,-0.5736445626094767,-0.3113977593961796,-0.25612227669751303,0.6650828758078513,-0.3425710573755822,0.5975280286601746,-0.5453934256711526,0.9530472948473111
AUX,0.116363664610157,-0.48464459129336873,1.0,0.3126571063918898,0.8682965505139917,-0.15587861237384157,0.18143571236445508,0.12262463825355997,-0.4147879515432652,-0.21049210688463654,-0.9334340621487213,-0.7135719602989655,-0.6575944804400149,0.035309156743302206,0.8753981111938505,0.9097603269092803,-0.08344598308001128,-0.1870452859706018,-0.2587436732982898,-0.14120078174584966,0.5482183178896333,0.242965976753823,0.9036756310333964,0.7762969703711459,-0.639549306485166,-0.8957831289862707,0.2733470692728752,-0.6214747240794878,-0.3597872050594576,0.08957627946839451,-0.8377431131122536,0.6658497566641886,-0.08344598308001128,0.3929266197775745,-0.3836916016065467,-0.5085709169315767,-0.5296466362701439,-0.014538417873879963,0.1388221451070662,-0.8189077387012874,0.08145172448617409,0.8235457336877977,-0.7207135508834975,-0.5371864758134014,0.9614903004017842,-0.9102345837716989,0.8955080260870132,-0.22170036759004044
ADV,0.8008335301425293,-0.71167197311879,0.3126571063918898,1.0,-0.08722704040304881,-0.9865104947417114,0.8124501374940638,-0.8630742379242242,-0.16590818126394696,-0.22220122188618024,0.03575739055808472,-0.8880789591536197,-0.8192389022633085,0.6274324487058446,0.07986269820966914,0.26619226509817046,0.06857048062661472,0.597317043295954,-0.7773813374490092,-0.8281337607416518,0.7633845313755105,-0.758115613048003,0.38736131795932216,-0.35059126368574034,0.3837671465240918,-0.26501554988915055,0.677956066858548,-0.9377227705871831,-0.4678771267271986,0.4569785189259297,0.15617764370977652,0.6505701179437238,0.06857048062661472,0.8461995526836088,-0.8712619089517598,0.4774123481992873,0.5156645031672564,-0.4513495346199281,-0.2732844506010675,-0.2574899690038297,-0.13605744319846524,0.584941745315599,0.24533300584144427,-0.9590040147746081,0.37573589191904944,-0.13705097915828623,0.6607000750286176,-0.7779484134474224
PART,-0.015683367342180846,-0.4059074188331962,0.8682965505139917,-0.08722704040304881,1.0,0.2273087950105528,-0.3288195810202588,0.5582800591955,-0.053352317481301884,0.18934543939297,-0.9725010185927617,-0.36380463145480074,-0.45168409512456464,-0.45885481769551045,0.6962220717445512,0.9305769146629552,0.20881808133809954,-0.6479021865220399,-0.15001432501258669,0.013260419923570532,0.4200442747335713,0.6751482371580311,0.8760633497731614,0.8826224612038167,-0.6388371629446681,-0.9266655696776057,-0.23373167493468905,-0.23280528756451588,0.10380301052882045,0.1927510453716272,-0.9975768959835584,0.5897461588318975,0.20881808133809954,-0.11219180129975986,-0.18776603149383303,-0.5206783198648717,-0.8763924559171938,0.44880557227196743,0.5463733696491745,-0.5258824973587296,0.4508090571016633,0.44000618157753185,-0.6569845805805825,-0.1089385574440927,0.7203339714267998,-0.9724737843742465,0.5639888927338714,-0.11273229940359497
CCONJ,-0.8311024315491458,0.6781817788293023,-0.15587861237384157,-0.9865104947417114,0.2273087950105528,1.0,-0.7954811463336242,0.9086066748849383,0.07354884907165406,0.1648787515201825,-0.1918768154136416,0.8032359524989217,0.7525653359640804,-0.622128749508614,0.07887477432456254,-0.13595953713986816,-0.11674265265489038,-0.6303616509269261,0.7841314729054321,0.8541591700402648,-0.7183873567734335,0.8160138725939018,-0.26289924983827545,0.49834715556599063,-0.5216296775916702,0.13803361188028682,-0.6352705252731959,0.8684555972446356,0.3984289755736154,-0.48790537280246815,-0.29375989438159916,-0.5820357545518716,-0.11674265265489038,-0.7967771090970402,0.8557677790974706,-0.5993112037756255,-0.6112045137984858,0.43875552355955866,0.2780236039814933,0.1110066008410328,0.12412465617650362,-0.4544731445313369,-0.39219404624670123,0.9017056459148818,-0.21962730356283702,0.000677541753429713,-0.5291767133656388,0.79095627695527
NOUN,0.3250054733469106,-0.1837000373264487,0.18143571236445508,0.8124501374940638,-0.3288195810202588,-0.7954811463336242,1.0,-0.9006775397408481,-0.6310687728996308,-0.7261633198155645,0.16211413376485237,-0.671020848411122,-0.4092712488128347,0.9619979041560154,0.24976077976133643,-0.08991474235927642,-0.5089503988553818,0.9192791611834118,-0.26686668444269257,-0.36631862942920784,0.27294953480772705,-0.8927925537217686,0.012606551155119246,-0.3070207421961021,0.10593325823421815,0.10683832586268768,0.9691132631515572,-0.7556773787969009,-0.8569884890615537,-0.1375351929043238,0.3849981239174454,0.1544559307719568,-0.5089503988553818,0.9750984434004735,-0.42341128665840444,0.12822394851119942,0.7362766351988967,-0.8868761998138323,-0.7790624072680804,-0.4815242946345054,-0.6881487939956356,0.6840728895097918,-0.01675041828167259,-0.8373246856998964,0.3895072965156614,0.18030112270267662,0.5931718889645325,-0.2708381467066024
SCONJ,-0.5804081123203051,0.3125357808301007,0.12262463825355997,-0.8630742379242242,0.5582800591955,0.9086066748849383,-0.9006775397408481,1.0,0.24940897879009938,0.41035252825947177,-0.4704445772453768,0.5691055898717884,0.41984770150386863,-0.8322712846784783,0.17370851944686197,0.25025320937442413,0.183213336867757,-0.8811247903844841,0.4814532106796807,0.607153869283545,-0.3622020599308699,0.9828400568975157,0.12627752123204972,0.6632833651061141,-0.5274480751667253,-0.25392380550945554,-0.7711352029498899,0.6766897357121411,0.5592264569392923,-0.15972834368458574,-0.6143204505963529,-0.19101699145240425,0.183213336867757,-0.8242277218529274,0.565102139951986,-0.5411102134501299,-0.8771265772463234,0.7009145893374948,0.6042971962863015,0.0677481419977336,0.4566360692518764,-0.35702117137114847,-0.41778331785309675,0.7632832003116335,-0.03360702851413912,-0.3705256133658689,-0.3267418378858548,0.4983929201761237
VERB,0.4501771063915985,-0.36381139115095107,-0.4147879515432652,-0.16590818126394696,-0.053352317481301884,0.07354884907165406,-0.6310687728996308,0.24940897879009938,1.0,0.9696433892043724,0.2842585358516476,0.29840531004732385,-0.054962014783957215,-0.7303507661829068,-0.7537145361982596,0.00037659818088649585,0.9322184649877511,-0.5840521855714017,-0.4363804214773429,-0.40693430285536386,0.2558701135094493,0.3074369132992084,-0.00289024963631321,-0.3753849527305486,0.6617360058497547,-0.032882804081550976,-0.8028757223491217,0.3194510880285257,0.9405569250959773,0.7526532596089286,0.03690524295550745,0.23594824440691953,0.9322184649877511,-0.660623742744389,-0.24400106403806582,0.677030657288583,-0.21935124497076613,0.8261204099928715,0.8028923893459037,0.8614956377571767,0.8655117531844009,-0.7642790117976268,0.7207974709675572,0.3761201154101225,-0.6411240221333283,0.02265937331965713,-0.5625899592783293,-0.45044546706496014
ADP,0.40386251583921734,-0.42343541226503834,-0.21049210688463654,-0.22220122188618024,0.18934543939297,0.1648787515201825,-0.7261633198155645,0.41035252825947177,0.9696433892043724,1.0,0.04454679987055511,0.23973638351200466,-0.12870542921496064,-0.8466643306853782,-0.5729462064920924,0.21127346214491743,0.956613539293209,-0.7477031874700776,-0.43075630842558726,-0.36116388582551356,0.3194272838214404,0.49063244735641676,0.1903210278552039,-0.14239931977842374,0.47851149791253916,-0.24210806604885798,-0.8658617796575889,0.2934080078129542,0.9609807905234408,0.762211041487108,-0.20754491357998273,0.34483188400940645,0.956613539293209,-0.7047896751267678,-0.2483067917031444,0.5178479287654406,-0.4429772599255031,0.9307576913120379,0.9242655722203862,0.72567579584256,0.957199917608527,-0.664201461322221,0.5372998816038616,0.3790208042334335,-0.4690490319000859,-0.20387337385178272,-0.4408924607170919,-0.4355867688177852
