,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9445537014888952,-0.5096535373044351,0.2757104726111894,0.5899221205038362,0.3449748198476919,0.08231163519772851,-0.04542222974019792,0.4904621169632014,-0.17164027274553628,-0.47355278678021157,-0.43401507435231157,0.28431244074638384,-0.7592487140716316,-0.4735799746842521,0.003524560215769285,0.4369208532464229,0.10878351651804843,-0.029606493703214963,0.04977411536134224,-0.9781796902339164,0.6070709091137041,0.4694226760094367,0.49717931821435535,-0.19144770102857608,-0.45806108571298276,-0.18954857032437455,-0.2904131299420689,-0.1707982562942559,-0.1961479703423886,0.26431738544225397,-0.15393847795111879,0.6352032472947956,-0.1649813642989397,-0.3972611064923558,-0.18302012375545898,-0.2463168074501414,-0.5985738544874538,0.13514268796508502,0.49413952552283935,-0.5590853983322571,-0.3844281936572709,-0.327361177164321,0.2791628997436643,-0.3447502105425943,0.42957846563655033,-0.24151016603566336,-0.16681196659212089,0.0877894352828126,0.5232446484468234,-0.23856414785788335,-0.9548646766578611
PUNCT,-0.9445537014888952,1.0,0.3358590059656244,-0.17299106427849167,-0.6364100917457095,-0.23962400069027606,-0.17860941127964453,0.05858930880605878,-0.5105046429490234,0.3715046318212509,0.5595496690666835,0.5324621359879056,-0.26173653386701556,0.7561385262029816,0.3492372708395957,-0.1938999551848125,-0.3141094629933562,-0.0010852997828909347,0.07276031567820766,-0.019547256610309264,0.9690049964137974,-0.645808518080486,-0.5046943387180229,-0.5459988067856919,0.25813423590161066,0.31937694373445896,0.37512582563082303,0.38521576147324066,-0.009530581626484534,0.44537016164467025,-0.3145886312621209,0.17536391975107077,-0.592491363432441,0.1372570656282771,0.4018532273659239,0.3996355768528546,0.2056130462697344,0.5050323924206526,-0.16509870741538185,-0.44735524029672546,0.6364574054631288,0.24923004612350066,0.2497203444331926,-0.33442775718752804,0.2661645136417168,-0.30107912626499816,0.3186971979043139,0.030076367532763253,-0.06179033131685803,-0.4393740331280739,0.17949369253016229,0.9844908830539607
AUX,-0.5096535373044351,0.3358590059656244,1.0,-0.23739863273242323,-0.2544306909910321,-0.2542751356864354,-0.037509535275988985,0.07134810996704852,0.08750841079571174,-0.4064646908673178,-0.06573458594784329,0.17475142015898038,-0.41488675096993,0.4465271135639511,0.5399613363582155,0.11254184372350674,-0.255225723681807,-0.4252844805784272,-0.08141745013490334,-0.24155134861953123,0.4091083720586593,-0.0057016539277801,0.09409384853264541,-0.27290027082964213,0.2754658305502539,0.8489006853773445,-0.13119919906889937,0.1005557449453788,0.21423882034067585,-0.2610043767014026,-0.1580241638915564,0.0798902835786619,-0.38635564010404194,0.4891221829149807,-0.1858180110072597,0.03363092889789948,0.32969124167912667,0.5779843483017345,-0.10884985511455954,-0.34068492853457566,-0.019291743623110563,0.11961176879608827,0.7887821728360641,0.2467893066058902,0.6167066031300935,-0.6339392723181607,0.12892046067292046,0.7939991813910557,-0.4244968630028604,-0.467240708990244,0.6542565196431611,0.3398737921100718
X,0.2757104726111894,-0.17299106427849167,-0.23739863273242323,1.0,-0.2244180710891387,0.39038234354678764,-0.11009725872671416,0.4319528952139857,0.0018249305294790364,-0.1264567083344472,0.020086186971530324,0.3364372912602132,0.024366371273623226,0.2547919193825827,-0.1683592874860542,-0.31038711900365024,0.0025643477066017314,-0.04965128465149244,-0.10000000000000002,0.1251229835800718,-0.20440041022676672,0.1708678789193427,0.026852231131972052,-0.14101640123387585,-0.19258372328339082,-0.3122493053132315,0.5527402742229877,-0.009700866316942508,0.34911696187346825,0.2975050526222052,-0.052625137976818386,-0.04689550696341995,0.46015388959718706,-0.23675594236364253,-0.05837848092006064,-0.14860303898160415,-0.30639492516666517,0.2637004726698795,-0.03741919096093618,0.8681768098330673,-0.00030524666903224037,0.008355044193469685,-0.23192867165137154,0.09976053720991232,0.020643129179846304,0.2396005794432158,-0.6280044852369098,-0.2583306152918636,0.09345744699840783,-0.007999394784739756,-0.15826767465934682,-0.20595687551740227
ADV,0.5899221205038362,-0.6364100917457095,-0.2544306909910321,-0.2244180710891387,1.0,0.18755944487850393,-0.37586085329245644,-0.5582391568256947,0.3928575123655676,-0.050551904079249345,0.0929441310038154,-0.49357537047092,0.08850916779782982,-0.5807724551352548,-0.03140531201763195,0.3338509806040306,0.12172552663905509,0.25496912348913403,-0.1449396256408037,-0.1523616170657363,-0.6289192641916471,0.2892965940215933,0.5079511431473511,0.4167656186019368,-0.31797608409879197,-0.16384717688716557,-0.47812153742364544,-0.22398054981818352,-0.14272012923697117,-0.5710771456296956,-0.24072498485037408,0.20031445190621144,0.5478025822869881,0.2577916630260898,-0.259607953165038,-0.3160405899778941,-0.02177629612232389,-0.4739544822714916,-0.37707907198734714,-0.04363112339812857,-0.05993638019561392,0.040967873053014546,-0.11283919792413542,0.1541304695701427,-0.33766914541771287,-0.0034194532068330596,-0.0818714934003411,0.03471335772337849,0.37745848542724414,0.8035650185287943,-0.2368120712283128,-0.6502418365982439
PART,0.3449748198476919,-0.23962400069027606,-0.2542751356864354,0.39038234354678764,0.18755944487850393,1.0,-0.020185053148153394,0.1961807234535687,-0.017321871857439147,0.12475446298799893,0.23842079255766502,-0.05613668086931294,-0.11841883262598726,-0.02437713153045242,-0.11966429465588431,-0.07545699939701034,-0.27882541348350215,-0.08272548545649579,0.5024103218044345,-0.046641323452077374,-0.2719512230669041,-0.02308598149722439,0.05296435285766521,-0.4064814357669589,-0.4170671823528891,-0.0426427516980663,0.5958876906548298,0.47959984009237117,-0.07085280771518603,-0.23286564318908512,0.11543698493249689,-0.008004924164757666,0.4045262214710527,0.12621536514581688,0.07996016662854763,-0.15984622230797627,0.1412551369457344,-0.31984200596074125,-0.33235286765668987,0.298037785641841,0.11782529594476142,-0.040594521682804245,-0.1982509239586467,0.596370044349212,0.0672459371588205,-0.01547406963147345,-0.38784976186761044,-0.10101630904372537,0.3256965419380007,0.4537696779837796,-0.43819897170253413,-0.31979636377133164
CCONJ,0.08231163519772851,-0.17860941127964453,-0.037509535275988985,-0.11009725872671416,-0.37586085329245644,-0.020185053148153394,1.0,0.6618385817235551,-0.007933989741824304,-0.24833622600149885,-0.5117024148446517,0.055602979132608976,-0.1992701356392701,-0.1558465158124034,-0.20259230290692753,0.005784742253034535,-0.20175530222681642,-0.03217064440487336,0.27178883115442054,-0.09133500405908196,-0.10196060557658357,0.2613544151949511,-0.09567289623754054,-0.0212958493387265,-0.24532336211936448,-0.19951490753320267,-0.19692000972672877,0.14223929088209017,0.16336586486925328,-0.0999767002156764,0.9687705471056558,-0.23450244248412044,-0.43517167354814157,-0.4594954767538991,0.2591914210967468,-0.10482562908696381,0.11442087108437385,-0.06891154484113193,0.7606035661874533,-0.011192407756340303,-0.37239457967481904,-0.09272880691333416,-0.30026598856141057,0.1896042443820178,0.27638619644230167,-0.02535336916761282,-0.1905461612756256,0.09549195922404943,-0.49763761694412345,-0.4326827846015915,-0.22489840868811678,-0.13055628470792577
NOUN,-0.04542222974019792,0.05858930880605878,0.07134810996704852,0.4319528952139857,-0.5582391568256947,0.1961807234535687,0.6618385817235551,1.0,-0.14932690913568727,-0.2754370264294826,-0.15980521122235677,0.599768341601219,-0.49310571431797334,0.39732664327219236,0.14080731430135435,-0.3592068378066576,-0.3717952140201546,0.07668304393756685,-0.01955179570055045,-0.05847143733919365,0.08373356549901657,0.1970297150854096,-0.14784791737002506,-0.5078685422918767,-0.2775964190907556,-0.17383663879858696,0.26183174214355176,0.33317397362957235,0.3833612414832312,0.19625185388225871,0.6600934176914786,0.11883979802570324,-0.23227763103345958,-0.5168882720197053,0.3168268920335548,0.15185354024074435,0.32270002331792536,0.39680881098992354,0.37064087435218135,0.2496934130517423,-0.0847601338448303,0.1223240910276713,-0.09342806465693261,0.09356068136235075,0.3810518330706428,-0.3232383172963984,-0.4948117649095917,0.2924917331907744,-0.48305719051935164,-0.39356554785795755,-0.21250676821230882,0.021028534740037706
SCONJ,0.4904621169632014,-0.5105046429490234,0.08750841079571174,0.0018249305294790364,0.3928575123655676,-0.017321871857439147,-0.007933989741824304,-0.14932690913568727,1.0,-0.40710094569385935,-0.40008906898779273,-0.29842526684941006,-0.1492371612018183,-0.3613641291391751,-0.4411210124749618,-0.019671164858254694,0.5562673488784244,0.38579131681031514,-0.21309669201438178,-0.710460072520194,-0.47862242110833725,0.900776843867726,0.971286237074114,0.4824502960537035,-0.03487778136620723,-0.14204857717543734,-0.34542878520998815,-0.08290883009015212,-0.3665720843734675,-0.08880152382276081,0.1105805139274785,-0.08011985504413045,0.25024533310824204,0.20316509297470106,-0.7762670350451688,0.04633829983955243,-0.3939500385196787,-0.09720651270429645,0.26598083854215726,0.32345609436056133,-0.43078146588350824,-0.5517599976930327,-0.09845851921016269,0.0900250052001484,0.3413582393186198,0.21909206837435366,-0.2296303497242031,0.15067811512688986,-0.3217382644204655,0.20136249609276088,0.023447097264275147,-0.4661972795853563
VERB,-0.17164027274553628,0.3715046318212509,-0.4064646908673178,-0.1264567083344472,-0.050551904079249345,0.12475446298799893,-0.24833622600149885,-0.2754370264294826,-0.40710094569385935,1.0,0.41829051297433445,0.26559822663475285,0.00484349490652309,-0.15744957047415287,-0.3416898186307281,0.07692954320185166,0.07860410482590706,0.07645348996057243,0.5394385190983296,0.11202927780574752,0.17156444310920047,-0.5890967303796881,-0.44079600190896967,0.07735756809480486,-0.09082453914765612,-0.29202052079327073,0.2737176591111581,0.47930459927063157,-0.5429172663505786,0.34674494357308405,-0.18182061463479007,0.24732682302417158,-0.3424704148009356,0.27194812507931054,0.2953033475665962,0.3707962456491567,-0.24174834769869,-0.49718815260335775,-0.11814538519832454,-0.34371254122676603,0.48107075612294414,-0.28220121909296947,-0.15789652827343048,0.05396989812748682,-0.3855694299008165,0.3233165164560691,0.5148876248487029,-0.4959877841676942,0.3242435311997975,0.03476611930861447,-0.2892722804759585,0.30580121179323866
