,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.6242443911435633,-0.34696014420506854,0.26940672499341134,-0.4824047902057887,0.5318794739246298,0.6921221107607963,-0.14484256925847935,-0.15284494122518538,-0.30490122127891006,0.5966446089045329,0.07593568729109357,-0.3927327502214302,-0.10991499183860992,0.5591918718920784,-0.06688017736033124,-0.17925863821844923,-0.21384775833692846,0.0692368577712975,-0.8564182778803718,-0.4017155871023631,-0.29784487076429905,0.2835941452137899,-0.08788110132822101,-0.10379889763894445,0.04099978967224294,0.028920739925263363,-0.4517885249076396,0.0065818446647271265,0.7276183735745201,-0.19901893951315638,-0.007690446004249672,-0.09636722092198673,0.4974586927122346,0.4942491189342821,-0.3744997610657273,0.4817812982827759,-0.19063391255918039,0.6226433059985196,-0.6964653929792392,-0.4398935908892058,-0.12766550322153236,-0.45100761720264304,0.13052722144393528,-0.43347389228406447,-0.442156075370866,0.21287115596338704,0.17144604297011415,-0.42301275720824777,-0.039416803727693746,-0.7034079260700712
PUNCT,-0.6242443911435633,1.0,0.5621927998969948,-0.25003555467849603,-0.0591664920231981,-0.30318686382905274,-0.7100875108454001,0.07251491239995284,0.256827913044483,0.4796431891718198,-0.447282631433572,-0.3974553095143794,0.22530517879943235,-0.5014701182743979,-0.5836777446315753,-0.05910661320002524,0.5190853934058417,0.23404883756354375,-0.1949486056989912,0.8758544857842697,0.3243953050844658,0.2742798188653533,0.15472748621977436,0.1781253782864937,-0.13703061806563635,0.38254991375825415,0.0002223596997518617,0.4033560640144194,0.23518383160049086,-0.7699343720650014,-0.22666043450398685,-0.22962163985446113,0.09436586199598732,-0.8840455062558378,-0.2760685689732964,-0.2720759552400805,-0.737185828586288,0.046052067321151385,-0.4665947598056346,0.2998730245794123,-0.05162247618844534,-0.10256187761801598,0.8384164693933411,-0.15984543088917166,0.5646951454383666,-0.04277581662910516,-0.4352838997869852,-0.46128885086413096,0.27235938750786065,0.37295501136415343,0.9800123472165572
AUX,-0.34696014420506854,0.5621927998969948,1.0,-0.32919999460143345,-0.17296720737802077,-0.09968185507062337,-0.6205545048605543,-0.4449950988797727,0.04031439266369667,0.19388202178722208,-0.11106525071316348,-0.43645885524928363,0.4057859096029957,-0.47098431164349897,-0.4467774642307248,-0.45174777433232255,0.40424447063303576,-0.12609372579670364,-0.2225851635593662,0.6029020334633609,0.3423070607930659,-0.22796805144025517,0.2813855461415817,-0.42783499499496735,0.46715326892058234,0.341699415753954,-0.25028707752397483,0.15901731923711981,0.2533639252581585,-0.5953416900992009,0.17355366407043196,-0.28639564277335733,0.3000364141381106,-0.6572396954849715,-0.46373507026630706,-0.4756847675946796,-0.533606105522351,-0.37322972023995005,-0.07721422455168118,0.18453587697597876,0.4826368138496773,-0.46593601496965814,0.7828267887165561,-0.05423914789093114,0.12937580837724386,-0.048589760649763204,0.13554678645830226,-0.27826480983851076,0.41463224023856604,0.2649435465579217,0.6296587059563377
X,0.26940672499341134,-0.25003555467849603,-0.32919999460143345,1.0,-0.287805826359769,0.045804094935396326,0.3208401170608395,0.2861099085143077,0.11734727649106333,-0.5770969259441143,0.17685629406489894,0.24736074097690747,-0.19732392764937967,0.21258588830101674,0.5987092979984322,0.4796370598322985,-0.15350907511449735,0.10178504340590436,0.5740499076571149,-0.29675713665819986,-0.40658105096225494,0.24955624875850688,0.10645953617274209,-0.16574850695240104,-0.23030045452490328,-0.17686785889486792,-0.2358704182148331,-0.00916126564480066,-0.16596788842822044,0.17568832031461726,-0.6383168079540295,0.24492213376324254,0.16258893498408858,0.4596344412927647,0.33800824842703453,0.3226732366947526,0.20259005454733997,0.5990314971462075,0.15628159296932795,-0.01802720521557131,-0.4155766375558022,-0.12389246658242652,0.027746360467419993,0.036048481643236804,-0.46039441335148945,-0.11111111111111115,0.2945950429999858,0.48573186616763886,-0.784476973889571,-0.24281427134045513,-0.29999300006744667
ADV,-0.4824047902057887,-0.0591664920231981,-0.17296720737802077,-0.287805826359769,1.0,-0.6557082982692397,-0.022866054065322577,-0.02420398941115775,-0.6339196408862713,0.16713172045090977,-0.08637025625162986,0.22300957140248975,-0.0027948774147089784,0.10626574448830524,-0.4277998028187673,0.4446684146996289,0.07676591699603039,-0.3976364856002335,-0.42518863276843744,0.16433943527820122,-0.15754512537109416,-0.2620331343148871,-0.1264463335411947,0.0060651512527621475,0.23793893543296463,-0.39520425213385874,0.2410865836406441,-0.04088918141271454,0.23620427609865804,-0.05482113444550953,0.21453358493222816,0.5788933735788191,0.3384415652328111,0.2333397295420615,-0.5657410973808924,0.2880496287740574,0.1258239447142117,-0.2287215846677624,-0.17356499736701622,0.004919131390455425,0.5564649513006915,0.13396023792432077,-0.295445434226135,0.10137136925628694,0.6167913579140817,0.4930496147955696,-0.20561657830127308,-0.3656562475804113,0.4042868705722642,-0.08205988466453688,0.03321881747926207
PART,0.5318794739246298,-0.30318686382905274,-0.09968185507062337,0.045804094935396326,-0.6557082982692397,1.0,0.5340411672212944,-0.05205071477890311,0.2671954129522016,-0.4193547417476851,0.06885805261897227,0.35576922882648204,0.06158378219174427,0.002969407051959321,0.39806127078274406,-0.31798939091399364,-0.40371627255914344,0.3176673158634142,0.5054369874425516,-0.41122298867539286,-0.2869260733718667,-0.15829226179680936,-0.16099012741371016,0.11869514306199742,-0.22548754017691636,0.09235237917221405,-0.29112636751211884,0.04107580212363292,-0.044177213449458304,0.6123473344989888,-0.10851506963370314,-0.5300265573113204,-0.29715356196145626,-0.06576486120356091,0.5959444983505752,-0.06345652366513012,0.528981706191221,0.02804283127182846,0.22670007708601686,-0.06867123604685442,-0.3930842688101478,0.29913309931212123,-0.1854009409820913,-0.2580771873706313,-0.5416272062301767,-0.157405448156064,0.5029567788677396,0.42221401764581523,-0.008013111789670157,-0.43851401376701266,-0.40932372874952927
CCONJ,0.6921221107607963,-0.7100875108454001,-0.6205545048605543,0.3208401170608395,-0.022866054065322577,0.5340411672212944,1.0,0.07921737891060321,-0.3607475293682683,-0.5023021167227593,0.3168113206020962,0.597985140738497,-0.41597409100268246,0.036799799379412225,0.4674839194076394,0.2555631188353949,-0.3697001597838174,-0.1356739045330991,0.18146890306992244,-0.7751945082661279,-0.7920020435509186,-0.33796323448327975,-0.04214565212286519,0.012794659544868825,-0.17123291158067508,-0.32015762513056445,-0.035674520157973566,-0.3265976562704878,0.13733398422125412,0.971118963496418,-0.35025394777915575,0.2523670244210541,-0.07361864435744597,0.6116854860930079,0.48877443010226146,0.01740702187040035,0.8927300010173569,-0.05712328162006132,0.3752025537196631,-0.583672121928805,-0.35172732578254834,0.2514103726574583,-0.6532404991566509,0.052946532933277134,-0.20639088966427363,-0.12633639379749248,0.3324643908548317,0.27121205334906684,-0.13879883296825396,-0.4597898441803714,-0.7764611706409573
NOUN,-0.14484256925847935,0.07251491239995284,-0.4449950988797727,0.2861099085143077,-0.02420398941115775,-0.05205071477890311,0.07921737891060321,1.0,0.41797115293081555,-0.04722838466451288,-0.3453091431490703,0.14086684043516415,-0.6572097559705649,0.3625640896753017,0.4280701798272232,-0.05122695478284068,-0.38953573567403005,0.6974510206895831,0.02461086451299814,0.02936577477062429,-0.05810801391381721,0.5103940593005435,-0.6184279891709294,0.24624003943751732,-0.08667716192682404,0.1781566043169101,0.6093859645117029,0.1899898451112934,-0.13859788382251795,0.04900080395607071,-0.09762233552875944,-0.18076679915101163,-0.5429487741695002,0.12659879062437465,0.6941939917604071,0.37736576221472906,-0.1786813820156593,0.3280490191437027,-0.3549459956283968,0.08793752809011694,-0.31580755274636385,0.6382776539282745,0.010046552527504755,-0.4212355533696413,-0.016534136087261776,0.10361273621210033,-0.3159510807972287,-0.00606447155158156,-0.16284477458947128,-0.03394598471196283,0.07109713901575415
SCONJ,-0.15284494122518538,0.256827913044483,0.04031439266369667,0.11734727649106333,-0.6339196408862713,0.2671954129522016,-0.3607475293682683,0.41797115293081555,1.0,0.2296987095201633,-0.5417895575239704,-0.15053311253881102,0.0027494415104310495,0.3930025092782315,0.15533387912357224,-0.45444278447678205,-0.2976332980205564,0.6448405159588725,0.41466680542993084,0.2923314967375799,0.60041263112076,0.8190189750940324,-0.2347937667466698,0.06445489729532172,-0.15489281255768622,0.44824151661225525,-0.10965327057492627,0.09302741247740393,-0.6771660086748278,-0.3167443367799973,0.10029418556393327,-0.4655631133052145,-0.7078977760228681,-0.34088061473664427,0.4691582901495802,0.17047782571881456,-0.4279153497816576,0.4417737975557209,-0.4928282971289037,0.5359382953334142,-0.4339841487804841,0.08966501370715527,0.31487081739599654,-0.02691968502178797,-0.4364282326485946,-0.1322863837631904,-0.0036199768980305315,0.50037189140593,-0.2744281210869836,0.27163093148775,0.24475566903915702
VERB,-0.30490122127891006,0.4796431891718198,0.19388202178722208,-0.5770969259441143,0.16713172045090977,-0.4193547417476851,-0.5023021167227593,-0.04722838466451288,0.2296987095201633,1.0,-0.5387238292366813,-0.3056573429218449,-0.11053873370386617,-0.11703534800993902,-0.7328401669862865,-0.19292375689722063,0.17659819177662844,-0.23653632294371374,-0.494297792014298,0.5317636949960215,0.5657843288784558,0.38517617202541266,0.3501445458925033,-0.08980592942840838,0.1580587255683699,0.5255080785316346,0.12059422734510905,-0.41274062051178184,-0.3136009797163759,-0.4581422659355834,0.22870019899524474,0.20446279962277877,-0.33925575177709255,-0.46762039623565155,-0.30027381967940664,-0.40875186314679207,-0.5813991500138698,-0.37568316426878007,-0.6140797594428128,0.03576188072118651,-0.08639189607840905,-0.31675205875315726,0.24697121331063523,0.45961965087117196,0.5743410901450432,-0.040039415271406524,-0.4576948172475075,-0.2621293307751375,0.22128962490439133,0.8670127930437457,0.5357759379827692
