,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,vocative,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9966610354179439,0.9261454146460827,-0.9543818607564244,-0.5534875231558093,0.6522418043852427,0.06945960505821329,0.06392435365089823,0.5166768618379435,0.1578689543064895,0.9035484316481733,-0.5536879550358345,-0.43298960511211954,0.5809085635014923,-0.7150730807890242,0.25686114737767857,-0.5739021270326897,-0.6208705708150646,-0.5166718226652985,-0.9948118547106898,-0.24820737175257832,0.0013317410774451046,0.6413021123260716,0.8044336039352107,-0.6222767563060371,0.5945206015739678,-0.12975910975821794,0.9001082825990586,0.6374962319953303,0.41184982061952513,0.9770261907003169,0.8231167166893701,0.7471054451649991,-0.5739021270326897,0.9001082825990586,0.35343911322948973,-0.39382607926718544,0.9304376019094889,-0.5739021270326897,0.06931196386505104,-0.11800589632781784,0.5197154247635581,0.8225644190355885,0.5120647608150607,-0.4920266159405553,0.7160686934134285,0.9440265584554306,-0.35877458877736007,-0.9077186852688132,0.2600609125064692,-0.9910884486718408
PUNCT,-0.9966610354179439,1.0,-0.9522280318475643,0.9500977468620171,0.5340572020242933,-0.6916177120934824,0.0050676014777519774,-0.033577799034566,-0.5747688614635028,-0.1317598428302865,-0.8805811486199133,0.48688562297482774,0.39515002125079635,-0.5621807551841755,0.7250410002850011,-0.25308457254619876,0.6277191651561337,0.6271139741605384,0.47079535675276757,0.9949764586243591,0.3195027789249757,0.05086377580652031,-0.7001820715446991,-0.7716362618092457,0.6043969478825255,-0.6033930842096011,0.20859594785832944,-0.9213198941490541,-0.6805213075463449,-0.45252073262507625,-0.9589894010039288,-0.8232647452708584,-0.7402470890882857,0.6277191651561337,-0.9213198941490541,-0.27848122921945373,0.3574201920809426,-0.9441074347053058,0.6277191651561337,-0.08103540223897014,0.04115490641289727,-0.4634493844274168,-0.7987818138082305,-0.5750261033099331,0.5572458601829524,-0.7611635590903114,-0.9520392463425541,0.3275004734696016,0.8873991236243147,-0.31685356822391486,0.9934427863710937
AUX,0.9261454146460827,-0.9522280318475643,1.0,-0.9151109063161379,-0.338521187075193,0.7180856154818052,-0.2114225245791437,-0.18462232157951555,0.6867847068296198,0.1473305140777085,0.7920131008422682,-0.19882418574813382,-0.14714208235078843,0.36944070431461756,-0.6339245915409792,0.10850094581661593,-0.8300478473314582,-0.517557778320351,-0.3654536444398445,-0.9254472831573609,-0.5935185613059611,-0.32002294827260946,0.8819629576015573,0.5570168852250345,-0.5987526027513256,0.6938807116993696,-0.49141026346684313,0.9010763995491096,0.7232398451933028,0.6562114704476164,0.8538077982016833,0.8434359559090505,0.7528330563653918,-0.8300478473314582,0.9010763995491096,0.03370681166697015,-0.11306604006120663,0.8984993755580148,-0.8300478473314582,0.23566194145002026,0.265206924331369,0.30702888705044395,0.7309710591703826,0.7171296650246362,-0.7126034484128331,0.8243781659838723,0.9594123755706466,-0.09709767288069007,-0.8087596738472347,0.41367330867124275,-0.9289452177357279
ADV,-0.9543818607564244,0.9500977468620171,-0.9151109063161379,1.0,0.2911501624369758,-0.4480810230106588,-0.20049845149963982,0.21060469743218732,-0.35108864778711824,-0.43420450044817394,-0.9706088627414479,0.465695851808649,0.18552619901383904,-0.32225045372591166,0.47684605399610297,0.042456693071709156,0.6735078524727652,0.3593303650971703,0.6983779828393989,0.9213133302918644,0.3436239580781509,0.21953073416284688,-0.6538405288051308,-0.6337792069291299,0.8227398327488261,-0.8021557669190869,0.17090562142800297,-0.7598717669806074,-0.44096693612890286,-0.6103920461133405,-0.9684733696047121,-0.9541484600773269,-0.9113727350084778,0.6735078524727652,-0.7598717669806074,-0.42168131095521233,0.13927185028883127,-0.7947225895951434,0.6735078524727652,-0.3585284388943242,0.026621183933956582,-0.6639070342990335,-0.9397234397950821,-0.37892798285118423,0.3704210524282543,-0.5604397093915112,-0.9886675928659114,0.09152817952316304,0.9772052685001336,-0.04227584449560962,0.9110232066768772
PART,-0.5534875231558093,0.5340572020242933,-0.338521187075193,0.2911501624369758,1.0,-0.7033787771695906,0.0946139457354075,-0.8608258750412541,-0.4847121853535339,0.5985534515462967,-0.2695262836562567,0.6758068121291659,0.965978201963398,-0.9994328222277126,0.912276204488589,-0.9268801575929708,-0.19335383198787842,0.9470530262194127,-0.1316557980842226,0.6157112245020485,-0.37275411276466774,-0.7571005764915244,-0.054202698413354546,-0.8993370851735623,-0.22414233388720903,0.3375806626635064,-0.29938101658424304,-0.6910746416932899,-0.665355465744145,0.4877861333596267,-0.4891505624504207,0.008036551352979494,0.10802755874115473,-0.19335383198787842,-0.6910746416932899,-0.1954046507186583,0.9642310899684567,-0.7148607924708884,-0.19335383198787842,0.7870772068023487,0.5328650803326132,-0.0028207559303333944,-0.10288636906710577,-0.38024234409920893,0.3337638591298252,-0.5816741809274308,-0.25154464236696783,0.9679248121151024,0.25657620295417266,-0.5216822180296365,0.6251113595480607
CCONJ,0.6522418043852427,-0.6916177120934824,0.7180856154818052,-0.4480810230106588,-0.7033787771695906,1.0,-0.6474946240788249,0.3747477665776615,0.9587548173358386,-0.5825384966841174,0.26724585859664524,-0.09457006854280828,-0.49570538614080756,0.7166821795631987,-0.9268014872835493,0.6918859605995391,-0.46753363149187155,-0.8934346634091885,0.31110685294468265,-0.7224596404498185,-0.3880547095566518,0.107581579927157,0.700998694390009,0.5986208001401572,0.11871404851027219,0.009962567042919524,-0.465505965634343,0.91730121971781,0.9985988852774333,0.10836279527414275,0.48191730097676344,0.23653724646179342,0.0878956687775986,-0.46753363149187155,0.91730121971781,-0.3653383610956187,-0.4945972918018599,0.8818926228828022,-0.46753363149187155,-0.4346214961142842,0.21391369365409707,-0.3002083536607847,0.12060069836315962,0.9237764685544344,-0.9036886035447164,0.9798821049303472,0.5166849732662625,-0.5283517757036889,-0.2808031448236189,0.8989574729628446,-0.7456140947610435
NOUN,0.06945960505821329,0.0050676014777519774,-0.2114225245791437,-0.20049845149963982,0.0946139457354075,-0.6474946240788249,1.0,-0.03891368579572874,-0.8119170935447011,0.6789878386008124,0.42902818892290545,-0.6616465939608122,-0.11526458903705118,-0.0946204475028005,0.3671048117657352,-0.3445658834460024,0.3962137760483799,0.3673998167145066,-0.799367602526319,0.007511347963186683,0.6239106291613632,0.267234987453489,-0.5644157889229416,0.20099895940538318,-0.5294921872986404,0.24457978737722258,0.7919679965088718,-0.33785225423462173,-0.6782844481979937,-0.13252746333866017,0.278555374105976,0.25666040418316766,0.3714601227330382,0.3962137760483799,-0.33785225423462173,0.9457450936779503,-0.08614814723760969,-0.24641155128735187,0.3962137760483799,0.2751137856891083,-0.7250850656123736,0.8616666852492615,0.4988740556413691,-0.8210349317678479,0.8317937638614609,-0.6373051948132955,0.06390784031122157,-0.009368401109637018,-0.40384374073985396,-0.8938057531664917,0.040777988227011036
SCONJ,0.06392435365089823,-0.033577799034566,-0.18462232157951555,0.21060469743218732,-0.8608258750412541,0.3747477665776615,-0.03891368579572874,1.0,0.173509956691775,-0.7425522808808696,-0.17843812268484094,-0.5572196148667196,-0.91862731232757,0.8432581727368922,-0.6226614386618093,0.9250985865852578,0.6347410321516721,-0.7227885023130359,0.3829106342148245,-0.13345188660051896,0.6788272937921698,0.9490412236183015,-0.395952242806345,0.61933209767796,0.5920819025291963,-0.7463547967374558,0.5368623188927087,0.2439701115445064,0.3340605974882987,-0.8607917591127362,0.02483716194294103,-0.48598172111332133,-0.5468429876440855,0.6347410321516721,0.2439701115445064,0.13156718398316763,-0.937162938198875,0.2649908912631725,0.6347410321516721,-0.9645657171600964,-0.6595755751735662,-0.2143104507571609,-0.32239747522222806,0.048572296519868524,-0.0032643794454952895,0.18907048686161199,-0.2684595177812111,-0.954113586430394,0.19969679382226946,0.3665950312326519,-0.1431988907265485
VERB,0.5166768618379435,-0.5747688614635028,0.6867847068296198,-0.35108864778711824,-0.4847121853535339,0.9587548173358386,-0.8119170935447011,0.173509956691775,1.0,-0.5629029293906587,0.13187058802049698,0.18763862293274847,-0.24433864525858753,0.4984868425195942,-0.7827273111261125,0.5344673833807662,-0.5961007458398371,-0.7398179817565852,0.4233315667538424,-0.5861915982205779,-0.5991733858089306,-0.12682934892356637,0.8018482880866924,0.3518173014563179,0.15635853936775185,0.05320930253497806,-0.6889875198270237,0.8237531042915259,0.972218614487919,0.25692343120729555,0.32235285733437213,0.20013853081543473,0.05327889557436686,-0.5961007458398371,0.8237531042915259,-0.5866344429843531,-0.24866291812056174,0.7657116957329685,-0.5961007458398371,-0.2941743863495392,0.4785817083363975,-0.4568278298983825,0.011618599820776464,0.9920877375965306,-0.9850855613616899,0.9670880694022149,0.45491479832274556,-0.295550128326281,-0.15336915530252299,0.9435215907656461,-0.6132781873086883
ADP,0.1578689543064895,-0.1317598428302865,0.1473305140777085,-0.43420450044817394,0.5985534515462967,-0.5825384966841174,0.6789878386008124,-0.7425522808808696,-0.5629029293906587,1.0,0.5488150314643848,-0.10613819537979573,0.5256753559183241,-0.5813835234451076,0.573617625604092,-0.8526471170978548,-0.30043413168067545,0.6617580587357361,-0.8726087967332236,-0.05720363294533479,-0.134797045808605,-0.5196754416110753,0.029830443568542964,-0.19356733529459907,-0.8691579056134049,0.7947954732079814,0.09496817154198468,-0.24966179235105498,-0.5749732593191933,0.6076908796274808,0.3163723411360782,0.6495682203941324,0.7551289115266948,-0.30043413168067545,-0.24966179235105498,0.5656274050898696,0.5640539514984874,-0.2016296774752865,-0.30043413168067545,0.8891366011129406,-0.00250765437015013,0.7902165270099535,0.6853162993353041,-0.4785310350320609,0.4556382379287685,-0.43065818127250527,0.3873032575951726,0.6311041443046806,-0.5488494348694941,-0.796872249735777,-0.028237503188016554
PROPN,0.9035484316481733,-0.8805811486199133,0.7920131008422682,-0.9706088627414479,-0.2695262836562567,0.26724585859664524,0.42902818892290545,-0.17843812268484094,0.13187058802049698,0.5488150314643848,1.0,-0.6080109856884407,-0.22435549531974575,0.29789833494883766,-0.3689031886874874,-0.0991283143691079,-0.5110266880871949,-0.26250714445627477,-0.8326199417311009,-0.8559257857621357,-0.14840386195044303,-0.11331019418584208,0.4580132967977481,0.6530271071628675,-0.8765298293508833,0.7838198627403802,0.049033633391483915,0.6284944241157397,0.25206077034254054,0.5109312342799046,0.9666354846062225,0.9345547382184711,0.9213184474110947,-0.5110266880871949,0.6284944241157397,0.6253532021194576,-0.17484766763253737,0.6836870987015709,-0.5110266880871949,0.3741950408223423,-0.2190835203891067,0.8203089532358104,0.9846244723047715,0.15216682865930917,-0.140459167575952,0.36902297701764963,0.9252291278103149,-0.11228019111780455,-0.9994075546850766,-0.16936978790160395,-0.8385193892275546
PRON,-0.5536879550358345,0.48688562297482774,-0.19882418574813382,0.465695851808649,0.6758068121291659,-0.09457006854280828,-0.6616465939608122,-0.5572196148667196,0.18763862293274847,-0.10613819537979573,-0.6080109856884407,1.0,0.7871847185077673,-0.6790764993446521,0.4435476930740877,-0.40839857147049724,-0.3366159338141564,0.45407520744988294,0.5528295623007746,0.5395793173743735,-0.6631518772685314,-0.6985352680912107,0.2822207303219741,-0.8534156780001685,0.31179238281335525,-0.028187356025606826,-0.7500823972229522,-0.34099014949976547,-0.04510011329815831,0.3666769111928557,-0.6571978463812038,-0.2880157715613165,-0.29308447196246634,-0.3366159338141564,-0.34099014949976547,-0.8549023696089088,0.7599551256774754,-0.426412698126562,-0.3366159338141564,0.32100711564563406,0.8916084540494258,-0.6878944303475804,-0.5356015420388233,0.26474999105590535,-0.3062508829075541,-0.028855179454375397,-0.3400233189829429,0.7028021467019515,0.5818671668838836,0.25568735749711324,0.5215681179329229
NUM,-0.43298960511211954,0.39515002125079635,-0.14714208235078843,0.18552619901383904,0.965978201963398,-0.49570538614080756,-0.11526458903705118,-0.91862731232757,-0.24433864525858753,0.5256753559183241,-0.22435549531974575,0.7871847185077673,1.0,-0.9602234486652561,0.7768785408481796,-0.8838307909204755,-0.4102436618822833,0.8324076924726277,-0.055355711305742086,0.48405719781065326,-0.5978024074902591,-0.8880153019843122,0.19159695510195837,-0.8775641114633645,-0.23856689602532855,0.42315923674221145,-0.5344492446307799,-0.5075614574270998,-0.4498340081165741,0.6402252266824493,-0.41548076201384104,0.10346003204785348,0.17178899403570227,-0.4102436618822833,-0.5075614574270998,-0.36609183334199463,0.9986840624183,-0.5490181749089662,-0.4102436618822833,0.8083854146607172,0.7274247459879404,-0.10528279596694036,-0.0738004362685108,-0.12906038337402667,0.07958901666730364,-0.3532714087076406,-0.11260841605708691,0.9915008903269793,0.2036081710648757,-0.31377871101971627,0.48731211401228974
ADJ,0.5809085635014923,-0.5621807551841755,0.36944070431461756,-0.32225045372591166,-0.9994328222277126,0.7166821795631987,-0.0946204475028005,0.8432581727368922,0.4984868425195942,-0.5813835234451076,0.29789833494883766,-0.6790764993446521,-0.9602234486652561,1.0,-0.9217767032329248,0.9171898836531345,0.16330197642307276,-0.9518810053216578,0.11148426342050524,-0.6418385901859825,0.35061075245679635,0.7378728266735064,0.08200459488681829,0.9099075293529756,0.196092005240298,-0.3065304960608917,0.28296179825703016,0.7132266811979309,0.679112836608288,-0.45872933282629025,0.5160921832241282,0.024495126754022958,-0.07681971534569788,0.16330197642307276,0.7132266811979309,0.2004166400907517,-0.9570648772186996,0.7372244761420373,0.16330197642307276,-0.7670102865475394,-0.5213865903353732,0.019616359674179077,0.13153773781274283,0.39634799515205693,-0.3502054250032354,0.6004159866196747,0.28385388581894166,-0.9596288242890202,-0.28555337387929347,0.5245083840806926,-0.6510331723010242
advmod:emph,-0.7150730807890242,0.7250410002850011,-0.6339245915409792,0.47684605399610297,0.912276204488589,-0.9268014872835493,0.3671048117657352,-0.6226614386618093,-0.7827273111261125,0.573617625604092,-0.3689031886874874,0.4435476930740877,0.7768785408481796,-0.9217767032329248,1.0,-0.8373902167874389,0.2048837870763498,0.9898465653857079,-0.1654065633077487,0.7808426421733475,0.03977059253842745,-0.42907572137232985,-0.4530623446057391,-0.8372581346545694,-0.10196721113078562,0.09596048174087128,0.10215565928356755,-0.9063151616592189,-0.9056514892071403,0.14065822947704243,-0.5944211143904833,-0.20715478592358522,-0.07397144761258215,0.2048837870763498,-0.9063151616592189,0.04923655715061585,0.771109096031054,-0.9035050484774567,0.2048837870763498,0.6017417437055436,0.16825266721277823,0.0930418161998876,-0.20321810943030222,-0.7128298168334569,0.6774446018141843,-0.8634999973207744,-0.49086475535528246,0.7861477597892848,0.3698292854152671,-0.7422539513504941,0.7968084519087195
obl:arg,0.25686114737767857,-0.25308457254619876,0.10850094581661593,0.042456693071709156,-0.9268801575929708,0.6918859605995391,-0.3445658834460024,0.9250985865852578,0.5344673833807662,-0.8526471170978548,-0.0991283143691079,-0.40839857147049724,-0.8838307909204755,0.9171898836531345,-0.8373902167874389,1.0,0.3139627125394591,-0.9065114663562014,0.48906303919191985,-0.34318102434771225,0.35186449983027723,0.7659195242184607,-0.029833665737242103,0.6695869497813565,0.565788401985779,-0.6179218051625716,0.19601675007029687,0.5288006445845033,0.6620723078963917,-0.6386996451724176,0.14868724387458299,-0.3372139113768281,-0.4460724943402387,0.3139627125394591,0.5288006445845033,-0.11074711551630714,-0.9012493815425341,0.5246951529561942,0.3139627125394591,-0.9404614277724407,-0.3829921504582832,-0.35719006432228295,-0.26912299089358077,0.4241807512966612,-0.3825307072388742,0.5359586185327992,-0.05232790867945424,-0.9336493226135114,0.10911245289119613,0.6775509322641831,-0.3619224310571865
aux,-0.5739021270326897,0.6277191651561337,-0.8300478473314582,0.6735078524727652,-0.19335383198787842,-0.46753363149187155,0.3962137760483799,0.6347410321516721,-0.5961007458398371,-0.30043413168067545,-0.5110266880871949,-0.3366159338141564,-0.4102436618822833,0.16330197642307276,0.2048837870763498,0.3139627125394591,1.0,0.07416543236493499,0.22776782086871153,0.5582904009099615,0.925310255872016,0.7834993280284112,-0.9568041292912507,0.0007721295683341436,0.5682078457850457,-0.7907640947838643,0.8283403987815643,-0.5746382926405031,-0.5006203650340163,-0.9280151940316458,-0.4881480296696883,-0.7530360378650639,-0.6920596499779498,1.0,-0.5746382926405031,0.30438438255094036,-0.4349676751657924,-0.5369420056159605,1.0,-0.5861971018525897,-0.7209871105279569,-0.08345933391869262,-0.5255902693712479,-0.6841487855008473,0.707616846548553,-0.6332682748096361,-0.7709384808936182,-0.4335866781741626,0.5403042327242682,-0.3333333333333333,0.5646807712061878
flat,-0.6208705708150646,0.6271139741605384,-0.517557778320351,0.3593303650971703,0.9470530262194127,-0.8934346634091885,0.3673998167145066,-0.7227885023130359,-0.7398179817565852,0.6617580587357361,-0.26250714445627477,0.45407520744988294,0.8324076924726277,-0.9518810053216578,0.9898465653857079,-0.9065114663562014,0.07416543236493499,1.0,-0.25025463375457724,0.6937697318046212,-0.06500145747069686,-0.5334694735555985,-0.3392065977419389,-0.8238672946396881,-0.2229137029254589,0.2337154669804385,0.022802301201019233,-0.8371010723438906,-0.8690929388858688,0.27619439394941475,-0.5006608209700149,-0.0741351993762235,0.05656936028488323,0.07416543236493499,-0.8371010723438906,0.06078435566907849,0.8322911743354636,-0.8344543374346527,0.07416543236493499,0.7090548581108634,0.23478787756529537,0.1594675655974167,-0.09041864424422896,-0.6569143322944171,0.6186006977271931,-0.8038679328234357,-0.3667146694260998,0.8518728861212359,0.26045713058801717,-0.745245527998295,0.7107941078592335
nsubj,-0.5166718226652985,0.47079535675276757,-0.3654536444398445,0.6983779828393989,-0.1316557980842226,0.31110685294468265,-0.799367602526319,0.3829106342148245,0.4233315667538424,-0.8726087967332236,-0.8326199417311009,0.5528295623007746,-0.055355711305742086,0.11148426342050524,-0.1654065633077487,0.48906303919191985,0.22776782086871153,-0.25025463375457724,1.0,0.42960762325814034,-0.08544213943728718,0.16417327900465117,-0.0425880524580759,-0.30589730467348536,0.9296667692391207,-0.7616802769135971,-0.3241474586731292,-0.09284435613537416,0.3257610730151424,-0.43339612189289517,-0.6773892693394722,-0.782327298803795,-0.8547228967821643,0.22776782086871153,-0.09284435613537416,-0.831933596543317,-0.10349795448208615,-0.1682056529492235,0.22776782086871153,-0.6116897283751637,0.3479121446852036,-0.9833312016700896,-0.9008402452808079,0.3843314124273619,-0.3847641932000407,0.20075739373113996,-0.6130865144629388,-0.18478559687755822,0.8239453271972454,0.6846410227715034,0.3990702840505053
root,-0.9948118547106898,0.9949764586243591,-0.9254472831573609,0.9213133302918644,0.6157112245020485,-0.7224596404498185,0.007511347963186683,-0.13345188660051896,-0.5861915982205779,-0.05720363294533479,-0.8559257857621357,0.5395793173743735,0.48405719781065326,-0.6418385901859825,0.7808426421733475,-0.34318102434771225,0.5582904009099615,0.6937697318046212,0.42960762325814034,1.0,0.24791752628692187,-0.04504412337292235,-0.6538373985221122,-0.8275166676414861,0.5407468837833195,-0.5238889900671191,0.15192909062278023,-0.9375689711606877,-0.7073354389445067,-0.3622803665651756,-0.9538345310903393,-0.7680270492071011,-0.679768495539411,0.5582904009099615,-0.9375689711606877,-0.29066828954454454,0.4484599039625704,-0.9624012640921498,0.5582904009099615,0.01591456581700789,0.10793117441690339,-0.4393067792588754,-0.7604845058128094,-0.573913730924498,0.5517269727264626,-0.772830194303946,-0.9172478475069284,0.42038106643891715,0.8605206812962607,-0.3496713687235701,0.9994089169393994
advcl,-0.24820737175257832,0.3195027789249757,-0.5935185613059611,0.3436239580781509,-0.37275411276466774,-0.3880547095566518,0.6239106291613632,0.6788272937921698,-0.5991733858089306,-0.134797045808605,-0.14840386195044303,-0.6631518772685314,-0.5978024074902591,0.35061075245679635,0.03977059253842745,0.35186449983027723,0.925310255872016,-0.06500145747069686,-0.08544213943728718,0.24791752628692187,1.0,0.8701000329926857,-0.8884366690048058,0.3112788323386048,0.2851130299633346,-0.5803628437035818,0.9699255212800517,-0.35850785112430095,-0.4334072344975989,-0.8560471686670427,-0.12744013495407727,-0.4610090325133971,-0.4016892101753625,0.925310255872016,-0.35850785112430095,0.6141570053818868,-0.6049759387233294,-0.2917803303966538,0.925310255872016,-0.5389304591087283,-0.9292825896572126,0.24907914585522653,-0.17818051819214914,-0.6945865221528055,0.7279505652852187,-0.537953980305086,-0.47447048633667727,-0.5773754440581979,0.18230582212112506,-0.42649030527707255,0.2620456278904145
mark,0.0013317410774451046,0.05086377580652031,-0.32002294827260946,0.21953073416284688,-0.7571005764915244,0.107581579927157,0.267234987453489,0.9490412236183015,-0.12682934892356637,-0.5196754416110753,-0.11331019418584208,-0.6985352680912107,-0.8880153019843122,0.7378728266735064,-0.42907572137232985,0.7659195242184607,0.7834993280284112,-0.5334694735555985,0.16417327900465117,-0.04504412337292235,0.8701000329926857,1.0,-0.6105019969953547,0.5949466220357982,0.4587767654048664,-0.6940604866273307,0.7753833446014212,0.05702936228372959,0.05991076127087053,-0.9067729775257163,0.030375134252046226,-0.4574405494533405,-0.4743715554010206,0.7834993280284112,0.05702936228372959,0.3918442520671719,-0.9000977157386727,0.10325146193749352,0.7834993280284112,-0.8523769580682263,-0.8528800968058015,0.017853056607233304,-0.22409651007006492,-0.25001826928454857,0.29550002010746873,-0.07392139926504807,-0.31700688106242003,-0.8955100252048026,0.1420165948471294,0.055378161539177705,-0.044438175965832334
det,0.6413021123260716,-0.7001820715446991,0.8819629576015573,-0.6538405288051308,-0.054202698413354546,0.700998694390009,-0.5644157889229416,-0.395952242806345,0.8018482880866924,0.029830443568542964,0.4580132967977481,0.2822207303219741,0.19159695510195837,0.08200459488681829,-0.4530623446057391,-0.029833665737242103,-0.9568041292912507,-0.3392065977419389,-0.0425880524580759,-0.6538373985221122,-0.8884366690048058,-0.6105019969953547,1.0,0.1593400645536954,-0.38624838056615907,0.618462383061532,-0.8438008050405544,0.7434416092911756,0.7288922534578514,0.7796229759019314,0.5109046560630177,0.6528738917722549,0.5543222268549297,-0.9568041292912507,0.7434416092911756,-0.4065516889660227,0.20983403967544656,0.6975154578189785,-0.9568041292912507,0.3253658695892204,0.6815748973717625,-0.0732345510919077,0.4230724158879742,0.8625687110474095,-0.8761683525938567,0.8267685052234733,0.7597677345995215,0.19425798872613692,-0.48682945821333995,0.5801061845670215,-0.6676624248486138
csubj,0.8044336039352107,-0.7716362618092457,0.5570168852250345,-0.6337792069291299,-0.8993370851735623,0.5986208001401572,0.20099895940538318,0.61933209767796,0.3518173014563179,-0.19356733529459907,0.6530271071628675,-0.8534156780001685,-0.8775641114633645,0.9099075293529756,-0.8372581346545694,0.6695869497813565,0.0007721295683341436,-0.8238672946396881,-0.30589730467348536,-0.8275166676414861,0.3112788323386048,0.5949466220357982,0.1593400645536954,1.0,-0.2187138848497015,0.05990166610217147,0.3475076055602709,0.7633144433363254,0.5587094927153594,-0.2087205966047716,0.800247862211083,0.38511420395756546,0.3121493603137443,0.0007721295683341436,0.7633144433363254,0.504788651286118,-0.8537000420376614,0.8140112153064213,0.0007721295683341436,-0.45779657636691734,-0.5941787449207243,0.41624730992197045,0.5206135690539001,0.27459881619594056,-0.23144412367928968,0.5413299279435739,0.5691766499168761,-0.8238774338404133,-0.6395911301797637,0.2554505542167448,-0.8246454694103602
