,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.7761013998033219,-0.1545276083654086,-0.1057955433126204,0.4542257805523988,0.24370791391929403,0.3437289215427543,0.062258337242912846,-0.020060984875482628,-0.4205926922698925,0.1364096195998026,-0.0701143925457506,-0.3365804699004653,0.270127632004408,0.5728741768481832,0.26022620537070984,-0.13963688283415274,-0.4735740276945767,0.4312434998216991,-0.8501125292678919,-0.3798170503962777,0.12573755027498457,0.25451518184641714,0.07580254794835506,0.43312198622063,0.0340474610865254,-0.2538774269589529,0.40578292937211613,0.18276317080057933,0.022096015696725355,-0.0374276785331201,0.4198859549123852,-0.23362850959110795,-0.6790925772495895,0.1345545906690754,0.30292062985954354,0.7551612919211179,-0.0063082354904424815,-0.2768688792156509,-0.603142180193314,-0.39884575211549894,0.4370823845879788,-0.6328334172182845,-0.1495227834409947,0.1613495553033738,0.4637011161655176,0.5432630352823429,0.2586916094529877,-0.7591871735149209
PUNCT,-0.7761013998033219,1.0,0.4731815465981666,0.03700025518587587,-0.5586164447349957,-0.5605469086893548,-0.5054602375677448,-0.048949643963371516,-0.06864776123232748,0.21794210139713224,0.2071905784993613,0.2603266503191094,0.32173365898667355,0.03275110698910007,-0.29356917388427134,-0.38301519577261356,-0.15807534136999907,0.5082157088467144,-0.015949517407255913,0.9746009087259752,-0.12197174351351886,-0.22210477304593157,-0.5436983299534498,0.18298978995555099,-0.172353143998424,0.13277058018200164,0.2209469040256585,-0.5400191643903304,-0.4787452119158285,-0.41513068654631285,-0.037768937311188196,-0.6642401203223268,-0.01954075198047101,0.4358806971663819,0.09088259130920148,-0.442032442066039,-0.2640865305168421,0.3434239120444868,0.16530256143076658,0.5739430326727454,0.5374694148965778,0.022117828317100793,0.5225655421478924,0.32079527086962867,-0.14414458610564598,-0.4209622322369201,-0.6952873113215909,-0.6008854860293171,0.9714930046382773
AUX,-0.1545276083654086,0.4731815465981666,1.0,0.27613493773249115,-0.14564179122430002,-0.7723348505090866,-0.1956425228812119,-0.08335778634130438,0.028796940331976998,-0.5984599615794931,-0.23212662805943876,-0.048199469268869775,0.1409140767210282,0.18564522392794297,0.5211419238406243,0.04870659721614106,0.05066111138041508,0.16764600688897058,0.28873846126200237,0.36867065631100077,0.06600871895795306,-0.12249166169815297,-0.06537717481984415,0.47890289598247004,0.05512487188042025,0.22197750321282408,-0.44110054515834796,-0.29769509215599044,0.15698919382506143,0.10866935064616197,-0.20144074821046112,-0.762560159347056,0.4525839768859799,0.11434068371012644,-0.10756547908300212,-0.33735803615528887,0.22534558657936893,0.12346919712989331,0.7249297413466134,0.7027842669467984,0.28733437311845117,0.6716869051312044,-0.2390865485843757,-0.04609738552462281,-0.13680232972913092,-0.17343174864814676,-0.6056278388570983,-0.7176639769483664,0.42544488241201267
X,-0.1057955433126204,0.03700025518587587,0.27613493773249115,1.0,0.579970315723354,-0.4066393271941117,0.34878914649525755,-0.6049826538231683,-0.09371843730107238,-0.17819723161855913,-0.40064440498078596,-0.4060340283944242,-0.2852385668429673,0.1675433160608868,0.5101578326553925,-0.11941081471546071,0.31074123043675306,-0.29824708462541694,-0.08313369493469451,0.09391019941506215,0.15943294296810365,-0.19754169729356433,0.3059495581815315,-0.47021436738584704,0.6410506700690995,-0.4452888557551959,-0.4603456338673641,0.26927578935720975,0.1017665164470486,0.3896334994931865,0.24681714430060603,-0.4272786927575211,0.32664052943741073,0.5604191105113447,0.28903026833784273,-0.08791030002008865,-0.14285714285714285,-0.2114470757280314,0.5940994495728956,0.11071377086908284,0.6813507515179403,0.10675737541606944,-0.43525549994692225,-0.0846269401157355,0.8042871316571424,-0.04760262365033038,0.2078262393019259,-0.2525267992912451,-0.18496992663427253
ADV,0.4542257805523988,-0.5586164447349957,-0.14564179122430002,0.579970315723354,1.0,-0.0017129990245385927,0.28063161410236553,-0.44243502810766056,-0.3629579218808661,-0.17667523856068995,-0.24366927738159602,-0.4888063741802614,-0.00022068163315483333,-0.13156337200273874,0.6813218583689831,0.43240948943886265,0.11778642604182443,-0.7021565034476396,0.30982719491257726,-0.5034186358295973,0.09841307760627832,-0.2863574819897664,0.2736527595683193,-0.41969577486811155,0.5888114257411424,-0.10774156581862314,-0.5256971990556221,0.24453516938095624,0.2453364203242336,0.30968815197819843,0.5541566241464052,0.12518083448253287,0.39538842301425087,0.33000019297764654,-0.15166204780938755,-0.24235995064237942,0.274966976558446,-0.11203231811846358,0.28425855931745003,-0.26738636122316667,-0.061802087301201944,0.11226469873635614,-0.5554467535059068,-0.27578417668803895,0.7052404602700745,0.6291151195417547,0.8298098171411388,-0.07175194954390927,-0.6949779316860245
PART,0.24370791391929403,-0.5605469086893548,-0.7723348505090866,-0.4066393271941117,-0.0017129990245385927,1.0,0.27572882295068235,0.4290219889292606,-0.2145346365900543,0.15176773653730863,0.18355749328672089,0.4530408581651734,-0.3978243042582181,-0.29236222630723246,-0.4804854848141995,0.33597876118884135,-0.364700995682873,-0.3086720761186732,-0.5112181193962112,-0.4692824811881848,0.18060938797376325,-0.07479034911906003,0.5203446420654211,-0.023905386885336336,-0.16147310213707314,0.037104127061363866,0.5906437503545029,0.34015986011178334,0.22735579465095734,0.2987450018029464,0.1254277622534135,0.5978964386364249,-0.3143983002175677,-0.3652692655474577,0.039451910779195035,0.3201448785038317,-0.30312886512146636,-0.14629215210925198,-0.592061047322095,-0.4292699248022605,-0.3220290063135595,-0.4910800714699076,-0.05404797120898537,-0.47415226330705046,-0.03166290504704964,0.13174112576388328,0.33606047989870025,0.6255841718247606,-0.43250579987065957
CCONJ,0.3437289215427543,-0.5054602375677448,-0.1956425228812119,0.34878914649525755,0.28063161410236553,0.27572882295068235,1.0,-0.549405447701313,0.4011145041199533,0.09176904808408486,-0.6003927161694321,-0.2281534237217477,-0.7345726066824753,0.6297134325309627,0.18091630778777024,-0.18334270793809515,0.269655825542858,-0.6097436288577415,-0.08064170294961523,-0.556837393485676,-0.1508968466560865,0.45872206897690854,0.4941071682172921,0.0397163025452283,0.5524952012925811,-0.8035741023686674,-0.3554761931652231,0.987301735084485,-0.03897678015204744,0.31171359999840703,0.2554034139463461,-0.05641876920711434,-0.21512609532674432,-0.24452878336150133,0.5694214494620076,0.6458222688215811,0.07221970684671065,-0.8494221733841009,-0.059702176095390073,-0.5399299517685239,0.08752815782432821,0.2616282118461222,-0.21090142998799796,0.0021583122554045004,0.42933280886888375,-0.42801171272610566,0.3810011162721105,0.2367422454444193,-0.5697038034700672
NOUN,0.062258337242912846,-0.048949643963371516,-0.08335778634130438,-0.6049826538231683,-0.44243502810766056,0.4290219889292606,-0.549405447701313,1.0,-0.3137406410678919,-0.4017020805995421,0.5935962177284576,0.6460108252532518,0.05155002711662469,-0.5770693512885527,-0.36123294726070043,0.376012377473333,-0.46955229087715217,0.43635294167621375,-0.412875004310528,0.016888835612271415,0.3098570328656906,-0.30795839459082086,0.22470509915758816,0.17247875971139046,-0.6246573655783602,0.7526333986791385,0.6983981281883607,-0.5003327421983977,0.47198584251376363,0.17279399546135785,-0.5484721459066038,0.4037641534782667,-0.06448698757241078,-0.42205063005911797,-0.33887416484931465,-0.05649548150303463,-0.19409052874145066,0.5903536708473301,-0.23617482014321892,0.2829802490493433,-0.24904758926024165,-0.3385392668216947,-0.16214248522784544,-0.4793167807163292,-0.5668796749363453,0.2981312761508444,-0.40237518324078403,0.3183113373164261,0.12685789090130126
SCONJ,-0.020060984875482628,-0.06864776123232748,0.028796940331976998,-0.09371843730107238,-0.3629579218808661,-0.2145346365900543,0.4011145041199533,-0.3137406410678919,1.0,0.29997921140699385,-0.4925708956959196,-0.5100256984996453,-0.10914125139569539,0.6024760841123037,-0.16271754566085958,-0.6826465508654159,0.7651784219654056,0.3619489306785397,0.042928430171946884,-0.16511408838162228,-0.16363789175146679,0.9750371062889204,-0.20133300780653518,-0.003466873054589547,-0.17189709120013177,-0.6380094008250918,-0.36787107256392737,0.4203914034250563,-0.18071860977293427,-0.17549344144481221,-0.4654753392706723,0.11294041926128849,-0.2251782606254543,-0.30535724833370365,0.24785462061452818,0.7588959524721266,0.0631391764911065,-0.61405787361946,-0.0282347363571932,-0.2549956675123206,-0.1697424993043943,0.10340493764116077,0.3627769580230006,0.677646778404493,-0.3627110317786877,-0.6469161136291817,-0.1832733432785393,0.38169667222569376,-0.06682651317177903
VERB,-0.4205926922698925,0.21794210139713224,-0.5984599615794931,-0.17819723161855913,-0.17667523856068995,0.15176773653730863,0.09176904808408486,-0.4017020805995421,0.29997921140699385,1.0,-0.03649762149129238,-0.18965408958514288,0.20498487417164576,0.1475893001616159,-0.6224862993802336,-0.5171099415059469,0.22075646418955036,0.0872942439979767,-0.014347000717873482,0.2360475277160977,-0.2752122463861313,0.3541490269524767,-0.5318956289625264,-0.283533752449103,-0.09613529380049819,-0.4838610513393214,0.16438881449573597,0.1449547009196653,-0.6996651138287171,-0.5423852245932617,0.33340422450331686,0.17447485495424034,-0.38913980727523906,0.28164180337700784,0.1843233416007763,0.15080515147568865,-0.26126815901947087,-0.28973649640706917,-0.49535385720681263,-0.4174342865486244,-0.05264052727407831,-0.44420155065826517,0.8458142616549802,0.6251708377439641,0.016307438671685305,-0.3450767158444777,0.23361235091717447,0.20186950007566892,0.20980671368153028
