,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9414376909383567,0.21893596994574688,-0.5222135910988971,0.9915965017917587,-0.49523019614123076,-0.9859669920045886,-0.9839074912143482,0.6742833483265175,0.8304558633741377,0.428443729749697,-0.67986089326703,0.8843724902991895,-0.2504870877842259,-0.8023106108176795,0.9394637206048325,-0.6138445283382924,0.4188102616326605,-0.6755781490987598,-0.9101419196203689,0.5577035845308224,0.5577010275210922,-0.9651290664191562,-0.9749660376927544,0.9325908279352775,0.9832796013182278,-0.22238247685042378,-0.987307873671384,-0.9385785380108722,0.9147305695742082,-0.9999926405613957,0.5030493072718972,-0.9419666679510534,-0.1562692973711771,-0.34474206620965214,-0.5222135910988971,0.8230941921775156,0.228008396207686,-0.0988242379255001,-0.8974704045049673,-0.6848766751760399,0.6833797519919163,-0.372312971675631,0.9695378213749423,0.9969519975763831,0.7598548341651102,-0.854151919599884,-0.8847890907168331
PUNCT,-0.9414376909383567,1.0,0.12289201067201164,0.7791895994607906,-0.8899047243315493,0.7591635564380691,0.8719363619030996,0.9865357042783937,-0.8837991625657219,-0.5939808227810487,-0.708024617035899,0.3927735835446243,-0.9899743686740541,-0.0906194743805223,0.9565946505584912,-0.9999831383511698,0.8440808785787288,-0.7004744361329879,0.38741067243498195,0.9965373410248495,-0.2451644129939458,-0.8049201087416008,0.8203419233653789,0.842894954306567,-0.756273437483911,-0.9870989855427996,0.5381029173157862,0.8759374738079313,0.767261547393571,-0.7249165943818507,0.9427243844073339,-0.18217311137341294,0.9999987640219186,-0.18592667968158727,0.008036595236431463,0.7791895994607906,-0.9663820388458537,-0.5429609128034015,0.42857330127242144,0.9936371140404628,0.8904630594408253,-0.3971916716057306,0.03756376650060628,-0.8301683065890662,-0.9648746393804392,-0.496153143067992,0.6287856274431403,0.9901001428214691
AUX,0.21893596994574688,0.12289201067201164,1.0,0.7177934480899256,0.34332669896184675,0.7392612577993726,-0.3787539178256431,-0.04106900358666683,-0.5729319281054698,0.7253857888374649,-0.7878454526747604,-0.8643956807815006,-0.2618364160519986,-0.9994732367092051,0.4067706923865827,-0.12865307249665878,0.6358821866773442,-0.7943505646891842,-0.8673095581365539,0.20498265644186375,0.9320041463590747,-0.6878036321041988,-0.4667251099294058,-0.4304144887423638,0.5563564853207906,0.037590974653645026,0.9026187102737674,-0.37112217645040724,-0.5421827291252329,0.5945288446933177,-0.21519092360545627,0.9534257416812912,0.12133153122706956,-0.9979647406670468,-0.9914003665141979,0.7177934480899256,-0.37392214221625186,-0.900118203452589,0.949326710443074,0.23388531391580122,0.5610370319814757,0.8619676041305148,-0.9871033445855987,0.4512658818278337,0.1421440160218942,0.8006805887181447,-0.6944119615564646,0.2609742243424124
X,-0.5222135910988971,0.7791895994607906,0.7177934480899256,1.0,-0.40749725109132806,0.9995087938051096,0.37251614783235687,0.6661896223085292,-0.9819003473561344,0.041414467188147765,-0.9943156358038312,-0.27037149251974213,-0.8599097744942661,-0.6948191847687316,0.9280283857618635,-0.7828163158921982,0.9937928797090181,-0.9931270952408583,-0.27597430539785944,0.8286067374733083,0.4166301069614133,-0.999111020125819,0.28075837189252173,0.31951389475235387,-0.17920059735354793,-0.6687814440388247,0.9475909786968857,0.3801432456290006,0.1958613682990284,-0.1330927203268488,0.5254815817068276,0.47435252369287734,0.7782031715761514,-0.7607315130084326,-0.6205060231763904,1.0,-0.9141486198894189,-0.9494199629216197,0.9002474811295228,0.8448262270912267,0.9790630379086975,0.26573836280512775,-0.5970766331950077,-0.29741597829733113,-0.5871562698428962,0.15760218308623694,0.0025659927486995264,0.8594534751129702
ADV,0.9915965017917587,-0.8899047243315493,0.34332669896184675,-0.40749725109132806,1.0,-0.37867755314843915,-0.9992783557213111,-0.952523724910335,0.573081418741745,0.8955466692612466,0.3079494170726348,-0.7690193998365128,0.8165534948925802,-0.37362697624797875,-0.7183470729441138,0.8872408073549316,-0.5065585925903668,0.29781405676107997,-0.7652833030520921,-0.8488963414899453,0.6603985190230401,0.4456325701076392,-0.9908841503522368,-0.9955386387900662,0.971447706665018,0.9514582005465811,-0.09438400132076889,-0.9995571860202377,-0.9753320503860945,0.9593170931934806,-0.9910928779135174,0.6106302212426846,-0.8906207984430472,-0.2827358746920733,-0.4632835208464222,-0.40749725109132806,0.7427079487666542,0.10013086688843965,0.03074210952278086,-0.8328670560449623,-0.5848553177925693,0.7720846146678347,-0.4892526875618136,0.9930782059866331,0.9784810684725491,0.8375713482968833,-0.9142490621568855,-0.8170688157822981
PART,-0.49523019614123076,0.7591635564380691,0.7392612577993726,0.9995087938051096,-0.37867755314843915,1.0,0.3432492024725061,0.6424898568790965,-0.975482363790086,0.07270684564206592,-0.9971640317523836,-0.3004110834715814,-0.8434902014496489,-0.7170168454991827,0.9158982308282135,-0.7629306303542955,0.9898183107270773,-0.9963072811854656,-0.30596128102460685,0.8106548324115246,0.4449155453720402,-0.9972990827496617,0.2505413790400715,0.2896601107879452,-0.1482802718472138,-0.6451532179057786,0.9571380841436303,0.3509696465624105,0.16503254901373804,-0.10196654512130604,0.4985595664238582,0.5017088731646068,0.7581392439363771,-0.7806993333296466,-0.6447778009828485,0.9995087938051096,-0.900995158517328,-0.9587945253950559,0.9134498672841584,0.8276432739655484,0.9722027103494898,0.29582062990833985,-0.6219234848725685,-0.26734845662539014,-0.5614992686352963,0.1884727161564076,-0.02877477373074512,0.8430100601621608
CCONJ,-0.9859669920045886,0.8719363619030996,-0.3787539178256431,0.37251614783235687,-0.9992783557213111,0.3432492024725061,1.0,0.9402716329337075,-0.5415402068605247,-0.9118019559047507,-0.27158931205895936,0.7927446419075236,-0.79403734385133,0.40859031179017435,0.6914039373911943,-0.8690783664269472,0.4734432091873098,-0.26133891374343005,0.7891809593447028,0.8282070560015619,-0.6884445503839652,-0.41130729301734625,0.9952861359979148,0.9984041643614363,-0.9797584628977694,-0.9390810136393173,0.05650167113847715,0.9999661146244933,0.9830128549181212,-0.9693488016946954,0.985319267095386,-0.640269523869592,0.8727050856256793,0.31896580136764885,0.4966108080744543,0.37251614783235687,-0.7167374482643885,-0.06226572083027309,-0.0686857548165563,0.8112430202439723,0.5536231843502561,-0.7956668884875623,0.5220268768538261,-0.9968229420005823,-0.9699375079598164,-0.8577185224023675,0.9289785291579705,0.7945800064886435
NOUN,-0.9839074912143482,0.9865357042783937,-0.04106900358666683,0.6661896223085292,-0.952523724910335,0.6424898568790965,0.9402716329337075,1.0,-0.7953817240431327,-0.7175526692271502,-0.5829973603197561,0.537887851567093,-0.9535446549159163,0.07347378858102813,0.8960538960973204,-0.9855693330142219,0.7450199451321475,-0.5743239199067554,0.53296873146455,0.969521399831739,-0.40041830075553225,-0.6970369597557943,0.9028242136648292,0.9195465131370932,-0.853091666972681,-0.9999939422869806,0.39300820217820565,0.9430422291241368,0.8618185944676265,-0.8278126030407248,0.9845857528420587,-0.3405296076348066,0.9867916193863974,-0.02272892764120936,0.17146913737387617,0.6661896223085292,-0.9113210007904884,-0.3983112437970985,0.27503787758541626,0.9618384685813509,0.8040510749748354,-0.5419357930420471,0.20048860217457326,-0.9101696894438215,-0.9948485798529478,-0.6314691825483291,0.7474893818167854,0.9538133678117137
SCONJ,0.6742833483265175,-0.8837991625657219,-0.5729319281054698,-0.9819003473561344,0.573081418741745,-0.975482363790086,-0.5415402068605247,-0.7953817240431327,1.0,0.14857090498462688,0.9561531393991407,0.08313351967886398,0.9410233111706044,0.5460308985880825,-0.9817840491798738,0.8865012319613919,-0.9968754084806102,0.9529844944786919,0.08893626755474401,-0.9196402922658051,-0.2369117986359416,0.9890118239206149,-0.45745713523055875,-0.493201126169771,0.3622895332195978,0.797486599025363,-0.8699298030094352,-0.5484424848848781,-0.37804628133874085,0.3183971021452407,-0.6771115453292154,-0.2990329774808125,-0.8830624694363822,0.6240304236438542,0.46074863154631784,-0.9819003473561344,0.9743809711438789,0.8727630026696479,-0.8014933685791279,-0.9308709701703992,-0.9998957361201785,-0.07834009202835084,0.4343374466935787,0.4728604791489838,0.7298418522288375,0.032281670045080466,-0.19191720404360224,-0.9407207117472274
VERB,0.8304558633741377,-0.5939808227810487,0.7253857888374649,0.041414467188147765,0.8955466692612466,0.07270684564206592,-0.9118019559047507,-0.7175526692271502,0.14857090498462688,1.0,-0.14756031307508963,-0.9731273705071456,0.47439541872039426,-0.7473430131305097,-0.33375608883995567,0.5892990743633025,-0.06999333259668757,-0.15807031641758662,-0.9717697133798465,-0.5250345005702551,0.9255506738171858,0.0007426691981872626,-0.9473275855647807,-0.933536118142174,0.9755469999151659,0.7151239884731075,0.35845592485227484,-0.908390656779388,-0.9716787704141334,0.9847413123166013,-0.8283124906882322,0.8992247597494315,-0.5952449271080256,-0.680015113139407,-0.809226802976005,0.041414467188147765,0.36717243418890577,-0.3530594491346489,0.47228827759261244,-0.49959372437109184,-0.16283526839537868,0.9742234999282025,-0.8262235811342514,0.9416115484609814,0.7844623539244183,0.9931824698885687,-0.999032494354357,-0.475181568691388
