,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9091924005821147,-0.1703802090159256,-0.6801609789619344,-0.25523372428761043,0.852714134894278,-0.11852302783968408,0.5458037053659576,0.9065909014469672,0.7065730308368451,0.3187435068264546,-0.8430235719795497,-0.9800909279375264,-0.08935821668393486,0.21845155095365826,-0.6991879891397071,-0.5113620939267799,-0.9211220827880493,-0.913154009205548,-0.9128649423924129,0.4568817783199278,0.6940649908415361,-0.9174717622187166,0.6608417144406005,0.5159414908834339,0.21491592848933375,-0.0851138687558114,0.4108838352198674,0.21464679727354535,0.7535336405309176,0.38987090081639836,-0.8217045021631878,-0.8799048003073352,0.8793944108670484,-0.5585583937540456,-0.7142658858882185,0.5718960087160758,0.04563357107390335,0.5696417024854468,-0.34976287885710655,0.378881193875579,0.44733779240011146,-0.5570843351594311,0.7668894256991098,-0.7302348330115543,-0.4161405450348215,-0.884959142212338,-0.8540244682364284,0.24803357364046116,-0.947390811803332
PUNCT,-0.9091924005821147,1.0,0.469972109846182,0.3665579732753031,-0.0023602396077578723,-0.9808575628956836,0.40766833276306264,-0.23280012686411308,-0.9540175648395354,-0.8511834202344437,-0.5066575678015932,0.7085351829234299,0.8788787889750275,-0.0586751382285992,-0.5813853637539832,0.6497362855592977,0.3609051927088012,0.9231273178481857,0.9939569661783184,0.9530889141241629,-0.41178268943442603,-0.4895884188366771,0.6754678725842838,-0.5337913650246304,-0.32288529197755694,-0.3257299366799545,0.47200850984844384,-0.006327879120971189,0.0507345754498291,-0.9527476690132577,-0.08927262593320259,0.5122784699292809,0.9978009178109066,-0.9534292854037213,0.2910377977495065,0.9407926540801999,-0.8588633812391113,-0.4400705282733843,-0.6920007770122591,0.6214248109952738,-0.1449972281486637,-0.24236124277566287,0.8178557782129116,-0.8250610727521613,0.5752118231683809,0.15413477639331252,0.9821445578844993,0.7992605912253922,-0.18249477567714065,0.988018114861302
AUX,-0.1703802090159256,0.469972109846182,1.0,-0.08034609563802769,-0.8786767033410005,-0.6265749653422439,0.13380764125155373,0.7325057565277688,-0.21063955098780135,-0.8149739676943598,-0.9482625214293201,-0.2895994546254687,0.020846413734688866,0.3527569755165286,-0.9394747027169116,-0.30611961593347936,-0.6209113400358174,0.5211927182280791,0.5209068207867259,0.20159537212098688,0.4901556046992278,0.5394319353818718,-0.20401126801943678,0.47193624540716955,0.6709748045463546,-0.8573921287880012,0.5376046753267045,0.4517364971678922,-0.08074294866624242,-0.7018061476117143,0.8353126650103526,-0.23474564724545777,0.5156310678556645,-0.2400701647135566,0.10872776799947864,0.6456182449376524,-0.7778702300411969,-0.9123860149690064,-0.860057648682446,0.2393870213730829,0.7977304205521322,-0.28409724778167456,0.8887468326993703,-0.7186805868151888,-0.44652268105640286,0.12590800479749548,0.35531027035689705,0.5134670809668482,-0.5720709222578843,0.32872835703855957
ADV,-0.6801609789619344,0.3665579732753031,-0.08034609563802769,1.0,0.18853733911683232,-0.35202918171715336,-0.6381295977246854,-0.5263742594657256,-0.3102777569742549,-0.38414256270425606,-0.22979341977941914,0.4423490926445687,0.6030244249902525,0.6523726821724409,0.27183607362583023,0.15937396245649005,0.15834238839343112,0.6389783996041905,0.4277452167848918,0.3254539174701036,0.05241922148519263,-0.41465439879829924,0.8073364361404375,-0.2432398597491429,-0.2396743013934143,-0.3400322537657838,-0.6426803001661879,-0.9085096790317622,-0.8253921033123001,-0.18085778984965084,-0.37492759561562133,0.9340824173505535,0.31525574525420963,-0.2502831185329098,0.9622718208114095,0.05885508579196558,0.06095418606065979,0.4296535634572526,-0.4276492857048559,-0.44671880823170323,-0.21951434669681982,-0.8754144171349215,0.0762347299288992,-0.569390126107866,0.3566797902160354,0.9122224913193995,0.2664938820027177,0.7620522608562235,-0.6301485593646042,0.41914216271706073
PART,-0.25523372428761043,-0.0023602396077578723,-0.8786767033410005,0.18853733911683232,1.0,0.19444318634488308,0.16199726456498456,-0.9273399181295616,-0.2796478772683204,0.4944646848369671,0.834368748461273,0.7019170296287517,0.421024834147402,-0.5250169007573514,0.7191458575386493,0.720833439655814,0.9175074449095528,-0.14048998903891277,-0.07272766605184873,0.2878006670487573,-0.8206851292340651,-0.8673348314229248,0.538332954491141,-0.8355410460040559,-0.943563037218983,0.8485664259550142,-0.2701991051643587,-0.4200448892455626,0.22424595324984292,0.2779471936305529,-0.9808870751138762,0.46249592944349277,-0.05065519860418515,-0.2522758709626951,-0.07184311414174561,-0.20469251604838354,0.39265317789156123,0.7517850817931256,0.6462152522685352,0.14180110110277433,-0.9888188180006404,0.29444740154395393,-0.562749248393019,0.42011314604584704,0.8165837157323903,-0.1665654922646903,0.13291363499158856,-0.21950294741144,0.6356883469475976,0.14883628723233489
CCONJ,0.852714134894278,-0.9808575628956836,-0.6265749653422439,-0.35202918171715336,0.19444318634488308,1.0,-0.3400719400557836,0.05930201229669128,0.8783639126804986,0.9352613987235474,0.6640616758469248,-0.5615101502317703,-0.7877510277065267,-0.0702601232194795,0.6960154859312834,-0.4910071659582326,-0.17240599067529833,-0.9434033197662207,-0.9911230810588837,-0.8763733593897393,0.23354224500820991,0.3158145645538611,-0.5747232263539523,0.35893916121887254,0.13326950250077146,0.4956483790293882,-0.48805759729110654,-0.04573025270905352,0.024195690123180996,0.983436786259394,-0.09549136554179445,-0.43629751365066954,-0.9865414351037574,0.8811461024614844,-0.32938349503677383,-0.9530655044266931,0.906970220680354,0.5602684684241672,0.8129014274880076,-0.5575843929536296,-0.04855546121748167,0.3234958052539783,-0.90586613803443,0.9016564652429225,-0.4067341070229218,-0.21399330845289055,-0.9332158492740246,-0.843530788771375,0.324842981842211,-0.941047663315959
NOUN,-0.11852302783968408,0.40766833276306264,0.13380764125155373,-0.6381295977246854,0.16199726456498456,-0.3400719400557836,1.0,0.015556120550851614,-0.5264112693287448,-0.10360156255766657,0.12834858600307883,0.35481125462468754,0.22925310935002244,-0.872283885824822,-0.46427571785144023,0.5952601894684719,0.4426566760091549,0.031458583461644915,0.31805047061603864,0.5135789417483747,-0.6558514421255495,-0.27138809575671635,-0.08787233826361632,-0.46337897680854745,-0.34227220113167467,0.38137027506336946,0.9028610402835179,0.7443063556849248,0.9316228272534306,-0.4580517784800348,-0.04202894687405546,-0.365076505617124,0.43968400936164515,-0.5755593941082213,-0.7501457785111512,0.594805057546962,-0.5841443819227984,-0.49970243390652813,0.11496766359571578,0.9687415518999875,-0.24100436042188264,0.7798197053384442,0.35775579128683815,0.07322480382338149,0.37675321361525976,-0.8393332790883855,0.5399319328500862,-0.2129542416720952,0.7033618546604923,0.3994608207221558
SCONJ,0.5458037053659576,-0.23280012686411308,0.7325057565277688,-0.5263742594657256,-0.9273399181295616,0.05930201229669128,0.015556120550851614,1.0,0.45399251855144784,-0.2059067959815999,-0.5906009819944589,-0.8335877407881432,-0.6613718745659981,0.2536915890830179,-0.6422545821583863,-0.7526032814939863,-0.8888752353793203,-0.1910499701691953,-0.1906198020429454,-0.4658066543851666,0.7434979758994364,0.9424470978451306,-0.804509573155568,0.8652664486578588,0.9330048759895421,-0.5889554423225782,0.3843017262179017,0.6555368104472875,0.06343095055229292,-0.07115875172435815,0.9811364444780496,-0.7600575947305999,-0.1742508522922242,0.41100086031854166,-0.27958889911194196,0.04803578422532489,-0.25900596723237873,-0.7376474290409564,-0.34234357862768594,-0.05327392136344782,0.9448827569945939,0.053018649441345586,0.36749882293260183,-0.08526427260753561,-0.8899665259943553,-0.1653239991650825,-0.31603478625469,-0.14729564434273246,-0.3284129975024177,-0.3793413064254067
VERB,0.9065909014469672,-0.9540175648395354,-0.21063955098780135,-0.3102777569742549,-0.2796478772683204,0.8783639126804986,-0.5264112693287448,0.45399251855144784,1.0,0.6547175142210069,0.2259053649840332,-0.8687753690866897,-0.9352843816436223,0.2905261818350831,0.391349875882974,-0.8476143156952713,-0.6197396101487066,-0.8051340179452633,-0.9198283238312952,-0.9998487045728447,0.6646304563441398,0.7039962087954431,-0.7454409191250172,0.7575489353033595,0.5806810998885643,0.02911459691904282,-0.4599926434032445,0.03198488097051607,-0.21081349766395704,0.8442121684498114,0.34424740250433455,-0.5457841029928016,-0.9429289428664468,0.9978291480098502,-0.16038168738944128,-0.8681580519262577,0.7430114322686859,0.2583985803058609,0.4453530978795316,-0.711723800878987,0.41952307489439433,0.05415992116326933,-0.6352785400464938,0.6305196686295325,-0.7803575772037087,-0.0009517102554707611,-0.9884313818911262,-0.6440803996129603,-0.08144170402303294,-0.9820305092081446
ADP,0.7065730308368451,-0.8511834202344437,-0.8149739676943598,-0.38414256270425606,0.4944646848369671,0.9352613987235474,-0.10360156255766657,-0.2059067959815999,0.6547175142210069,1.0,0.8818049443789818,-0.2664459806810538,-0.5797420265089714,-0.36283531638768735,0.7787687671054614,-0.15432847696031674,0.17453827218871712,-0.9190076061311017,-0.895995929141195,-0.6526986164847435,-0.12569079420835988,0.003127040047169246,-0.4002497014200313,0.0201538043133908,-0.20167655213764143,0.7707524754453005,-0.3818346812706714,-0.0366928909196615,0.24402108446597023,0.9235771184813305,-0.3759890885971504,-0.3389500511534991,-0.8648549880914016,0.6568140213911973,-0.4560105712471674,-0.8511286136730499,0.8632572956776898,0.6548327173517406,0.965470345406695,-0.3185254071923549,-0.36788490985311423,0.5189092893964337,-0.9489352021631852,0.9772121214698444,-0.08499668268840986,-0.38990214073270546,-0.7456409233526029,-0.8892081297692873,0.6044402578341648,-0.7721908319149475
PROPN,0.3187435068264546,-0.5066575678015932,-0.9482625214293201,-0.22979341977941914,0.834368748461273,0.6640616758469248,0.12834858600307883,-0.5906009819944589,0.2259053649840332,0.8818049443789818,1.0,0.21521907619267755,-0.14161067348384923,-0.5959737661756,0.8076852717691165,0.3251240047721523,0.6182826250650729,-0.6624561071429765,-0.5809052807933768,-0.22204352909760053,-0.5632942690960828,-0.4583525989576496,-0.0036785423183647746,-0.45374068782391,-0.6371977317737733,0.9641472076001089,-0.2772837271780177,-0.14566050153942345,0.37691204989039706,0.684160735072719,-0.7341508029354913,-0.03340732722950105,-0.5357260916943178,0.23513146421001654,-0.41818508883018396,-0.5851016812558173,0.6871850243461699,0.7392847450764896,0.9596938101415134,-0.024773349979557286,-0.755788747743045,0.5725594586122793,-0.8530869191798255,0.850649960779211,0.3922664656781166,-0.43242426505770537,-0.3559541678951219,-0.7104185476373268,0.788057347526857,-0.3815330305920315
PRON,-0.8430235719795497,0.7085351829234299,-0.2895994546254687,0.4423490926445687,0.7019170296287517,-0.5615101502317703,0.35481125462468754,-0.8335877407881432,-0.8687753690866897,-0.2664459806810538,0.21521907619267755,1.0,0.9323488063008118,-0.36505811090189233,0.11385275796200399,0.9557855540815108,0.8930665009388602,0.5761963962582045,0.659298703360413,0.8746834203359812,-0.8485166146685176,-0.9621607714601297,0.8856998129293336,-0.9603782282511262,-0.8897729561781771,0.34303313245658007,0.09960960634777076,-0.3492159667932138,0.14106707374158708,-0.47416451839469986,-0.762850611173567,0.7284037318740988,0.6705333584446255,-0.8458506662045238,0.20785154383273957,0.5093924874131658,-0.31573766420729477,0.24311475825133455,-0.054398782238153816,0.49935865446381644,-0.7974540906893316,-0.015062452884772627,0.17791017277711493,-0.3109612791128428,0.9825150384769963,0.045056553592490715,0.7839442013073207,0.44355123838822264,0.27698907347621543,0.8080929378535858
