,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.751933391127072,-0.32924366104464214,-0.7556072690757136,0.401035707454729,0.18477152987399828,0.6508213050003875,0.1288820804926979,0.6811183233167661,0.5621210435543922,-0.22865311598573076,-0.6962441984883188,0.1492177536994729,0.2643158084630307,-0.27064989746447493,0.4056452808514906,-0.4577687170840007,-0.27866035146204365,-0.8434554462876054,-0.3511403138250321,0.1825071178600989,-0.5370453860581992,-0.04679529152101278,0.1779211158229657,0.0059141015834827055,0.5001945386576063,0.355104318665854,0.1099686003423057,-0.512135543529422,-0.5718323730306484,0.3093264494213818,0.3095340441355747,0.6595341513385675,0.574762955047757,0.14851613856812387,0.2981054709322714,-0.5033493652957673,0.5613712532817166,0.6092176803285504,-0.19541220510347349,0.9216212807769818,-0.18599108851087898,0.3838885645580003,0.6029997650249115,0.17705820961779084,-0.45626925060687673,-0.17805137689630024,-0.19266915422940478,-0.7694145997667121
PUNCT,-0.751933391127072,1.0,-0.13495591182318575,0.46206118101378324,-0.6240397784844333,-0.576175083048143,-0.06781965382269091,-0.537484482773397,-0.7361641493238904,-0.016406113411010278,0.32499057657810415,0.5042581926654888,0.04084848484951779,-0.5143525282259411,0.7287074471388271,-0.04189783321031462,0.37264880252200167,-0.09193728584274023,0.9674453484003088,0.5501206637251232,-0.36934264740338096,0.3329420721157119,0.5282142156427552,-0.31325747477551347,-0.6280351655230326,-0.5989438195871873,-0.23652687936166925,-0.5590213989831428,0.9134644701329945,0.5241032569093328,-0.12631761805591507,0.16449439044371983,-0.5398410647810097,-0.4502498051330798,-0.29694405960243414,-0.5600517684814122,0.7798111152989867,-0.07448417835590217,-0.38302730863234746,0.6121308545017884,-0.8941127923131942,-0.3529238597736632,0.021871144622421818,-0.7042527962831947,0.105577934420343,0.6966750085067704,-0.22909115436918653,-0.0991459023797999,0.9947503975977927
AUX,-0.32924366104464214,-0.13495591182318575,1.0,0.16256145406493455,-0.19392707181405672,0.18813874595257135,-0.28045478229887794,-0.06414923119139515,-0.4525008907973952,-0.5331240949771057,0.17314579312568448,0.3420559247832369,0.4275995195115809,0.4318848053885852,-0.26434492893412054,-0.6115984543389617,0.2529689786554201,0.7744328505021062,-0.012940297400906258,-0.49378040600667555,-0.18947339190767334,0.03413023150917262,0.01183350762701228,0.052069979972680244,0.729546218057458,0.04733149441827619,0.4749486301266539,0.20896805360612078,-0.4210647951014165,0.0009279591209478334,0.31773575334877663,-0.5665431289346649,-0.523121484249062,0.057426304639155976,0.15499882715426094,0.1873381796386074,-0.29772906206439625,-0.4234655453435268,-0.41057210994647647,-0.30062092915211086,-0.25559825981802975,0.9425267733882281,-0.18128062278439433,-0.3570730575145055,-0.7401747312868311,-0.019050426800546194,0.13484573537372202,0.7516850975409479,-0.12154468937814648
ADV,-0.7556072690757136,0.46206118101378324,0.16256145406493455,1.0,0.1642483718097391,-0.35202256954892786,-0.6909295308498739,0.09554115197167505,-0.4909243638610957,-0.6713085588934747,0.5051499285221057,0.2514009127798718,-0.21935842445543066,0.016447134637187374,-0.04468115331229871,0.0849387972188427,0.572924841280811,-0.14643937049211145,0.4488279074819332,0.5748775697962132,0.12683945985375683,0.6203695609722804,-0.16002534399919682,-0.6293058745279136,0.19726019042374804,-0.6185133605172634,-0.23298628393084003,-0.2670659954708339,0.4045483324124481,0.21074922703859816,-0.5051724744126851,0.08932491921934582,-0.20956727178563983,-0.22599162799082523,-0.11356647864514,-0.5591147487223715,-0.03150166879385341,-0.7112150081554589,-0.20226294715463997,0.41784841333603573,-0.6855772129362556,0.10134542095218145,-0.8270435278905256,-0.34961769974809864,-0.42714084515956485,-0.18617572120261547,0.7302671759718773,0.16224008220158742,0.42909907355470983
PART,0.401035707454729,-0.6240397784844333,-0.19392707181405672,0.1642483718097391,1.0,0.3260969724758397,-0.24117214817691893,0.7885391129444131,0.6134398590759434,-0.3967788173531485,-0.18351729138524991,-0.7515840571940888,-0.5128400511425818,0.6374599387517342,-0.8362193013236394,0.5822501563612956,0.23299193578183405,-0.5392421828300552,-0.6797852947032035,0.28532932873882333,0.8493420243209464,-0.23576542023165417,-0.7240187037068405,-0.22023657305053843,0.39624115659593073,-0.12872386714941605,-0.029043433794034023,0.30334538403451844,-0.5096881117488514,-0.14175949906905283,-0.0877559675908029,0.3304991393932145,0.8533911718477629,0.561408597668005,-0.2362117403397242,0.1910784171767605,-0.7141291107345511,-0.4418894047930453,0.7256226737489537,-0.12073921125741617,0.5730870221198637,-0.08513560207345007,-0.6549965273348631,0.41488430261544723,-0.11307517019102324,-0.8192881592936225,0.7587854025216931,-0.3534927920490041,-0.6677440236581487
CCONJ,0.18477152987399828,-0.576175083048143,0.18813874595257135,-0.35202256954892786,0.3260969724758397,1.0,-0.3822077607468427,0.7757495949807008,0.6693582647244605,-0.3194408660226858,-0.8783052955593007,-0.0590635133389983,-0.5609856199893846,0.30406490464083435,-0.6807977899532032,-0.3933391472974042,-0.18975330137261331,0.3335627172780285,-0.3859818695836037,-0.3743308859872981,0.5038711844262214,-0.36741559974640753,-0.778932572725134,0.7998403959950651,0.43472806310266815,0.40975835759025353,-0.3379173772396003,0.9861346925498865,-0.7693762555970692,0.2990921171370275,0.11455763259018469,-0.6165111146212027,0.24666012152466701,-0.029273492749208763,-0.07508877724637132,0.9619794730199865,-0.1042787595093786,-0.25602602087705445,0.04721816518560756,-0.9248038601370772,0.5198847544652603,0.2966614158452116,0.009380461068643407,0.3847614320625558,0.32447602302787354,-0.027053096441483813,-0.004782366309975466,-0.22882333466437663,-0.5131483400495372
NOUN,0.6508213050003875,-0.06781965382269091,-0.28045478229887794,-0.6909295308498739,-0.24117214817691893,-0.3822077607468427,1.0,-0.5704090665270205,-0.009289975549847491,0.7658179903546652,0.13217617989189412,-0.41899718148990295,0.583934552706175,-0.0024018382102385864,0.394162614203063,0.3851380544809261,-0.20095845537636864,-0.2452860950105556,-0.22494462373097432,-0.14734087397219273,-0.291639392949911,-0.5274525936610224,0.6857181828288458,-0.08811729614490144,-0.4995722380875578,0.11819422632382383,0.6019667006842067,-0.4893303447798156,0.11212354804720645,-0.3422524144586024,0.5836517684564803,0.5252770303135657,0.19672763947201244,0.4832949434364809,-0.057657746357548896,-0.14162375837089483,-0.0013031496600733857,0.74014319344667,0.3896444171346367,0.35121972762160664,0.33287417151243015,-0.35252931038034213,0.6693945676991784,-0.05824917678080673,0.08476836581295036,0.12091806561299667,-0.5991392685454873,-0.09907825103736904,-0.10199768159984836
SCONJ,0.1288820804926979,-0.537484482773397,-0.06414923119139515,0.09554115197167505,0.7885391129444131,0.7757495949807008,-0.5704090665270205,1.0,0.7042621896125673,-0.5625065004426005,-0.6423167443448468,-0.3767399552227628,-0.8194602971265508,0.47012144587900917,-0.8744016366920178,0.10530680720944127,0.1315504698033692,-0.18049583530820418,-0.4426969119163645,0.13441537379004814,0.8653349770183206,-0.22594726042604646,-0.9776646156415548,0.30365378867136616,0.4334014217998602,0.01938868255463926,-0.4254688580662545,0.7728881506949434,-0.6130941992546106,0.26950641547033677,-0.1391145450588627,-0.1853605890340566,0.6074811582025885,0.16573716104214498,-0.2698647646526422,0.6237968799109717,-0.3460036977366087,-0.5685622382833964,0.388738425567719,-0.5706965113771618,0.4739382481600647,0.045913926539547054,-0.5263137691572565,0.40130823056863324,0.19388121052870844,-0.4270411876739105,0.5438932334735224,-0.4389071974811263,-0.5226732221920588
VERB,0.6811183233167661,-0.7361641493238904,-0.4525008907973952,-0.4909243638610957,0.6134398590759434,0.6693582647244605,-0.009289975549847491,0.7042621896125673,1.0,0.18253250165011686,-0.6821931760057426,-0.47832220203633846,-0.5582142299681319,0.12604353838317875,-0.5513358274555019,0.18931885859828138,-0.4779573470300797,-0.2518390981759281,-0.698344929820711,-0.18583394781983753,0.5367187861390142,-0.31915184372425687,-0.6807714479363579,0.5180484616384657,0.12090277879139735,0.5164100241974475,-0.3556081274498763,0.6508485071866745,-0.5979765152341725,-0.1686712750010331,-0.13055438022554966,-0.05969482939509284,0.7112513170867399,0.152397619347773,0.07804060385881763,0.6302115855491208,-0.29513281380105616,0.1792188823163104,0.4457965464559322,-0.5985595896752757,0.8799204595236232,-0.2319285501212312,0.08964013110022605,0.8181276200099333,0.5515150171023994,-0.39768848975563725,0.06080880105851207,-0.4905586130107161,-0.7094188184788401
ADP,0.5621210435543922,-0.016406113411010278,-0.5331240949771057,-0.6713085588934747,-0.3967788173531485,-0.3194408660226858,0.7658179903546652,-0.5625065004426005,0.18253250165011686,1.0,0.06520503852830986,-0.025022858320738858,0.40560754485749134,-0.5677723805326305,0.6231111003898172,0.11686411887477825,-0.7063812811949984,-0.11891424625805917,-0.10907279270754494,-0.29636683427332294,-0.5485191970717729,-0.05219651666555587,0.5654270669573108,0.1754136539375418,-0.5703062022940224,0.5032911099930458,0.0859610712277404,-0.33923847307450117,0.2513554728474333,-0.4790085298012449,0.008716447008512013,0.2333508121560939,-0.0005831476090252143,-0.09756365808202674,0.39139789856932433,-0.1574097981226331,0.24003862527425504,0.9894658538802366,-0.007983258187819097,0.14545522189489896,0.31482815408941006,-0.4465859005819325,0.8314780005845874,0.3593084683029328,0.46445871581552595,0.2014160040910085,-0.7032996744473788,-0.06745790245531699,-0.005533566678932559
