,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9547148605737577,0.8643017934128713,0.06123186495812775,0.39492806797848123,-0.12490459388059898,-0.03219903162258403,0.5676839410255625,-0.050916939895742454,-0.21717851320510953,-0.9444406518858807,0.18085998985252433,-0.24289339640427962,-0.44669612406733533,-0.49308831920214563,0.37234961614879003,-0.6930389463379316,0.37303406641746617,-0.8117597142613865,-0.9712991608234646,0.29943123467649047,0.3251878629893627,0.24968289444389707,-0.024646291017050362,0.9910836517879618,-0.34822291939969324,0.44916582358160706,-0.09654855547014163,-0.40443094676706703,-0.0037287549404190954,0.011082020677913524,-0.726058290927665,0.4539863991458606,-0.5544231205385172,-0.404430946767067,0.2903346640665011,-0.38658315073547905,0.3633341927505272,-0.6930389463379316,-0.19530482924196,0.41858044991640503,0.7714176934378726,-0.17124950819528084,0.4621663929196827,-0.5171362862766478,-0.39764612588512055,0.3398738942314788,-0.3353655222848805,0.4102100021091113,0.9437462892723751,-0.9639893967734681
PUNCT,-0.9547148605737577,1.0,-0.9131977508273523,0.2329495462401043,-0.11717424526560458,0.4105973803007916,-0.16841009533857537,-0.7785283650831856,0.29975389862436996,-0.07278274898918369,0.8039166773187935,-0.1754514426878461,-0.014829172305173203,0.16031485098156573,0.5850229517132463,-0.3658858145396189,0.773427922013758,-0.41867348583227104,0.922765878624343,0.9676442752740567,-0.4106446593508008,-0.5841891785791666,-0.2903976016818629,0.28156790618399735,-0.9828548278237188,0.5996016786121978,-0.6601459039849843,-0.13865505120909116,0.3390927158039045,0.300990270541603,-0.2948568205239908,0.5529696610028537,-0.17298883918826713,0.6559014338406634,0.3390927158039045,-0.47405899793904704,0.13100368931277928,-0.07259888875701626,0.773427922013758,-0.06798222031191695,-0.6652062835833431,-0.9138048952153319,0.3357142136914604,-0.1960106342829879,0.6850170929967954,0.36845192640557106,-0.5818301066126526,0.09337418308565903,-0.1263011677481316,-0.9639528736885509,0.9892726866400661
AUX,0.8643017934128713,-0.9131977508273523,1.0,-0.1587359271204866,0.19873335608920167,-0.462618515263538,-0.13165434212903845,0.8127570098793621,-0.5108655131058719,0.1956584165462333,-0.7154649448977838,0.5590862526995783,-0.1692724113939574,-0.11536336953868617,-0.22231745491911875,0.7093768515449722,-0.4599089610997404,0.017045562547150332,-0.7236148047060164,-0.8001086550060066,0.7314601888461213,0.46435979263302624,0.6549105322798814,-0.07570700321230035,0.9136940312708731,-0.6761728783571705,0.797305644318406,-0.10746794474672806,-0.6691673573233937,-0.3090253951139927,0.4122245708484485,-0.28441864118315174,0.20098935413604857,-0.895998078002975,-0.6691673573233938,0.16557571610409524,-0.2838520274944335,-0.013494465671168483,-0.4599089610997404,0.2795135685247337,0.5578781153496644,0.9337712484659493,0.0049740285762942165,0.28863887236210256,-0.8669914991676355,-0.7054355280492788,0.6998626993259653,-0.28943419632572,0.013054513073328703,0.9816458152648722,-0.8486506941065209
ADV,0.06123186495812775,0.2329495462401043,-0.1587359271204866,1.0,0.93441167392133,0.9208150080361651,-0.8002117455127601,-0.7029432257486273,0.721085306280992,-0.8859812548971003,-0.37794231284522045,0.19090218599988207,-0.9238110326751706,-0.9006895916188545,0.4959740336486171,0.16678723089403694,0.4437572006723886,-0.3566736624742475,0.49578054365273366,0.1108539524555076,-0.22773632932088742,-0.9232231712143179,0.027049958522949592,0.9434999150568488,-0.05022058417206813,0.8063945434597557,-0.6494235314475073,-0.8856264803569636,-0.352668529810021,0.9741966953952075,-0.8785085286801703,-0.4098024439238117,0.9171189546111419,0.24532804688461313,-0.35266852981002095,-0.763166411465625,-0.8955273553679828,0.8993265041659299,0.4437572006723886,-0.7573362280534538,-0.8808123965009035,-0.4936663565085707,0.7096679684127642,0.8984635230667329,0.4895373639996606,-0.23734438726022491,-0.755434895759549,-0.8735513402044689,0.8619322574437186,-0.10059142347087699,0.19299978452836108
PART,0.39492806797848123,-0.11717424526560458,0.19873335608920167,0.93441167392133,1.0,0.7605415344243716,-0.8087771401594359,-0.4094411465141332,0.5651560238478958,-0.8347761776947763,-0.6574497648228981,0.34337557262121976,-0.9635962665205964,-0.953550468952313,0.36305453744554916,0.3806817807107488,0.2296810291942748,-0.29365236829260105,0.20071745279697686,-0.20952311250290795,-0.003948755645442962,-0.737442501263557,0.21715571318706653,0.8894091897654203,0.2982631086880915,0.5700603624585268,-0.37633206621661175,-0.8933744166824238,-0.5543422444413583,0.8647019140806785,-0.7462029328843608,-0.5557283136957446,0.9912258619444214,-0.051060001340403116,-0.5543422444413582,-0.6601926859838866,-0.9821935986485358,0.9103731463385762,0.2296810291942748,-0.6873664798650008,-0.6620077605942883,-0.1524092916720053,0.6650367202140447,0.9956312615743967,0.19646366441550792,-0.4510013677265205,-0.5161169518261379,-0.9559451223792157,0.8866002814258129,0.26030858118275874,-0.14114722241796956
CCONJ,-0.12490459388059898,0.4105973803007916,-0.462618515263538,0.9208150080361651,0.7605415344243716,1.0,-0.5330084165042158,-0.883557404851865,0.9181338295519357,-0.9359749029210382,-0.20519169379163357,-0.18868734211922608,-0.7013944536145682,-0.8225691530495773,0.313101418226158,-0.2287321757690293,0.3562639204416878,-0.1081972270053959,0.5387209838796303,0.22287093619355394,-0.584834959658126,-0.9066585281038542,-0.3543940403902774,0.7730293745837084,-0.2525279921544689,0.9657416639101127,-0.8877050735870672,-0.6481914727043189,0.039495437213602276,0.9833366698534052,-0.9840910584800466,-0.45070028511109805,0.7739585569558196,0.6000285228502794,0.03949543721360232,-0.5739274236922526,-0.6621228571476672,0.8788538038279707,0.3562639204416878,-0.8896781059935245,-0.8997121070132191,-0.7155585550440315,0.46100041982930806,0.6971884268816441,0.7843793894089915,0.15914637070760945,-0.9483917467447087,-0.6162693719513547,0.8525152620306563,-0.3656050422974157,0.3264757840063674
NOUN,-0.03219903162258403,-0.16841009533857537,-0.13165434212903845,-0.8002117455127601,-0.8087771401594359,-0.5330084165042158,1.0,0.3554286947506263,-0.16721928260155539,0.4460256438674728,0.2437763964170644,-0.7295276527474527,0.9364807358410624,0.6021898554429116,-0.8205983668032849,-0.6769705525273083,-0.6858299529270154,0.7994311427560815,-0.5343286364922404,-0.20453473181840734,-0.3650304638566217,0.767653872872458,-0.597914690654848,-0.9487749511527709,0.012871411222933348,-0.3899640205583926,0.1792435483826347,0.9852104244977458,0.7874278239210137,-0.6507944106031994,0.42036159087925046,-0.03285978210330062,-0.7239592396852386,0.26395051343437625,0.7874278239210136,0.9466578222280371,0.8884067076399293,-0.5288795238874185,-0.6858299529270154,0.2223978670104465,0.7081779745816474,0.20861340599244033,-0.9736941826419551,-0.8094383950473131,0.0055825778946162535,0.718429804243177,0.293995907432258,0.9319237483733532,-0.4685263904188898,-0.07740408947808304,-0.22093669344755057
SCONJ,0.5676839410255625,-0.7785283650831856,0.8127570098793621,-0.7029432257486273,-0.4094411465141332,-0.883557404851865,0.3554286947506263,1.0,-0.8140046932750765,0.6802996884480682,-0.2730242332389988,0.3201001100086357,0.4139630506755049,0.4608207460432023,-0.41858564528290554,0.4371951736507982,-0.560743846242059,0.18590839450987584,-0.7901054233323663,-0.6174319839655695,0.6864094730385072,0.8694015420916203,0.4841235326256681,-0.5973852965094782,0.6714084135874355,-0.969077805393744,0.9671358458363952,0.42891343895855666,-0.2962732502763985,-0.8021926454400481,0.8289253956283058,0.06943556072140619,-0.40275182030268364,-0.8057394297797992,-0.2962732502763985,0.5433191220094613,0.3188392199618242,-0.5554464585274584,-0.560743846242059,0.671589704960272,0.9116223598760057,0.9593851739167959,-0.3872071107719032,-0.323095804601896,-0.9254107924640872,-0.3915966058041438,0.9594900364220412,0.29751433218368684,-0.5169250375045429,0.7582209604468528,-0.7035939977884635
VERB,-0.050916939895742454,0.29975389862436996,-0.5108655131058719,0.721085306280992,0.5651560238478958,0.9181338295519357,-0.16721928260155539,-0.8140046932750765,1.0,-0.9211886143470783,-0.23397553479350702,-0.5420159801040287,-0.4189788580640359,-0.7402665833753838,-0.06735801563708665,-0.5434692533532581,0.02400819697122887,0.2859337630444231,0.2965984701947708,0.05955654773721214,-0.8266669170090817,-0.6764572205733734,-0.6686463438890736,0.4679720131042447,-0.18154528803544692,0.9193819065011897,-0.9141028407521994,-0.31720319981358036,0.3679779409477871,0.8571617747350363,-0.9644703972676901,-0.6280990191623838,0.6270449353710902,0.7691331561823238,0.367977940947787,-0.2043799321360447,-0.4110235935220114,0.8315131387286417,0.02400819697122887,-0.9681863588919616,-0.6855280651149182,-0.6613626881428487,0.07180620759406116,0.49757983816875406,0.8706047211562042,0.4778250026707495,-0.9444991172406886,-0.3309506473357298,0.833742962081803,-0.36227695131407417,0.17500300631974022
ADP,-0.21717851320510953,-0.07278274898918369,0.1956584165462333,-0.8859812548971003,-0.8347761776947763,-0.9359749029210382,0.4460256438674728,0.6802996884480682,-0.9211886143470783,1.0,0.5167417452026457,0.22285745821233835,0.7038719694953678,0.9430828888690741,-0.05342681003613056,0.19093963365364006,-0.04471144991265649,-0.11591337139058823,-0.21218700363790352,0.13366445521872586,0.5505832339748014,0.7392822394323926,0.355734543420791,-0.6831519929071965,-0.0861765906122079,-0.8391411829090396,0.7478687398542977,0.5908434495027345,0.004601156056624216,-0.9467609639217938,0.9731573131823531,0.7303769277773925,-0.8799443669210041,-0.46442514753956887,0.004601156056624216,0.38189571566289293,0.7192402209171936,-0.9815614663921923,-0.04471144991265649,0.9712837320149283,0.706457196582028,0.4510404784329644,-0.3024435098207558,-0.7921289885121581,-0.6385931395512155,-0.11439150325071398,0.8356863844080354,0.6479827251717714,-0.9779032339548728,0.05969354936746082,0.024821968603880883
