,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9845612186366697,0.5310934907955586,0.015798104733538744,0.09270227143764477,-0.504046731229477,0.14220736310422066,0.6558345901610603,-0.02199189920737972,0.6545008359626856,-0.17748647227880412,0.5895544939829337,-0.3467968420224824,-0.13790719134334722,-0.5709853767891787,0.3819021489004987,-0.4872581468683214,0.7266703628912904,0.49055043164445894,0.12211185858441793,-0.9833274370675047,0.7473263961384219,0.7126241615374516,-0.2852383916510738,0.7494929371159538,0.707428426832067,-0.11216341748864789,0.5550131837957919,-0.21187548623560273,-0.7017152754631104,0.06631424122691526,0.3653507885863098,0.6187428332785795,-0.48636102968769707,0.20034910864588823,-0.5054630539299484,-0.39712142560575103,0.6269852019598754,0.3857444555482799,0.7579595577471931,0.353941897498595,-0.1773013288166621,0.3738289916099425,0.09329609045386551,0.5966320109688231,0.5570497901131948,0.3405192883311782,0.38848960358420237,-0.9848949330142102
PUNCT,-0.9845612186366697,1.0,-0.4888731975799293,0.0006837795212163288,-0.17058581774568726,0.4782408431874964,-0.19401680550426148,-0.5731984936182791,0.027584585908769797,-0.6644263219988005,0.1800248150378602,-0.5436654889233782,0.23126769955209672,0.13382846962907338,0.665727977655147,-0.4201641121623193,0.44493719536865867,-0.7253917377595679,-0.47591802825646207,-0.08929460543379653,0.994757907868307,-0.7439781772068604,-0.634541596338282,0.21269767619351038,-0.7177849248222569,-0.736958260997562,0.09963213935520315,-0.623847395751487,0.14100406747229746,0.6924329581244991,-0.15220988919179979,-0.28657102444439775,-0.5888681349054012,0.568232357774537,-0.2582193383373516,0.38672795531140985,0.3462773280360775,-0.6321933386354929,-0.3192695400038853,-0.7329321588974548,-0.4352781821048146,0.23153565005716678,-0.28291369405602257,-0.018024376287317033,-0.6281487444781422,-0.6099117287706435,-0.3922600621288004,-0.40810828264715204,0.9954961193028631
AUX,0.5310934907955586,-0.4888731975799293,1.0,-0.5015309208991855,0.2158085520944323,-0.10606636675992072,0.5866599492294422,0.2715522354447319,-0.14261314129518118,-0.2179144634865821,-0.151142474701396,-0.13594363128386133,-0.08800851969976284,0.027937107208054313,-0.27137504433889986,-0.2740401560706061,-0.4312661596961446,0.2873336617158758,0.15045303488379227,-0.2213625284771869,-0.5469539969483793,0.3379961967253968,0.3553645654094545,0.2404189194457731,0.7687237060775753,0.5863927857834887,-0.08851356941778608,0.07544897414885095,0.3657183480041114,-0.1893589634985551,-0.2227560482856008,0.2922839765631138,0.06517580106355206,0.23319607952777183,-0.14210358346777302,-0.4087238329471163,0.10467081435486467,-0.25346303043293456,0.5020826778442714,0.6139482289967573,0.32492917218664696,0.5697703271475527,0.5916744428386017,-0.0911595630568395,0.3101832117393788,0.6742937625687884,-0.2569244348013278,0.29450663904731356,-0.48621355507508557
ADV,0.015798104733538744,0.0006837795212163288,-0.5015309208991855,1.0,0.337247299028938,-0.7190905668966497,-0.789103594762669,0.5923615760512035,0.22718727908580272,0.3760663560788514,0.5940547923354051,0.536910827555769,-0.3850048955804819,-0.7512245127514073,0.12303474568756362,0.7245828098931981,0.1230995508637438,0.004008895323364587,-0.3261867878814473,-0.05898710925590745,0.04300829063285948,0.40310594462362903,0.5271518887599447,-0.847221357967021,-0.42059561280356406,0.1824304452819158,-0.03724887657324742,0.323902374924079,-0.16926175108297345,-0.5898208676832447,-0.4486445306125897,0.25369652782218854,0.3251020097987367,-0.2969971231268634,-0.5396939073004713,-0.1943808610966697,-0.7519643760616922,0.4106473501151092,0.08770525479020705,-0.2594075975161292,-0.1400391741684127,-0.45007174104485687,-0.35817947718957827,0.34802695193870875,-0.22890760836302973,-0.7621879845004117,0.8015925864588931,0.4362657941847973,-0.01518291336724335
PART,0.09270227143764477,-0.17058581774568726,0.2158085520944323,0.337247299028938,1.0,-0.583219945131829,-0.02979281410629369,0.258807498847928,0.2886745491339099,-0.23634215339318032,0.4065470251464571,-0.24546379441552313,0.29098384584992876,-0.7667026750630486,-0.4187275770870859,0.31517911437624657,0.29696042770939357,0.20502862616240256,-0.30773620597361123,-0.7252924197380421,-0.17786055651317298,0.3832959886776048,0.27154948025054215,-0.0026476260770277368,-0.045667059135468833,0.6821799920704235,0.2401053317661097,0.4364909188914989,0.5563017193109021,-0.5067152834033074,-0.4591180350087167,-0.02126576527161034,-0.09120097847679566,-0.06993323089700042,-0.5912895032601272,0.1957421161238213,-0.3712388729741432,-0.2462864795467574,0.432421788155561,0.0998127485272341,0.5333116371784311,-0.0915718333610497,-0.19380096323563098,0.037855820761296365,0.03370370072156177,-0.035998078728994624,0.6324373695120525,0.656820811227979,-0.14032822899726527
CCONJ,-0.504046731229477,0.4782408431874964,-0.10606636675992072,-0.7190905668966497,-0.583219945131829,1.0,0.40570114462932677,-0.8433362100678925,-0.2950804360717108,-0.34483562928026923,-0.3627758069049752,-0.40578533397391214,0.33157197782388387,0.8041039110094991,0.2198058147749132,-0.5712262296272663,0.015936438584335477,-0.41649707081377546,0.05272722620838143,0.29096578346389157,0.47926259002440197,-0.7896437934803197,-0.8342877728743195,0.6305592376284996,-0.021368981739965622,-0.5982346602897164,-0.25547659645129916,-0.400539615231672,-0.0005918927936547037,0.9516588417489146,0.5103592852355029,-0.20350373512021586,-0.5135570483733031,0.2840708033904924,0.5147334395693174,0.38273719633158304,0.8636968021673519,-0.34917026111102445,-0.5278018541476915,-0.22664082440003697,-0.38229269114623793,0.30228291856204675,-0.11181426806883972,-0.26628236307804853,-0.30888850359207404,0.2869640135492981,-0.7490882921461566,-0.5044924698451291,0.46434861936916083
NOUN,0.14220736310422066,-0.19401680550426148,0.5866599492294422,-0.789103594762669,-0.02979281410629369,0.40570114462932677,1.0,-0.35033687418151904,-0.5948150087090115,-0.17322627058463214,-0.184926833735558,-0.38889096563249004,0.219720442611424,0.614244263283879,-0.3935250750826724,-0.3292646421891237,-0.4607414851907258,-0.1309170107770391,0.223849630411138,-0.09570370154925677,-0.2647400383443246,-0.0654707444996385,-0.2588544396949553,0.6614055484334309,0.29103182921630444,0.039136956739159325,0.0798249312882681,-0.0023776660505895582,0.5365646195303053,0.2940675020786876,0.541532069799173,-0.4256110185998761,0.08067728519756524,-0.10256943974550987,0.40055792458671347,-0.03297420422539219,0.6061503579916669,-0.2204966383177546,-0.1422621441391993,0.043312750470028465,0.3597158975433057,0.633953460565364,0.4717615089504519,-0.7740707291317253,0.49699411652768954,0.7716982189533477,-0.5710616275842556,-0.22043939990480318,-0.16283887225366703
SCONJ,0.6558345901610603,-0.5731984936182791,0.2715522354447319,0.5923615760512035,0.258807498847928,-0.8433362100678925,-0.35033687418151904,1.0,0.02189908579168146,0.49498365409058964,0.42690266192689,0.6700399260363168,-0.7408568795219008,-0.6087686489054436,-0.22943848532542077,0.6122166546823596,-0.3607125942577523,0.47411952836056903,0.19908914090650479,-0.1650783013156717,-0.5773088496505016,0.6695666671582762,0.9940063815682108,-0.7529581915406345,0.2679883658042204,0.5704219243125649,0.0030426726821952675,0.4948787645714949,-0.24802124701126144,-0.8057024579368746,-0.46645655724251234,0.45747224654160634,0.6894586838108961,-0.2993687784976211,-0.4765218731539375,-0.7747038907275293,-0.8566114203752562,0.5083770003627405,0.6095863827564,0.3363945508019458,-0.016817945901808434,-0.07465444305571861,0.38844592075467527,0.3365038622705921,0.17672839386829142,-0.17941695334092944,0.5731608818336169,0.5716065208664001,-0.5743427564814951
VERB,-0.02199189920737972,0.027584585908769797,-0.14261314129518118,0.22718727908580272,0.2886745491339099,-0.2950804360717108,-0.5948150087090115,0.02189908579168146,1.0,-0.2493249068449396,-0.427464954581206,-0.21867630880729216,0.4531673807235294,-0.5268025617284721,0.20370597220923906,-0.24666918838187152,0.8120478293249886,0.4415577534429715,-0.1299685804259384,-0.11816843293877052,0.07652335152887552,0.1129330043842811,-0.019662229473163,0.021247487465772156,0.06838039372629193,0.18523578245263037,0.25411517225177327,-0.23167962439127876,-0.26858965311132926,-0.2925533131949559,-0.5336196149444922,0.22721173210940332,-0.5002873645724234,0.43408433505944133,-0.18443033446660376,0.48685672361145194,-0.310239718362928,-0.23850025492735846,0.374311191052548,0.4380499831165891,0.29052057610629056,-0.6668653406186007,-0.3997285154397063,0.7670126381965304,-0.1347680697720381,-0.2201110321389261,0.3365227822235169,0.05445900643371259,0.024262594374708256
ADP,0.6545008359626856,-0.6644263219988005,-0.2179144634865821,0.3760663560788514,-0.23634215339318032,-0.34483562928026923,-0.17322627058463214,0.49498365409058964,-0.2493249068449396,1.0,0.07135298245761622,0.8827734853492952,-0.5036764297870383,0.019324283536521384,-0.40268315700225077,0.7278742535125369,-0.47856451752934337,0.37709508977828166,0.4289196146004536,0.42811680961116466,-0.6275527933409502,0.49503249626023815,0.49869294074646037,-0.5723613232673351,0.17234568598109462,0.2007498559158154,-0.2055872047133454,0.5949023180482389,-0.48078131228560456,-0.49398445723188855,0.4199193200763085,0.14583566844312346,0.7872527855113365,-0.8505947137592009,0.3977508899712178,-0.40937493882290527,-0.4068775197903086,0.998021399672415,-0.1530595495133661,0.1682696054613854,-0.04489904776990923,-0.4380510416919825,0.03328653665683984,-0.047749238032881634,0.39334539145464237,0.09404015630839517,0.45673590681298604,0.15810523219392003,-0.6739415262464296
