,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.8852681777162177,0.527148071036372,0.0466310752100844,0.5031638968860074,0.16932835984165118,0.9359700924711557,-0.6669256431857224,0.09802104397308764,0.531888957195428,0.23447415170265373,-0.9759436121370353,0.23226364176497766,-0.6012414285005877,0.5721172396208464,0.18893011720927413,-0.5202687819845693,0.4994730499311601,-0.8287794288589102,-0.8488818683344314,0.27776304478775016,-0.49331050338896565,0.9708616186047996,0.11965079904171133,0.543539312310648,0.8709228686285235,0.848368073108752,0.13994134617516035,0.2868098199285354,-0.39127867229694874,-0.18012816707614962,0.6149562858718165,0.45621120140228966,-0.6469855810212787,0.8272220993615835,0.8635687676544594,0.588896485296524,0.4756497719339264,0.79439886007682,-0.6385446307500899,-0.07145647415513372,-0.2027557634803626,-0.8643420997691992,-0.757731340318591,-0.7836583644755021,0.397955852466336,-0.41479982844258795,-0.8169078390562308
PUNCT,-0.8852681777162177,1.0,-0.5302647736699634,-0.4796155935160134,-0.1160218052808507,0.08816839502576937,-0.9343868172739053,0.5835937445749704,0.36233452233789354,-0.8616290376106479,-0.39973406669435324,0.8953682345228776,0.24645574872160098,0.3327862585541518,-0.8820829608630176,-0.5935586328163264,0.8174474897316278,-0.4375144072033849,0.6670495010308398,0.9799395707247791,-0.15439991716635063,0.5903605585259251,-0.9295363212156439,-0.3828349260785159,-0.09109389031655571,-0.7126395599515915,-0.724598629011629,0.08903581713298137,-0.12852131083818957,-0.05771974450552896,0.5832909300084618,-0.6904223125173914,-0.4908946712898349,0.31188864286856605,-0.9245148584672178,-0.5764246732119479,-0.8667750244345757,-0.02273033145979654,-0.6361784807855416,0.7426678259247033,-0.1289803714014386,0.012059438659333828,0.9970030282326745,0.895795585204651,0.7416032717111717,-0.758395863827608,0.07337176753868895,0.9881704667623813
AUX,0.527148071036372,-0.5302647736699634,1.0,-0.12411574731112772,0.5836469993292251,0.7256141043953916,0.299132947756414,-0.9743790571808169,-0.28217987209817774,0.4838186675032572,0.9181124283385441,-0.6975674807513473,-0.039734179108483474,-0.8237484958823794,0.2921146999660597,-0.0705223035394306,-0.06478495080268129,-0.4646129438570776,0.03637205736999476,-0.3509184003367543,-0.6690996092931477,0.3696555463145759,0.3760816726380251,0.8108096957471578,0.14436798627175085,0.043456368695957294,0.8808896658307342,0.7475134245038629,0.8853178455000426,-0.34172871496488827,0.09095525537598703,0.9737892668340049,0.9957260804419316,-0.6975610142785945,0.17330578651379402,0.6525651932065312,0.14479227929174207,0.3016576629055238,0.8938962662652976,-0.9493690621788495,0.780197466659411,-0.8214137167379795,-0.5796925813736422,-0.8328934725883056,0.0866212014178819,0.5652030970108666,-0.6814516244133241,-0.4334036631411679
ADV,0.0466310752100844,-0.4796155935160134,-0.12411574731112772,1.0,-0.8079636258201592,-0.7532901961949084,0.34698896019013636,0.22927033454220752,-0.8259196071470493,0.7817516766216112,0.10912187214426916,-0.04052308844540911,-0.8937531271560636,0.599335445692234,0.8351665047241702,0.989313667013299,-0.8715289271869058,0.30056469445038264,-0.0826185790690698,-0.567156819155859,0.13873793158902487,-0.6006908018606387,0.24893729571648598,0.3038057380968069,-0.7543259632903151,0.0795931013546383,-0.18821079641576957,-0.7155350048153912,-0.5449586230161269,0.9010236063531385,-0.9898312773154161,0.08518361406627065,-0.0902979231277205,0.6694289361984583,0.5540626676534953,-0.4405392563703739,0.8329515804206304,-0.8513868743252182,-0.294165622133225,-0.1680243991242167,0.08580434828919983,0.6312424303347289,-0.48805158777564894,-0.3463564023700233,-0.33627355324110664,0.7483826511847474,0.7928381943687243,-0.6047454586987517
PART,0.5031638968860074,-0.1160218052808507,0.5836469993292251,-0.8079636258201592,1.0,0.8647594287967912,0.17676846284558567,-0.7148086499255654,0.6141552699929272,-0.27521570838229686,0.2610104910857913,-0.5458881278096154,0.7880772498583899,-0.9401257041101674,-0.3549481154693387,-0.7285999306243058,0.4673193714046258,-0.1705089494344304,-0.2506831734571383,0.01745462916738929,-0.18645873830991377,0.3841959684051022,0.28952458567609435,0.031842036272062564,0.8513525067179181,0.2918494656907939,0.7277338396839262,0.8293824039612803,0.7904163806024648,-0.962424527643054,0.7381522041074968,0.4451959393607513,0.5277604854784038,-0.978567564556462,-0.06496693733370011,0.8700705146138276,-0.38752810628542966,0.9451944650680254,0.7940037198692923,-0.38209878009678555,0.12073473846211673,-0.8078966322129009,-0.11484045922649329,-0.25543627440003275,-0.018108896962261308,-0.27889439934099425,-0.9804210044112541,0.03688231138302998
CCONJ,0.16932835984165118,0.08816839502576937,0.7256141043953916,-0.7532901961949084,0.8647594287967912,1.0,-0.18427493806816003,-0.7478508102269297,0.3082621681648886,-0.2511187059854617,0.569291171795941,-0.30529360768412966,0.507524130089891,-0.8891712352786687,-0.43694536840742776,-0.7339112470734378,0.62040424633829,-0.6398762927276651,0.24187457371630872,0.2721251643771306,-0.644174592881363,0.7632762959000443,-0.06967911108192973,0.38457689138152745,0.4938017106114782,-0.18844602609586533,0.6160364027907927,0.9974667106021047,0.9607753324480727,-0.7663761730738639,0.7478048912358735,0.5526265951277982,0.7141579320823607,-0.8316871559834221,-0.39207982488356885,0.6069058260234214,-0.5488203475506487,0.6877236940261291,0.7052604340818116,-0.47583211636457384,0.5408342594775796,-0.9855650429657886,0.052676284263799576,-0.24949472073993187,0.43591598394266545,-0.14258015654377637,-0.9451248324121001,0.22878548696927123
NOUN,0.9359700924711557,-0.9343868172739053,0.299132947756414,0.34698896019013636,0.17676846284558567,-0.18427493806816003,1.0,-0.420702559555076,-0.06327865943918329,0.6606050797094152,0.07700178355044873,-0.8731047198213482,0.0056353200141905325,-0.28400389558269706,0.7576297976538279,0.48002164450351004,-0.7622499041807063,0.6979951856541238,-0.8884670874282047,-0.9587347578140607,0.467892838975872,-0.7531077003871722,0.9930483010008706,0.033955612871377404,0.32672789241762334,0.9142845398451319,0.6396799387205169,-0.20909000284099602,-0.03990600017353675,-0.08708740897835568,-0.47539912452014854,0.4526287312836846,0.23579333306821929,-0.3391609362171262,0.9705632596622566,0.6353414155546729,0.8057748234969235,0.19650414911822503,0.5521749959317735,-0.5048106229538406,-0.21677829490180317,0.13683058628722378,-0.9044883142553081,-0.7015904368047132,-0.9215062005156964,0.49549676873014636,-0.0685551935879578,-0.9182934935569358
SCONJ,-0.6669256431857224,0.5835937445749704,-0.9743790571808169,0.22927033454220752,-0.7148086499255654,-0.7478508102269297,-0.420702559555076,1.0,0.09973126125756951,-0.4210664299827874,-0.8058654248829532,0.8043334412229292,-0.14316138934296113,0.9095370930847123,-0.2632132747917107,0.14987244705410532,0.05646804395638759,0.31209725392560367,0.15186078003610345,0.41350240651252695,0.5123677498373393,-0.2753055877766932,-0.5064449251621135,-0.6629355284483719,-0.35039457254828377,-0.2287182565052747,-0.9587491739536074,-0.7541042318502121,-0.8800699107673646,0.4995539834044546,-0.16904641127689563,-0.9444200088080983,-0.949632050041145,0.8245069077968458,-0.2620427010902439,-0.8062632854774572,-0.14451444094510618,-0.4790381523232726,-0.9714746939788118,0.9182359527155023,-0.6225558584455516,0.8189138444322484,0.6187960154462115,0.8245202565238808,0.06475144360403264,-0.4622588390111372,0.7737158226655274,0.46972462006896054
VERB,0.09802104397308764,0.36233452233789354,-0.28217987209817774,-0.8259196071470493,0.6141552699929272,0.3082621681648886,-0.06327865943918329,0.09973126125756951,1.0,-0.7846191336574428,-0.5877336933951479,0.019407454920857443,0.9698054602490958,-0.310882989916494,-0.6893980735941351,-0.7818633813415087,0.5997820180214022,0.26705753916236724,-0.34976176929000735,0.3441562163800108,0.44344663672347795,0.07705323960788492,-0.00546680036139292,-0.7543901170900841,0.8710985332609932,0.3208671165166534,0.011398338123661679,0.2445605976763556,0.06725803963826005,-0.8044578394315466,0.7732639446148364,-0.4169594267043125,-0.34530307181377107,-0.4807808464295303,-0.22639078670862034,0.4026548070992168,-0.5828684984815493,0.8255118604049531,0.07517436837813662,0.4665492353303624,-0.6245751515571807,-0.14840601667673678,0.4126625424270063,0.49827462726295246,-0.12485429381690637,-0.8718948852220876,-0.49320488869460527,0.4485697065980519
ADP,0.531888957195428,-0.8616290376106479,0.4838186675032572,0.7817516766216112,-0.27521570838229686,-0.2511187059854617,0.6606050797094152,-0.4210664299827874,-0.7846191336574428,1.0,0.564765146288335,-0.5976992062769355,-0.6968486103390207,-0.03060272940364763,0.9677727176203454,0.8334552944555501,-0.8818667394454724,0.1658065678363627,-0.26331919871616966,-0.8436176879522302,-0.11681939403356482,-0.4550168365847666,0.6232914447829397,0.6477764058111366,-0.41907434786132236,0.3076419367995591,0.45904701786443,-0.21754168346698471,0.023083652703045056,0.48992812531422786,-0.8224049444382926,0.6672522886512803,0.49171474844255064,0.07262555072083289,0.7470307076306838,0.1513662388143046,0.9036662277750351,-0.4455031630242751,0.3636388893027015,-0.7306597549360021,0.40512003862875484,0.09850352989608271,-0.885587132516706,-0.8557437022533417,-0.43860159537473264,0.9750272384930304,0.24108730936405337,-0.9037692848546484
