,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9450087013120541,-0.38462240900182226,0.3219076460425798,-0.24019156019636184,-0.19802120306382404,-0.20043827929267838,0.2547407881789483,-0.03923091561379436,0.389202513825509,0.13132436626756774,0.6107642595072533,0.02038005642515392,-0.2829206644195592,0.11716698691700039,0.41265919247256627,0.08913981674306985,-0.34027910895727953,0.08383170548928387,-0.9675870472238086,0.03119961779779586,0.33730975701272586,0.13645743510156821,-0.3760386592594641,-0.10954496068826787,0.14209489529660457,0.02828802163817413,-0.2565743096445943,-0.5781700410085023,-0.17310380416051352,0.2033438180264243,0.3147318408827392,-0.3476601309359974,-0.26317924460439746,-0.23929167705646717,-0.04235502772679548,0.063199667586278,-0.26046470942937056,0.29259776275306665,0.37472256771600504,0.25059305057454645,-0.23265064809742336,-0.5653668052064914,-0.4116801736618098,0.20135009492224198,0.5537643555406464,-0.011659252578661029,0.22287459726960462,0.06473650989555182,-0.5228857029144608,-0.8636097354155227
PUNCT,-0.9450087013120541,1.0,0.3793494445699257,-0.2497067813618589,0.22802458965574396,0.09830138682996577,0.013733679818786025,-0.1919043890995163,0.017700200889885213,-0.3819152285417802,0.023845577142456532,-0.5797535006495977,0.16104941709144494,0.3127772938460498,-0.16773076774415396,-0.4670482118633349,-0.17285038462552524,0.2548266100518233,0.03821023157203025,0.9563429894390089,0.022007522639780848,-0.2160056955187512,-0.3064089793739091,0.40055427492331647,0.11605169597242923,-0.26700811616035497,0.07145455403837711,0.2075457874026644,0.6754382229963383,0.11639775825928225,-0.3201861653656687,-0.45570822454933074,0.3713815816578399,0.03923795018422246,0.43170371255658857,0.04073578587631683,0.03179393393075566,0.13226222027058593,-0.4454193949524556,-0.37809198646416375,-0.13933012884026183,0.12428899979363806,0.530889644943577,0.44860143422279863,-0.18019206341708013,-0.3572763946450401,0.08596045859469068,-0.09582580706936555,-0.00956048550773427,0.707684443147616,0.9303853818056019
AUX,-0.38462240900182226,0.3793494445699257,1.0,0.20766947057057242,-0.1013550777417404,0.3177587449401047,-0.3084017985614983,0.07455852864123615,-0.3601120405397982,-0.15766460793816883,-0.10644714802163478,-0.14909018129969157,-0.4015214900814323,0.03459466434378803,0.18319002195482237,0.35805961232558264,0.1540062469140777,0.01543534887267671,-0.45723698212413355,0.36610904150180307,-0.11134413680358808,0.10696126102757754,-0.12831247264793458,0.09836543301241298,0.09855420565871761,0.0011025250397132945,0.449710223825651,-0.025973304148355584,0.5474578675444068,0.2436604026426469,-0.04012030586686414,0.04608802621550613,0.17633694172269082,-0.12924531476913526,0.38396022438382543,-0.3808690912569124,-0.5144988933091348,0.04407168827507931,0.06404058742385846,-0.19783457454164438,0.19181569313075453,0.5314664193384306,-0.051799889511013976,0.793811934432547,-0.7805052810002103,-0.36949908415980887,0.6013028488618004,0.5752170559762642,0.023350607068039788,0.25069813974193217,0.3125636264146826
ADV,0.3219076460425798,-0.2497067813618589,0.20766947057057242,1.0,0.40332313451470525,-0.1550409365006774,-0.30585685773014515,0.2782219198821471,-0.15500842740131396,-0.442679066220074,-0.23017930855506677,0.018569620512460524,-0.41220020350552633,-0.21819696846785697,-0.23892639211627995,-0.18300560817466918,-0.11885709682283804,-0.5668702850878632,0.23932548802215986,-0.23086807125020156,-0.14956035183630376,0.27736557105232,-0.03391604481572157,-0.7480280795720414,0.22816663750545416,-0.1428922364629777,0.16800610415084036,-0.3107586848921654,-0.2865476534040823,-0.13563915870294657,-0.5324303801601534,0.16850655836726341,-0.15527781470093316,-0.5652108303404292,0.3421657104549397,-0.11276717348910002,-0.342330569800002,-0.20784098916937951,-0.4181789445052018,-0.37992448890183955,-0.29782383254892253,-0.04944671128101174,-0.5133300649316486,0.016902665331390242,0.07939547893220225,0.2854325464857959,0.8273502934084511,0.2449401266032126,0.8711003255106448,0.025818696965128868,-0.19297130998136763
PART,-0.24019156019636184,0.22802458965574396,-0.1013550777417404,0.40332313451470525,1.0,0.09303520535193066,-0.16610049596377088,0.24235958497595617,0.07115779941085044,-0.902915881887229,-0.2638716977792819,-0.1812617846345527,-0.35314282656008494,-0.37816537380355386,-0.11527222841852884,-0.7806167359581264,-0.33882144383725804,0.09154396768689158,0.47003291063891556,0.39445956793451303,-0.2948353860894974,0.12877980410197512,0.16993311297078453,-0.2952235108093802,0.31674824449921735,0.028105024018984247,-0.3771838647743982,-0.03622515662717224,-0.21930322251622292,0.21178742235927572,-0.44685014969049874,-0.20256772728578126,-0.40582194248536363,-0.04189132708025496,0.28543825588042715,-0.4355349910707478,-0.23931518993498843,0.04931582437872238,-0.3250817059701134,-0.8711741165087223,-0.7511242798025722,-0.17296787955935028,0.47248641337798497,-0.1786475198571803,0.2403126940198386,-0.037105126937274524,0.47831800941872654,-0.20296636846171082,0.7152265841596274,0.3806627627932276,0.19326625044959161
CCONJ,-0.19802120306382404,0.09830138682996577,0.3177587449401047,-0.1550409365006774,0.09303520535193066,1.0,0.05244097981779274,0.12446701626196582,-0.780735663241822,-0.3627828919185581,-0.2961068835390808,-0.13253547659156117,-0.13632528898213783,0.20741779886356543,0.0012706621177768706,0.002021139473096632,0.003091017963917499,0.3751147843553737,-0.571732424980769,0.1214637157479604,-0.5322378977581566,0.1913985372942269,0.7078828907696876,0.38382799508580384,0.05683619508153708,-0.09303796204351895,-0.5790011667616619,0.6428351668452343,-0.08385050299206516,0.9649468541773841,-0.17944678481997947,0.04839809325503965,-0.5663932076324697,0.05017634590003373,-0.27170584925933405,-0.23794567552345233,-0.12010924822281745,0.5870934080064328,0.2474718366143939,-0.39004190747263556,0.03578034236726586,0.2360227413462426,0.22555094013034335,0.2107627513961947,-0.2334434596882903,-0.3091143593604091,0.21350370255050635,0.06402057156663914,-0.08044243880831674,-0.12042143232712266,0.14463168344966887
NOUN,-0.20043827929267838,0.013733679818786025,-0.3084017985614983,-0.30585685773014515,-0.16610049596377088,0.05244097981779274,1.0,-0.6167855463547915,0.015807296691049022,0.20101883614343563,0.12054043134839586,-0.32481857931626673,0.24256874078545884,0.05135309630678381,-0.22426760283854102,-0.13267392736780184,0.18781789985500302,0.30995834595657196,0.005824430514459128,0.048697529400986754,-0.18827806707822017,-0.6812894283857875,0.015731031244398296,0.24067836494342834,-0.3930678536633474,-0.3649107746550085,-0.20065014468102663,0.14672549155572975,-0.3289324380014798,-0.04495460748959806,-0.08569669271783925,0.5872637587991327,0.01372271762030378,0.5880472298451468,-0.7147305386533334,0.5110385570239417,0.34415712289434663,0.6320987698097236,0.17052583673894792,0.23953052756829268,-0.2740246184484563,0.0988411508734094,0.10637946946962834,-0.22528847932247564,0.5521349609458926,-0.097736085874341,-0.5302878487157835,-0.4480876003656829,-0.2356751730075205,-0.2473895348110229,-0.0848235744253875
SCONJ,0.2547407881789483,-0.1919043890995163,0.07455852864123615,0.2782219198821471,0.24235958497595617,0.12446701626196582,-0.6167855463547915,1.0,-0.29893070354984896,-0.1620925225520376,-0.26457251744131627,-0.22773166747426632,-0.136964846495117,0.2595402095493483,-0.27468653476982435,-0.012450019314471952,-0.027458899437858782,0.0636169631737592,-0.12576666910744866,-0.10786372878656701,0.29419606284000127,0.9555176839784988,0.3489594233427503,-0.09937354619779397,0.8549469923657179,0.06290624872155284,-0.21494250891394737,0.05315692751433227,-0.21433339849973163,0.21036429343697233,0.1608193826824701,-0.5706599153375141,-0.029554185520583327,-0.563422540403637,0.2013816984680513,-0.19975263149124436,-0.2032535829081667,-0.6563328775886412,0.06329263544341165,-0.1566630357499528,-0.27376517185534227,0.42834991465737665,0.07460350387863103,-0.40238995384135023,-0.3438964179998981,-0.2498829185573137,0.3753711068299241,-0.06677417129553401,0.41128759122989267,-0.24525667902202447,-0.20398580617014173
VERB,-0.03923091561379436,0.017700200889885213,-0.3601120405397982,-0.15500842740131396,0.07115779941085044,-0.780735663241822,0.015807296691049022,-0.29893070354984896,1.0,0.19453750635354794,-0.04285764437132426,0.29293965742792977,-0.12422147599229592,-0.38608226326576384,0.20241870505519782,-0.0309385553751644,-0.24267603829041204,-0.1376113790593029,0.5624301730640453,0.087872526692463,0.25189033959770535,-0.45318525935351095,-0.3961570508517109,-0.3658354237223123,-0.11361561893829254,0.4774862276740176,0.4046936471469608,-0.6135680900640939,0.10801354072480432,-0.7990466403778136,0.4115230676606015,-0.10091962444679346,0.36774703349063725,0.4318914306386889,0.28150252049769936,-0.029033392357239077,0.10699714042753829,-0.37985972205555824,-0.04014329023088484,0.2496343242938157,-0.07842109429639608,-0.3583881908522106,0.03640407529881862,-0.13863987667186572,0.10208242770566218,-0.008338135020387322,-0.3620039716758106,-0.12219951757741337,-0.11636221374794625,0.07669278943951222,-0.018315331549112183
ADP,0.389202513825509,-0.3819152285417802,-0.15766460793816883,-0.442679066220074,-0.902915881887229,-0.3627828919185581,0.20101883614343563,-0.1620925225520376,0.19453750635354794,1.0,0.3633615221053858,0.22357474296423352,0.4150372597449415,0.18267416736260794,0.09791786419350137,0.7293588225436886,0.2979497858778093,0.022426156397273245,-0.19644816515120428,-0.48405170254231955,0.4042699980754045,-0.1116322962251733,-0.27171462413883385,0.24796460014086424,-0.24910753526045715,0.024301905745407196,0.4187947668957788,-0.20130515496771487,0.027095406538416716,-0.44953244946087195,0.63349312446055,0.19516816914348,0.4123147201364396,0.1638189824814663,-0.33021380162489944,0.3855028908612774,0.34738887299161436,-0.23700355677991206,0.46052571967930295,0.9739739826129717,0.5593077157654638,0.1626954034207719,-0.34226968633135546,-0.1215727858097029,-0.09410115212109273,0.08189148107997535,-0.6448502251018733,0.10093617521479553,-0.6915958376215734,-0.4476409947755792,-0.4254070659863992
