,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,compound,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9328924493102371,-0.27965855331844425,0.1456358779453345,-0.08933920370685183,-0.2601607300222797,0.2507616592416484,0.62050816230654,-0.043681015584495886,-0.3599393078133987,-0.08819898119791719,-0.19723951708666548,-0.46126340919616066,0.17414513582251878,0.29026706218663173,0.05870039749309019,0.17929670871233802,-0.6834772178083751,-0.023829263731592765,-0.6000075737138184,-0.9684413031176572,0.018236034246419987,-0.13463101697979948,0.04115245236799505,-0.20209041665607297,-0.014590334186682012,0.19695409638187986,0.2560927883215129,0.2615499006817991,-0.41186968886489905,0.34926511059171234,0.1483731975230293,-0.16475262508491587,0.18840227641510707,0.28097605741228515,-0.1625668303113136,0.5597046374645483,0.1552271940609223,0.6115541974292693,-0.24070443238203354,-0.06790801933407573,0.3744706444712131,-0.20003000895389475,-0.07882354218690785,-0.10038038004295241,-0.5585885701402465,0.012841032695727991,-0.05395724250535515,0.43563131624451645,-0.47605216673409545,-0.242379993402266,0.22131390040673676,-0.9603501447405028
PUNCT,-0.9328924493102371,1.0,0.21275198785299856,-0.01181795457711273,-0.1004233579006609,0.22385192939047846,-0.1592674230888891,-0.4684533896272162,-0.0694288463219742,0.2671872314799332,0.07084937934615101,0.1612205646600747,0.3406202623185781,-0.04290135722792056,-0.26905496386169336,-0.2829083802545338,-0.36499016625285885,0.7711289101555323,0.05831268673326759,0.40483038032246454,0.9584424971289535,-0.119969615106953,0.05366203750958251,-0.1528611905170853,0.27769806311992906,0.008416005116164409,-0.04562385049585122,-0.08243763176317681,-0.1358927006025517,0.3775541213835077,-0.20078990160777946,-0.1928244034776805,0.08390687283936664,-0.408332258667786,-0.25807978357375544,0.1378107629342664,-0.6021984158196944,-0.01669813479590907,-0.4572510783210602,0.21719049577063668,0.04776914966601573,-0.41179548393674487,-0.05732466425589773,-0.006059476134876746,-0.057550203002549545,0.5782718855490419,0.18138777304014012,-0.0754277092397941,-0.30538592542589155,0.5000210012769085,0.09501811165127137,-0.22076120039791952,0.9688869664908542
AUX,-0.27965855331844425,0.21275198785299856,1.0,-0.5505727899000248,-0.04855044184240618,0.43827492851224176,0.05691547232308912,-0.3034196204746684,0.08504954442186072,0.5032404251719662,-0.1839211411488983,-0.142682184160834,0.49713195301808777,-0.5925071157361124,-0.35721352722492605,-0.015871967610755246,-0.0019723007703193016,0.11179847843772482,0.039350777950479615,0.48782839129077205,0.263475935342636,-0.08816206710648902,0.2695221050145206,-0.3067333562756795,-0.13656933116134662,0.2588775490048101,-0.18126802519178142,-0.5331700534456321,-0.21960938734712412,-0.07940528729290224,0.0005429419057571795,0.17262622031477864,0.22864469367943002,-0.1343321550864184,-0.13055509651016065,0.21953141146463176,-0.5471201776322795,-0.5685020675764791,-0.0725836090834116,0.2487421158969011,-0.3402383990709201,0.05558885907987949,0.40935933883526765,0.6494875587193237,0.464525939717507,0.7916941769987995,0.11068650278849884,0.43152119361099156,-0.36667834464485477,0.6273213595803747,0.12656001308204537,0.000333976076156779,0.3063192560484396
X,0.1456358779453345,-0.01181795457711273,-0.5505727899000248,1.0,0.15416641214314059,-0.41355418012416323,-0.07657850283832406,0.11337032332737025,0.08446459880659735,-0.20522442126882653,-0.011889408949060824,0.0004310404303149443,-0.44724972943535823,0.9543310047929983,-0.11595353982913864,-0.039758140834988846,-0.31377370630432216,-0.1228376591608263,-0.1977590509918455,-0.35453541748068235,-0.17305847054459525,-0.1332211945153829,0.046838266429035456,-0.006516039113073098,-0.18880486510605415,0.10325235570416788,0.4138675255487526,0.22698135620424104,0.3097162586265921,-0.18982668673784053,0.027994283546666606,-0.393008399870126,-0.1515441666925289,-0.25328223662661214,-0.051871367396428246,-0.39109676532519866,0.2204442902069347,0.8660694375796195,0.0993727831941737,-0.16654472157682995,0.05077384717544052,0.46776428635006956,-0.37572150787158437,-0.08333333333333334,-0.38231811837391044,-0.4999669229687417,0.09532832267072484,-0.03809657495754864,0.13574860207001216,-0.28118075710676904,-0.02454494232654876,-0.26853562642405715,-0.20757116649421375
ADV,-0.08933920370685183,-0.1004233579006609,-0.04855044184240618,0.15416641214314059,1.0,-0.026482384800713354,-0.7039001719041471,-0.5626201321085899,0.41736481416842497,0.11346256428826185,0.0528907669276209,-0.2773272185496329,0.27790141892556197,0.17019404292189969,0.011857799730705188,0.02153206645087954,0.553146585960357,-0.3822030765784396,-0.5246789115573315,0.2848683160002467,-0.06957014302929727,0.14755930307377477,0.4331028746167167,0.38380915097291296,-0.24512295626981145,-0.3977267698444073,0.08728506248993838,-0.504757621310286,-0.05993130351071402,0.32489880151085815,-0.7024629341400207,-0.044986095015543695,0.06662447702358529,0.24936437810916162,-0.31505116858511556,-0.16286035697936777,0.13612112450995678,0.24111601341733785,-0.5419901820582764,-0.4880694072380212,0.03365034469517055,0.4473762138036606,0.31194692020046866,0.3869316946300898,0.10609289253841074,-0.087099516218074,-0.2600128511780996,0.1586911203634036,-0.3012197783175956,-0.029810750561388693,0.7464050705963244,0.17603375585604414,-0.09251449429480048
PART,-0.2601607300222797,0.22385192939047846,0.43827492851224176,-0.41355418012416323,-0.026482384800713354,1.0,-0.013914288163101187,-0.5077543406924026,0.23032558580639817,0.22980834192571267,0.1830745315499383,-0.5471307196101143,0.4856841414483304,-0.37729209006337117,-0.2278288562594819,-0.20656827206916134,0.04770952699505521,0.3648984980399887,-0.07924456581483452,0.16901686344769923,0.16595691580492414,0.13637994692097566,0.28818011602159227,-0.30231945720068715,0.09864429939290964,0.4494784526432133,-0.16012023877166257,-0.25681838712629396,-0.36476335200212157,-0.17871663251080458,-0.07804476109196985,0.028919146583703415,-0.039299006057731095,-0.19000241177167107,-0.44223724950982995,-0.10335913263898099,-0.5113077534921137,-0.12088490452701776,-0.06708352207046349,0.4123408037153437,0.13610709321447523,-0.48024433111203146,0.026227003871633105,0.3610748000171202,0.1736785959475934,0.42195369735482535,-0.10822970806516592,0.06423566082205437,-0.6184170244349063,0.59871540031212,0.5619080957987703,-0.33561198365438083,0.29116480453828364
CCONJ,0.2507616592416484,-0.1592674230888891,0.05691547232308912,-0.07657850283832406,-0.7039001719041471,-0.013914288163101187,1.0,0.5020044223687692,-0.4325492679847284,-0.5252999186625644,-0.416364115915102,0.06677790607839237,-0.1822940146986562,-0.14634469370803097,0.4587020421666994,0.14084169233031565,-0.47366875224023736,0.025770799440901458,0.7303392558678758,0.010637219028931751,-0.18149658705827637,-0.42266415900715654,-0.4956667784783497,-0.33556395389899535,0.2679590967544314,0.27987935319066043,-0.45150307541624846,0.30782085660931807,-0.04999464775004763,-0.5064413232113221,0.9663376608112696,-0.2074739647357095,-0.46483877424542286,-0.3417559298400449,0.21449563283938997,0.18645535895451748,0.33280398579235204,-0.14698882682910397,0.7988695846785014,0.5385149529965565,-0.3393685412709188,-0.3430155067680931,-0.2603529363779623,-0.15686960861054491,-0.24462876082035212,-0.05294055601937567,0.26706309948025725,-0.26529283977019585,0.2953252414445305,0.031406643250976994,-0.4498806977747255,-0.30562524324205864,-0.14604556782888437
NOUN,0.62050816230654,-0.4684533896272162,-0.3034196204746684,0.11337032332737025,-0.5626201321085899,-0.5077543406924026,0.5020044223687692,1.0,-0.4996146504718,-0.48188599754745026,0.05067712956061713,0.23774128674081774,-0.7384712888443069,0.05559763654970266,0.2677052219231111,-0.10339744914588507,-0.36273615592386355,-0.4056649450605442,0.45614656984406243,-0.4917221418080768,-0.5151236463923327,-0.29359389986799234,-0.46677006258707027,-0.1717197241846589,-0.20572712813006927,0.05651242449155251,0.10318878828302398,0.6710619654763934,0.39349933343761917,-0.3051467930154711,0.521464948518639,-0.1268347874903625,0.03033724640418051,0.016677811110873304,0.3586036858963631,0.11432318435036881,0.47652599523269773,-0.10020768652520601,0.6472821349178332,0.12129583453500097,0.09038819194195243,0.033515607564308166,-0.15864513494275806,-0.5663369103432959,-0.18413214093513117,-0.4570651825134271,0.42526208618342765,-0.29081267904481156,0.7486762635629269,-0.5381490735136172,-0.7795839284295711,0.25866207827779036,-0.5204299316880282
SCONJ,-0.043681015584495886,-0.0694288463219742,0.08504954442186072,0.08446459880659735,0.41736481416842497,0.23032558580639817,-0.4325492679847284,-0.4996146504718,1.0,0.6154222026498058,-0.07705242904285019,-0.46398644886250867,0.013401835059804775,0.11436225408872484,-0.4004710091427161,0.27388135186236906,0.2200887955429617,0.07445146659162528,-0.5425428232378752,-0.016778588207902713,-0.04909244700722142,0.8372924136495582,0.9287165496859485,-0.11005526219231825,-0.24421817491497538,0.03968994693586853,0.3010377546941101,-0.569200114270539,0.06516666388855102,0.3252082629682377,-0.36370693903970003,-0.023235229386053845,-0.1006929986376151,0.32904977123232937,-0.3565806933055164,-0.2591299052300463,-0.2452237756094075,0.13194671860488066,-0.29790612423392604,-0.010830961740642922,-0.07179121333680409,0.2918903846092727,0.11400063773777125,0.2129875382589488,-0.003205335624008425,-0.15199959901197274,-0.38903481254618905,0.484877243607505,-0.7208253670894166,-0.1557897978247359,0.49414039965869244,0.09090676874723647,-0.062147644593249486
VERB,-0.3599393078133987,0.2671872314799332,0.5032404251719662,-0.20522442126882653,0.11346256428826185,0.22980834192571267,-0.5252999186625644,-0.48188599754745026,0.6154222026498058,1.0,0.01919292800028409,-0.04400261532754166,0.2993740343686671,-0.1966749388441855,-0.7878194887244369,0.2154642708903522,0.18442557530639653,0.29341617601860553,-0.41829557711536625,0.1010883857338061,0.35532775489578017,0.6193845316273302,0.6783196542794169,0.004440906911886124,-0.3060702490974365,0.24058832173799952,0.2882076749224688,-0.5461209812641821,-0.15897849593586025,0.3160556524128852,-0.5197465667405519,0.40540242173415075,0.4233543987715453,0.33396301766994374,-0.18694924835918925,-0.1602214890043461,-0.6828766860382299,-0.2855229992119255,-0.5067860995058681,0.035988176117672965,-0.10184575121695422,0.24537798307439507,0.3093137795725713,0.3682865050446871,0.4176282597395065,0.3883262608278309,-0.2304919423224753,0.7103862628964931,-0.5587374462621472,0.23260947063055198,0.12957144638716872,0.046908249379098536,0.3092157670370453
