,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9334814927116549,0.11978943378481988,-0.45930909568978107,0.42114109452381365,0.26454638805073166,0.43642294416802274,-0.0827586413940475,-0.4139706601976692,0.4921763377908891,0.0472462277216896,0.23096018059922924,-0.0041909213471053725,-0.08609692760313545,-0.06537813466538968,0.21749600557793713,0.33512041693159916,-0.08625277824622615,0.047365986889484304,-0.9497806803995376,0.4073804408100533,0.03161702582060456,0.21850825217029662,-0.11883580404831276,-0.18901077996052365,0.002824623402215884,0.5628529546656205,0.4397741934575658,0.07075285219150874,0.07005456074429396,-0.2508330854921889,-0.33744287008618173,-0.12019745149137595,-0.5987055244065956,0.26583048625828876,0.1131135354416165,0.09213073705770596,-0.7979868445928228,0.5010060913238162,-0.19826499306127282,-0.08455324908393419,0.25042141667193696,0.27785831379408377,-0.401387437405582,-0.23760999270148483,0.4933091707178625,-0.014026123135829053,-0.398983656859527,0.2722457762466553,-0.9203867726283844
PUNCT,-0.9334814927116549,1.0,-0.1012857504021433,0.5300511439775022,-0.3324633829793421,-0.34030830839766063,-0.4813373872899997,0.22529528400837573,0.3304023022435222,-0.5138127662725861,-0.038694481787031436,-0.24085042499468529,0.18948793572534584,-0.1380066680035405,0.24464155679169225,-0.11634938570163449,-0.13925106749516444,0.12710228791747957,-0.06324664523152672,0.9854394931977115,-0.307821401372538,0.12096651224057588,-0.0958167095758789,-0.026473513106990643,0.12187416611920979,-0.17948938468941442,-0.5056209764605581,-0.572399317998398,-0.18292207794168036,-0.0697170384884001,0.32793239235006794,0.2918982972452826,0.12915014635751515,0.5901320494072732,-0.3048160639423444,-0.07516591730365701,-0.12806919642579265,0.7896040442204393,-0.5289681644880266,0.1327925365645037,-0.007361049552807584,-0.24021827997316172,-0.21176763373646548,0.28092039505866595,0.20564078696030275,-0.4137489857191664,-0.10137929782523597,0.4506193528310644,-0.3833021119510446,0.9807604497684247
AUX,0.11978943378481988,-0.1012857504021433,1.0,-0.19827771133792757,-0.023711515374386417,0.13157421876559425,-0.15427447617248488,-0.18293558950438635,-0.05973289087281297,0.18737619706194222,0.0538671062415005,0.2344885180653628,0.1579338031972679,-0.2165213772069854,-0.6109830400716542,-0.4671997004860271,0.14432247070075813,-0.4428294721520749,0.06518096807981139,-0.11477429506181536,-0.11681180639702238,-0.1287251044890931,-0.33071297138439815,-0.20681194900234864,0.15263892360010464,-0.10789570090566622,-0.026098722004690256,0.10509862271693866,0.06929497706157234,-0.13088835629978623,-0.2589565734400753,-0.0740607276729907,-0.08026714707096128,-0.20432270178553252,-0.4615024464308385,0.23122380542552584,0.3655011268452466,0.04489514299502409,0.17036765198813583,0.0643426926824721,0.21824470882514374,-0.3643418150981842,0.8247693825116066,0.13488073345574694,0.7259448151589027,-0.05367951062781486,-0.33488925295561106,0.2735454476588905,0.47873276023723915,-0.06547299829766953
ADV,-0.45930909568978107,0.5300511439775022,-0.19827771133792757,1.0,-0.2927917411682771,-0.286861542011063,-0.5446305647076088,0.1702154054806753,0.3361123592673056,-0.4954025017281571,0.5115799627669727,-0.0751530596416574,0.15888906677701398,-0.22323655964003858,0.594447285615771,-0.02740858566680851,-0.22546070928251222,0.295987710136847,0.18983785287360744,0.4980432054967607,-0.1548397324635323,0.03519761613483603,-0.41534773351030074,0.15826189966425872,-0.19012640930988298,0.09166940294212064,-0.46136140274411913,-0.30615178759661166,-0.0006959160764641816,-0.22716657789072206,0.4357698550219613,0.060116873660393345,0.06941957931786231,0.4715913908741692,-0.3104987189422081,-0.21072990251674537,0.00949291264350191,0.06995514402395843,-0.4763155049310737,-0.5535270964277763,-0.19135905358855937,-0.05988380725736238,-0.23531919168453508,0.3051497641063478,0.3028022165914438,-0.617148055531829,0.005927428000341072,0.5760230582361253,-0.08508379196350402,0.5171253105326238
PART,0.42114109452381365,-0.3324633829793421,-0.023711515374386417,-0.2927917411682771,1.0,-0.34173854905904427,0.25135799325941954,0.1286748259770846,-0.22817081549022822,0.37370073020558503,-0.09215299961975174,-0.08129455749830097,0.35435079909861805,-0.43970177046743936,-0.16309362135433803,0.16906388453741047,-0.1623074150114371,-0.1436688099636815,-0.22669318577800368,-0.3894672298728456,0.6030324829719736,0.28975113671204183,0.5245155057444528,-0.19047428532807528,-0.16515392011441557,-0.3990034119587736,0.20018923017723445,0.20602267951956205,-0.5340492815532621,0.22315225565923527,0.2469713349099667,-0.06442210332780716,0.0924472423656709,-0.36184068499661687,-0.19992009205329545,0.45904964120107183,-0.5921892842068857,-0.2333372684849695,0.29291882725023843,-0.13993380486346108,0.23612497402351598,0.3191382307872494,-0.1263589571701763,-0.026374755293355135,-0.1869925405909795,0.023512192819583697,-0.0968477382530808,0.11356697415848102,0.07398721128425914,-0.3863471950941438
CCONJ,0.26454638805073166,-0.34030830839766063,0.13157421876559425,-0.286861542011063,-0.34173854905904427,1.0,0.0555513299553561,-0.5245293745574838,-0.45727561732383215,0.03245737696253761,0.1003739950729117,0.5646038779778149,-0.02495919599248522,0.3632585414180113,-0.16331700272227542,-0.09413643322834019,0.366668988748507,0.2646670679272925,0.056709810019545934,-0.2704710859226808,-0.5431183761040427,-0.4483217736327709,-0.053603530923438794,-0.025482376793332165,0.22343679255748547,0.21699760717093025,0.13615017909779398,0.26370761300475015,0.8967315935013211,-0.09250438156323917,-0.2986165194461337,-0.6728465133176027,-0.4562151512315311,-0.4196941949244195,0.35931803958032466,0.16771511893128005,0.720192082150884,-0.2480165327074476,0.07268190053229971,-0.2602585131094713,-0.2310782205584025,-0.14477400511731253,0.30082807563501446,-0.20043540916424832,0.08551372593057477,0.17666263895541026,0.32849555189832486,-0.3943733456997978,0.34898516532354723,-0.25173621212648817
NOUN,0.43642294416802274,-0.4813373872899997,-0.15427447617248488,-0.5446305647076088,0.25135799325941954,0.0555513299553561,1.0,-0.16265698911832424,-0.5062560445950727,0.35962476183375164,-0.3640637733205719,-0.39715876274638406,-0.06596822015878341,0.3284698957094357,-0.03832082098232911,-0.03694378360968176,0.043693209664556,0.2973128690691554,0.015534755856022913,-0.40068748610392985,0.14401693845803945,-0.16089417968175168,0.46609769141186724,-0.024355541521047283,-0.15627459889141804,-0.0923358626841596,0.6407961615567989,0.461574417386754,-0.08872449111174463,0.1277834349465823,-0.3219219019047308,0.10179162892564486,0.09876136136406653,0.02585476541219629,0.25429722842227837,-0.023162631502429674,0.10559665266355173,-0.3899558042661262,0.3654476610547992,0.2950132831837805,-0.21923801628085185,0.202061817421373,0.08352221842344558,-0.42227377422686535,-0.5579585071527665,0.5638596824315382,-0.34670525509020206,-0.3977239256833061,0.09831399499535619,-0.40451246862082524
SCONJ,-0.0827586413940475,0.22529528400837573,-0.18293558950438635,0.1702154054806753,0.1286748259770846,-0.5245293745574838,-0.16265698911832424,1.0,0.32935597062782673,-0.2289393932105434,-0.25406373430573914,-0.4674648110676767,-0.23850791646875077,-0.22435037065730878,0.3411865990162239,0.4643938727056811,0.14915596287077093,0.03378300791632125,-0.33225173691052223,0.16781450632535283,0.724658878191793,0.9692126140338707,-0.09156149099467036,0.06637505068445093,-0.46393482485071397,-0.3169274757101018,-0.24784873115676728,-0.2177310262433891,-0.5463832728074528,0.6208940164735189,0.13462725690775515,0.22668697887654304,0.07965629897956915,0.029218349817340377,-0.18086653504695016,-0.3945480899506273,-0.5142109954331917,0.3104853714959804,-0.2677077637704146,0.2934214846640063,0.2282822402897134,0.6609719766281947,-0.18629422246551267,-0.38909376547183255,0.013524336696243996,-0.08751776672777771,-0.44760478032887535,-0.06484810829965648,-0.06509516206463545,0.16564032281426935
VERB,-0.4139706601976692,0.3304023022435222,-0.05973289087281297,0.3361123592673056,-0.22817081549022822,-0.45727561732383215,-0.5062560445950727,0.32935597062782673,1.0,-0.4692051265346023,-0.17051064495021814,-0.10004050861210873,-0.2805615087694309,-0.08963066066856082,-0.16416174059025695,0.276521336265486,-0.4483736567799799,-0.25226489440495625,0.12092011365489967,0.28157749771161794,0.21733688385666963,0.216342902761319,-0.6202542271956065,0.26969669307892286,-0.19414295862451902,0.4895753183450425,-0.6211244841182306,-0.2647687709141865,-0.3608526291630496,0.04995424053934079,-0.15121541349484324,0.4555554869088019,0.48492257833350955,0.23302043728113842,-0.1435087653254752,-0.45388700646961044,-0.3274162073942543,0.37866559452689963,-0.4721253054812391,0.27488842898782956,0.2831545063905596,0.03223295917666886,-0.23344551983717954,0.12090730394900351,0.09492647852375495,-0.5624725098825073,0.1933282027756488,0.4430199746261187,-0.015709606127250763,0.29638211830518724
ADP,0.4921763377908891,-0.5138127662725861,0.18737619706194222,-0.4954025017281571,0.37370073020558503,0.03245737696253761,0.35962476183375164,-0.2289393932105434,-0.4692051265346023,1.0,-0.09217367744810348,0.07548700652871976,0.06797617516009491,-0.16929169443449144,-0.260898398570971,0.10503013969805325,0.16579468846493947,-0.3905301278532954,-0.3618785870671136,-0.4976685709356971,0.08579059865335456,-0.1122800774668398,0.37937714105847503,-0.3072017645673104,0.501388756663841,-0.29634752583590424,0.3244632959277894,0.047704285388550406,-0.12599099167661748,-0.1352094512983273,-0.06762710341197399,-0.31572316156938945,0.1207122174070966,-0.2570510235938556,-0.01666865190853881,0.4510237360640184,-0.059771204947906886,-0.18375156047495322,0.9894114278144039,-0.0005341740837306795,-0.2552097262862145,-0.13635281257619716,0.26185140442472965,0.28437441234496313,-0.09881050227322767,0.5465756596749185,-0.03424210925560758,-0.2323998739943742,-0.12272930700524805,-0.5867215752512083
