,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9717815419303145,-0.3223687680171699,-0.44490984892400537,0.2852059843345585,0.32023317210350366,0.5812360018842239,-0.1481747197711921,0.47864433326239336,-0.4265701904652492,-0.46325729222819995,-0.3873897293467875,0.2752805503490657,-0.1287681198701223,-0.6263226418492109,-0.673830511942831,-0.45289100189357,0.11216826296282648,-0.9835625910497922,0.008632887460628683,-0.12206057967499351,0.4527917738039377,0.3466119330555407,0.4168237898005785,0.40693832256245277,0.37134229623064213,0.2614426326064268,0.3590186241716228,0.11691654736035981,-0.3826776606059069,0.4748247884942287,-0.3081468312565545,-0.29705824551444926,-0.2619221118141434,0.014417251008639866,-0.08345228481688143,0.2456204998114921,-0.00774337621892829,-0.4053797562688368,-0.7558134995982841,-0.5385028380581668,0.3381669499782107,-0.03745271329014121,0.2458173690083515,0.46014011735090043,0.587676624636105,-0.5714182926362578,-0.16459121869399337,-0.13198091911162713,-0.943519901414849
PUNCT,-0.9717815419303145,1.0,0.32931222832081497,0.3214862461794407,-0.36864009848048146,-0.2097990118270648,-0.5471389162253009,0.06242148133090213,-0.38849602354664264,0.548544756293707,0.4892075913182002,0.2048338412946214,-0.14976451068560162,0.30070080829993895,0.48386991872441654,0.5881251313434543,0.35385644829472623,-0.3360088148136145,0.9275971689324695,-0.15582305479127867,0.045972863668861524,-0.4758062589737787,-0.3257906359040733,-0.34421047496430557,-0.5778846961865981,-0.18578701209810303,-0.27091033578953155,-0.4496075973323422,-0.01872580328569421,0.46519597014246544,-0.4189279236244584,0.4635995683095679,0.2006900695621019,0.17391637510584274,0.14149438223923338,0.13821684692375177,-0.2035384152123843,0.02529385833881885,0.5075951341769428,0.8359341900461746,0.5564926399301233,-0.4406104337476568,0.02745726596158344,-0.16589233097253747,-0.3355099798576833,-0.5605377909196902,0.678734744160968,0.04949423626398401,0.22447819424569473,0.9685901529651457
AUX,-0.3223687680171699,0.32931222832081497,1.0,0.133045771556296,-0.19160390514776224,-0.4895083722626202,-0.7600169885105525,0.5490767459813759,0.12100224239756717,0.4320082853534123,0.1869298967462127,0.13506975830450066,-0.40784231350064176,-0.03216428735987564,0.17142900382854262,0.25639940721183146,-0.38218276089992104,-0.19137872441858775,0.21202033602542808,0.23901841191794546,0.4861645980095755,-0.2268003106557257,-0.012300287658119989,0.5063489904004226,-0.36807415444291647,-0.03953893915650723,-0.08886468708615064,0.12215495062769051,-0.11838869330296943,0.12520369158649872,-0.3291226215348756,0.1843952870672026,0.0059753718634125794,-0.09146638110170636,-0.030163472644430447,-0.25746409249534546,-0.3835420820171304,-0.0942256901886659,0.4840281469508625,0.5568110818282873,0.9051507696340757,-0.08607498439963945,0.7434664628699144,-0.7576071242691285,-0.1500663173222896,0.023827585612873976,0.4322945207410607,-0.285306481743828,0.35866672611369377,0.19320018744336595
ADV,-0.44490984892400537,0.3214862461794407,0.133045771556296,1.0,0.3141935857241122,0.0550390937167402,-0.5952908805030853,0.47951238530157647,-0.08770495694817032,-0.28541918759677365,0.5044821480580215,0.23903094371654304,-0.5060027247195817,-0.17111991861107279,0.9329288875926356,0.5248400679871815,0.3733153854573793,0.3721480031868404,0.44354133585057764,0.759985596536866,0.6355830447859623,-0.6773439885432394,0.39414509167734924,-0.07420699902899064,-0.04276429907259232,-0.8910438921373178,-0.4608229861934327,-0.18009789689535008,0.28710883226712275,0.18558466120666428,-0.5742078977795587,0.06824273563797709,0.6162273867767664,0.11522233181109823,-0.44609726488798757,-0.12561758326131972,0.3785653077970777,0.07025783309105131,-0.3714934512583936,0.19065051063007268,0.21658739141697503,0.45735117801671143,-0.2294447353654711,-0.5101461425849988,-0.6839842807490644,-0.6462569003553172,-0.39578558744715553,0.8893048883378469,-0.026642594292910132,0.29985579807575546
PART,0.2852059843345585,-0.36864009848048146,-0.19160390514776224,0.3141935857241122,1.0,0.19367985146544386,-0.0187899924441909,0.34204372204312017,0.43477892138696284,-0.7660495736958799,-0.5427790020482464,0.16108898696170565,-0.16712067848560735,-0.7489339390521168,0.32239687869718764,-0.26273862010870513,0.05821710011541703,0.44502947424219835,-0.2758078508072143,0.5575427537755291,0.4382381570707246,-0.16437418925553193,0.65417744860329,0.3435443113463646,0.1450948456376481,-0.3947734556784909,-0.2233379804492803,-0.3035277606196549,0.42337112584922965,0.1839238502175308,0.22896532051760807,-0.5909673317151104,0.3682268851312521,0.22344995113331872,-0.8883192264582412,-0.24417565764185845,0.435494045928429,-0.13112247094026927,-0.7985020286417169,-0.57421945772176,-0.3832205326741107,0.419910514282709,-0.09079263578582435,-0.05974837061710511,-0.010994574736653473,-0.4715611269696858,-0.3798148882400279,0.5167664402312172,-0.8148291465645299,-0.4278721704762752
CCONJ,0.32023317210350366,-0.2097990118270648,-0.4895083722626202,0.0550390937167402,0.19367985146544386,1.0,0.19741105109018378,-0.03752975025623453,0.38202237118868904,-0.14858176449154828,0.005041065570028669,-0.7112610005674553,0.058907167031678996,0.40901314187264787,-0.09259015354510901,-0.32074467593637257,-0.3467487717136946,-0.28583741103658467,-0.3330828177341872,0.09133248903830425,0.057773729516004894,-0.2260140073969602,0.6639993037524314,0.29569061534901697,-0.1782228217765717,0.08974624391605975,-0.604755050116516,-0.19111870396666694,0.8612160228023416,0.01786148867287411,0.41787777462398196,0.476659223132578,-0.09392768750067182,-0.58200734028256,0.18172497433078483,-0.10760411069649424,0.9237607755009202,0.09699066132994502,-0.27835602344002225,-0.14982057496037487,-0.5412135445703125,0.27425306813058276,-0.5383829063164933,0.2426760423280575,0.015706468514764444,-0.18704756338023984,-0.3064044044529841,0.27988249064416554,0.03566998833397406,-0.07820551464778248
NOUN,0.5812360018842239,-0.5471389162253009,-0.7600169885105525,-0.5952908805030853,-0.0187899924441909,0.19741105109018378,1.0,-0.5345841705350042,-0.20535950375457984,-0.3829634756292954,-0.29681017803186305,-0.2952095268990085,0.699951543998407,0.08192001089482262,-0.6773277705206482,-0.6653172722078637,0.16662403235401752,0.0896074147407903,-0.4996119428058278,-0.4799048806148662,-0.5375405648427948,0.710483810350549,-0.2985367827390558,-0.33890596624662295,0.4178301636082693,0.40079746406810957,0.5175134282645243,0.035372009847966554,-0.22759790592116041,-0.08625376473903874,0.5334420738834302,-0.23085163432787298,-0.5242831109478567,-0.04678166158975558,0.24442168472965445,0.5157508620330363,-0.031799025400502126,0.3541421218754687,-0.33811372407137485,-0.6971388693462258,-0.7912337394852964,0.07599763387816472,-0.22329154512166396,0.6692525510178232,0.3352940444281976,0.3576882610009941,-0.23918640447732767,-0.2401523136139437,-0.13076207798259723,-0.45743814999436294
SCONJ,-0.1481747197711921,0.06242148133090213,0.5490767459813759,0.47951238530157647,0.34204372204312017,-0.03752975025623453,-0.5345841705350042,1.0,-0.07515638238372647,-0.30823164401106795,-0.016639491903756156,0.04173034038217449,-0.6623873940081793,-0.33309164509951256,0.4655866512239243,-0.05840963407951758,-0.3341218775171553,0.40137890876190024,0.12580222628651982,0.8193017065756574,0.9492907911418068,-0.058125962356671,0.37293084180265057,0.5517257869985057,0.09786953895746094,-0.6132818765369435,-0.543876066816623,0.14033674229280388,0.24707800013003822,0.09060279546127739,0.14295510662568292,0.04784608927325971,-0.09542319743510287,-0.43986105035609124,-0.4824727528001959,-0.2974193445269116,0.20269073685499245,0.28250244247033474,-0.24569626564534505,-0.01410387033217303,0.25246726008522546,0.6661392856740382,0.5944364234080384,-0.9165339446276651,-0.7112549500135595,-0.3717207203128411,-0.03550401201286177,0.21864764094903735,0.03453730557744462,0.05807078527975612
VERB,0.47864433326239336,-0.38849602354664264,0.12100224239756717,-0.08770495694817032,0.43477892138696284,0.38202237118868904,-0.20535950375457984,-0.07515638238372647,1.0,0.03778545439910314,-0.33468951606499436,-0.26131964636427757,-0.024185825921800012,-0.10229056664578806,-0.15459577570952804,-0.12555407215485656,-0.5176225733186741,-0.37076041778918584,-0.5747936175878793,0.07744372105454111,0.02525490263395197,-0.4261095538753501,0.7482882192873103,0.6888306450266307,-0.35974950778227516,0.3478498757826026,-0.1865260851617835,-0.12564993571098154,0.5892703277281076,-0.046954613303266925,0.027434896151914172,-0.0709708559801836,0.3461334110732342,0.013571508951316886,-0.1683633092732975,-0.48629281374261035,0.42420411656450674,-0.5632657905427666,-0.07004658257558473,-0.04830419320822835,0.0480758967092679,-0.13404623828693363,-0.1790996270616026,0.12462711200890508,0.6141233005197956,0.10903033359386921,-0.17513420039390215,0.03439876154645685,-0.2692305857355686,-0.48043720096339476
ADP,-0.4265701904652492,0.548544756293707,0.4320082853534123,-0.28541918759677365,-0.7660495736958799,-0.14858176449154828,-0.3829634756292954,-0.30823164401106795,0.03778545439910314,1.0,0.3038244885971042,-0.028568992856702825,-0.05157686189741688,0.5860898395611754,-0.17290351546965263,0.4795855067761352,-0.2572263708016509,-0.6933717256805334,0.358980994789082,-0.5451133659381951,-0.4111433334838968,-0.23967613537067656,-0.33997904588678446,-0.04066840201789754,-0.5156818941512061,0.510529433105124,-0.04299527000285083,0.09445890207256397,-0.12089069651442615,-0.10896240198754989,-0.2936516086412882,0.5505444595366401,6.137618824314708e-05,-0.0402977277538414,0.6600774348848647,-0.17360260668374922,-0.3325113296594657,-0.373259507552374,0.9775001571197636,0.8555373089767425,0.6315167644037283,-0.7552233521301015,0.05543707284404179,0.06826127796141787,0.27835981001065935,0.2951763653828223,0.642130106750419,-0.5349188287081744,0.5259708277645456,0.5361410904713608
