,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9883599704025308,0.25813616814604107,0.24140646376592143,0.23664587055523578,-0.44001196051337227,0.19144102868227672,0.3751188388484471,-0.3924437114112018,0.33889695546588294,0.27416266952351637,-0.3430640545584615,-0.21020492016150863,0.5728916913161698,0.3384392682954733,0.058371708532137814,0.2375343006666263,-0.6495944551467526,-0.9880181938853967,0.8238771548092786,0.6285050547971496,0.31375883718216824,-0.8539951000546455,0.45295595812573386,-0.17412242727052643,0.2539328735737958,-0.1605291195952245,0.2323500471874243,-0.5495708749538338,0.6954245256000494,-0.28524476795687803,-0.7285820728814639,-0.38935915944373156,-0.8539951000546455,0.8033140407178447,-0.4708973172025862,-0.43601540845031644,0.5042338715763826,-0.03344228971799923,0.17019438525385913,-0.786159315857532,-0.37809427934258494,0.33009996017852605,0.2033556344324972,0.15867793581628953,-0.3870213505129895,0.2722852389984424,0.3203699472252985,-0.3282354434795413,-0.9846868132802065
PUNCT,-0.9883599704025308,1.0,-0.3301655102023647,-0.2846856634166947,-0.3811753331757245,0.4741762497865918,-0.12213902286854762,-0.45632483638037336,0.28089942042189125,-0.2423554325159117,-0.3528056464615992,0.33670999541145985,0.28565985616589834,-0.5297253903492932,-0.3851423041237061,-0.00689239491924997,-0.22247612483356366,0.5405073214532933,0.9960740847372807,-0.876491567105085,-0.6783034958718636,-0.2843686135623834,0.913126618847304,-0.40922492212385564,0.09144875619304815,-0.21361378677512424,0.24832652939506222,-0.19542373409349673,0.594693285702818,-0.5962862987157577,0.26547257737117763,0.7130114151245287,0.39567874285238275,0.913126618847304,-0.7493174626684431,0.5234131587493907,0.5148689579660349,-0.41479376342951896,0.1305622476732641,-0.09314657549785157,0.8332894374850843,0.2728557715006954,-0.3270006421065032,-0.3057343475544985,-0.196851161213028,0.29004892183195957,-0.35369796706647927,-0.36278231260597404,0.3792943407652172,0.9960312482155168
AUX,0.25813616814604107,-0.3301655102023647,1.0,0.9620236499094759,0.5868576482419297,-0.34816944534548566,-0.7268177361713478,-0.1095538454973817,0.10232302150854455,-0.4339074852853226,0.7947879830661777,0.5074350911488806,-0.6328393312249713,-0.02375484408731567,0.49823819438285477,-0.21905946895400294,0.4719536920643409,-0.12143653309423591,-0.33291023442462236,0.24284311499477956,-0.0636645259594372,0.5719914282279501,-0.612043384413085,0.32483659551753624,0.6299898622789981,0.2285825035029889,-0.5203484524299247,0.10929007023751254,-0.4929430233103738,-0.1934519851722782,0.17194393315696263,0.15292604313183222,-0.7209576287047571,-0.612043384413085,-0.18255535018286126,-0.6406683063918603,-0.6048026669661593,0.04641928120175597,-0.2846021426672062,-0.5685805250852811,-0.25727654387998583,0.20114122418046365,0.5696560501642023,0.17996356548369533,-0.33263438232899983,-0.02913364292392434,0.8096099862916674,0.945517746267856,-0.20328039899721373,-0.36779390610668855
ADV,0.24140646376592143,-0.2846856634166947,0.9620236499094759,1.0,0.40008340226141176,-0.16646644033008617,-0.7082511979262476,-0.34690465541593796,-0.058568873026440676,-0.3033184328089122,0.8222671152190191,0.4559974037530096,-0.637859629366968,0.14212381985104147,0.5247139642743256,-0.25354570213675975,0.38563869905563547,-0.25424020256560936,-0.28804557964894156,0.14996013628900337,-0.23657956564742524,0.5771643442210674,-0.5095674253137916,0.2640973737390982,0.5607227954603655,0.336963735930373,-0.3971960196676331,0.10523962039380558,-0.3074308610799359,-0.06571599314978192,0.26392886488783646,0.17065819595289863,-0.7267863811867838,-0.5095674253137916,-0.1276383654265665,-0.6237950391513697,-0.4352039647325659,0.17191353978039026,-0.07893145687945345,-0.3816294651718771,-0.1454992904487294,0.13105643798532357,0.6274464792095281,-0.04780555659664537,-0.5522414139227363,-0.12152722939464207,0.6568581838620228,0.9111744544237999,-0.10625677654025129,-0.3379277940974461
PART,0.23664587055523578,-0.3811753331757245,0.5868576482419297,0.40008340226141176,1.0,-0.36288990433549884,-0.3945946672116022,0.6095779057547679,0.5672596383918813,-0.5550994907007455,0.600009995605054,-0.022721033881188114,-0.5305138254437687,-0.11498324805072126,0.42688538240452756,-0.3198460456825523,0.03800869292766608,0.4658256088018586,-0.3594010968764148,0.5617996410547645,0.508049995559525,-0.07071467949840239,-0.6508140220362585,-0.11804034571601675,0.5385785936294413,-0.18099831786097337,-0.6138129255137341,-0.15015909518736947,-0.4841319163096576,-0.44203033690169713,-0.0001922318047646554,-0.13028076765962732,-0.22805436527258688,-0.6508140220362585,-0.1329146168793827,-0.46383680813671424,-0.6381969869391843,-0.40839624525149754,-0.6598987681857228,-0.47397474251441224,-0.5623183652516635,0.5135521504960389,0.14058912327996553,0.7223239711933569,0.2646131311289189,0.44429312636439616,0.6598448508865652,0.4277311065234581,-0.38046202391983425,-0.38124411688688825
CCONJ,-0.44001196051337227,0.4741762497865918,-0.34816944534548566,-0.16646644033008617,-0.36288990433549884,1.0,0.27784820125409915,-0.5730586269558429,-0.3146803483315671,-0.048572135217639666,0.08834898340033327,-0.46222759012871795,0.15888593746432383,0.22321732587242982,0.33628812653382417,-0.6353854090107044,-0.635363527853937,0.19178828495558312,0.5230797014231741,-0.5019898946713964,-0.4472939083469093,-0.5236659098628202,0.6383865354056855,-0.7780430175342472,-0.03565882619361537,0.3147748362479922,0.6734952127255742,-0.6550718587084097,0.9454427886717681,-0.054936627197965354,0.24702495901021226,0.0003560555303825767,0.14963485729340884,0.6383865354056855,-0.23937680683199422,0.3519918823535883,0.8781331264733739,0.16216889577906862,0.24094247820777806,0.5224028630591941,0.39104941838332663,0.0882582040697986,0.1779405383639602,-0.6439406949174072,-0.6751923512467053,0.11909168927488652,-0.6193136413627317,-0.5082302530024763,0.584356368768861,0.44181422093170264
NOUN,0.19144102868227672,-0.12213902286854762,-0.7268177361713478,-0.7082511979262476,-0.3945946672116022,0.27784820125409915,1.0,0.2520857398186699,-0.5304648628865218,0.14525494197732533,-0.6062595824547704,-0.6276134140047728,0.80426563274775,0.08488247810182832,0.025808988736273422,-0.10965519353405409,-0.09079939926107929,-0.2226727286192494,-0.09401986320096789,-0.06898270305045633,0.48232738257333896,-0.4964012144984809,0.23248494861971292,-0.16466616053253433,-0.3026826720905437,0.008679430114335607,0.6946514455970598,-0.28234040377656566,0.19852932515702723,0.30962968941212765,-0.6738090966613463,-0.7248202316777498,0.10240587721942694,0.23248494861971292,0.2564075623516604,0.666544810865115,0.5929092147960021,0.3222275563120669,-0.14036320179827702,0.4224922454147744,-0.3164013975270501,-0.6323123238401555,0.05976229017788876,-0.07214418415319808,0.246603700411363,-0.41208197709345895,-0.40669240752551383,-0.6453369435693468,0.5134358428375076,-0.08465873267707082
SCONJ,0.3751188388484471,-0.45632483638037336,-0.1095538454973817,-0.34690465541593796,0.6095779057547679,-0.5730586269558429,0.2520857398186699,1.0,0.4197540795547975,-0.15804927035325655,-0.16553442171182342,-0.27340922353167135,0.06604384525725794,-0.18957810069388617,-0.06651777025626045,0.13670918568810297,0.07343656474950425,0.30085527891615976,-0.4499502800945532,0.6201136451382482,0.885824692376879,-0.24213570106254323,-0.500212129250876,0.09621915806423179,2.3365069246614167e-05,-0.4119166082593572,-0.3560803721474057,0.03840267232085495,-0.5918218843943915,-0.1217687252197641,-0.43807494883291503,-0.4461580998942619,0.16382916461648445,-0.500212129250876,0.21879388866919589,-0.0389399150388879,-0.5037368660052919,-0.3308134863168135,-0.5953969368298297,-0.24666263396539445,-0.6583479473794753,0.09372536019195023,-0.27449699594629523,0.8359548928116216,0.8720834374538253,0.22846862572027177,0.3084336341037096,-0.11267403377207595,-0.3875174323036122,-0.40155535909558804
VERB,-0.3924437114112018,0.28089942042189125,0.10232302150854455,-0.058568873026440676,0.5672596383918813,-0.3146803483315671,-0.5304648628865218,0.4197540795547975,1.0,-0.22827680608197548,0.056099478933864126,0.21851056799834337,-0.39879471116924686,-0.3096900495163065,-0.3978390794482967,0.25340415210242256,-0.23002872763251306,0.7739591816335226,0.25588923625980403,0.13504441446286866,0.037529189666768686,-0.245023541437842,-0.02850155262599247,-0.24305176075573165,0.21217416787667365,-0.6675558880366924,-0.7367884772331023,0.20996660640773118,-0.17037920603287643,-0.6444561948956125,0.31589080098533273,0.5208168421335381,0.4980327510242342,-0.02850155262599247,-0.3242577109811744,-0.15762648536249804,-0.4814301128071649,-0.9089650817728451,-0.1850800353094379,-0.3013331377464605,0.1336829056208077,0.7339661395593613,-0.6331603739748101,0.6407834589535977,0.4699577909586709,0.6967999758141776,0.18576359881811394,0.019212019023716515,-0.508367598373022,0.28438222348248227
ADP,0.33889695546588294,-0.2423554325159117,-0.4339074852853226,-0.3033184328089122,-0.5550994907007455,-0.048572135217639666,0.14525494197732533,-0.15804927035325655,-0.22827680608197548,1.0,-0.26368565436093094,-0.2989233741945122,-0.10738319105834868,0.6549895575500354,-0.47139481901205366,0.5580208982277066,-0.32649989494692605,-0.4952834223946036,-0.2799860383339631,0.30325641529333563,-0.13853931335047925,0.1518748339710413,-0.01638401267020929,0.21038999100881034,-0.8471909955491189,0.06050147151772862,0.016757928164877263,0.4747982151570776,0.1593271456816749,0.8117192165734479,0.3012192992966261,-0.040772438036556106,0.48926725335022886,-0.01638401267020929,0.8067528062167925,-0.19889798240688167,0.024295637949670598,0.2875107702176241,0.8573526292492928,0.7159816842772769,0.17810794529414625,-0.16514041725602033,-0.4735181577126974,-0.3465138444174097,0.057146202302714055,-0.12361478590461993,-0.6332975493914887,-0.32905989891678283,-0.4188711630368239,-0.24554999779101283
