,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9570505282363749,0.014199600357148338,0.17557729791841822,0.09470963942128109,-0.09435151126166666,0.13528070653382213,-0.14695525751900448,-0.10475728376150366,0.177634017676163,0.0850960573218139,-0.16558087112040284,-0.23324659863215014,0.21001872715570832,-0.18884100443032414,0.31691418694586426,-0.10058502654277915,0.11577656930760577,-0.2055815033956325,-0.9760292995983537,0.14531815115955296,0.023366042048233285,0.711577799031887,-0.4344875899634472,0.5718696880001287,0.18356349634110908,-0.1746541493344382,0.2887439485953536,0.05403470962014303,-0.1682248533364346,0.17200597163919315,-0.11302727925240352,0.32431929841599827,-0.2423693167087677,-0.2583409245394469,0.20087361890067792,-0.007653409675084464,-0.059005398311369486,0.1856119374692291,0.0870658232962815,-0.4848425728396637,-0.13608820159756926,-0.26521887542498007,-0.036174321466132475,0.030838774174588107,-0.3280394965106538,0.14508847353832535,0.2704351771202994,-0.04476629965410445,0.39038848304246354,-0.38802402234025507,-0.9617077388082083
PUNCT,-0.9570505282363749,1.0,-0.018858490507698333,-0.2240993728984103,-0.1761072567097104,0.19407042072335579,-0.006931741859999441,0.2658108695947243,0.07671111734116705,-0.31881314330281474,0.03398439845363536,0.09859550713979977,0.3231728053493702,-0.31126858025127907,0.06043008154462023,-0.17656789228878905,0.035749439944649235,-0.07329983280361488,0.3015914895308484,0.979630874669049,-0.18124071678385384,0.09200069800041037,-0.7746547080213196,0.5514462694421185,-0.6027829506310182,-0.30851786272100057,-0.03429156709630195,-0.24629538269565704,0.017571846998954564,0.27236259960290005,-0.2697346406879826,0.18456031805199635,-0.33182896373861864,0.23636759653291983,0.2675247375568577,-0.3381505582114114,0.08017522614480659,0.22262842241668362,-0.2014851246638233,-0.23330367144664169,0.4704589077987345,0.17832487353069681,0.1037376813208663,0.009356094719016586,0.1090586500210687,0.4035446903404396,-0.2133577034497549,-0.2836119634428238,0.04832925912305908,-0.40558761492364487,0.2911153138257993,0.9898733575164984
AUX,0.014199600357148338,-0.018858490507698333,1.0,-0.06327507960479654,0.14245816099313688,0.34198393004694394,0.22851633843569322,-0.2128135468072314,-0.5604457319778657,0.22860540697607495,-0.3057788784859989,-0.027432819351638778,-0.3416329484141648,0.011370954689065916,0.002624355603035976,0.054293711231253046,0.2158433441543804,0.10401644344863979,-0.12455485187608166,-0.01539397463462913,-0.5362781032000481,-0.1965292942252505,-0.26073759887599984,-0.15857831152933513,0.3642143056418463,-0.203327529180733,0.08980937210730973,-0.12035032057716889,0.3427019953401638,0.4027449666963937,0.587603898760727,0.2754584092830704,0.02407120875451965,-0.3880782305182937,0.4920568588963562,0.07623020645519953,-0.5062927949453189,0.1327746833152949,-0.09180993382075729,0.21753773220533756,-0.06189563684336907,0.4531548696945937,-0.10982926649701942,0.7380784103081746,-0.4152548386714089,0.0871846496616497,0.21249531474304545,0.11587387295234979,-0.15482870134199928,-0.003390822111621696,0.016676816885720817,0.04990714132181987
ADV,0.17557729791841822,-0.2240993728984103,-0.06327507960479654,1.0,0.223973664076364,0.08475855816893776,-0.6356087495966871,0.12957406333466065,0.14557421398785478,-0.2551828199150611,0.051884930164416795,-0.40433084136643216,-0.2766423399936462,0.5367833717607956,0.3366883401975496,-0.29576875836765915,0.1362965988215418,-0.24945196536082528,-0.2108485052895493,-0.26340899536929546,0.37600724177847433,0.14150050726683794,0.1972734966949728,-0.43429732641371177,0.11324157344468432,0.1530194533466114,0.22988745990074513,-0.1824555458176785,-0.06538842838911141,0.18404917422860192,-0.0021313828128934472,0.2918110840457194,0.1900836094875126,-0.11804549200459126,-0.3148666443109469,0.17299325735074697,-0.4621657332904017,-0.1150121396936931,0.027481730870986713,-0.3013635452923307,-0.4665743172187526,0.3630830833750098,-0.10691754413691196,-0.19957568035934337,-0.32241121456747285,-0.35915433982265815,-0.4380900093608287,0.2730991386905325,-0.22402401206205258,0.6666647746981071,-0.1833463617059176,-0.23282900368609913
PART,0.09470963942128109,-0.1761072567097104,0.14245816099313688,0.223973664076364,1.0,0.2850189555048465,0.0004794792898294193,-0.19669496650537818,-0.5423903990756878,-0.05105750432834526,-0.0557184767911476,-0.035254604415422,-0.5099575990789775,0.42437819140680005,-0.11365323841639186,-0.21442285936312822,-0.38402262395702774,-0.4152307578972288,-0.502652591866087,-0.17460803304622827,0.0343347873648211,-0.19447593826524368,0.3016130241328152,-0.4585181995985542,0.04146554484740007,0.3697525048966556,0.038780377305452765,0.32911800628867227,-0.14862693762891127,0.24932938742302985,-0.0014213525569972863,-0.1366336161297031,-0.20158780185754907,-0.32708923504170045,0.5998927223521828,0.2700551358269116,-0.5476967480542492,0.005514240449760185,-0.3209630107969597,-0.019810907540230235,-0.34122600889469146,-0.1371602033247544,0.4150201759059091,0.3042268006307713,-0.19165509887201307,-0.41888615996769596,0.03705827164991211,0.5664490428786637,-0.43255242301367774,0.7064174989460988,-0.06205633621954044,-0.12234889881564859
CCONJ,-0.09435151126166666,0.19407042072335579,0.34198393004694394,0.08475855816893776,0.2850189555048465,1.0,0.32536322223091574,0.16241115239898232,-0.7368681762208191,-0.2597751371196104,-0.21851954467473642,-0.41830222220595886,-0.4472747298756845,0.27594104464152014,-0.14053433506546353,0.07473184566028361,-0.26484363423318075,-0.4922600460754783,-0.35644208240765785,0.19384579369532115,-0.3859980565911052,0.17887440695213053,-0.11364917529761041,-0.33474347543873517,-0.019406636127632302,-0.3547313111157139,-0.2579042740748017,0.5351773406350236,-0.1087362199283141,0.9539893518777104,-0.1750921388270028,-0.13696205206001516,-0.19053136630601225,-0.20773666850454076,0.3357827414410524,0.014694660776643605,-0.2933114962033998,0.5559224953006338,-0.2906948042547593,-0.20923323063157112,0.2106263297047531,-0.040603872563443666,-0.10412557448717509,0.45783904528443325,-0.4967037422450934,-0.09703714903909742,0.061157122178950425,0.16994397236687936,-0.6389793862537532,0.3937392167375213,0.07526353547217092,0.24283123279651952
NOUN,0.13528070653382213,-0.006931741859999441,0.22851633843569322,-0.6356087495966871,0.0004794792898294193,0.32536322223091574,1.0,-0.36278977898452697,-0.5070640920644834,0.24450757747078938,0.0079389193292398,-0.09913466357118977,-0.014798753162867731,-0.1465221813545666,-0.5845121731733381,0.24416821622144078,-0.33664128572002655,0.03139724655930251,-0.11481114038630351,-0.038302198425778956,-0.5338054061624258,-0.3224547431013557,-0.09355594688600702,0.21957686376270913,-0.14050744112290428,-0.3989171848255181,-0.12334229032783717,0.5752241885463276,0.13318008422845892,0.19688051347730176,-0.026225882298926598,-0.04254798597287076,-0.04522965625009605,0.2145763400557476,0.41253064209834567,0.17339257530552887,0.14080251969297952,0.26325027260839223,-0.07650059586909382,0.29053467063368227,0.18977810306897172,-0.2530883842968165,0.1399114096984726,0.2583140806851762,0.14659566310939287,0.18712749440898369,0.20685995830782122,0.35382091643685426,-0.11312767931058719,-0.2338304329230573,-0.3592717887517714,0.022658815721759505
SCONJ,-0.14695525751900448,0.2658108695947243,-0.2128135468072314,0.12957406333466065,-0.19669496650537818,0.16241115239898232,-0.36278977898452697,1.0,0.28546233913957725,-0.8669573036022714,0.23520935006271754,-0.284910969178896,0.07955427296386705,-0.23451068762439484,0.23503613793080436,0.10016502585154627,-0.21099927890050202,-0.20561190317456018,-0.027869353512753495,0.2459205394125966,0.5779844521365703,0.9622881196410807,-0.022056887478798377,0.23896702101657166,0.012257400972015954,-0.1252836115468873,-0.6163156202686659,-0.15633326333133923,0.2102470231691873,0.13052445288865422,-0.3639157910308817,0.016826768702532916,-0.150771108041485,-0.2071020993130749,-0.04951776502060793,-0.5355525398911748,0.09426781875041457,0.29231796767893575,-0.0020824901666554704,-0.8495760606983972,0.1416447625609645,0.04592299214720327,-0.3933009126534736,-0.12232334536401791,0.25899618529730767,0.08486747911952193,-0.23544712271321389,-0.34773334526521743,-0.24620997795520327,-0.006646828341032859,0.3584193216597935,0.2415314421751889
VERB,-0.10475728376150366,0.07671111734116705,-0.5604457319778657,0.14557421398785478,-0.5423903990756878,-0.7368681762208191,-0.5070640920644834,0.28546233913957725,1.0,-0.1016586132595311,0.3614515347505512,0.03504184788495533,0.467024430728228,-0.3797578440439412,0.17285851118017667,0.05789989791289788,0.20243002336642824,0.11145746051597287,0.28407853776155506,0.05291095706470214,0.5533866894068467,0.2978825687742017,-0.12605865158952592,0.32545928673517,-0.03362798840930777,0.09970072857853882,0.004197031174409934,-0.43488181140810456,0.23986678326933036,-0.6916654996866045,-0.07066057242538135,0.22836717013907515,0.38136704057469895,0.24472114454821395,-0.5176132340984902,-0.3656016381059209,0.3128946567095186,-0.18439074616434062,0.3880479061329735,-0.18248518478996237,-0.0776687110306967,0.16432393564657552,-0.20735568649621341,-0.7188719555070607,0.44324977980661306,0.27283035211409656,-0.3197549313879974,-0.3295057595075078,0.34705123435688306,-0.3080912365820502,0.09960807660747427,0.0057553336208244895
ADP,0.177634017676163,-0.31881314330281474,0.22860540697607495,-0.2551828199150611,-0.05105750432834526,-0.2597751371196104,0.24450757747078938,-0.8669573036022714,-0.1016586132595311,1.0,-0.16492884752972067,0.25591305541333986,-0.16395393342449657,0.09833865032242046,-0.1487545959835018,0.06328412545351814,0.1892714003990584,0.17012788336916027,0.07446320324863769,-0.2578102879924659,-0.5634217121555524,-0.7876829746438371,0.020540874710046918,-0.22298314727383886,0.3227078815501874,0.1929588172490372,0.5572514339050101,0.1377787497601245,-0.04111988995540285,-0.23256125320877521,0.36963882082103994,-0.1559440524165743,0.40852920445474655,0.11958270509276334,-0.14427558166047885,0.38837452388000326,-0.05284147989255455,-0.24171631818509648,0.14872920286007454,0.9626736572004503,-0.04277290501915918,-0.09649792915518905,0.29571891097208236,0.18027636898065671,-0.38964891004288554,-0.08581726949208197,0.41755107318846835,-0.02675363004143991,0.21334164782463094,-0.18978450623626753,-0.1697876949377735,-0.3028960849188235
