,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,conj:expl,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.8208701961953107,-0.34457167640763503,0.12227337984170888,-0.24480875680509925,-0.12344395837596153,-0.2635768613972373,0.2915385219921877,0.7920278333809145,0.55584852104189,-0.22298931536995942,0.2695529017986779,0.5250654762790153,-0.24272305361711713,0.13125079609018128,-0.358230344977279,-0.3486262805348881,0.3531180661467779,0.13977206452239987,-0.9193341108542569,0.2521832623633433,0.36206073814164846,0.014001624124729507,-0.3875479413192452,0.6529818369835348,0.35368690937446995,0.03315553857589481,-0.5725455237695204,-0.27271296850240784,0.3930676178200032,-0.05977668424976209,-0.027389558412791427,-0.07256100088527721,-0.050276757027643976,-0.5681072412831516,0.6799535835724736,0.09467229792155132,0.5484470515003983,0.5897524631527494,-0.3944951951999871,-0.4608185145927825,0.12689001760315227,-0.26401373211636525,-0.10550343449944698,-0.1436078607562409,0.5382327093580999,0.3859516728689006,0.13901116028797295,-0.46813291415318053,-0.8551494479605773
PUNCT,-0.8208701961953107,1.0,0.3792427944703432,-0.31729471193432807,0.291747796025353,0.11545556881146889,0.1507826763638697,-0.15750035195653364,-0.694430923040912,-0.2897125371745533,0.46366175395408327,-0.11455690402730817,-0.3399037204773035,0.025078895279999465,-0.3863008125366221,-0.09816195477629945,0.3075514352449711,-0.5025195084428525,-0.14771559617124128,0.9529398367530757,0.09927392357589936,-0.2305745366351775,-0.32929306145089404,0.10916076959094552,-0.7249124189998946,-0.04514007765695055,-0.016523108125885675,0.35700596215186886,0.3019534869022222,-0.2199076714173224,-0.09380843443739721,0.4075956764542372,-0.3079397522994998,0.1174018776947836,0.5043794064441283,-0.4712922584805355,-0.16092472108813874,-0.3264164310798627,-0.2590559628458769,0.21079655300180428,0.5415311424382712,-0.3600527812339288,0.3599820294916407,0.027334458054222202,-0.0018624048622621807,-0.036524181965620156,-0.6270209133576711,-0.14013021488360922,0.5425807946908109,0.9579736598895
AUX,-0.34457167640763503,0.3792427944703432,1.0,0.40719523614799746,0.4707935179218482,0.5257570700788599,-0.19380326722845456,0.40746504492073665,-0.5432717727678708,-0.6413026228248871,-0.4508293780688987,0.12803045982348418,-0.6374843487278716,-0.6201637565846913,-0.38089815533127885,0.2043935932465723,-0.43700540322557213,-0.22497596776636286,-0.32012064442661115,0.4454017149293376,-0.20068886863384586,0.28261685152066796,-0.13817490644927635,-0.28322210429812106,0.006914083578486288,-0.25791420330393605,-0.004198947676293325,0.0731112807677472,0.5855474525613323,0.5218649458137681,0.679120888348397,0.04521053035141748,-0.37205139546618277,-0.3108115538597748,-0.2985876408891538,-0.43219171937751916,-0.36887393955558573,-0.11332484366026135,-0.4925717761132665,0.8280368058840473,0.8772378573680799,0.4708966938420899,0.7594929469113493,-0.5978790610948674,0.0312300566852933,-0.016048587886375757,0.2350605880462852,0.42474402815978207,0.4195226235678516,0.25820960200610277
ADV,0.12227337984170888,-0.31729471193432807,0.40719523614799746,1.0,0.3417794938018385,-0.23109292539937698,-0.6238005007599932,0.6944870054139887,0.06581257196170175,-0.6916308250925353,-0.7235505918013493,0.6252436420239383,0.09056944593626531,-0.012566651648757105,0.4907413071584142,0.449466532371044,-0.6807176307202142,0.03779873090340505,0.4244287069910112,-0.19243645660379716,0.04688763994623215,0.6411744317042457,-0.33459760003602923,-0.19304943978742342,0.41697376354499793,-0.78702966065106,-0.32189435400396776,-0.12074203275163864,-0.24284680935587358,-0.044530201208608476,0.208724769913107,-0.44558988554589546,-0.2514817864417789,-0.2513776016286795,-0.14513482258013197,0.36202334040110923,-0.6764648016881631,0.20565437385348678,-0.6456241735668671,0.310245649077609,0.36945934067876735,0.29796651060479995,0.4188415461269519,-0.12328342209406011,0.6428175027348032,-0.05854156902670161,0.44717001797953004,0.9232377851670047,-0.09761215798227404,-0.3789853627344867
PART,-0.24480875680509925,0.291747796025353,0.4707935179218482,0.3417794938018385,1.0,0.09809697429325366,-0.10478974879008503,0.2599793907267222,-0.1588367941959355,-0.4631994023209499,-0.2993710649437776,0.07276420432798421,-0.1874813657889358,-0.2542473797764298,-0.09827006732661758,0.4862723547914902,-0.2580387068278667,0.415251433297646,0.044814597246622914,0.3911210568705065,0.12670193006074937,0.15678824519316106,-0.5975176681050521,-0.11631232937853614,0.08299014290549912,-0.5307829495922542,-0.41578431759091583,0.22261523539955994,0.22794657161658965,0.17890323728531538,0.4176820035427737,0.2525948051077995,0.08901423115279689,-0.27380003824249677,0.2475406323014787,-0.11242460539017964,-0.8077517498246138,-0.0006839675100720942,-0.40419123079470953,0.2685777654052303,0.6629018323034341,0.46315490034790047,0.3937849707547304,-0.3050833524252259,0.10046374415008236,0.03524959580762737,-0.41768644372722397,0.5111918434598868,0.7404345656587893,0.2366634917134042
CCONJ,-0.12344395837596153,0.11545556881146889,0.5257570700788599,-0.23109292539937698,0.09809697429325366,1.0,0.16287956809337242,-0.307978660476909,-0.2507203303724825,0.08991139041797074,-0.15528566014029194,-0.628549420009035,-0.7301318290290588,-0.4345069493522647,-0.3166963727328617,0.2328880854423214,0.277287694430175,0.1573600723015637,-0.6220034454404048,0.19357847859342506,-0.7518007292184502,-0.3802895801484155,0.5284572504225438,0.12987901325485085,0.2441381850556029,0.4149259966191002,0.10824907261500678,-0.06973925689383069,0.9721133910106013,0.731508807761291,0.55882065787096,0.22039552999698095,0.21082070827177166,-0.6164669343284658,-0.21999037657260082,-0.5711163422846453,0.28869752336291954,-0.32441992125743396,0.17036810075427103,0.6137591347159002,0.31060375919733463,0.5243061996720418,0.201289661835362,-0.8331503107492368,-0.6931016301700101,-0.024127715715329092,0.3348455198568609,-0.34627130977008896,0.07425723178138442,0.002413745776231427
NOUN,-0.2635768613972373,0.1507826763638697,-0.19380326722845456,-0.6238005007599932,-0.10478974879008503,0.16287956809337242,1.0,-0.7507338217204924,-0.4686987446780702,0.3012978672342871,0.5041616912222369,-0.721862923369536,-0.5144667264997168,-0.18961988090853163,-0.5140593034485692,0.02181483719039815,0.39962404685192365,0.006259833953563124,-0.18779117876959353,0.2267528099773336,-0.1629225896677656,-0.7446299983713301,0.34285955545430824,-0.13315906418634368,-0.568966254551075,0.30522981530719534,0.7078211975098092,0.7620224006327853,0.10354627154836535,0.10347718645574984,0.26244911991314906,-0.2482865232339873,0.6037674987755789,0.13695044938284714,0.024492163348206003,-0.5809663695762672,0.5850679853119892,0.08059178971769453,0.27364680893232207,0.1999292206839563,-0.02121213488314008,0.17219390052561911,-0.5918146065081302,0.03835388497987237,-0.5753709564134487,-0.23582214989771239,-0.3442738571164901,-0.6232352868756379,0.47444404626396974,0.37704713897359887
SCONJ,0.2915385219921877,-0.15750035195653364,0.40746504492073665,0.6944870054139887,0.2599793907267222,-0.307978660476909,-0.7507338217204924,1.0,0.3051086986228869,-0.5025900837046319,-0.6582123481162946,0.9122787867557506,0.39760888497942914,-0.29704497580029576,0.03221251785312394,-0.17394150562113078,-0.8828882010939235,-0.024687571231950485,0.035719541051644994,-0.25189415850826685,0.4988387937297116,0.9885458568621326,-0.49460023283907806,-0.2968349517680237,0.3904413567637297,-0.4120288682591516,-0.4469296042799647,-0.5143056214974583,-0.26111053911715454,0.09295111280309566,0.15768365951476657,0.12759229242265305,-0.6652888351533223,0.244605815589506,-0.4323466397177673,0.3924853491994448,-0.6496691554501556,0.1100990126846123,-0.4270626221091308,-0.026171548735069626,0.24853064042884815,0.10602219529313445,0.7264664262380461,0.0972543786575116,0.6894940574875086,0.15718833308892463,0.27817039463400045,0.7709939563186755,-0.056321134217842156,-0.2884872848013661
VERB,0.7920278333809145,-0.694430923040912,-0.5432717727678708,0.06581257196170175,-0.1588367941959355,-0.2507203303724825,-0.4686987446780702,0.3051086986228869,1.0,0.44103161786937956,-0.2894748967131875,0.30888804232924366,0.7831266644774574,0.18112862808347172,0.3767946724377701,-0.19736536431240265,-0.156520061959618,0.5842686902712576,0.02520623906576289,-0.8099721830843739,0.21999982911806773,0.40309582075720907,0.014139569842745947,0.17191116032673162,0.7483286775713874,0.19943450576230026,-0.49535020809272223,-0.7632436666176117,-0.3053035499082661,0.018801287345902813,-0.2919921553967626,0.29132161063044376,0.03511361800443874,0.1064803691553818,-0.21217860973697517,0.6514805641896674,-0.07610144640539106,0.0601209298343256,0.3826475439944227,-0.7232204108742188,-0.6975560772783176,-0.02094641990199984,-0.11882424413767248,0.1973439325395279,0.12775191035613856,0.2283285484976703,0.2273652446295346,0.04621345434763654,-0.5567518964090428,-0.7735131816157597
ADP,0.55584852104189,-0.2897125371745533,-0.6413026228248871,-0.6916308250925353,-0.4631994023209499,0.08991139041797074,0.3012978672342871,-0.5025900837046319,0.44103161786937956,1.0,0.5733782001561788,-0.39920960435649605,0.2822816012585263,0.027944586064575925,-0.09491913561755647,-0.5121696579127225,0.4896640006663067,0.1346676204873346,-0.00788031941568899,-0.42120771437571974,0.04902466587280958,-0.42284912921087714,0.24271709895590543,-0.08613773461770707,0.07136752790595205,0.8409029478251941,0.31545407504459855,-0.2265624325458185,-0.010338831689107235,0.19982858617965463,-0.3874642940451121,0.23225029873960937,0.1843426110876114,-0.04035576578472154,-0.06141721394026543,0.2964383878617669,0.6040742259929166,0.31228450735208124,0.9799971931352596,-0.5177788449329341,-0.605043079995111,-0.28184872270881434,-0.6750007021659146,-0.05106905057937407,-0.6762228875551776,0.5186540153342745,-0.13263263222170715,-0.6218072877229216,-0.32630302569012654,-0.26705898063648553
