,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9581300225394288,0.09430114847405113,-0.23616157712940428,-0.08300021829695116,-0.3522443647535956,-0.21172345066802684,0.2813951420851635,-0.026355903879726843,0.21440270654089372,-0.3281057794181036,0.6265824153302788,-0.08314585182149789,0.17466290070365365,-0.894591636818862,0.14976984133851645,-0.20180714136617842,-0.33838774859833753,0.20051745898694412,-0.9885470187973159,0.42055786830333475,-0.07135023536807036,0.04059901856880791,0.21695844118494848,0.4306683192548837,-0.07205202042554132,0.3603869496483882,0.04377498785359638,-0.05664818463518542,-0.40346863043431014,0.3010162244976293,0.1496587044480445,-0.1681325607928315,-0.3590067930384727,0.6432741156658272,0.3493437908103967,0.055459018306080486,-0.050603537496189684,0.3776616168661862,-0.44060774268443165,0.2347793286262893,-0.045279721191938335,-0.26128425297734653,-0.059884050707617265,-0.019133051329132372,0.5222727757126031,0.5532018675233104,0.09181146927079999,-0.04931457239304899,-0.975423045226708
PUNCT,-0.9581300225394288,1.0,-0.21282207488598484,0.10821630019675885,0.021781654280978027,0.18437307440461467,0.31996569908267913,-0.4310581308763487,-0.22406654452623376,-0.1495026828177579,0.5240925727706368,-0.4505165554250471,0.2728320823923284,-0.22429941491643815,0.8792531276883088,-0.12110826851468004,0.17032706839398545,0.29199000857474416,-0.07568440457358691,0.9318690926366534,-0.5480042808835576,-0.13470417031309423,0.1680043534801452,-0.08891007588921551,-0.5345585467592533,-0.05135692750536699,-0.10760833313925917,0.018158851521835603,-0.037697986728736727,0.28707815534381953,-0.27263063115513575,-0.17762912412850923,0.05944934137023112,0.2656583943375607,-0.7476465066836258,-0.5463591654302958,0.028338314608308515,-0.06472049494731502,-0.27615451991824175,0.5015207965850448,-0.2580104329819026,0.222668266506686,0.10969840895418032,0.21480486889191697,0.1354723655837229,-0.6248795624515378,-0.42263278180046904,-0.20952758379608988,-0.006525963105509795,0.986224445802022
AUX,0.09430114847405113,-0.21282207488598484,1.0,0.2692143533875312,-0.03440883751961416,0.29609130429201286,-0.5662445541221451,0.2757289066720737,0.20676308688079212,0.048327716110928516,-0.4040987095142772,-0.45234016590238163,-0.43976636571333205,0.48651480125910423,-0.4221246790503483,-0.41317414827767823,0.3670559012595132,-0.01873091103541136,-0.32067121726921144,-0.12030149700126579,0.315722812219918,0.26099655447751285,-0.3030823774334338,0.2917204991884388,0.2394645760721033,0.21717953541972798,-0.17694478388471546,-0.14731711551037888,0.5564488996424996,0.1590804173885272,-0.15289290255670882,-0.5892723800964766,0.4461209154275385,0.13536657045914136,0.19108200034445355,0.6379668121110225,-0.30386381516649297,0.43786874873468706,0.009599706092145737,-0.5526167406252122,0.46956369175837437,-0.19154574182712172,0.3922250262049117,-0.6016508510488335,0.1962904374683867,0.5353854441456078,-0.5174810113614216,0.3754107844902875,-0.08803919433205588,-0.13376196678262198
ADV,-0.23616157712940428,0.10821630019675885,0.2692143533875312,1.0,0.5465474742217391,0.5934194641874019,-0.6712950009703474,-0.07291712958407044,0.5099195641611272,-0.7629049196494243,-0.16311175647017287,-0.22637990691822402,-0.1548429604588475,0.2642319811182494,0.18072812279593342,-0.35318113007933855,0.31379877708423165,-0.19523329821080845,-0.544814050160339,0.2791259796196645,0.20883947505448008,-0.024722083669647517,-0.3051815596949422,0.17776796082842555,0.6150447163314617,0.6979077290495186,-0.5029081656477777,-0.6648200381269532,0.16091536974359602,0.5610476422286215,-0.14621606211503627,0.21631394524215689,0.007118955991009627,0.4202901084654588,0.47120041930053785,0.3049770100246645,-0.09647980946646241,0.4192192202547576,-0.7519469451994097,0.039249779020456774,-0.19389516106195193,0.165910346279368,0.5102305341789235,-0.008132050597391582,-0.41883899955108633,-0.3891502018691956,-0.5304317698203338,0.685527888148836,0.11463429629792846,0.18277303006700255
PART,-0.08300021829695116,0.021781654280978027,-0.03440883751961416,0.5465474742217391,1.0,0.6078178757343741,-0.2927300299375546,0.4859580622069981,0.19009496711474652,-0.6789410574303311,-0.5208005082828489,0.21658751151731082,0.5108275048878068,-0.5283489717787154,-0.09377257689690224,0.031765910579224836,0.7440651827791385,-0.39342645513529545,-0.5766325251019487,0.19188606527476948,0.46123669554796043,0.2518888651426346,0.0038133620083466895,-0.17653540812395008,0.08172368613144149,0.744203020234382,-0.5266964375103468,-0.46493385127328335,-0.5727935668467992,0.5406614341657338,0.20199269985333448,-0.08492166069868265,0.018487878522167534,0.21768125445750283,0.1107588397135287,-0.2591730369051877,0.4300443582379203,0.26219357121055015,-0.5778132119054209,-0.2824560747191821,0.06261198416696503,-0.23035017928125373,-0.1743404807488401,0.20448916365610043,-0.6698871576553775,-0.5298019242016235,-0.5620968071961101,0.7834124208463242,-0.13965956576272606,0.025742119519679318
CCONJ,-0.3522443647535956,0.18437307440461467,0.29609130429201286,0.5934194641874019,0.6078178757343741,1.0,-0.5694018233226131,0.45346220827577466,0.5813957421954583,-0.64700305931411,-0.4456007721466722,-0.2032535561140298,-0.13104510074036468,-0.30970248601825784,0.12824168999233046,-0.5418113419725735,0.7113940357364295,0.08731272464995905,-0.535378400962974,0.42665576792918775,0.6570987351733882,0.6733105567609582,-0.3975124197473918,-0.5033520022874604,0.2789316005951405,0.3642186036562909,-0.6898856511371003,-0.4835461432417975,-0.0021054576405082556,0.9595477929213934,-0.36430785890422773,0.03195745400402806,0.66743798274835,0.5546645523420122,-0.04794823464590567,0.07019681811869496,-0.2060910366862769,0.6435362705181344,-0.7482194797431785,-0.2752749453622604,0.1674238465705232,-0.4933457750116946,0.0009989252167893084,0.19263521521081817,-0.7787919623746355,-0.2929101690689334,-0.8305586162852707,0.4452072259852807,0.16284461572802567,0.23016641600857163
NOUN,-0.21172345066802684,0.31996569908267913,-0.5662445541221451,-0.6712950009703474,-0.2927300299375546,-0.5694018233226131,1.0,-0.26167296261866696,-0.3399300470711796,0.313626178768272,0.24410374810889762,-0.07003576756385217,0.3054453108770579,-0.2173355153157387,0.3412373932301987,0.4018076407121568,-0.4185046911438949,0.43756682930342344,0.6374797840421121,0.21956089953550492,-0.6587163846352747,-0.24861725456603134,0.08149583764278676,-0.028261969701595866,-0.8230790429580146,-0.4637138757552482,0.155064410144958,0.8102967992785088,-0.5009843844071726,-0.47623593761231764,-0.013311352328206278,-0.04231574178333048,-0.5043827145611165,-0.01924908294094484,-0.4989684043480781,-0.46933701685658663,0.07149581209610963,-0.3098983107106696,0.31221187451281496,0.5659286379176263,-0.4572005197636305,-0.07851603368900337,-0.09284424138338518,0.0486446608239634,0.43924810773117556,-0.031094117964053276,0.3591408140393935,-0.6008635011344291,0.20533907389716674,0.3017622431897302
SCONJ,0.2813951420851635,-0.4310581308763487,0.2757289066720737,-0.07291712958407044,0.4859580622069981,0.45346220827577466,-0.26167296261866696,1.0,0.2824524979302065,0.0628838717100911,-0.8481173243298902,0.09066760417392492,0.015451842781406776,-0.488795897006528,-0.504010448455859,0.21358119883623544,0.5466657233715928,-0.2959889289554092,-0.5015567949552108,-0.21653056941253,0.7873484963152391,0.8233296830319373,-0.12559617624257385,-0.5846980134963689,0.04032918629373075,0.3755846606451797,-0.48381606930923693,-0.2006717228241619,-0.1559045009817511,0.24796698661547864,0.3567124870454535,-0.2897346175695914,0.5032632046618856,-0.1573419132392646,0.08926091839431936,0.1671080407936189,0.29125403724615645,0.11248280219951308,0.06581972761197036,-0.7840786687313337,0.6310499135729294,-0.7244173707777019,-0.3379052192226631,-0.26958314186384785,-0.5229287877189123,0.31811720133005716,-0.31055786325585993,0.488409949943772,-0.29808650655943925,-0.43598437105596155
VERB,-0.026355903879726843,-0.22406654452623376,0.20676308688079212,0.5099195641611272,0.19009496711474652,0.5813957421954583,-0.3399300470711796,0.2824524979302065,1.0,-0.5101058181880825,-0.5723435190069267,-0.41406510056654805,-0.6968202760392003,0.25062030220705683,0.0654242522389417,-0.3648205860237691,-0.05014456258059357,0.3906990681226215,-0.09895261180274695,0.10802828158522203,0.4347278719626088,0.5473428191671332,-0.8962415230566972,-0.36245050496470016,0.5044902100336338,0.21180289279629733,-0.8031398788363482,-0.08833606426026999,0.1501140294692499,0.5185067866100439,-0.41579640131031526,0.47200981384293816,0.21473293848084485,0.6118751004227755,0.49921489984406603,0.6443952225820547,-0.5699138359528825,0.6413714534379623,-0.6106809179330357,0.07866718658987865,-0.28396106874261967,-0.58957566196978,0.522051009577387,-0.19027730846463603,-0.5334239777455233,0.22554189460207014,-0.3321092261189181,0.21864422365440103,0.5943849944011282,-0.09925325846593644
ADP,0.21440270654089372,-0.1495026828177579,0.048327716110928516,-0.7629049196494243,-0.6789410574303311,-0.64700305931411,0.313626178768272,0.0628838717100911,-0.5101058181880825,1.0,0.22129417345469055,-0.013995156862726085,-0.08990604605292304,0.0608683603349971,-0.1860247504709572,0.5301199115830875,-0.38501738852526796,-0.16168182372000864,0.125371802444437,-0.3226547397506713,-0.24230134296772762,-0.016041755840926944,0.4329877684609659,-0.028856346339644234,-0.31186969070260745,-0.3759337931085063,0.5140480968676614,0.2678928756598794,0.39021808606190017,-0.7329269224394621,0.465438894896996,-0.35842479929917626,0.08052638284632649,-0.7593403532687169,-0.24040317864339333,0.05082178260924599,0.2532329900874556,-0.6882666274098707,0.9654056873362353,-0.26718264410535997,0.4962893417485868,0.12656094321636202,-0.22084689985467554,-0.42502956161287375,0.6089139847261452,0.5699920644044358,0.5470147856564594,-0.4075831137798145,-0.5115947271402109,-0.2223398425237683
