,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,acl:relcl,advmod,orphan,punct
len,1.0,-0.9453135361207647,0.440838167059679,-0.7079791413287966,-0.07271608743948946,-0.4839628520948715,0.4034182614371258,0.20028285743292987,0.20811588662489525,-0.369293796867092,-0.4810049990529319,0.21168968687255357,0.18201571053468935,0.31508832460613234,0.611991496177324,-0.46545406332500205,-0.22189640613837125,-0.2054699783972017,-0.9523513487278605,0.7030320207818554,0.1407004229264723,0.7423105041096983,-0.8513708919444042,-0.10613251377837432,-0.23682559647579385,0.08648434225717289,0.57824521094211,0.41724340497244955,-0.5761062169327432,0.2859864826868002,-0.5244843034439556,-0.09874819134332055,0.6286885554283711,0.6136479730057485,0.366947914882121,-0.17366428747232318,0.6827993001637427,-0.3943010102521576,0.0009624637044559722,-0.3657201752044667,0.271193203687004,0.7079280873371684,0.348067460883699,0.03374121100389058,0.550938716129709,-0.7187911270786214,0.509594949247588,-0.8649322536351421
PUNCT,-0.9453135361207647,1.0,-0.4689881371678339,0.8327692167177647,0.3075234935613673,0.48710128589996216,-0.47164755990153734,-0.4295191892405355,-0.1423342491821062,0.14977807842286672,0.4937387572596881,-0.29548202388675365,-0.3983501229438285,-0.1669523878105609,-0.491293224585518,0.46406239755218465,0.41172698230266375,0.26963376720998206,0.9773478170705401,-0.5610395360011637,-0.29367556800301686,-0.5076831452297186,0.9054154794696274,0.2725870096987419,0.2823883001711659,-0.12956105335883503,-0.7330045392075423,-0.4237140967409352,0.5625885242158561,-0.5395340109571193,0.6160446323811991,-0.08740047507931395,-0.696375321609984,-0.6787867276140825,-0.5474817454986878,0.021322289531544487,-0.7062007356983633,0.23763765933656492,-0.11496493894130762,0.11529389613339643,-0.25986990838166657,-0.603267674790208,-0.20360102446159567,0.01782940643879133,-0.6866219354571464,0.8642333013230856,-0.6082072200036308,0.9717135047901151
AUX,0.440838167059679,-0.4689881371678339,1.0,-0.2184498897272371,-0.10018491435366854,0.0032997337404208605,-0.2229263324951529,0.31866210600653033,-0.1219289993308929,-0.3930669248715169,0.05736034401850451,0.3227906374104327,-0.24807574713598807,0.7308860187807941,0.4800088179583161,-0.3957838072801561,0.0039450996655383,0.0722014023664824,-0.3790874729304008,0.5227077543123732,0.5951115350389129,0.021334303650243098,-0.5773315439812229,0.2840015328750962,-0.248777286772059,-0.5002206520749646,0.1864545851827223,0.4593914795773646,-0.1158068264397205,0.20368773946238172,0.007756777454000744,0.37475966141008793,-0.06496598179886974,0.36467454332864363,0.26977138185743044,0.2109635594508329,0.39211662398227254,-0.6306228216067662,-0.4294546053572274,0.24016755347170313,0.19378895670856286,0.7329890269323651,-0.1577050170366936,0.11326650956565967,0.12229210162825153,-0.3431613101751464,0.17583293781588125,-0.3572016348253443
ADV,-0.7079791413287966,0.8327692167177647,-0.2184498897272371,1.0,0.4437508068063431,0.6947008512356108,-0.7351960923958625,-0.3697296963608633,-0.06305741573640919,-0.21510019606965275,0.8014679849102007,-0.3042929568586706,-0.7469599855728947,0.264366590948523,-0.08507644444170716,0.668970237256558,0.6587394562214748,0.09089348083186313,0.7931013443451939,-0.19944918657418623,-0.0991123313592681,-0.2722885627879544,0.7915551395566303,0.36293226105711823,0.3627456674812961,-0.5539891610185252,-0.9448332682090309,-0.1469745274188959,0.738017686089956,-0.6525718409353112,0.7676086825637425,-0.05617696357523131,-0.8323337522923221,-0.593177754415322,-0.7589891226949348,0.27739013730983,-0.3259689501910178,-0.14504265302137523,-0.1144850860170836,0.08031791988688264,-0.48980734342084054,-0.4345261816270706,-0.1746861035638776,-0.02489729526067641,-0.8625480192885914,0.9510856290924895,-0.2416457712129974,0.8174998776630684
PART,-0.07271608743948946,0.3075234935613673,-0.10018491435366854,0.4437508068063431,1.0,0.5327066471591624,-0.38265790442672404,-0.5183621059651625,-0.32398973065267284,-0.5472185934823401,0.1268234430119336,0.0786412819685047,-0.7029133190242276,0.12593632422423318,0.5052115913567218,0.1483421965169313,0.17807212139418852,0.3579951263796055,0.29320283413867865,-0.14017139801180203,-0.49860585057605583,0.46840856662321406,0.36033998529408884,0.7256432830311176,0.044127767381784005,-0.10190471628743562,-0.5965011370135802,0.3997183635839647,0.4378371539326449,-0.3653875477714921,0.31768806244152076,-0.038513162189556985,-0.3257408531611629,-0.7088983355957681,-0.8237611262847909,-0.3872075152991882,0.14705448311368227,-0.1656435621763994,0.010163636839926505,-0.182239698903938,-0.07790521374683847,0.181546793496465,-0.011985372475171466,-0.24670417943309816,-0.27049448474785737,0.46660221461331913,-0.2114125812644901,0.42193589556002375
CCONJ,-0.4839628520948715,0.48710128589996216,0.0032997337404208605,0.6947008512356108,0.5327066471591624,1.0,-0.6210197734277941,-0.03611263751232866,-0.5742924477820475,-0.12677203988478833,0.6709224616046595,0.0008789365399349163,-0.5807870748225812,0.08314577146473917,0.3311906599896656,0.5745398726426857,0.16875468481953518,-0.041341635836775574,0.539386801094126,-0.4355187760253903,-0.0013327206669676507,-0.28246445219418054,0.4924891208572933,0.4642056866687635,0.01716915071887834,-0.5164091685283865,-0.7141011041236197,0.5030157874397438,0.9816822883320152,0.002424396717451676,0.6367237644998577,0.4920088263872323,-0.5626716936601921,-0.6722153207642115,-0.7428739972867221,0.4465266527089863,0.22659467563724472,0.06932994091860399,0.36123629088772574,0.5989408522741959,-0.4058148152737056,-0.3353067882720937,-0.4446488768295807,-0.5270158023657728,-0.45029090384713294,0.54225070870605,0.17646657324269927,0.43427948917007864
NOUN,0.4034182614371258,-0.47164755990153734,-0.2229263324951529,-0.7351960923958625,-0.38265790442672404,-0.6210197734277941,1.0,-0.12859040169225278,-0.1559712387272409,0.5174814070285283,-0.8519135649479145,-0.36519880579547387,0.8398526112365468,-0.4408173822786095,-0.0493466062978056,-0.6611542936113888,-0.337160978634663,-0.4183839110452367,-0.4538955589535375,0.05766719127805131,-0.3720987175770081,0.20689750180673733,-0.5916556752743121,-0.2377115429051425,-0.6431693397592867,0.6749181868985843,0.8095103000195167,-0.01441519808810387,-0.565372162159008,0.43886464407604164,-0.3110143197533668,-0.23553243227637527,0.944176962184285,0.5808241514805575,0.6529210698817458,-0.22882010185510354,-0.05409288548195142,0.5305305512749466,0.39063460344189005,-0.2513247840370918,0.7420332847023164,-0.011027112386717348,0.45710908424490004,-0.264527832461043,0.5514957136757324,-0.7476563220990204,0.0023222353833239596,-0.4872917051314933
SCONJ,0.20028285743292987,-0.4295191892405355,0.31866210600653033,-0.3697296963608633,-0.5183621059651625,-0.03611263751232866,-0.12859040169225278,1.0,0.18005405187758525,-0.03736143597344997,0.2275129451685828,0.6292240640046592,0.26951446529176326,-0.04458355984639805,-0.1267326922265297,0.12622378090657482,-0.3534709895837874,-0.15532474948998734,-0.3386368071745092,-0.09540772652084618,0.8512301538295903,-0.24993380449665492,-0.2877828584722072,-0.6672651946047622,0.2313049368605582,0.02908190108666164,0.24818566723261995,0.06695377916389667,-0.07827405042120722,0.4957209794953573,-0.5110972361011875,0.6927051276005327,0.061314907348446614,0.22293014622517948,0.26816023663238997,0.2509217006174232,0.4839928033584945,-0.1693972550593608,0.03665727162147007,0.5755782651450249,-0.389762730082722,-0.01566127335951278,-0.18835259288112638,-0.003434322271780803,0.5747628178233327,-0.385834046464641,0.5416454599179609,-0.5181025119455916
VERB,0.20811588662489525,-0.1423342491821062,-0.1219289993308929,-0.06305741573640919,-0.32398973065267284,-0.5742924477820475,-0.1559712387272409,0.18005405187758525,1.0,-0.2586196332927849,0.11377226349668401,0.2053977897403581,-0.02790840046112143,0.16306277464511662,-0.36702560388188077,0.25556581337496853,0.15832545713839608,0.2099750495657838,-0.2786049422620105,0.4637167923020273,0.26529721973062254,0.23504667197633122,0.07756848524671554,-0.5736897248630323,0.750630433121665,-0.010392868749541623,0.020887025952178947,-0.6471367682460454,-0.5521754625897373,-0.4424635987278099,-0.4967587440528352,-0.5114249536192418,-0.15738656845714286,0.26636391764823875,0.16731424541890083,-0.16775378456766724,-0.10809176425091367,-0.45341520942154595,-0.5100992939977755,-0.5707358193421992,-0.46560151628788754,0.13650852785506207,0.16948234378708424,0.8129375421324359,-0.050153302859883175,0.1377216184774864,0.06616353287987436,-0.14446681980695578
ADP,-0.369293796867092,0.14977807842286672,-0.3930669248715169,-0.21510019606965275,-0.5472185934823401,-0.12677203988478833,0.5174814070285283,-0.03736143597344997,-0.2586196332927849,1.0,-0.3340017250227992,-0.3200695357028839,0.7489576304936726,-0.6871388238131456,-0.47082688389233734,-0.04416805917882626,-0.4518491554408185,-0.1742730758008926,0.14301131760446278,-0.45686486213520655,-0.2709079339601909,-0.6343383710425198,0.0759979337987757,-0.22518105326112067,-0.3037181352774883,0.2664422123140607,0.4582794912796768,-0.18373892001342534,0.011707730293001348,0.5224891791763521,-0.008708488334358987,-0.07726491168973719,0.31773061405544756,0.12122205611054883,0.5296146803433849,0.3410328897516385,-0.3944344749036535,0.8764538550496876,0.49912679534570575,0.3114177659083873,0.26504066089015793,-0.5078610608632632,-0.3127010792628767,-0.13315307497619086,0.032302331706000914,-0.239995296320342,-0.05747378521300767,-0.0067935168701144626
