,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.7053360188574057,-0.2169682192980441,-0.46371913510310764,-0.10265794043812944,0.41018505836049407,0.21676716882529168,0.43410371314947327,-0.26581165294511033,0.5328951535869882,-0.11298930755259186,-0.17543757784152095,0.4367140289792425,0.010804409937017824,-0.6181700878475112,0.3769187189827275,0.4164604977271589,-0.5299746503818775,0.08991937694422898,-0.8687481869244078,0.1032756205979307,0.4407081419684872,-0.08390811279091354,-0.21270145052629436,-0.11056435023303497,-0.08571762535199275,-0.24525260353208803,0.24360336986438078,-0.16305523625155233,0.43190710566874496,-0.05225736492133584,0.35482413554480363,0.2435163011552311,-0.021100323937505293,-0.23312902428421856,0.0540133586088974,0.6624695128416107,0.6507904669518606,0.3880681662440956,0.2543300417259448,-0.18654458208506897,-0.286032030216543,-0.2776810976758409,-0.3166457299526911,-0.10927158918694836,0.13541353607079398,-0.13617419894604216,0.03918052976920873,-0.34414427341345016,-0.18482097112216472,-0.7960544915855602
PUNCT,-0.7053360188574057,1.0,0.23405313653042156,0.7223180213410348,-0.07955478777380984,-0.14863825771859773,-0.258236101444225,-0.3931251517136894,-0.14391637458588113,-0.03211803029434017,0.2941704236439259,0.0932697408283025,-0.23307266518548272,0.5024051194368533,0.8120026741524596,-0.15808073621834842,-0.1502283984074908,0.7663491038097154,-0.3267217882206672,0.9020289907416106,-0.41930623856446697,-0.36991739730027245,-0.45276221533191235,0.0635326203496031,0.11223201569259679,0.36748376775035757,-0.09252678848499823,-0.1579319651253377,-0.2763209383911554,-0.22374136074377737,0.10985427821097637,-0.34994765151830176,-0.14233745465828787,-0.0296788757713335,0.3654357634175432,0.3538776104069424,-0.4101432501659271,-0.31737963221980525,0.14280014185023893,-0.29393976521225573,0.2502444874335981,-0.05934952609074014,0.1971697766428127,0.12494759317632322,-0.11671723657650758,0.26433256862018123,-0.05523780174201144,-0.10335570032039366,0.4798227568135949,0.05910340105502447,0.9538719554996351
AUX,-0.2169682192980441,0.23405313653042156,1.0,0.3326356327223841,-0.1486569154786736,0.06966676447345804,-0.34999181763395637,-0.1479847053581534,-0.11847010355659579,-0.23526419409141164,0.09262453326817954,0.044248648363824375,-0.2295217309281203,0.34087608076718995,0.34038215626832596,-0.11411985841576867,0.12652398766654027,0.23048775861965037,-0.560752644767422,0.23722539589181077,-0.4171139329127309,-0.3227072353365952,-0.2762026462219751,-0.45465868106050134,0.6794801796644185,-0.5029360864725241,0.6007070299756143,0.07646956265798195,0.15127219402284345,0.008540407008317732,0.522633881040804,0.39191243674111964,0.23068452547710522,-0.5385835901709722,-0.05791639600148451,0.09530284092675861,-0.0216519234138249,0.15176639073325682,0.06463811953604125,0.06013437813236557,0.6087641064576643,-0.19551735599866593,0.3804369486573658,-0.3501040418910827,-0.23718469189554983,0.13989456519526436,-0.6834684752639753,0.12625118303988994,0.2534469025337559,0.4118458981987473,0.24944518827608855
ADV,-0.46371913510310764,0.7223180213410348,0.3326356327223841,1.0,0.31180732937812183,-0.09956465100094335,-0.307936380853969,0.04556934077708121,-0.11488905131432468,-0.4006354044610495,0.6686135715487361,-0.3106063203370865,-0.19817633571547114,0.5609800843212208,0.7971619221320736,-0.396008700790596,0.02054174213323465,0.8720135350433926,-0.26172520706431346,0.546481775766619,-0.5110764887783887,0.017087919492653154,-0.7278623651596858,-0.3496913034683318,0.26792146143840884,0.09153359249769505,-0.10919193221576232,-0.11290365835616989,-0.0002908003791110281,-0.1472716522209164,0.13302327206310052,0.2478974192910379,0.04215560272650455,-0.04809711485458816,0.03505081579110181,0.35434917085924095,-0.1175744649126821,-0.20533448290246456,-0.24968056428380359,0.09368654518060873,0.35607614094266976,0.20159390852441975,0.12081802508988321,-0.26456421874804725,0.12737071176300538,0.2223781842857718,-0.06361186857465473,-0.19184276670431602,0.8566981335829321,0.011501003434652823,0.6385116135623359
PART,-0.10265794043812944,-0.07955478777380984,-0.1486569154786736,0.31180732937812183,1.0,-0.5215779845943159,-0.514928945274661,0.3361027832572862,0.4859933415192606,-0.5002531148095632,0.054655514731605695,0.10473942817722365,-0.0772529578426666,-0.17203589024257987,0.2989423137092483,-0.08517206631105112,-0.06655675379269345,0.10414921297275091,0.6036522196316427,-0.15057119306936165,0.35377916572490964,0.3366905110620278,-0.05225516525154753,-0.39050328059515477,0.11630460800687643,0.02343002869078111,0.011202120919265061,-0.23211484889646253,0.2662518224791689,-0.4867128753779821,-0.4703399530471007,0.2579618163938616,0.014613439003152193,0.12436159296412312,-0.1780136353414001,-0.5048342761694177,-0.07236524013489676,-0.5450748303899524,-0.610779457909203,0.5439775859148596,-0.1360233477807698,0.3239236903700943,0.02399470421015768,-0.2768072587336292,0.07543484015839236,0.0695371860483852,0.023695352723853983,0.37988027540443187,0.7145640800491607,-0.49249164114908345,-0.10093022642450672
CCONJ,0.41018505836049407,-0.14863825771859773,0.06966676447345804,-0.09956465100094335,-0.5215779845943159,1.0,0.08382202556455524,0.07125461301518743,-0.32073526257765494,0.4165100811011412,-0.08256074933579244,-0.47030924675442987,0.175482183981352,0.5947402784952239,-0.3329244562492433,0.025829867856904637,0.3035493594933296,-0.14950290414737716,-0.20857400462967055,-0.0988708785092819,-0.46001979686812133,0.02833763095493211,-0.32628825842399173,-0.04066626580847768,-0.3152694197530246,-0.33376772842677704,-0.2102753787285968,-0.02839475660270585,-0.4426973457340672,0.9875068550049225,0.28578199219530837,0.043236138479278825,0.08843962613841994,0.36356205006752235,-0.6220076001183953,0.437391773030633,0.33100820893658317,0.7241137571498095,0.4729658523292155,-0.06559543704443055,0.023197270625865987,-0.22971707806842195,0.1227702527889668,-0.342909288729061,-0.3822314869109894,0.049898952859636594,-0.008472071951573842,-0.23421565391479596,-0.2929521601021033,-0.06718730769233795,-0.19131324907202762
NOUN,0.21676716882529168,-0.258236101444225,-0.34999181763395637,-0.307936380853969,-0.514928945274661,0.08382202556455524,1.0,-0.20146600462133643,-0.4354859748914412,0.10553398397975071,0.15607716463377863,-0.33365725289101217,0.38151090134159804,-0.3365674488048718,-0.33486491459794493,0.11983698623892823,0.021272808099370186,-0.06927612922157264,-0.2324908600485933,-0.2774217371425829,-0.13215928515740633,-0.08268356711705922,0.3657821030805022,0.263308199596817,-0.130910435108269,0.3752801405621266,0.02161055709941004,0.4507122426080028,0.12965439933580142,0.14431079321883167,-0.10671183567892822,-0.053319643725414104,-0.3601113824579518,0.0400844622024049,0.12483128610445826,0.06383944137973942,0.3523482312069676,0.21206959762643457,0.03816212025470209,-0.3989367739873274,-0.3631870652610483,-0.04444033545603766,-0.1288365469631697,0.5054741430819505,0.6383984286825736,-0.633337436898138,0.202884685105682,-0.6690026474549146,-0.5984915720020159,0.24854876924440186,-0.3084750435945039
SCONJ,0.43410371314947327,-0.3931251517136894,-0.1479847053581534,0.04556934077708121,0.3361027832572862,0.07125461301518743,-0.20146600462133643,1.0,0.06439113050849274,0.034828417840163065,0.47647306009345997,-0.1652529789344392,-0.4887368813752025,-0.14591966301650444,-0.42414247561348706,-0.20018817026364163,0.4867292743282313,-0.20035362112796187,0.42197963674266703,-0.4922075997628919,0.4660301861900725,0.9732546596857004,-0.45552434189585117,-0.16242238266184672,0.02890348659954473,-0.2921996949571424,-0.4960189528533385,-0.5181019784555105,0.4551889816631961,0.020263653587344263,0.00384903336714602,0.33625251092210434,0.4090991500070422,-0.27888709085424906,-0.05085022243239645,0.3547148471997477,-0.15980567817163482,0.0018385680625127394,-0.07342399638235371,0.08195637051289567,0.09358558132681256,0.07450258185439304,-0.449921027716595,-0.2109844609192451,0.22166762633385334,0.329475823342811,0.16545300240407532,-0.015684273675916665,0.2748923813059133,0.0994782545569287,-0.4073519078085243
VERB,-0.26581165294511033,-0.14391637458588113,-0.11847010355659579,-0.11488905131432468,0.4859933415192606,-0.32073526257765494,-0.4354859748914412,0.06439113050849274,1.0,-0.29209929211925606,-0.3748402751753993,-0.07697008256902726,-0.22921340103270588,-0.4188235912693739,0.11998667778819842,-0.5390219241374505,-0.6979894028032739,0.04377266592536634,0.24840433933180428,0.12069800195507245,0.5040845983868977,0.04903543353186623,0.29072860037345316,-0.16920836113503762,-0.45179898672280383,-0.16615854090783572,0.20144448916982977,-0.3335488103777192,0.3020260531875525,-0.2660210832371127,-0.2037211318054385,-0.22902080400290498,0.48043828534427446,0.35237101459585785,-0.10866365137308662,-0.3472380110881866,-0.3430619755395663,-0.4031545240185619,-0.5452232636266494,0.5572308650151558,0.3167487077594321,0.28489632303560597,-0.3914563573185722,0.17947603262287667,0.005847685631228336,0.25210481580993926,0.18221361342997977,0.15705481257314552,0.20501087736836937,-0.40699312738603427,0.08633759252370445
ADP,0.5328951535869882,-0.03211803029434017,-0.23526419409141164,-0.4006354044610495,-0.5002531148095632,0.4165100811011412,0.10553398397975071,0.034828417840163065,-0.29209929211925606,1.0,-0.3147781844420608,0.1280103777224151,0.14481704265957077,0.16704409790212313,-0.2945697574807037,0.4823695484774034,0.2893441849474578,-0.2767648116310592,-0.02256836689374247,-0.16929096832732524,0.1252260714642241,0.11804201183965438,-0.15476413561568939,0.07121877691766915,-0.29441640828649235,0.36052606542807875,-0.32451018930728875,-0.1250908501035642,-0.4335825076601963,0.36034830177781113,-0.13746309879715918,-0.4707256902287704,0.10058987632442988,0.004405938329666795,0.1521581834322481,0.32275085294023437,0.10005608032019206,0.36540573648190333,0.9084492318789392,-0.2920558566321555,-0.1565252850277051,-0.728440972559697,-0.21705368552223137,0.1866135666022509,-0.34280561350629596,0.3727457806285885,-0.21046529529195862,-0.06623078170690043,-0.4350118103142203,-0.2058728578160509,-0.11053839684651262
