,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9528637659285669,-0.12715680928705664,-0.9357817380133158,0.8047577269573748,0.6239425940439008,-0.2154936499571489,-0.9938761450670229,-0.057006924733244736,-0.3523639111845395,0.1054815803823055,0.8712873288121525,0.2871929885926268,0.7447038484942179,0.17137714453130126,-0.8672946033294165,-0.9679627051510444,0.9729223296145858,-0.9984507088680107,-0.49029050397096435,-0.9018479413883532,-0.42803834062000684,-0.9873193414544867,0.9722972987539861,0.8935448535787177,0.8502052636895413,0.8239483318412262,0.907145192467757,-0.7226013288128044,0.9923050602953714,-0.9077582881053077,0.5428577898861349,0.7138686686107978,-0.9554433437945117,0.3828428516177476,-0.9987383648181377,-0.22753173568317767,-0.3828337652706092,0.41528148208665994,0.7120654705432725,-0.6516056756119709,0.7436998920139927,-0.9732775684816978,-0.7226013288128044,0.9994764517643921,0.39872877323580613,0.45588057493200274,-0.9638755379162757
PUNCT,-0.9528637659285669,1.0,0.42209880721471393,0.7847003220533872,-0.5867261021731385,-0.8316291617165079,-0.09093412469221951,0.9805540422787795,0.35722493094249297,0.051815363236861756,-0.4022154834382972,-0.6813182600886685,-0.5642729355447829,-0.9120879695566133,0.13561078901150125,0.6753832870002539,0.9985181316725342,-0.8569372439160524,0.9682696097056471,0.7316097631798134,0.7282538239526928,0.6820618190939528,0.8926173137545615,-0.9973855490066036,-0.7152085002798662,-0.9698543297594773,-0.957035795317215,-0.9920612617419042,0.8982693847035681,-0.9079656240613002,0.9922437092479952,-0.2624679916889025,-0.8926833622475147,0.9999628563220478,-0.6450806968340308,0.9668971546615045,-0.07863380278262101,0.08450366537884757,-0.6717061486663739,-0.8915214314795196,0.8510367503815816,-0.5058186547611423,0.9970708778605323,0.8982693847035681,-0.9621812430045089,-0.10169688151922278,-0.704429162972602,0.9992531881471284
AUX,-0.12715680928705664,0.42209880721471393,1.0,-0.23072679123603165,0.4864544786964489,-0.8544652427048293,-0.9411770993978166,0.23598096241704514,0.9975184292959471,-0.8834608435828999,-0.9997618699051838,0.3759993516112135,-0.9866158744704308,-0.7566717394959477,0.9554164471861201,-0.38347200609550525,0.3721388345403106,0.10554241473447305,0.18215147464004328,0.9268280813377234,-0.3138703270971699,0.9508524041214576,-0.031913726713132536,-0.35548445312093485,0.3317091339592226,-0.6302873231318581,-0.6668357434415307,-0.5327515284438441,0.7775374374479901,-0.0033663426828910875,0.5315160732654999,0.7639794021915264,-0.785368435578376,0.4142696382214862,-0.9649956196774894,0.17680507766501596,-0.9369339964602773,-0.8676383590354582,-0.9551145161907244,-0.7869577314315637,0.8352564723889597,0.5685205480756902,0.3515266872121981,0.7775374374479901,-0.15918223634993373,0.8589236300897487,-0.9407844798565425,0.3867543012113894
ADV,-0.9357817380133158,0.7847003220533872,-0.23072679123603165,1.0,-0.9623701734987599,-0.30834345998828466,0.5459510775117082,0.8910911414095015,-0.29866042279737465,0.659702156165508,0.2519051443045395,-0.9883715242825305,0.06897665714809127,-0.46157021954545485,-0.5077351925343832,0.9871110033754555,0.8172711386830871,-0.9919355366779105,0.9147132179902395,0.151510746522085,0.9962662110050635,0.08190270911107317,0.9798862979181451,-0.8274433494266514,-0.9944621113328332,-0.609990434932555,-0.5712411743778262,-0.7005180438968338,0.43247102400857096,-0.9722363565502585,0.7015586408347588,-0.8041016363700697,-0.42112079738318603,0.7900138381228415,-0.032539345378436994,0.9168958616595078,0.5562519419660802,0.6839681775593297,-0.06787343316855378,-0.41878695382316194,0.34230848400460345,-0.9316452009280366,0.8298118243185598,0.43247102400857096,-0.9238842195273821,-0.6964631038618132,-0.11279422528943811,0.8080664120429772
PART,0.8047577269573748,-0.5867261021731385,0.4864544786964489,-0.9623701734987599,1.0,0.038239266082818725,-0.7530770150594502,-0.7342364433659652,0.5467613125851243,-0.839099080281131,-0.5054047259659629,0.9924998865923963,-0.3374757424851467,0.2031381918283663,0.7227384185714645,-0.99345496454923,-0.6299252078862225,0.9201676830326115,-0.7704808433311329,0.12279536210513209,-0.982237571354346,0.1920081920840305,-0.8887854564956353,0.6437103647482625,0.985599581516459,0.37170595027802755,0.32670455358197364,0.48023323950793845,-0.1711817376845258,0.8720634001333971,-0.48151266073619453,0.9353917637605128,0.15880297052681888,-0.5936837941773363,-0.2402830847262271,-0.7739338387320284,-0.7611415039798763,-0.8564694937152728,-0.20579585880966372,0.15626348027718917,-0.0741021682944182,0.9953301995562148,-0.6469424112570785,-0.1711817376845258,0.785130576351576,0.8652552810710212,-0.16145792502848452,-0.6175782097125027
CCONJ,0.6239425940439008,-0.8316291617165079,-0.8544652427048293,-0.30834345998828466,0.038239266082818725,1.0,0.6286540581456361,-0.7064739672253413,-0.8157683865385257,0.5114942223621011,0.8429250076833701,0.16010861082892047,0.9277409195838118,0.9862017944405146,-0.662979216331312,-0.15212993321038917,-0.8001756412613337,0.42642468175199316,-0.6664595408759513,-0.9870105547158463,-0.22506436071305028,-0.9733332910266693,-0.4919747711793558,0.7893245147075465,0.2066609525770029,0.9418852973379963,0.9569282057832164,0.8948630661854937,-0.9910647412083818,0.5223820441101003,-0.8942108086241075,-0.3175858106296043,0.9926606959025385,-0.8268119089868198,0.9608046489145956,-0.6623979614543387,0.619005994163854,0.48306933697933213,0.9700097286399814,0.9929684041584348,-0.9993548900474098,-0.05839742403662008,-0.786719753378087,-0.9910647412083818,0.6489001119239515,-0.46787813073385986,0.979983772083943,-0.8095499691353357
NOUN,-0.2154936499571489,-0.09093412469221951,-0.9411770993978166,0.5459510775117082,-0.7530770150594502,0.6286540581456361,1.0,0.10627035331337314,-0.9626326018452663,0.9898073724865651,0.9483269589515179,-0.6669995453942136,0.8734794866665813,0.49123583256816256,-0.9989890197389913,0.6729961113946574,-0.036604799719255926,-0.4353604872981772,0.16082376846789587,-0.745427515122508,0.6162450840317341,-0.79028739537607,0.36777804312773843,0.0187319094970041,-0.6309786431200264,0.3308686539422409,0.3757956440294885,0.21544673450144533,-0.5193079116927163,-0.33474345909331604,-0.21402156398913819,-0.9370755660329672,0.5299925390244253,-0.08234752480249347,0.8196085047189486,0.16618527739102032,0.9999238032932422,0.9846106305831336,0.7988294262492323,0.5321715075838671,-0.600318851607043,-0.8130696658622447,-0.014501544321233052,-0.5193079116927163,-0.1837863585363435,-0.9814461053851755,0.7708902886419466,-0.052386091962667324
SCONJ,-0.9938761450670229,0.9805540422787795,0.23598096241704514,0.8910911414095015,-0.7342364433659652,-0.7064739672253413,0.10627035331337314,1.0,0.16697793708330974,0.2467933938912977,-0.21471898758973113,-0.8117213392866016,-0.39127901735255477,-0.8138904192453332,-0.061462634216666756,0.8069771402994261,0.989780882560255,-0.94142421879991,0.998484920801408,0.5835951492849322,0.8485833171096884,0.5252824689133556,0.9637316595385836,-0.992172162082162,-0.8384613794443314,-0.9031715032490528,-0.8815189598890788,-0.9480902515803181,0.7945608766116917,-0.9725465649851806,0.9485532729266986,-0.4467329437970554,-0.7868778044608147,0.9822090797378311,-0.48257959292784114,0.9981711296638336,0.11853688967365998,0.278407715349069,-0.5132592593853738,-0.7852882467520788,0.7314358384709249,-0.6652749521255841,0.9926916310547395,0.7945608766116917,-0.9969309839584829,-0.29495107591655717,-0.551438185866778,0.9874048657095724
VERB,-0.057006924733244736,0.35722493094249297,0.9975184292959471,-0.29866042279737465,0.5467613125851243,-0.8157683865385257,-0.9626326018452663,0.16697793708330974,1.0,-0.9142539643410604,-0.9988172926487151,0.4403057428794116,-0.9726870207882274,-0.7087630159507425,0.9738336565954574,-0.4475438887176951,0.30586625288589586,0.17529311964056538,0.1124714623155418,0.8980916849384937,-0.3799393831843232,0.9266920147573586,-0.1022045141815914,-0.2887952022891992,0.3973055621004408,-0.5740627997464345,-0.612714173520641,-0.47184699171079775,0.731334146642117,0.06704745865887277,0.4705599325945285,0.8075122461426667,-0.7398362549876089,0.349161422004725,-0.9441358551930128,0.10706965862651571,-0.959216218672856,-0.9004907452735254,-0.9318875270414094,-0.7415639463018244,0.7944703268854063,0.6250304358369129,0.2847419541197969,0.731334146642117,-0.08927909762120019,0.8928472447139264,-0.9145819047691826,0.3208674826819146
ADP,-0.3523639111845395,0.051815363236861756,-0.8834608435828999,0.659702156165508,-0.839099080281131,0.5114942223621011,0.9898073724865651,0.2467933938912977,-0.9142539643410604,1.0,0.8934742219328106,-0.7663067756739417,0.7952412730348634,0.3621836332160926,-0.9824045572133143,0.7714714688704439,0.10608551596443798,-0.5591309006304643,0.2997434445787993,-0.6428992668432615,0.7221216491812646,-0.6949708778333114,0.49646088728348553,-0.12384668924094634,-0.735031082127264,0.1931047085737125,0.2399911236320476,0.07418258419215933,-0.3923107634306617,-0.4655283164561832,-0.07272731599561562,-0.9772443513276924,0.40382425967040997,0.0604207919274109,0.7296629117640878,0.3049237588263888,0.9914899708394151,0.9994632431604658,0.7050178380613568,0.4061755162998075,-0.4803039686884239,-0.8876902146150859,0.1280439481576286,-0.3923107634306617,-0.32189992438555,-0.9987485394679049,0.6723205925013037,0.0903649727375247
