,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9352385551803719,-0.08588606590301767,-0.09432842971003011,-0.4871450705908456,-0.5149669209010207,0.8577755312697654,0.6775001640849398,0.23151779760028432,-0.6811348966292752,0.27122668788638543,0.9731663629116604,-0.8504400176180072,0.6637896680953393,0.47887738482762193,0.23932935087093524,-0.4615114000189116,-0.6351447600475361,-0.07189516222772685,-0.3098480266559994,-0.9735642831409237,-0.17199299050900937,0.41115375434704077,0.13519775604014034,0.31752812213948706,-0.13768231265054878,0.6297506125390341,0.6420088319941673,0.8734107328058939,0.47822725651413306,-0.9565739128689887,0.4621089780263468,-0.8966083716126316,-0.09432842971003011,-0.1899968657472754,0.4961508576862896,0.8637966290304534,0.29207519575689456,0.13770328741979204,-0.215580926400319,0.5242513343795157,0.1900551365637168,-0.9878541627057563,-0.3022570625141547,-0.566018923959951,0.8572374614636381,-0.7491241315145065,-0.6778520495864343,-0.09432842971003011,-0.9332109805547698
PUNCT,-0.9352385551803719,1.0,0.2128364842632676,-0.008962642430806508,0.17933823156599452,0.39451367146730343,-0.9494755476863053,-0.4531067700075696,-0.4970789623680422,0.3940707298949279,-0.36279071090796167,-0.9336698288625624,0.8773373331995081,-0.7225039412578276,-0.6633513717040301,-0.2362394654180478,0.28135157171104963,0.40670247859486935,0.41613293747040747,0.5893552646439119,0.9623454708310832,-0.14311416869899818,-0.6162994881398103,0.22222774109046123,-0.44124109897377445,-0.03006931797364738,-0.5512361302435108,-0.3365300074151449,-0.9870483274102618,-0.3419887062976093,0.8128864727627086,-0.1977717706138262,0.705178837487717,-0.008962642430806508,0.33002931538210406,-0.5567744579207096,-0.9285661973510865,-0.2139325975040897,-0.28771624311102556,0.24319627026216173,-0.3905346005916564,-0.11742083548206984,0.9123975255056709,0.09161180380519267,0.7500264601714925,-0.963147530645886,0.9144097605890923,0.3759637471502748,-0.008962642430806508,0.999983767552693
AUX,-0.08588606590301767,0.2128364842632676,1.0,-0.9782161243129751,-0.6122857233698706,-0.8060414333027577,0.049495098868559,-0.35675572223880225,0.20445132892017015,-0.4339339992807893,0.703219347148524,-0.31186096341571756,0.5958628766152435,-0.8021352181234841,0.31511785666029624,-0.9295760343921087,-0.8385048151525654,0.3760699008637184,0.5168226445806843,-0.05690390660660791,-0.0234604835595423,0.1392406524659336,0.30528704252849936,0.2571378971484371,-0.9703668037763244,-0.971432849020347,0.6962546888111381,0.05837230446182752,-0.18336183393293673,0.8332269622828035,0.16001433966847414,0.7528548955397398,0.15091375657839134,-0.9782161243129751,-0.6374044002832963,0.6236015702685602,0.14067437846656522,-0.8319040879335131,0.6353213110939333,0.9575374090396779,0.8024196477102709,-0.8452693313417843,0.21301168072090346,-0.9015245321581904,0.7800930462776312,-0.023431521282239822,0.03907338271899841,-0.12482833102694497,-0.9782161243129751,0.21429037568072853
X,-0.09432842971003011,-0.008962642430806508,-0.9782161243129751,1.0,0.6353843305059821,0.9019048758740357,-0.2557450335858823,0.3033739835160212,-0.3442370028161802,0.49677492471047197,-0.8135246132484665,0.137258123393603,-0.43537799924624765,0.6770625009337193,-0.4834373133333294,0.9155767181392135,0.9055101787360516,-0.3333333333333333,-0.4106755460392404,0.21177084552181052,0.21941770367582666,-0.2101726770158806,-0.46604997205470294,-0.17957352341913532,0.9012645091324909,0.9811641204680362,-0.8249836815732804,-0.0936493473940476,-0.024627267315782287,-0.9175244722273675,-0.016651236810093218,-0.7898915543614693,-0.034754743271500695,1.0,0.7442639439597654,-0.7669988675339355,-0.34284524431358343,0.827630012322585,-0.7346300952587098,-0.9395651116271879,-0.8957963188152268,0.8605386717985398,-0.043332935582187496,0.9285546671909772,-0.6340267019489071,-0.1846055743694547,0.16535336029949005,0.1709915412629785,1.0,-0.010238846404952597
ADV,-0.4871450705908456,0.17933823156599452,-0.6122857233698706,0.6353843305059821,1.0,0.7648306606663461,-0.21170070333216875,-0.520106661969694,0.2843985167096543,0.9673767880702678,-0.24909929123009264,-0.33583508992622724,0.04838032064585051,0.17157922506372103,-0.006330600728186227,0.2912207494925201,0.861503829387139,0.5016481880281265,-0.7942312117503257,-0.33942442079089213,0.42876167571657753,0.5644743136942286,0.06189150268133907,-0.7919973478790587,0.499058764393439,0.7634218613370644,-0.691649534623254,-0.8241730039934697,-0.08071838469430732,-0.7890215366276474,0.5763994804777683,-0.9731302480432521,0.6394817426703547,0.6353843305059821,0.10277546633382559,-0.3618036332008208,-0.3001595423239099,0.09638278246569598,-0.06293496640503202,-0.36672628244247923,-0.7903796659418952,0.153549544752747,0.44695340562966207,0.8764906222764471,-0.42222236051663536,-0.15556850196663563,0.00038563767326827607,0.8607857680995649,0.6353843305059821,0.17435918465609013
PART,-0.5149669209010207,0.39451367146730343,-0.8060414333027577,0.9019048758740357,0.7648306606663461,1.0,-0.5873851016994103,-0.039078849228183964,-0.387558305439902,0.729101825470371,-0.8125598314559227,-0.30390252480321467,-0.006907369817515586,0.2958886238617232,-0.6162917992029764,0.6821354325298195,0.9817638612443349,-0.0048109355077998635,-0.3315255776435244,0.3073249537040256,0.6092950216185942,-0.09669229532187831,-0.5714957876388403,-0.22309725827792687,0.6398204167238393,0.9063851081748076,-0.9823515103795776,-0.3668246249848269,-0.3951725986251215,-0.9979950984291289,0.40331024620363704,-0.885305046956473,0.36327865305680934,0.9019048758740357,0.7165925501568333,-0.8707445635510751,-0.665524016468066,0.581654549678905,-0.6854338309349797,-0.7138909516466947,-0.9991630998805985,0.6541397014007072,0.39191027665279177,0.933626205093695,-0.30491920406636974,-0.525687940464146,0.4606925256925236,0.4485725428835364,0.9019048758740357,0.39248286919438374
CCONJ,0.8577755312697654,-0.9494755476863053,0.049495098868559,-0.2557450335858823,-0.21170070333216875,-0.5873851016994103,1.0,0.20895735673221807,0.6986273970046143,-0.375861691016292,0.6362531379813436,0.7958674600281609,-0.6831336649098282,0.48031791553390124,0.8550017022236085,-0.07317726288341066,-0.45458501978766075,-0.15478952662609705,-0.42522241413172973,-0.7486782497391286,-0.9489462186737168,0.3554466682236608,0.8165587523303247,-0.3263673842005673,0.1832926701563745,-0.19817260860363078,0.7282408737445732,0.18649750436639598,0.9725851756509625,0.5361068599400765,-0.6707537601607139,0.2991433586608467,-0.5420987040711964,-0.2557450335858823,-0.6084751078741303,0.7845625435034972,0.9947967196274127,-0.10344561085161001,0.5714962421441971,0.05900490812041489,0.5751689615435293,-0.19986457164445767,-0.7879721782942232,-0.27207468128125084,-0.5818281210346877,0.9972262458868936,-0.9759840235096024,-0.248978017366642,-0.2557450335858823,-0.950062902289669
NOUN,0.6775001640849398,-0.4531067700075696,-0.35675572223880225,0.3033739835160212,-0.520106661969694,-0.039078849228183964,0.20895735673221807,1.0,-0.546335145977691,-0.6761731654894572,-0.4567648750504963,0.7422079785808188,-0.708498845566361,0.6692753678075486,-0.3212624088330463,0.6586114466548312,-0.11618975278210783,-0.9983864313690722,0.37243789318685466,0.45135960624526134,-0.4920011696968272,-0.810316991824371,-0.39150504384543594,0.651159697294198,0.46117380355462684,0.14601932313476634,0.07313110988012057,0.9100950275068735,0.3054760913618914,0.03758147882963706,-0.8601254424746434,0.33799937344863673,-0.9229270089968352,0.3033739835160212,0.5584703621434506,-0.2362367861956857,0.21473142185624364,0.7823386204011453,-0.6036249875741683,-0.6000296947129609,0.07291465532528184,0.7281727784841143,-0.766360873327769,-0.0634977322387893,-0.3516448487817491,0.2214650206849218,-0.055300597335044624,-0.8823552671021091,0.3033739835160212,-0.4488186389548435
SCONJ,0.23151779760028432,-0.4970789623680422,0.20445132892017015,-0.3442370028161802,0.2843985167096543,-0.387558305439902,0.6986273970046143,-0.546335145977691,1.0,0.24221920673516273,0.8215671405352292,0.1536721132421254,-0.11386172539847882,-0.008287868192091234,0.9501795334564795,-0.46429526811825345,-0.20999480546794447,0.5897594298253005,-0.7110335869395443,-0.9869431528662042,-0.4403459163705017,0.9130936146565604,0.97191765582405,-0.8102657076410317,-0.08662017282339855,-0.17455588408665937,0.49548969552373584,-0.543265966519661,0.6269729478106861,0.34133819796292864,0.061903413077724394,-0.08488864845173595,0.2222952894230608,-0.3442370028161802,-0.8829188245180388,0.7895582210383831,0.6794962158750233,-0.596276949920688,0.8858155812052625,0.40398905317204076,0.35145548622656253,-0.6365877004840608,-0.11726089452005521,-0.08558569637519105,-0.32057998265452353,0.6948000738838229,-0.8056187311207502,0.4754216570456889,-0.3442370028161802,-0.5010379378226059
VERB,-0.6811348966292752,0.3940707298949279,-0.4339339992807893,0.49677492471047197,0.9673767880702678,0.729101825470371,-0.375861691016292,-0.6761731654894572,0.24221920673516273,1.0,-0.20581444430281223,-0.5610479330950945,0.2998466773739133,-0.07880713436519464,-0.06984026542610836,0.1085832197492968,0.8043919165079043,0.652163683818772,-0.6665365226130849,-0.2590874328433717,0.607381528653617,0.5832066764488539,0.007424835904147618,-0.7403880653265019,0.28183767350719574,0.6269634034084602,-0.6983885696198223,-0.9031405527036072,-0.2847579513985831,-0.7406226757519306,0.7646155503778933,-0.9196717248854295,0.8098576914803425,0.49677492471047197,0.05923669661169008,-0.3693147336771298,-0.44899491854332124,-0.07352427757506788,-0.010945114081911341,-0.18106893268423974,-0.7554921763684034,0.00027024158098452715,0.6563514709686717,0.7767223219209608,-0.17987348996348032,-0.33199457376820285,0.1652397881108202,0.9370343885613018,0.49677492471047197,0.389144593940498
