,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9682072785446001,-0.07182885354160543,0.34074412394539294,0.5591583838642544,-0.36664087723002237,-0.12755588791962336,0.4845494742229014,-0.2336701488054858,0.20073563066154768,0.06469636732382497,-0.31573274309982774,-0.1411159279553584,0.5459211729458243,0.28304172591183485,0.11920503122661824,0.14993851690619234,-0.1954924497238286,-0.9815665648888487,0.4845539398923154,0.47596376785713157,0.0787846301409649,0.365859413558622,-0.05337601046866373,0.2460183002424619,0.1377614949720498,-0.08480428012916183,0.3266003976225086,-0.16990169904561297,0.34459175109060297,0.20427141044532618,-0.11978345819331025,0.055442315218786314,0.21134487855069192,0.4199366470736711,-0.2437744031375135,-0.02532929763592023,-0.10546353650613173,0.16866177489869139,0.11460950747278438,0.1272097245264099,0.40979172778268574,-0.0876404496165845,-0.4345447923442641,-0.27183014672782496,0.29225898138208967,-0.2709019364359329,0.21283791948864403,0.05109546779877415,-0.9908325048526702
PUNCT,-0.9682072785446001,1.0,0.06363828981210293,-0.3544595159078394,-0.4994691763866666,0.3349804060159535,0.08741613320308594,-0.4282777614241808,0.1992339537466476,-0.12177163379335844,-0.08741563573109278,0.21566505821485774,0.09833694310647759,-0.5105588340745865,-0.36059463259576574,-0.2147161651759023,-0.13350342480558844,0.053845160240208044,0.9795686662273151,-0.44996417931112415,-0.4121775999895612,-0.001909664841559023,-0.3225992641733872,0.017895026470785516,-0.29279659831609706,-0.030105899925813896,0.07750905613907501,-0.3160365977904997,0.1653867377190578,-0.37693234102160894,-0.2549862100037065,0.12127526298991964,-0.09987797514200751,-0.28537718914451526,-0.3711277560751572,0.19929295722257312,-0.04326058328749679,0.14950162384746557,-0.11078525722386402,-0.16616974731019035,-0.07951938445054064,-0.3434504477697397,0.03376821156309412,0.43922237946173004,0.3396884782449493,-0.2768335331741819,0.17871629147854914,-0.14381759783072098,-0.014622181677728245,0.9787747426159674
AUX,-0.07182885354160543,0.06363828981210293,1.0,0.2100913880883904,-0.1494623904612987,0.16319553584201477,-0.2652130237599606,0.092288759617697,-0.19730255697878257,-0.1571999377427995,0.20325698496579048,0.22246504593289046,-0.5130526809674579,0.007047944816025858,-0.11881163196890837,0.014673549935873656,-0.3838419622176427,0.1854795008446876,0.04824495820778502,0.2378294031385202,0.08165588345162389,-0.23779072075866886,-0.22258740343999683,0.23155739268733025,-0.13797372481334533,-0.15947145126482146,0.09097173875275763,-0.23515676354692353,0.3455865941754012,-0.036445951954837845,-0.2459311992898537,-0.06889558586479065,-0.41629167862777866,0.6871534312712596,-0.24509686346020834,-0.4930421115086764,0.10927395948543363,-0.17478294034744646,-0.13481673858345036,-0.31018069761539896,0.38704484462384803,0.03878159356863345,0.6918484244903533,-0.3755029070732427,-0.06150172936566118,-0.49952916732007613,0.4515054422543079,0.1812278667181012,0.18956889524596876,0.06067604612534109
ADV,0.34074412394539294,-0.3544595159078394,0.2100913880883904,1.0,0.13837420173173265,-0.4027326714293633,-0.25225722669020817,0.23220300254751705,-0.2749245103717401,0.12319897934674967,-0.1939151319729467,0.3809524856465636,-0.3962161560995205,-0.031203997864582993,0.7379835139122723,0.21363055072871887,-0.2917245252893438,-0.12630358835746258,-0.33844808903106716,0.302671912972699,0.2926696391805357,-0.06785641336566073,0.19370611242319888,-0.2315067249851237,-0.023912666494538888,-0.01843056728462326,-0.08944102523072663,0.048490477752167034,-0.38816529733667005,0.5225909655385036,-0.0004425311904635108,-0.047323017590107375,-0.5590064532993246,0.05425680780226287,0.02249192254726057,-0.3185551634624242,-0.09278634019835173,0.15623390185067712,0.09422370099528427,0.022672000958230066,0.35119526157289344,0.037396180124070005,0.01250334531446985,-0.4352360893947422,-0.22143370229870635,-0.25380821374452184,0.17957045309274922,0.6330703085130635,0.27999108023008384,-0.3271738727164614
PART,0.5591583838642544,-0.4994691763866666,-0.1494623904612987,0.13837420173173265,1.0,-0.3040110803126438,-0.6762427821820586,0.5337563188378839,0.24044598230030062,0.001657577694046843,0.023539504424992932,0.2094149987614369,-0.038815103609446296,-0.09215846414585405,-0.02059618815695188,0.1847298514336721,0.09701040497814713,0.18834912112867286,-0.5399078042813613,0.4072297480776747,0.557691175618559,0.04336623582227551,0.6374191954410269,0.06707026080836039,0.30656374383433804,-0.24517336161974312,-0.5400300432487524,0.5063859279171709,-0.23523612681022668,0.2326254326054368,0.5022362352958898,-0.5944988947288381,-0.03100252171521769,-0.15741367488944216,-0.14156730134383,-0.0932275891535968,-0.15483436770690023,0.0809748467308827,-0.07239894906281398,-0.3888624104870735,0.18324891767609403,0.5244494274727147,-0.2894504091443119,0.002844835986515117,-0.0720750173038117,0.006338288418322801,-0.06593816567391339,0.5860308309898445,-0.31204073989710085,-0.5572416245059482
CCONJ,-0.36664087723002237,0.3349804060159535,0.16319553584201477,-0.4027326714293633,-0.3040110803126438,1.0,0.2995495185890722,-0.4063644219462779,-0.045187693338926735,-0.0886980244406968,0.0350222819358568,-0.2604328973076404,0.005166682857586301,-0.1044423046874294,-0.4444787835273847,-0.15153786697662236,0.07965735332182619,0.17251643288381385,0.2967990119799184,-0.07221724723878699,-0.3440853669670722,0.13199743927178784,-0.43263136113919337,0.34261894374717794,-0.4727658886941974,-0.2957241614885109,0.036833620412038616,-0.3949074930571358,0.8785072120907803,-0.018570369829406196,0.1711537381729978,0.08804465858867679,-0.03619455016690908,0.19318947053155439,-0.15466819305599352,-0.015072895903556458,0.8319562661524016,-0.019382437954218647,-0.11925678932394726,0.10218322356126429,-0.10445850767620132,-0.010970069408329898,0.02193708430078977,0.009800732275696018,-0.13920895347964005,0.19921644944801292,0.0020888753201159637,-0.3530810318524711,0.1570180620125048,0.35656878390950303
NOUN,-0.12755588791962336,0.08741613320308594,-0.2652130237599606,-0.25225722669020817,-0.6762427821820586,0.2995495185890722,1.0,-0.6093682606091543,-0.4532189200174453,0.22878665413781693,-0.17832302149355525,-0.5371941114174108,0.29811852655152643,0.4759055800668279,-0.0486948495321823,-0.20398752066343825,0.38845219241096385,-0.17325238054234815,0.11214286951322283,-0.5111610086995391,-0.6037153117177462,-0.05213875208021608,-0.4739797785074882,0.1288675413669411,-0.38874347268116993,0.3739810688621805,0.6797553447038046,-0.3281601314139312,0.15885706466629573,-0.34579215832208443,-0.4053470064356877,0.5914060693931752,0.08542287047964972,-0.07116616458672681,0.4706492306897731,0.2225679311531237,0.22794902507494713,-0.12208729810399782,0.2847383172111833,0.6843761990285061,-0.4872907018323701,-0.42163384831744477,0.05300323839330237,0.1559799497998931,0.12153121238690705,0.3461353240154471,-0.19353355146596632,-0.581004632382545,0.39399469817719085,0.12709876080966112
SCONJ,0.4845494742229014,-0.4282777614241808,0.092288759617697,0.23220300254751705,0.5337563188378839,-0.4063644219462779,-0.6093682606091543,1.0,0.3497529069924292,-0.31708871477406214,0.23189615666142932,-0.01972129678119213,-0.6034762183067471,-0.1953875984415314,-0.05407541615432312,-0.163159859268332,-0.4602799906006066,0.036514902667882695,-0.41562413250121316,0.8382769293618159,0.9704683453659998,0.05999470669924486,0.4919883386030484,-0.6265836200785749,0.7083086990555132,-0.22192294946291297,-0.45634772010998403,0.47272970913451995,-0.24737365899012495,0.49296735991747376,0.5064447234562176,-0.23102582509236075,0.09783445230907396,0.1955498456436056,-0.08295836477523418,-0.48112092002078394,-0.35491278483590244,0.03343395261539216,-0.31831518858305036,-0.17901673949106348,0.20933706555233872,0.5327106645146937,0.004255325476567658,-0.41912911008106607,0.030377649596293847,-0.34700035756030956,-0.38988516425938374,0.2444856711577259,0.0009598432529009038,-0.45901667900578214
VERB,-0.2336701488054858,0.1992339537466476,-0.19730255697878257,-0.2749245103717401,0.24044598230030062,-0.045187693338926735,-0.4532189200174453,0.3497529069924292,1.0,-0.3817100324799844,0.06950801775823726,0.19816625595805087,-0.07863025409063905,-0.6195764660556261,-0.33710047237336443,0.13476707339641375,-0.4761447600825313,0.4813494183210482,0.24023899074586438,0.24623086925278273,0.2368751850177937,-0.34053769247744187,0.29501653558664864,-0.29690528880022,0.561027078032977,-0.5205026420251239,-0.6699674690081805,0.2890324910806656,-0.05720527974293,0.16849317599012728,0.5771420539317608,-0.10342744898345495,0.41525212424589086,-0.32462346038822454,-0.35897574977842334,0.015952210650056583,-0.028702238178810676,-0.17660428949596954,-0.26220943947631664,-0.05253086720682361,0.3006294592549462,0.3941676123333278,-0.2467771721517751,0.11454413864895858,0.17454979348482516,-0.24173149538989733,0.021795548232626995,-0.04417720061391662,-0.6033507850827761,0.18654053857541372
ADP,0.20073563066154768,-0.12177163379335844,-0.1571999377427995,0.12319897934674967,0.001657577694046843,-0.0886980244406968,0.22878665413781693,-0.31708871477406214,-0.3817100324799844,1.0,-0.5256224071794173,-0.17245547611283588,0.11490223688012226,0.24012676885325793,0.2371722855455193,0.2729860305662428,0.10989852727826513,-0.20046381352008757,-0.15469654097902866,-0.4403372209340369,-0.3215126473409138,-0.009829475484873848,0.3456521482163829,0.14466815516944362,-0.39748062995349437,0.5823307765765559,0.25404536321504423,0.4310953268021695,0.030584708466008827,-0.37637860260654016,-0.45325562766931365,0.16489630932858984,0.03719642342133763,-0.23212013857435246,-0.05356703940757145,-0.15084987057839921,0.1285621184237446,-0.018778812459136037,0.9289571562475986,0.1641838159158494,-0.07998890271761319,-0.3093559332472103,-0.0801305240509725,-0.16403064103893072,-0.24068310274043736,0.28331612127567607,0.07151755673182188,0.21294533769339843,0.10062227787785873,-0.14095959033480468
