,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,conj:expl,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9138137935673082,-0.01423483671124032,0.2706936172722972,0.13074595689574312,0.20965763619249686,0.18156068652994578,0.06713724506997654,-0.0781269108005181,-0.16589005465137324,0.16138569383901252,-0.06217095189876105,-0.10110745994749307,-0.1362872147952386,0.05424874865021252,-0.05809059900500419,-0.23404286665232246,0.554432179887068,0.036006594869588064,0.051077119627720054,-0.9858027940654374,-0.0971270340591352,-0.11604272669518807,0.35611111118657873,-0.11548674814031783,-0.08574184079617811,0.033434825822247,0.07646938571575235,0.0024018103011624664,-0.0352329612081293,0.28958872837972177,-0.35418507311770014,0.21840187044413883,-0.07277421737763148,0.08463405047868974,0.037493523800917826,0.14038312491797406,-0.006959391964753116,0.5149048300301798,-0.1638915419684505,-0.09678190213249398,-0.11799174038811826,-0.04679747665064272,0.14843227586496227,-0.08028094680567283,0.13816630912927458,-0.07095268312930003,0.7575944683922079,0.40843296712529736,0.231829035671138,0.07626069347339107,-0.9285443875905293
PUNCT,-0.9138137935673082,1.0,0.058110319440135526,-0.3716478057951615,-0.08726737215385004,-0.2869652102871552,-0.17281938503518107,0.010358597314966677,0.12693654775654428,0.06559390856465294,-0.10343139780898329,0.12518427640374669,0.16722231400908388,-0.08900533493323161,0.023661974569667954,0.06391603755554986,0.2590699286108983,-0.421267846701475,-0.16636988228212818,-0.05451880486786481,0.938789005391098,0.10927357151454611,0.18050047529358743,-0.3202323063316963,0.07969368749985317,0.17360075142763806,0.05854523391998955,-0.04874860547654473,0.048593379936399325,-0.043756754403348475,-0.35068067045532436,0.4779343365390535,-0.10822639848053738,0.14774980495326254,-0.0726665826267382,-0.06920509555880004,-0.3637636368187949,0.08401676153087975,-0.6186179893009405,0.17312885617287602,-0.010805755709305474,0.15282290486708788,-0.0048018788893929186,-0.2060270425251906,0.1465388800422928,-0.14905122959374725,0.14852039541298936,-0.5789259176605557,-0.36040891176612805,-0.3319787775923577,-0.09099995984527705,0.9853796498655306
AUX,-0.01423483671124032,0.058110319440135526,1.0,0.008478213171283278,0.1100120716134771,-0.12617416165755593,0.24093182685133616,-0.2561199979800422,0.2819995152585833,-0.37032725171546876,-0.035525231378394216,-0.29267826689618814,0.06355465876634109,-0.29489914338626205,0.3016565325676765,0.4179917776170166,-0.11767805875652489,0.08554839543930728,0.17515678866639844,-0.3060331102192102,0.018973929273048126,-0.407874793281915,-0.18545824141858963,-0.31740901544686145,0.14300828543585503,0.4125641203001777,-0.18416361623361924,-0.30244855477007065,0.21376559518482355,-0.1990144798426271,-0.16854642895328634,0.43077842082514717,0.2934310811502669,0.2655355906581109,-0.24236578721732852,-0.008782577255473569,-0.19308384072849274,0.07910326011619925,-0.03220419921811523,0.40989394784736166,-0.3492374447291402,0.3107141013825337,0.6365661356013202,-0.12156417837969152,0.45419695380298547,0.2849976583141487,0.4125211760070728,0.04715194253079574,0.18645181839223116,-0.023660924225858398,-0.13543859606645908,0.03812839858946239
ADV,0.2706936172722972,-0.3716478057951615,0.008478213171283278,1.0,0.34667539389156216,0.1922020622649665,-0.4716592095565995,-0.06972960863037281,0.16024249749817115,-0.44864132796335804,-0.4104297951190941,0.12905550624351692,-0.5482036380967578,0.3216103523457307,0.3033300031049375,0.23326963383321112,-0.060010126737928854,-0.07864008428179349,0.029582983644951696,-0.09935088046994266,-0.3204630848515961,0.015332004192886889,-0.1293866837248654,-0.33220040698109543,-0.2686384542949076,-0.3147809699930494,0.11360901606402345,-0.1930107424489361,-0.5170585054646629,0.35086467051188186,0.17911458540375266,-0.4253377285645537,-0.08948245092647591,-0.01972352747781538,0.1068393400384771,-0.2273784976241045,0.10790011212561601,-0.5342093991603798,0.5465396366574573,-0.39945153028252955,-0.37611476388640763,-0.23630979667579802,0.04793486147754694,0.5496502436948961,-0.08372618787383207,0.309885966387914,0.23471396418146392,-0.047663393980416635,0.13313549505285469,0.8520507553113301,0.31809301329150863,-0.32539742477552147
PART,0.13074595689574312,-0.08726737215385004,0.1100120716134771,0.34667539389156216,1.0,0.44498341353290927,-0.37512430270552816,0.035453017102332396,0.14344601637768303,-0.35556012684673893,-0.4070637788193972,0.12028880603467457,-0.021817880815053592,-0.3608412278061747,0.13397403020586707,-0.09242916652398885,0.00459746991499973,-0.010736188756881105,0.03471874693765977,0.11913071811884285,-0.1556310619153909,-0.22434348977908614,0.0645577995399954,-0.2835975170183991,-0.35724662366453547,0.09213078241097226,0.38679238882402533,-0.14976547446847133,-0.37964227681494916,-0.03426105078807901,0.43882100964920895,-0.5122410813588443,-0.1570513185964118,-0.21795071752403317,0.09262547031598348,-0.2042375679313315,-0.286253992009547,0.2148440090565256,0.29099027782346837,-0.383853723201065,-0.3339272016624359,-0.18253419743378188,-0.007089150369897282,0.5622436499255902,0.2415695842999722,-0.2041768360493134,0.35285060828309134,-0.09661647607881568,0.0068382443508928185,0.6312830595122724,0.04127815252670194,-0.14159209869596007
CCONJ,0.20965763619249686,-0.2869652102871552,-0.12617416165755593,0.1922020622649665,0.44498341353290927,1.0,-0.21809441043671765,0.08605067693818544,-0.17916070700459272,-0.05065664104439114,-0.028883245414238912,-0.41481508013523055,0.19192076173507175,0.18971159579347396,0.15526759703916576,-0.18911744065154487,-0.31534275000809125,-0.046106195926313064,-0.04125464714206773,-0.21288831483104056,-0.20317828098411123,-0.07095551062584007,0.10324426824863639,0.0896033640641305,-0.3180010241303628,-0.21114482715565766,-0.10310092693738737,-0.3366635431111571,-0.2737820348567321,-0.19299835832205456,0.9511669389372109,-0.3254790595363582,-0.1448873351249219,-0.2505434364692421,0.05583252078483679,0.010621700846599287,0.270243287982239,0.19164404832315943,0.7204839702050341,-0.4365416713982675,-0.04967367569961456,-0.4369123315574902,0.18774239724230307,0.42902720723651855,-0.14358699388196194,-0.08185380580636868,-0.048135827718838835,0.30140283724537703,-0.3610481982582043,0.23572229573622852,0.4122346480814777,-0.22621789952101276
NOUN,0.18156068652994578,-0.17281938503518107,0.24093182685133616,-0.4716592095565995,-0.37512430270552816,-0.21809441043671765,1.0,-0.075203228034838,-0.5624381903575983,0.2986054498373936,0.5361123763205432,-0.4441344477968501,0.1289723604023173,-0.11511725269772892,-0.27619253446155634,0.22774679221151883,0.06790918598983958,0.5797543596261522,-0.13555583624233933,-0.14071208219657771,-0.17138231280901253,-0.11553968785155513,-0.08963581305598499,0.49142459926321186,0.09679945982008024,0.4240176715691897,-0.25264359991616253,0.2566360771199487,0.5817818794378583,-0.14284930843083407,-0.17809571512205818,0.3595491156233831,0.34708310799604214,-0.2393829712766,-0.19474209716908503,-0.022100536226504697,0.2746523770373205,0.16380166602902463,-0.21500409236025153,0.6078450031545881,0.28473457473778785,0.26516066327743215,0.019709226600956888,-0.4928475631785834,-0.01134722935255126,-0.25799076017052025,-0.5392641190069168,0.275522954113157,0.016178664339675564,-0.439080868069948,-0.06682134184098283,-0.20204794212319996
SCONJ,0.06713724506997654,0.010358597314966677,-0.2561199979800422,-0.06972960863037281,0.035453017102332396,0.08605067693818544,-0.075203228034838,1.0,-0.060896076073899415,0.06133791664084844,0.10225629659128534,-0.2742002290022011,0.04990598659032531,-0.3834145533009528,0.4543082470837081,0.03474221032701554,-0.5349884739303581,0.07331148597789444,-0.17389870749788644,-0.3281844197346376,-0.096194288993397,0.6498570653149658,0.9575096937791387,0.1982859571786351,-0.5804881275324024,-0.13745517159621348,0.20048146103568631,-0.08946432241605405,-0.09245787391639598,-0.41807389645205256,0.0760372012369747,-0.2853229678408401,-0.2624224565233049,-0.02916449004922543,0.115428819966736,0.22027690511814874,-0.3787113648019879,0.1158877874780962,0.024968839498815322,-0.22615526964609853,-0.018654922168923744,0.041850436730042455,-0.3713651222269668,0.024323292118623305,0.3967788396580511,-0.20797013561783725,-0.16957178869981124,0.15313245847072673,-0.6117928789041456,-0.19567954713649927,0.1251442293307581,0.027158550139580125
VERB,-0.0781269108005181,0.12693654775654428,0.2819995152585833,0.16024249749817115,0.14344601637768303,-0.17916070700459272,-0.5624381903575983,-0.060896076073899415,1.0,-0.7103965748192049,-0.2472369277079993,0.33232867803423655,-0.20248035602076433,-0.3094407794693601,0.15004846426793603,-0.014267571698685247,-0.1892994870381096,-0.45789711753853257,0.25492684779297253,0.2745846465914338,0.05315248643609614,0.01815912489732266,0.02397938996930318,-0.47337266494937286,0.08037656452697746,-0.3264374824876146,0.43974307263361545,-0.42771112575910153,-0.23497929832887543,0.043364261910917745,-0.2181864678627889,-0.0639369534123012,0.10040232727037993,0.4869596815683534,-0.020541527093594455,0.009697769817405328,-0.2954166358119579,-0.10534009044975304,0.055642921460390855,-0.3307726487085518,-0.7092111530225265,0.4541090967616723,0.37212572362470203,0.17993765731885947,0.09455721522729511,0.356706005391413,0.648000564043898,-0.04476992356187122,0.37798316225935197,0.11845597299872801,-0.2163525233414196,0.11193236529023064
ADP,-0.16589005465137324,0.06559390856465294,-0.37032725171546876,-0.44864132796335804,-0.35556012684673893,-0.05065664104439114,0.2986054498373936,0.06133791664084844,-0.7103965748192049,1.0,0.11247564277012809,-0.1610739378236296,0.23317067911286776,0.36673785304417617,-0.16062022558914207,-0.2457871238759332,0.30114027567276647,0.030923336718710396,-0.05033576950183128,-0.14810266639660155,0.19013790670589947,-0.07870229175565306,-0.002629864534858636,0.40818286808672954,0.20547890153390413,0.22367903265793934,-0.5094427393521213,0.5683920180683699,0.3397278595461065,0.01904662360932626,-0.01483446522449591,0.15293632077552746,-0.25504583656118884,-0.22862629628573838,0.16699753803545087,0.3393818466974438,0.15294093436363243,0.09187148456802008,-0.2862931078888377,0.4113447879562672,0.9719595711240324,-0.38885039072453653,-0.42290553601584585,-0.24536401525066148,0.02361744519435837,-0.3693007981456328,-0.5425990888127493,-0.17316428986584753,-0.31161526670241385,-0.43231016345407836,-0.07515552714574064,0.06760626798318876
