,len,PUNCT,AUX,X,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9559640064267436,-0.06639451396598285,0.15104077470884436,-0.2117229488808022,-0.12527835192843856,0.288494319774144,-0.0003015849244863189,0.04514271074145829,-0.3270844704047084,0.6584953127290558,0.39505267590145476,0.05601466074792474,-0.08076552397001462,0.34061239939377874,0.0268574705042142,-0.06041995437152406,-0.22856274184807948,-0.31297701754246,-0.9777811175431117,-0.02689385275600601,0.025558849956566147,0.022493190424947,0.17893943197672602,-0.3542550871786637,0.053229617937957385,0.3544738432061267,0.19091191005264185,0.007927409447700913,0.30627371765205197,-0.07420290321425431,0.05128205250956296,0.06397183202047765,0.235645206060596,0.10970958656548052,0.3440926436886925,-0.08911447901137143,0.30490542734440496,0.08096496758508412,0.6877294392171381,-0.03084492861771671,0.03909635576349306,-0.24221597716847038,-0.12954260058518827,0.22295521207902766,0.1151496517852633,0.023823576034521756,-0.12406465583785135,-0.21693369643098964,-0.24922859002748154,-0.9640593714596565
PUNCT,-0.9559640064267436,1.0,0.06859846435048579,-0.15145500619222968,0.16624678772454896,0.12043627525227177,-0.28157944983144995,0.07362229314365856,-0.038959906608628365,0.35296032128724986,-0.6829379963640321,-0.3737456139126896,-0.0949450460918658,-0.00167948175140064,-0.3890151070608986,-0.042491351013293814,0.06511528001033946,0.23981263569910066,0.295945061930618,0.9728348835278138,-0.07812183416885941,-0.02375604510392071,0.006411175993189648,-0.10769816974964085,0.4020319722295867,0.05655424320092461,-0.39268768932347664,-0.10051940674850846,-0.029460751008559008,-0.3023479338164049,0.04146180204982956,0.023102912598737053,-0.11311058214039735,-0.16918952197654222,0.009029120402086624,-0.3389242657599995,-0.007094093800806129,-0.3376836388313247,-0.161044453270356,-0.7116189589262931,-0.1110311522732031,-0.028673253948744436,0.21797726064218045,0.11980910354717855,-0.19205905036991894,-0.1292737058228196,-0.021562945094753927,0.1116317892411415,0.1741289114677698,0.24390389557961117,0.9915126116864607
AUX,-0.06639451396598285,0.06859846435048579,1.0,-0.08558132425071002,-0.111090798509716,0.12115517639394989,0.017889401580172597,-0.02165051625688661,0.0032614535066887384,-0.328278287261739,-0.02331864488689517,-0.39863182908675915,0.03640754090146107,0.15865867894129906,-0.1428375556896527,-0.17982077069310592,-0.04957066001855053,0.2463086376510993,0.1339557370526339,0.03268012246617911,-0.19605696477285028,0.11619466999780691,-0.08240239789208709,-0.02813075745584854,0.21077989870780214,-0.34915628423076644,-0.08346449857382475,-0.09715413544829087,0.15313528973071255,0.04711532116584025,0.3619861197985618,-0.4961326989187938,-0.010712356247822564,-0.10084330573276046,0.1383642423565221,-0.1844365672106651,0.22860341239168117,-0.038754640162271224,-0.12308605713510162,-0.10793002586118267,-0.1009799553843134,0.5484091128328167,0.3328391306785142,0.7376406947444084,-0.33059904682419616,0.2599436662747901,-0.16648082927419616,0.008731407537045576,0.062031833812213256,-0.1556384418623521,0.038095386551390664
X,0.15104077470884436,-0.15145500619222968,-0.08558132425071002,1.0,0.19134795346158828,0.13150789592615542,0.167783092857902,-0.23450026557339113,0.04780719158120308,-0.03489235639687539,0.11611940722701583,0.1655906118338504,0.05073058514620549,0.19902608133973526,0.08234736988759002,0.1462637678104222,-0.1117725249292339,-0.08342590288708976,-0.24316361618175047,-0.09403924832953366,0.013031265067159148,0.03496964917115224,-0.22698443316310843,-0.0852681638085336,-0.004944265392562965,-0.09382103759099285,0.15753884511023922,0.1523194689713587,-0.03571428571428571,0.1224980575432193,0.14590323143905692,-0.07487621995047852,0.3041204734562271,0.024456210967531273,-0.11160281858596897,-0.12579149616784802,0.26523443084369763,-0.13796336718380428,-0.10588090257773494,0.11404142940403415,0.5471398534772173,0.10690821949510772,0.03144540557752724,-0.09940051069077015,0.01886463554818408,-0.02232250610985789,0.26158670889565905,-0.22603457506729913,0.2422718904736371,-0.13999937018938782,-0.13400149761644062
ADV,-0.2117229488808022,0.16624678772454896,-0.111090798509716,0.19134795346158828,1.0,0.025164668192465517,-0.45056858112057036,-0.26959922916259177,0.07664397280960049,0.13211659036649748,-0.038665730064024365,-0.130390989220309,0.1449805843434434,0.33816631290049104,-0.22727881365214048,0.536100862976198,-0.12571197744058274,0.05089974652778265,-0.0653052850316226,0.260755524925644,-0.12794652572237647,-0.10779234298308765,-0.2945794429288598,-0.05902689420309207,0.030182766253312742,-0.2831499016560214,0.22440897823311118,-0.0952285147518623,0.16752905241010307,-0.39980108217654126,-0.0021294850033906285,-0.03840731390768469,0.1313227334057393,0.15160390960705122,-0.13910888267868438,-0.3239394485685016,0.2676168592888092,-0.40853371335253813,0.011464341006839816,0.03271877625190174,0.01037696083461771,-0.2973731585007281,0.16517309752585096,0.1504377248435785,0.03676865737034371,0.2286921529831104,-0.17913490602065993,0.20670029917609545,0.6648815960287501,0.18931240190757465,0.19008092486199568
PART,-0.12527835192843856,0.12043627525227177,0.12115517639394989,0.13150789592615542,0.025164668192465517,1.0,-0.10755609886095596,-0.01837602824394527,0.3391508157387791,0.08478418863516764,-0.22088354046807568,-0.12600755508652828,0.06446280719182572,-0.08749222779358193,-0.2882043536859741,-0.05506166041307439,0.30043642806223714,0.05486475474366441,0.07205913451493548,0.10629202619290053,0.14753427270746833,0.27321665386653066,-0.47064711849446755,0.06477159955858995,0.30735545823041344,-0.30473749653045473,-0.3228697419269094,0.0820660924529577,-0.03805313565935622,-0.14787792126456886,0.087635578649215,0.1653281386635,0.35709302131730614,-0.08299576121436654,0.02362111990862652,-0.28719604324828574,-0.10506517667146993,-0.09487882103601071,-0.01092645862610888,-0.22360878887531427,-0.05539747472735168,0.18857655636398934,0.3653384230853189,0.012611521731603936,-0.02999155993994931,-0.15505861526835119,-0.15385115770839153,0.20839654798859253,0.5373566229448401,-0.029806187438434672,0.17180379521945577
CCONJ,0.288494319774144,-0.28157944983144995,0.017889401580172597,0.167783092857902,-0.45056858112057036,-0.10755609886095596,1.0,-0.019721816778479763,-0.29808716983835887,-0.19218921547724138,0.23147969695452655,0.16971216909885092,-0.08541029918670592,-0.3962741109581485,0.18949575398487167,-0.2830523398711763,0.1930866639929059,-0.2140447216878494,-0.35096946416298636,-0.305516080598978,-0.12737509449204512,-0.21249903924713395,0.20247559487588507,-0.20430661252498422,-0.167012809745579,0.07855876190552975,0.09208283153639979,0.1704188894256332,-0.3269868954748192,0.9786729069902969,-0.07005496527665166,-0.21951937666769838,-0.17875389346150242,-0.11141990459162078,-0.2665130269598957,0.04861973266397562,-0.38309814608608,0.7340509091975388,0.10787839905674948,0.22203317558106156,0.4363202259233651,0.2309219624211504,-0.3249334988592698,-0.18334953332666432,-0.37662969308951666,0.1271253676568303,0.06865299615919065,-0.42703239333751875,-0.23100837235840715,-0.28501063179684183,-0.2928001535158585
NOUN,-0.0003015849244863189,0.07362229314365856,-0.02165051625688661,-0.23450026557339113,-0.26959922916259177,-0.01837602824394527,-0.019721816778479763,1.0,-0.34640682830674013,-0.5087343605311415,-0.040170999177133314,0.13583414295045218,-0.4823239327626296,-0.11200166832355997,-0.009142448534151706,-0.014915708686866123,-0.11456990355099816,0.13878718541983526,-0.09418742787969313,-0.034327210156117824,-0.22560990435686193,-0.3246808141007836,0.08619048423452183,0.14216947978542693,-0.14994174306519167,-0.025362351163025536,-0.18849457370699416,0.6527167874433937,-0.168352086803989,-0.05162183393284509,0.1899448021460816,0.22259091586538146,0.0450231967048556,-0.1254219208887725,0.2125958937774381,0.23780451834624522,-0.1477202097778837,0.15943264556403666,-0.20511364270316765,-0.07154763178219345,-0.2997149933738493,0.06104506402754555,-0.1364346463507421,-0.05947959554979625,0.19833990185369044,-0.29727793603971053,0.003692800421482948,0.011920418496582751,-0.19407719309248334,0.24069001029290105,0.05413956260732847
SCONJ,0.04514271074145829,-0.038959906608628365,0.0032614535066887384,0.04780719158120308,0.07664397280960049,0.3391508157387791,-0.29808716983835887,-0.34640682830674013,1.0,0.3356465585276457,-0.1647011618298118,0.05452011172071221,0.5521096892910671,-0.14975852026794095,-0.5056012067209514,-0.043918943627181545,0.36196333514786766,-0.037066930754132574,0.12080640827783778,-0.014115807647684565,0.6223129173886932,0.9514319805463377,-0.4521284216595794,0.06177587664488355,0.1506528401720464,0.0023547687526497105,-0.431460058200332,-0.20712267971876427,0.28596503155958675,-0.29781034297233455,-0.08863185824236836,0.15967327352158162,0.2015237303803946,0.3289141388455906,0.13616515366282556,-0.342905695863888,-0.0036077028365196838,-0.3553978468259666,-0.07664750390275485,-0.14542606402576025,-0.15078527639038108,-0.09171816134379111,0.4797821486479261,0.03569657018146787,0.12002713719435307,-0.03741810068794256,-0.015384637307513207,0.21869441962987307,0.051881920878683783,0.05109687029557209,0.003596671134471185
VERB,-0.3270844704047084,0.35296032128724986,-0.328278287261739,-0.03489235639687539,0.13211659036649748,0.08478418863516764,-0.19218921547724138,-0.5087343605311415,0.3356465585276457,1.0,-0.4868161914434751,-0.20264135036241493,0.40171546800229013,-0.1324583944787462,-0.34620815597234367,-0.16959210890958965,0.2324587491633322,-0.20421703791070275,0.2048475154816803,0.37806284817514485,0.4215879040809601,0.3004140302046975,-0.11031737618378279,0.04903693228657066,0.20828478668743952,0.2748142941712613,-0.17536889239026734,-0.3742471132857975,-0.09170809705650634,-0.20781744991781717,-0.21658131033353037,0.19012612669412424,-0.11970302268619555,0.12779349021970235,0.0009068237589392048,-0.3756427164977897,-0.1726406317087819,-0.24629454152901964,0.12266801694880294,-0.4766065252632444,0.007903701891164886,-0.27670546814599445,0.1738487864570986,-0.14663677265737957,0.11184851161880983,0.09049913525888933,0.20772175689277014,0.17332135007408586,0.11219260560727805,0.0903606694552458,0.39158266245231377
