,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,advcl:cmpr,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,advmod:neg,cop,obj,ccomp,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.940812886661087,0.014247320330913651,0.2094006287016008,-0.1268664235944309,0.4586366109244144,-0.23109357491764765,0.1686106065194293,0.6346568828351371,0.025301071563011205,-0.23111572380885534,0.10933661462968206,0.07270167800195809,-0.38976877712628605,-0.12766525197084808,0.05887188748075838,0.0530625380151865,-0.12787582215735813,0.23375854481419697,-0.9881187368491191,0.4263605039541621,0.3495460669817395,0.14582365603220565,0.26554728762432744,-0.1347945032716423,0.09055693659177208,-0.07091209618632549,0.06358793373309198,-0.26428141693919743,0.397510468682084,-0.48146046128682674,-0.13043022578684482,-0.008128095570571203,0.21958431585619934,-0.21080910447070622,-0.20278609699090905,0.049850119953138865,0.25910362125665376,0.053194390562353734,-0.024078727303255547,-0.20645338995172516,0.11828652506491204,-0.2247087464032211,-0.07511967553718324,-0.13737701001784197,0.36478294884932483,-0.2450365564718009,0.25857683080388494,0.18906196405761194,0.031088677001404438,-0.9454804185725307
PUNCT,-0.940812886661087,1.0,-0.0953231874419057,-0.3472371213682517,-0.002816277961175551,-0.40272707223728615,0.4365786181525156,-0.29318890507589224,-0.6415921180772565,-0.015547184032433227,0.09984320140162341,-0.23581679110158882,-0.049582509622023874,0.3655013327749617,0.08177466452701199,-0.23148456529630074,0.02188136569541171,0.08395882587132746,-0.19025561153921666,0.9473319527782863,-0.4861191226691014,-0.41527212977362143,-0.09556271317024354,-0.2877406146304352,-0.03915234052377031,0.021402628488101885,0.125592682715834,0.04827606710384436,0.20928228295308884,-0.36985788451894086,0.3160772849031083,0.10833393267239548,0.022537855857962648,-0.15206252351793834,0.11182351497152847,0.23971634397395197,0.023265963193550357,-0.20169996169934598,0.04792981070729306,-0.004328840777195218,0.15070230504597304,-0.16886048279163668,0.10089105268789827,-0.008906642942068986,0.23553308120418773,-0.35658448633406264,0.2650737543942399,-0.22441819778906197,-0.3135818685509821,0.03232165451772236,0.9760758592769262
AUX,0.014247320330913651,-0.0953231874419057,1.0,0.015004405996920614,0.10654807702477989,0.13147773950955685,-0.4320069085351864,0.1131545481490986,0.09887882294426507,-0.5178354818967568,0.3066247711204099,0.48564276035351067,0.22657717569983235,0.13900900674408134,0.023615345364534537,0.07611543827323514,0.6495053000332212,0.11094884769689119,0.42358910144585976,-0.10392016864867955,-0.3505510159659859,0.08068999843634808,-0.4835164223314438,-0.22380528710074651,0.31755447182356406,0.07225987348627741,-0.6718399774190442,-0.06302156553125436,-0.08794008473317771,0.10618495683976684,0.07907145270579792,-0.37367847559497674,0.24331980048287694,0.3788312747754348,-0.05261816177159976,0.1528992917241487,0.30879469117407427,-0.012172475638262025,-0.298700659913815,-0.43120710740100593,0.43581992041370865,0.46838919483698227,0.1870102390335247,0.55154410666451,-0.056874594412925104,0.2825924796082961,0.17403384134833672,0.2614794852831873,0.10569645330355332,-0.4401058538239556,-0.16659423777412324
ADV,0.2094006287016008,-0.3472371213682517,0.015004405996920614,1.0,-0.3580342506191151,-0.0539686898306836,-0.4694245371366002,-0.05260258612785586,0.26168811942287157,0.2094555318664425,-0.3144460514262382,0.04649536243660232,-0.02550632097089771,0.05887526932943552,0.5331374365702954,0.37476090694050473,-0.1479161856975682,-0.21676282585485981,0.07795848365605121,-0.20621734377386233,0.25111700847049445,-0.15857203540497816,0.08449308873612431,0.005960420418818946,0.4247396156363109,-0.008104301182955768,-0.18803747230804616,-0.4346441307645851,0.05717317752859431,-0.10843502388372145,-0.3037156435636426,-0.2453247963551453,-0.0773626823785845,-0.09722295685119157,0.632777939841107,-0.013246880428116633,-0.05891423888192457,0.12957091039157462,-0.06520303365513928,0.2752810125012218,-0.019247218207745515,-0.0042181500360010706,-0.43667140475164484,0.06306388332181595,-0.16298665999117395,-0.2584062473192089,0.0961866557041446,0.06205306838701138,0.5654170093057691,0.43013661485716076,-0.2734876888846398
PART,-0.1268664235944309,-0.002816277961175551,0.10654807702477989,-0.3580342506191151,1.0,-0.2015490486065132,-0.033353476591352675,0.230400438084606,-0.3488263131160712,-0.1787326864428978,0.500166629801165,0.2751210845276583,-0.22425280521672125,-0.21542854439572337,-0.503280759741049,-0.16780611553933095,-0.11729260086115607,-0.01894196597593295,0.06386969588273916,0.09029089884269398,0.06337870823948577,0.2824203026380642,0.1443493669561343,0.29185876921898185,0.10272454087396195,-0.43860651107553056,0.16753482040946968,0.17439091817253072,-0.007362712805061811,-0.1808478147061787,0.5036049888409392,0.12051958234592171,0.13567650270257361,-0.3990447394656076,-0.23729738816318194,-0.3403654611583428,-0.3883424820179846,-0.355967033117951,-0.39352500917657296,-0.16909148006228053,-0.09601104975925229,-0.015549646049027194,0.5300107851835346,0.1636670260529346,0.08075063660047231,0.10386646267479392,-0.0041995394535177845,-0.18067361066434168,0.3368205906928251,-0.6642937130192041,-0.02302952515328655
CCONJ,0.4586366109244144,-0.40272707223728615,0.13147773950955685,-0.0539686898306836,-0.2015490486065132,1.0,-0.18394021703128235,-0.039719603493343594,0.4917561629728341,-0.3283430388312264,-0.16046542941238212,0.15970522780391264,0.03641119811714131,-0.27610171593989413,-0.20683778535208988,-0.07175547739891797,0.04214673232062326,0.03413207632395284,0.053298901758964616,-0.42898211146317566,-0.2294366064632715,-0.018225997884955797,-0.1460781827200497,-0.29161934492047953,-0.13666334656720341,0.2060137283267106,-0.285293080389084,-0.1293820006830659,-0.026917450048301244,0.9182327316065757,-0.22372081716925368,-0.4248225800744891,-0.058833587932296656,0.36086452075895875,-0.3869450200357596,-0.12052769999823895,-0.0014699849211908343,0.8769464621702838,0.34908457074571947,-0.3279843786432582,-0.23610528389382468,0.38858918548585336,-0.012991339055275315,-0.08530765948418363,0.06346615001900516,0.318377460892059,0.12435899077629509,0.16065816540444694,-0.06649833213148454,-0.10504210992390321,-0.4406925746254729
NOUN,-0.23109357491764765,0.4365786181525156,-0.4320069085351864,-0.4694245371366002,-0.033353476591352675,-0.18394021703128235,1.0,-0.4394017496017673,-0.6236850573752152,0.08655666837560205,-0.33624250907284087,-0.5402341963908435,-0.3267974039289284,0.016284742722460607,-0.3650254041035688,-0.5378770445596884,-0.009695576122515906,-0.20216457655018913,-0.010133744913257938,0.25989502186010977,-0.21008609828252142,-0.28975079963347966,0.3592194349351293,0.15721824485231703,-0.4316530175896571,0.12257354115703116,0.3592304760258767,0.5814669113154224,0.08509036217907343,-0.22120234211829307,0.13739775563054185,0.3221387085501608,0.11156352981426891,-0.40225205275626724,-0.2976220160224037,0.18154272939767754,-0.29332275385650397,-0.09070204688688388,0.02536619493355138,0.0018225459540052696,0.048488959754931664,-0.14822677873843568,-0.17379132092425773,-0.40580524560947373,0.010689792947352067,-0.24483075568629933,0.29698640557128525,-0.16695010548141054,-0.28224461673246287,0.10901857615634315,0.40686916751494395
SCONJ,0.1686106065194293,-0.29318890507589224,0.1131545481490986,-0.05260258612785586,0.230400438084606,-0.039719603493343594,-0.4394017496017673,1.0,0.270643797642112,-0.1344653688506722,0.3654567799545088,0.22909096092219186,0.1809614654282379,-0.2333936368192072,-0.06762751626380233,0.48316296190594493,-0.06988378979427237,0.39135721821028185,-0.3219385756350826,-0.23631022810026045,0.5516542308792854,0.8076264503734941,-0.10085420304068164,0.17769470803820164,0.3807788552869763,-0.16321982525803932,0.02125620119895195,-0.09367650232571505,-0.15341200645874073,0.06650544767833955,0.03662994475437269,0.02671842482491595,0.08897566637679918,-0.0010478413963133477,0.016191985481465016,-0.33387191673719535,0.05308239516996111,-0.23045880434681712,-0.22574051208596269,-0.08730810966333032,-0.18375179136407158,0.1347996134515364,0.29210725527531434,-0.051354961340143265,-0.26390904261088405,0.3772136774378597,-0.35100893085128887,0.046467126370978405,0.13563372262840784,-0.07976092779819074,-0.3446019852221516
VERB,0.6346568828351371,-0.6415921180772565,0.09887882294426507,0.26168811942287157,-0.3488263131160712,0.4917561629728341,-0.6236850573752152,0.270643797642112,1.0,0.00677945581786504,-0.15167437254259622,0.10987381080245741,0.2595316016339399,-0.09989765344495162,0.13925126868110319,0.317516617128252,0.15417920719400094,0.20933405027164423,-0.04659557026742276,-0.5955192440425607,0.19265841593222952,0.33437979214910235,-0.27970166708324634,-0.15717968961831924,0.11981478150040632,0.0378484446062003,-0.15427728647037242,-0.44140682078093485,-0.2917544686575131,0.4523148770112511,-0.4222677831676444,-0.3693481689966766,0.004474362611503277,0.5239612001589921,0.021326070192744954,-0.07812140351990937,0.22443497823291308,0.35923299943788756,0.45827843196669343,-0.0005231417541129542,-0.07842853003496056,0.26902590692255157,-0.21210459319826436,-0.07816044277006691,0.027149853663271238,0.38761366689691096,-0.47422620415204453,0.4218322730698574,0.11117600725656836,0.19934136947248843,-0.6236569802297136
ADP,0.025301071563011205,-0.015547184032433227,-0.5178354818967568,0.2094555318664425,-0.1787326864428978,-0.3283430388312264,0.08655666837560205,-0.1344653688506722,0.00677945581786504,1.0,-0.06425500205350425,-0.24258812214909606,0.3222886436700753,-0.3078330399740507,0.2471173987417957,0.1607545925131138,-0.36079475882056466,-0.028832468915194392,-0.3254551842531079,0.02012154513488883,0.3901190557516345,-0.1547972909603743,-0.04629188102254704,0.0691881803648839,0.0647676798397398,-0.24604420646760447,0.6268206883295686,0.1469053270131213,-0.00020166546538077413,-0.35278638830680514,0.045900735977320244,0.1773640104328471,-0.42534397525841583,0.0956386112820881,0.37209870335290146,-0.37631345626714446,0.28974311212925746,-0.2170177084812301,0.2559472847713874,0.9657439152018839,-0.05892582333372418,-0.4716914787120931,-0.17778642578138026,-0.06534011308125515,-0.31728827357821715,-0.3205165307853916,-0.01449040850171452,-0.19922032108809107,-0.030177680206279218,0.5717796266040203,0.08197326552766035
