,len,PUNCT,AUX,ADV,PART,CCONJ,NOUN,SCONJ,VERB,ADP,PROPN,PRON,NUM,ADJ,advmod:emph,obl:arg,aux,flat,nsubj,root,advcl,mark,det,advcl:pred,csubj,xcomp,obl,nmod,cc,nsubj:pass,discourse,csubj:pass,acl,expl:pass,amod,nummod,conj,appos,case,xcomp:pred,aux:pass,compound,advmod:neg,parataxis:rep,cop,obj,ccomp,parataxis,fixed,acl:relcl,advmod,orphan,punct
len,1.0,-0.9392599869320976,-0.2720656977062488,-0.4531970636117952,-0.20145134446401872,0.6581398388430502,0.4303152577531607,0.10878428142829284,-0.09933547563722359,0.009664191546880828,0.15318738859598177,-0.08217194184652762,0.2860458084916262,0.3162811241347954,-0.047397002449227836,0.0506641082173621,-0.2316274431025305,0.35452897467803335,0.2122421729131807,-0.9630634186505947,0.2615233186370689,0.35338239824242473,-0.18543321530079204,-0.1071402901920185,0.08708243122821535,-0.11158573911213808,0.014262890181282836,0.48192181861875305,0.5781352464173249,0.13844299181482275,-0.14796489286088627,-0.1501915148170902,0.021264646258620217,-0.10657503883752362,0.32547907068977733,0.4868026478615891,0.5770528451395052,-0.15527614923212235,-0.09686051902887077,-0.3910098744298458,0.0671584986156075,0.6962032375287989,-0.1460683531763766,0.6962032375287989,-0.2680930058185055,-0.25714135632047813,0.11755234070970576,0.6962032375287989,0.11326013593335693,-0.18061755209717284,-0.3475822307726491,-0.23668377811613428,-0.9463890296537272
PUNCT,-0.9392599869320976,1.0,0.39159194878082404,0.34875391599148015,0.1815054321286086,-0.6661201951453315,-0.5031402711056707,-0.0865249615025499,0.0832291531948495,0.015393899382868614,-0.08558478967619469,0.03293039339916693,-0.29640280465553387,-0.2646754474281948,0.06683468948550624,-0.004856353027887096,0.1615386478582651,-0.3660626970149743,-0.2157348471164852,0.9702345641984633,-0.13290370635855295,-0.3006577840433846,0.24842047566896178,0.013354047183661044,0.014687836083596856,0.03015804902000449,-0.02539410662543623,-0.4518378401522471,-0.5812042081707729,-0.1780275586516686,0.1606978858370241,0.3082012663895226,-0.021778286477083422,0.1117364423131479,-0.32190993850272703,-0.5685239998073477,-0.5944987206663448,0.15378036234655548,0.1084669926974797,0.4923989458931342,-0.01626599305622499,-0.5646377010499646,0.15967146951074945,-0.5646377010499646,0.40637021331740264,0.10070498780426287,-0.17756193546163443,-0.5646377010499646,-0.1935696825007043,0.08825155858500222,0.19861233799921302,0.25460353152150095,0.990553929716048
AUX,-0.2720656977062488,0.39159194878082404,1.0,0.16610732030439393,0.02771796268092722,-0.33405008012170234,-0.3607711458021364,0.35952414342017447,0.34932586068687554,-0.1295316906275979,-0.03509088609275369,-0.2857913153571419,-0.05659644136146137,-0.18015204686296823,0.12905792485501041,-0.02814253405551408,0.20468562736814905,-0.17654428429722177,0.10578449188549194,0.30347092741918186,0.35121128420110936,0.22492913041701457,-0.12162422636484466,-0.08270026290144084,0.1571797563284154,0.04236939670444736,-0.15575442443141926,-0.17764102984933722,-0.37362638070403764,-0.04129279085624285,0.1467787083862423,0.4272038428493348,-0.15517532045299284,0.22869088821097944,-0.47013954232206623,-0.3513637307599795,-0.20303280677882438,0.37424485978429217,-0.05019760849938925,0.11855968409140091,0.5409039851960957,-0.2114747894344,0.044040864821623685,-0.2114747894344,0.6046150279383031,-0.44317673121073053,0.09601761725943962,-0.2114747894344,-0.16800939744016777,0.17622208185621122,0.09750736419431504,0.19113532002989378,0.3457452358435047
ADV,-0.4531970636117952,0.34875391599148015,0.16610732030439393,1.0,-0.23106012933464531,-0.4434135951564277,-0.16105874889771127,-0.030865224131159212,0.002232336136921934,-0.15269584869241687,0.26185192801315516,0.0789361742124328,-0.1003319610559847,-0.031552458668315325,0.4382192889353329,0.07843628684163116,0.13890313523293846,0.24486907545219594,0.2904984279107882,0.4088833029501848,-0.08216278934228378,-0.12031485382777615,-0.31276911401082885,0.19222485024727323,-0.36428345214874147,-0.45440774898451075,-0.10028688442818265,-0.05391275035460958,-0.43007368602213897,0.10457591568650342,0.3242341374933306,-0.2213333298736836,0.15204289543184624,0.041813814548121976,-0.20545261735458098,0.1397780174201862,-0.1444319318088743,0.12575634499549865,-0.1048533060769487,0.3839157949438198,0.07731019646302717,-0.2545708206596538,0.06062398692917613,-0.2545708206596538,-0.009351554288190386,-0.13789120815775538,0.13944731996443685,-0.2545708206596538,-0.04739410836142518,0.21025353433504212,0.32963495908740653,0.17803330236917936,0.36845158382659016
PART,-0.20145134446401872,0.1815054321286086,0.02771796268092722,-0.23106012933464531,1.0,-0.05255698358573438,-0.31019782215729536,-0.47477739530868,0.4241348764067768,-0.06517820477134253,0.07240006830111907,-0.21768043247940758,0.28041987609464075,-0.3136752666305334,-0.3590472064678207,-0.12693710430248797,0.620627991225092,-0.5184652652390004,-0.49558235382820554,0.23352858358541873,-0.3562808364156539,-0.5490377924789194,0.31781186305585457,-0.019642584465044934,0.35131568294074894,0.3804125775435591,0.24833286762238554,-0.4970369776159136,-0.059954981645185736,0.32395576048400393,-0.3203599554227644,0.34904329733082207,-0.005832161706661056,-0.4900180886579742,-0.3522924275753428,-0.10672445928135398,-0.34473239811963025,0.18887750283155363,-0.029182278428190347,0.11801887222001872,0.2777847723471589,-0.09123822481195525,0.5988886690073663,-0.09123822481195525,-0.20409372707222345,0.4121631060674105,0.04442817316010482,-0.09123822481195525,-0.21423879478509275,0.1542476309093678,0.6248026038593453,-0.394654233165499,0.2139215762797173
CCONJ,0.6581398388430502,-0.6661201951453315,-0.33405008012170234,-0.4434135951564277,-0.05255698358573438,1.0,0.2980155351136863,0.06934045732184774,-0.07746819451367377,-0.19247330251849365,-0.05383493698472762,-0.11269249527283082,0.17722717057275497,0.05705981503626634,-0.5823983708926924,-0.23208628173873957,0.07870220990717379,-0.04208283768657415,0.04646639082366342,-0.669323094771861,0.1351057737086812,0.20588294562225917,0.018288269679029696,-0.27312985257804107,0.05762839473618371,0.12502939306386876,0.12223926513079174,0.09583753217447585,0.9620415226445959,-0.15216667696248032,0.17723070442331834,0.0044408574480273395,-0.08641418661016778,-0.10117870682152386,0.33433339779676996,0.32605118618677253,0.7613678721758116,0.14665914180801648,-0.25487939064087467,-0.43704081325855915,-0.20452057116619163,0.4893523577550651,0.03857281526366733,0.4893523577550651,-0.09939495720512884,-0.024575135971666787,-0.21499755017586997,0.4893523577550651,0.0705338606612216,-0.4003554802626985,-0.09549036105495087,-0.13449410948877125,-0.6139228763256418
NOUN,0.4303152577531607,-0.5031402711056707,-0.3607711458021364,-0.16105874889771127,-0.31019782215729536,0.2980155351136863,1.0,-0.17815313809472422,-0.5367970548227671,0.053525701713158944,0.0295692238503864,-0.25881131738452845,-0.1880229689102343,0.25038325115465865,0.16132283980331166,-0.016082219042910285,-0.24808653009166262,0.45254532736411635,-0.008634625611110369,-0.4561353164452967,-0.30455093968285535,-0.13567554734066115,-0.12029570402641579,0.24306885071407824,-0.2900878381526761,-0.1474731561179386,0.003957369040979452,0.6643966199337928,0.31274908316769684,0.32990281318916304,-0.15540244008244924,-0.31499443078100314,0.29435549971923075,0.14240084081374016,0.6052064140214779,0.17073344449963948,0.37780507147106485,-0.3389630791710571,0.017481097486931173,-0.3131889962007407,-0.005751213478514995,0.29273769506485287,-0.319025845733926,0.29273769506485287,-0.3992367728011759,-0.02086147249605044,-0.2396958847925482,0.29273769506485287,0.1952344898422393,-0.49351524305891925,-0.27824934011893093,0.09092722267573525,-0.5202254373028827
SCONJ,0.10878428142829284,-0.0865249615025499,0.35952414342017447,-0.030865224131159212,-0.47477739530868,0.06934045732184774,-0.17815313809472422,1.0,0.16145973374554748,0.06301462144867692,-0.35770204614224455,-0.16158120577310728,-0.35140600864149407,0.12166690244316922,-0.0715881115044956,-0.15681112416905993,-0.2903182499783654,-0.09064251858866808,0.18274615537069697,-0.1591559444346773,0.6583836313035676,0.8729160224456181,-0.26751263247898827,0.28811210978049234,0.0351156572293909,0.25800947221401593,-0.23571962175497801,0.004015209494492371,0.050186673970801766,-0.338497881856488,0.375070603578492,0.06406231796787398,-0.10252102791574799,0.2507334775946153,-0.02473260960237875,-0.34205116014142367,0.05726407373306381,-0.10151163600541838,0.10156862132307198,-0.35999356298849033,0.037879728841367914,-0.0731516453431275,-0.30934455206999145,-0.0731516453431275,0.3690079680027636,-0.4662632224101146,0.12283556247550476,-0.0731516453431275,0.18861687677822972,-0.12646695300956054,-0.20054206381657078,0.001309942943843868,-0.09692518209360784
VERB,-0.09933547563722359,0.0832291531948495,0.34932586068687554,0.002232336136921934,0.4241348764067768,-0.07746819451367377,-0.5367970548227671,0.16145973374554748,1.0,-0.12585197848015353,-0.24747055977280133,0.1541992321121312,0.17764746863178454,-0.6696593411544693,-0.031929812572038696,0.33193805941223575,0.3497378671333411,-0.5013936396332088,0.1484556055238065,0.01839742453503026,0.30723259839735956,0.08612439350668882,-0.2817193178069572,-0.053843535886139854,0.3687699759093816,0.26583527550229546,-0.11803234706874521,-0.5704553653112697,-0.13988959490855266,0.021636622694930618,-0.06565853310736446,0.22938661138035815,0.023280655041234506,-0.02805379657122757,-0.6662461563046128,-0.06425846558079927,-0.1171456494250103,0.24451549182563564,-0.04145515456288485,-0.16421112655011538,0.40901368535853,-0.28635925091680914,0.3903190528878648,-0.28635925091680914,0.018884937625854446,-0.053435759370652425,0.4171032137563206,-0.28635925091680914,-0.31127484096492614,0.39602442043861713,0.3667188221151261,0.10245567667843071,0.08097252949832556
ADP,0.009664191546880828,0.015393899382868614,-0.1295316906275979,-0.15269584869241687,-0.06517820477134253,-0.19247330251849365,0.053525701713158944,0.06301462144867692,-0.12585197848015353,1.0,0.2584771412837143,-0.24444109175520343,-0.3680854180131173,0.16282449752257827,0.21855169421578405,0.3501826327705785,-0.05365588172701703,0.2841584275019271,-0.2878797292771445,-0.06265363872775208,0.19076729695274844,0.1376462065630635,-0.39767637082643104,0.03459923835253733,-0.3378209725720984,0.4281711292304592,0.29399711595357386,-0.003780956111815949,-0.1109856072813164,0.20690498936123572,-0.3117814778119453,-0.05072344913443097,-0.14203172311340415,-0.005479298369130093,-0.019650545173704452,-0.10688575173625675,-0.12415914107739738,-0.35817033799214726,0.9715386069738081,-0.11049647298814035,0.2688565183465206,-0.36754959629185774,-0.23461439430412342,-0.36754959629185774,-0.458238446835757,-0.3762358924105067,-0.3977130407371241,-0.36754959629185774,-0.3893646167081968,-0.1687252297596922,-0.2777219446886817,-0.40616663277209253,-0.05658807098753549
